Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),2498.1108927701,2457.6622269446,2458.8485005896,2410.6290543485,2297.8124750565,2342.7514381671,2404.2496906661,2410.5188880773,2328.8435322801,2192.9775675952,2094.214002346,2032.2666391279,1939.9963121662,1998.1140218645,1985.188915143,1997.0843455633,1964.3105462553
EC2-Other($),2100.6198360763,2113.9154447146,2091.5983505284,2074.2920739918,2063.8482365154,2058.0286070823,2070.9763479357,2076.0344899413,2076.4185392752,2067.2600990632,2074.2166591076,2042.3552124808,2043.6258043188,2018.0064366449,1885.4956604185,1787.1152472682,1781.0536173521
Elastic MapReduce($),514.3738890144,487.8328453104,496.5430045584,483.3484854864,455.159414904,471.2562902832,474.3524595552,477.9275525592,481.2887892912,469.8105223344,464.1604541232,447.9936035856,461.2714082778,442.8695238072,445.9816973976,461.3821921464,457.5674049828
S3($),275.8918436248,277.0951958014,282.6259065076,282.3485560647,280.9602811257,283.7836438145,286.0410734463,293.4208881811,292.7278756068,292.7345373933,288.7032740407,294.6416690986,291.1679171807,295.2931477307,289.1954862018,274.4331868382,246.5902356212
SageMaker($),149.4414442328,142.5785322746,263.4479883998,203.8207485456,251.2678800257,230.7933809652,213.3657204247,197.5360554006,146.1720659215,151.3934696027,143.3997299095,112.9083420916,119.7636736306,121.9733076176,143.8520649753,152.0533857746,135.8475554138
Relational Database Service($),180.2131056883,180.106807046,180.0085992506,179.8944457015,179.7893037113,179.6868318627,179.5905416923,179.5160878293,179.4295101605,165.2823432002,149.2472086219,148.9000870128,146.6718427961,141.6410378999,141.4953269593,141.5569894541,141.6421518428
ElastiCache($),127.136,123.92175,122.26525,132.0185,127.196,128.7175,128.803,128.45975,127.877,123.678,108.24475,108.29975,108.19325,106.8325,103.02475,84.8635,86.78
CloudWatch($),114.29893521,114.2185665836,113.7086270607,113.5373546456,113.4174686109,113.0163640465,113.308827813,108.2262745493,106.8103504469,101.6240609369,100.6840791071,101.0687433824,100.3835824934,101.6645153105,104.459173324,106.3464389421,106.3975594095
Elastic Container Service for Kubernetes($),100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,94.027754445,73.030933615
VPC($),61.2667359915,61.1104082903,61.0122490486,60.9975778641,60.9157103825,60.8393622286,61.0292731871,61.0237379377,61.2286247519,62.0440450442,61.0722901707,61.6044550832,61.4511928939,61.5279360973,61.5626314283,61.5527315225,62.1429834734
Elastic Load Balancing($),51.0553766951,53.2707864401,51.8033544485,51.7654398295,52.2543267784,51.3407801711,52.0420878219,52.2023763264,52.8985932169,51.1324582921,50.3640185129,49.6054076621,50.7981258718,48.4631897332,49.1059679458,49.24706023,49.6276044355
Elastic File System($),11.8172116723,11.8175640954,11.8310960908,11.8412804294,11.8414190603,11.8414980896,11.8419864791,11.8390516552,11.8410575918,11.8877378568,11.9787470176,12.004521946,12.0045232012,12.0045274058,12.0053780529,12.002642256,11.9918391817
EC2 Container Registry (ECR)($),11.1846459225,11.417825057,10.6160171223,9.4884599374,9.2566733724,10.9403900334,10.7640869019,10.5989909774,11.202807224,11.6528248843,9.8797271015,9.3907344915,11.2614352342,10.7345233096,10.6013079377,11.0228373726,11.1502988609
QuickSight($),8.8000000704,8.8000000704,9.333333408,9.6000000768,9.6000000768,9.6000000768,9.6000000768,9.9000000792,10.4000000832,10.4000000832,10.4000000832,10.4000000832,10.4000000832,10.4000000832,10.4000000832,10.4000000832,10.4000000832
Identity and Access Management Access Analyzer($),83.2,,,,,,,,,,,,,,,,
DynamoDB($),4.0993856654,4.1022631798,4.1018172241,4.1023213067,4.1018043375,4.1016721595,4.1020373805,4.1026650832,4.1017359476,4.1021670402,4.1005417868,4.0965034203,4.0961638152,4.0974455631,4.0931581781,4.0904718348,4.0882493751
Key Management Service($),2.7595833552,2.7604593552,2.7589536885,2.7606063552,2.7590403552,2.7593283552,2.7593493552,2.7598983552,2.7674823552,2.8062898,2.8286410224,2.8289260224,2.8274560224,2.8278430224,2.8299130224,2.8277560224,2.8231753557
