Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),1068.6655363598,1067.2173050856,1142.0132756589,1058.0915251954,962.2377550881,944.2634598122,1067.9167531101,990.2563327231,1137.5894154111,1157.7257573519,1282.5636138427,961.8421879672,952.4653436624,1100.4992207975,1051.0284933572,1098.3355501972,1064.3542255135
S3($),971.4806511652,954.4182687008,943.7658531139,942.2035354348,947.5366092006,948.4361485573,967.1004060113,944.0705829065,982.5742622837,952.6061895602,971.4540020162,976.4901617009,980.8660303688,1048.8939199832,977.0913880876,989.0463707256,964.1544389957
Elastic MapReduce($),413.737761752,398.656123446,471.0580740768,412.279184856,390.032955151,382.1614445796,420.7128093476,382.4462818106,485.535270374,501.1532316294,566.6590804308,420.8665380204,415.9591848536,474.231415893,435.7383408112,445.5587969408,433.9753715418
ElastiCache($),376.3478643715,373.1317558872,375.6096996788,367.7687449319,372.592524083,373.1294317311,374.7401411156,369.716643484,365.227864014,328.5241919645,294.2179631615,295.6256035985,291.7855712862,292.7425125619,289.769516651,263.4546381746,254.0370618663
EC2-Other($),317.8144032485,317.4693838432,359.8521945262,315.5182883732,300.3174368269,293.2457607594,322.5861681014,301.0590355198,361.5770837865,339.2743582672,381.9833321851,297.2702358782,302.3074722887,335.1837933708,311.6374763496,323.6668580131,312.1605926924
Relational Database Service($),175.2643128856,175.289358064,175.302373424,175.3240296787,175.3329690552,175.3459729844,175.3472539025,175.3803408517,174.3084663165,173.4602860043,173.4683056738,173.4692742309,173.4860256471,173.4875845162,173.4864896667,172.9967381799,173.389945789
Systems Manager($),0.31038,110.56992,154.51844,107.58916,69.55868,81.76806,88.87434,93.19813,167.83385,100.4178,169.11156,69.04317,79.29622,100.93005,78.20765,97.00116,78.21778
Elastic Load Balancing($),82.8296404898,85.1506816478,79.9892628834,83.8997808263,85.5764048999,80.2351316783,83.3884564902,85.3787622578,86.0876698191,82.967303741,83.030270357,87.9331604146,77.6815822545,74.9140477172,79.1532110815,77.0564580484,75.8695268471
EC2 Container Registry (ECR)($),56.7756235491,56.8504758327,56.916063005,56.9805212564,57.0039583944,57.0039583944,57.0198815651,57.0377599831,57.0977852117,57.1285580598,57.1339059455,57.1371433062,57.1381174762,57.1423998726,57.1525430446,57.1642625787,57.1718860203
DynamoDB($),51.5055316797,52.5378090696,45.6136858011,47.8750181793,51.1150378989,44.6745092611,48.6570713694,46.6595536745,43.8305516152,43.2980975583,42.0965472415,45.2247323346,41.8744876163,40.7618585756,41.0671745236,42.2286635556,45.3178509788
Managed Streaming for Apache Kafka($),39.6529770269,39.6235304622,39.6678720794,40.048703486,39.4995282241,39.4285743808,40.4985763885,39.5111122228,39.3628719576,39.086845594,39.074378085,39.4265903159,38.9824798264,38.8653930188,39.2001213363,39.1653771678,38.8129721838
CloudWatch($),42.9230896167,43.3357231157,43.6394484354,41.6482392531,41.0177582882,41.013045768,42.110551871,24.5466557149,24.6544476142,24.5876544705,24.6759497611,24.154006879,24.1742323388,24.0988916783,23.4617648311,23.7158981347,23.9058292923
Elastic Container Service for Kubernetes($),19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2
Athena($),16.768985,21.47882,22.011065,24.372005,20.89226,15.313695,18.129515,17.42519,18.628,14.538765,18.390115,17.917245,19.39463,24.069325,12.980505,22.15842,17.86643
VPC($),16.0388175725,15.9299127402,16.0684573154,16.1116066475,16.0708665903,16.0653529155,16.1606804353,16.1334248741,16.178227379,16.153380749,16.2412439193,16.0782002989,16.0783287573,16.1071395234,16.1295854703,16.1916980062,16.1125290875
Transfer Family($),14.5452264868,14.4,14.4,14.4,14.4,14.4,14.4000036001,14.5649914661,14.4987156874,14.4,14.4,14.4,14.4,14.4,14.5675966632,14.4,14.4000000256
Glue($),1.17093812,1.20159116,1.35348972,1.19171492,1.16472884,1.1716958,1.2995490714,1.2878378284,1.3087344995,1.3021053504,1.3413883739,1.3453467956,1.271219394,1.3686639674,0.9566715894,0.9735501271,0.9384986965
