Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
S3($),488.2100549574,462.9344623278,458.4176276949,454.3735091726,454.1088071427,452.9042582351,456.4692660386,453.2134586004,452.0986255613,452.4543492566,455.9902027299,452.9223284697,450.984944001,450.8262463449,454.126769646,484.2070710366,458.8292023342
EC2-Instances($),655.5452708317,529.9803287031,582.4828236759,417.5862726498,297.1687585047,279.6893630507,401.6255316139,442.4968512527,521.7000626342,505.0665277819,449.8022913156,358.8698773656,286.8035885188,323.5652793606,369.4413467236,551.0919833505,586.7641051866
Elastic MapReduce($),287.2835969832,231.7537449072,260.487796752,207.5546932632,178.1444469492,173.081971692,200.7558000648,216.768302118,253.4524570368,249.8393271456,232.0735894776,224.7813083016,189.9890861184,183.3772997664,199.6364424672,295.4353511772,322.9988117364
EC2-Other($),100.0969115093,83.652587693,97.4836789376,78.1105556324,72.8849756377,70.6954795042,78.0206739932,79.4425015098,87.293176584,88.842870643,81.0911178221,77.623788405,71.0263266493,71.5085966827,74.0100842643,98.7115532957,108.5879301378
VPC($),19.4897158859,19.4489038907,19.4682565738,19.471712113,19.4092552286,19.3505533077,19.4272383387,19.5373932669,19.4286219475,19.474137211,19.3668823031,19.3738004248,19.3139515074,19.5066881704,19.5631087678,19.6624564939,19.4962330571
Elastic Load Balancing($),1.8403534974,1.720810135,1.7208022225,1.7208172889,1.7208,1.7208191999,1.7208296,1.7208058223,1.7208285778,1.7208021779,1.7208031111,1.7208,1.7208,1.7208055556,1.7208173199,1.7209010209,1.7208968003
CloudWatch($),1.5493597286,1.4855377209,1.5546952531,1.4612752434,1.4332536769,1.4368112046,1.4566288619,1.4626883254,1.4658499689,1.504918783,1.4482243222,1.4212587394,1.4200919218,1.4459617913,1.4499983824,1.498439989,1.5606591833
Elastic File System($),1.0473611568,1.0474661323,1.0473518711,1.0473465,1.0473465,1.0473465,1.0473465,1.0473465,1.0473465,1.0473465,1.0477000144,1.0474843514,1.047356424,1.047356424,1.047356424,1.047356424,2.0400126554
Cost Explorer($),0.88,0.74,0.75,0.74,0.74,0.75,0.94,0.87,0.78,0.72,0.77,0.74,0.73,0.93,0.74,0.74,0.73
SageMaker($),0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688,0.44688
Glue($),0.10459812,0.07917492,0.07937072,0.14089768,0.15092,0.12554652,0.122924279,0.0990210696,0.0687135748,0.1589658501,0.0678412424,0.0937072296,0.0934162548,0.1465961457,0.0764747624,0.1527210992,0.0532380416
Secrets Manager($),0.1067716656,0.1023122212,0.1068066656,0.1067566656,0.1067166656,0.1068016656,0.1068066656,0.1023122212,0.1023172212,0.1068016656,0.1067616656,0.1068016656,0.1067616656,0.1068016656,0.1067616656,0.1023122212,0.1068066656
DynamoDB($),0.0426247542,0.0426247541,0.042624754,0.0426247539,0.0426247541,0.0426247541,0.0426247541,0.042624754,0.0426247541,0.0426247541,0.0426247541,0.0426247871,0.0426247872,0.0426247872,0.0426247872,0.0426247872,0.0426247872
EC2 Container Registry (ECR)($),0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464,0.0369316464
Claude 3 Sonnet ( Bedrock Edition)($),,0.054849,,,,,,,,,0.138162,,,,,,0.05151
Service Catalog($),0.0,0.0,0.0098,0.0056,0.0056,0.0098,0.0063,0.0091,0.0021,0.0056,0.0126,0.0098,0.0112,0.0126,0.0091,0.0063,0.0084
SES($),0.0047030538,0.0037036277,0.0037026942,0.0037030185,0.005102112,0.0037017016,0.0041030542,0.0037029353,0.003502643,0.0037029094,0.0037028061,0.0064021224,0.0037015842,0.0037025845,0.0037026368,0.0037028602,0.0037031725
Key Management Service($),0.002559,0.002814,0.002946,0.002592,0.002709,0.002778,0.003384,0.002703,0.002832,0.002964,0.003117,0.003,0.002931,0.002889,0.002928,0.002889,0.002823
Athena($),,,,0.00255,0.002835,,0.00299,,,0.00323,,,,0.003535,,0.005005,
SNS($),0.000145879,0.000260002,0.0003411575,0.0002385748,0.0002180748,0.0002596366,0.000339908,0.000264368,0.000177218,0.0002606754,0.0002623598,0.000219049,0.0002599515,0.000300267,0.0001991557,0.0002327193,0.0003835316
Lambda($),0.000295195,0.0001499328,0.0001838912,0.0001459663,0.0001172127,0.0001228243,0.0001625713,0.0001677575,0.0001635235,0.0001569686,0.000149544,0.0001178274,0.0001147684,0.0001428252,0.0001720022,0.000221946,0.0002033363
SQS($),1.2e-06,2.4e-06,2e-06,1.6e-06,2e-06,1.6e-06,2.4e-06,2.4e-06,1.2e-06,1.6e-06,2.8e-06,1.6e-06,2.8e-06,1.6e-06,1.2e-06,1.6e-06,2.8e-06
Simple Workflow Service($),9.534e-07,4.767e-07,1.4301e-06,9.534e-07,,9.534e-07,9.534e-07,9.534e-07,1.4301e-06,1.4301e-06,9.534e-07,9.534e-07,1.4301e-06,9.534e-07,1.4301e-06,1.4301e-06,9.534e-07
Step Functions($),7.473e-07,1.0002e-06,1.2474e-06,7.473e-07,5.001e-07,1.2474e-06,9.945e-07,1.0002e-06,4.944e-07,7.473e-07,1.2531e-06,1.2474e-06,1.2531e-06,1.5003e-06,1.0002e-06,7.473e-07,1.2474e-06
Glacier($),,,,,,,,,,,,,,,,,1.4e-09
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,,,,,,,,,0.0,,
Total costs($),1556.688136765,1333.5335454911,1424.1426251873,1182.8551054695,1027.4583006055,1001.4520532436,1162.2367662376,1217.3030595011,1339.693214516,1321.478401746,1244.1698491209,1139.2471341858,1023.780972282,1054.7312420712,1122.4617022818,1454.9149378447,1503.4813602745
