Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Other($),550.2008543737,561.7073084495,554.9143197667,553.2533565208,544.2055195151,525.8897275073,540.7518204519,538.5690861639,540.7617091713,547.05904471,545.6301322265,536.5399964927,523.1415489941,532.7657442026,548.9413033561,556.9450486233,542.4172599697
OpenSearch Service($),277.9238650097,275.491896028,277.9278717646,278.3878685213,275.4918692785,275.4918673677,275.1278681516,275.3358564979,280.1518611655,276.0118662556,277.5638642385,276.787863927,275.7478634003,278.8598755095,278.9638863066,277.7198861464,275.4358876991
EC2-Instances($),188.6419561093,192.2470987203,189.1885594634,187.5933672251,183.7032993989,177.7777702395,186.6322437294,187.3835096846,187.4161505983,187.4525025813,184.912496816,179.2571285735,175.0140194409,180.6952066256,184.0991517707,184.5056067942,182.5042523458
Elastic Load Balancing($),75.6631262647,85.0799059133,89.2070188121,91.0207751973,86.6116739659,24.9173663299,84.4378644698,89.8359627283,93.0196019038,78.3106454736,78.3839753964,70.2310903959,27.3263839608,61.8440909692,72.9223686308,74.4317338913,77.7402354541
VPC($),44.9350878828,45.1629305169,45.1569795034,45.3151045749,45.2734531511,45.3619377512,45.3719144378,45.2195422391,45.2964103552,45.5071875423,45.3111723391,45.1050497837,45.1857119341,45.1292104115,45.2442630024,45.082155038,44.9768957206
S3($),29.7532637278,30.7438611137,31.2738581126,30.3837240352,30.961929074,28.4603753307,30.2410888256,31.7887923814,31.3634487926,30.7436027591,29.9250481947,30.696133021,28.5270754421,29.9817796824,31.0949798033,30.1727148017,30.5383751902
ElastiCache($),22.537,22.435,23.05,23.256,22.746,22.744,23.256,22.898,22.629,20.863,20.483,20.328,20.379,20.328,21.089,25.089,24.261
Elastic Container Service for Kubernetes($),9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
CloudWatch($),10.0789783469,10.2042842275,9.9783118178,10.1385001307,9.8166827224,9.6799475841,9.9396540968,6.8647346045,6.8733640191,6.8869626374,7.2592675255,6.9135057571,6.8790914551,7.3196276178,6.9916249443,7.3404089116,7.2649224889
EC2 Container Registry (ECR)($),1.6934116276,1.7057185789,1.7125965655,1.721472345,1.7266781934,1.7279690242,1.7292149021,1.7353752097,1.744843996,1.7508755546,1.7698227619,1.7780580432,1.7780580432,1.7797756752,1.7929922147,1.8052518664,1.8190911754
DynamoDB($),1.0158736149,1.0158742338,1.0158742338,1.0158742338,1.0158742338,1.0158742338,1.0158742338,1.0158742357,1.0158742362,1.0158742352,1.0158742338,1.0158742338,1.0158742338,1.015874232,1.0158742346,1.0158742349,1.0158742345
Key Management Service($),0.4061590032,0.4423091146,0.4725226704,0.4724356704,0.4683560037,0.4863185594,0.5127524485,0.5393123376,0.5394233376,0.5400773376,0.5398643376,0.5395733376,0.5404853376,0.5392853376,0.5407193376,0.5397713376,0.5396363376
Cost Explorer($),0.29,0.28,0.13,0.15,0.27,0.28,0.31,0.27,0.32,0.41,0.21,0.24,0.26,0.24,0.28,0.28,0.3
Route 53($),0.5068144,0.0063392,0.003371,0.0036818,0.0036822,0.0035406,0.0037794,0.0034874,0.0034378,0.0036904,0.003785,0.003681,0.003525,0.0037086,0.0038448,0.0036438,0.003541
Service Catalog($),0.0,0.0098,0.0105,0.0196,0.0126,0.021,0.0196,0.0224,0.014,0.014,0.0238,0.021,0.021,0.0238,0.0168,0.0154,0.021
Secrets Manager($),0.0133483344,0.0128277788,0.0133633344,0.0133833344,0.0133633344,0.0133683344,0.0133783344,0.0128277788,0.0133633344,0.0133683344,0.0133783344,0.0133633344,0.0133833344,0.0133633344,0.0133533344,0.0128077788,0.0133833344
SQS($),0.0034592,0.0034688,0.0034648,0.0034684,0.0034632,0.0034632,0.0034688,0.0034732,0.0034664,0.0034656,0.0034696,0.0034616,0.0034672,0.0034644,0.0034636,0.0034708,0.0030076
Glue($),0.0,0.0,0.0,0.0,0.0,0.0,0.0046963344,0.0046963344,0.0046963344,0.0046963344,0.0046963344,0.0046963344,0.0049503344,0.0048823344,0.0048923344,0.0048903344,0.0048843344
Lambda($),0.0014174603,0.0020963744,0.0019923134,0.0019203756,0.0015366425,0.0011192411,0.0018919012,0.0018181401,0.0019372561,0.0018967866,0.001896067,0.0014355088,0.0010792226,0.0017588173,0.0019981934,0.0017554516,0.0018129351
SNS($),0.0002559147,0.0031657503,0.0015999551,0.0006349853,0.0002723466,0.000326934,0.0004063383,0.0004146649,0.0004479813,0.0010457271,0.0005935704,0.0004942399,0.000287297,0.0003512618,0.0013453997,0.0009879441,0.0008832654
Elastic File System($),0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168,0.000747168
CloudWatch Events($),0.000538,0.000642,0.000544,0.000536,0.000502,0.000334,0.000176,0.00023,0.000212,0.00017,0.000176,0.000136,6e-05,0.000378,0.000612,0.00039,0.000452
