Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Other($),761.4708236817,765.9979422111,763.1571482368,759.2517511055,755.567940042,751.8990079301,757.2916974399,754.654021087,752.2385191835,752.3843917126,752.3111258277,753.8348681491,748.6613259201,749.2564434318,752.7712875191,756.3686619556,752.6083351207
EC2-Instances($),544.6281750123,540.0208618312,516.5322574637,508.7176434797,498.3747245171,499.2354521414,511.7618318921,506.6006703613,497.915608581,496.5967392253,494.7638715043,490.8647431041,490.04120099,495.3728974057,492.9963839484,493.2576036319,491.0636199758
Elastic Load Balancing($),262.8488091055,297.2983568993,283.1303632779,282.0467048344,268.7709955546,189.6482048355,239.822440885,237.5410395497,238.166562981,243.8982288503,230.3610653143,234.5433166416,188.4500921597,211.0746713177,239.6657865464,264.4958696609,242.6501560192
S3($),88.1067053911,89.7955789817,89.9722561878,91.3478384253,90.0549425678,85.5914718398,88.2066612923,93.4987287435,92.6619890764,90.1596677984,93.5910107051,84.5012209409,84.1037931604,85.2409829601,87.7966049313,84.5287128774,84.6580499864
VPC($),46.147579385,46.1623935908,46.8137707212,46.3953616548,45.9323569184,45.8419460481,46.150996708,45.3169682062,43.097191486,43.107838611,43.1996463004,42.953043686,42.8482007578,43.0208243631,42.9097808496,42.8667988421,42.8828421701
ElastiCache($),40.7835545304,41.2935545304,40.3755545304,40.7835545304,40.9875545304,41.2935545304,40.8855545304,40.0575545304,38.1005545304,32.8175545304,31.5615545304,31.5615545304,31.9755545304,31.9755545304,33.4935545304,35.2875545304,37.2885545304
Elastic File System($),23.4302401607,23.4649763067,23.5779732862,23.4539830456,21.8140639176,21.8140639176,23.4473047281,23.4738497539,23.4184330329,23.4720566858,23.4299053379,21.8140639176,21.8140639176,23.4286724158,23.4235045573,23.4648274583,23.4473633641
Transfer Family($),21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
Elastic Container Service for Kubernetes($),21.6,21.6,17.973006945,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Rekognition($),9.795,10.5425,9.7775,8.84,8.3275,7.22125,7.30125,7.1275,7.605,7.43,7.345,7.9675,6.4625,6.7025,7.03,7.44375,7.3825
CloudWatch($),7.5933684231,7.8694077306,8.6870363903,8.4041119336,7.5162225236,7.4428404614,8.7501314776,7.3155110462,7.0644009134,7.1458571482,7.2514359213,6.3164676426,6.3110199243,7.06427227,7.1034566608,7.0999542592,7.1319423701
EC2 Container Registry (ECR)($),4.8982666916,4.9002209958,4.9058036344,4.9117486932,4.9121672112,4.9121672112,4.9212226218,4.9301295924,4.9330195891,4.9357222078,4.9390253752,4.9396881288,4.9396881288,4.9396881288,4.9424213811,4.9469764366,4.9512631795
QuickSight($),1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096,1.2000000096
DynamoDB($),0.4786009509,0.4786010726,0.4786271856,0.4786014726,0.4782235921,0.478265276,0.4786290423,0.4786282289,0.4785767583,0.4785541169,0.4786067294,0.4782265017,0.4782272618,0.4786306755,0.478594466,0.4785328094,0.4786077294
Secrets Manager($),0.4678366656,0.4676666656,0.4681966656,0.4676616656,0.4673216656,0.4674266656,0.4676766656,0.4485222212,0.4675316656,0.4677316656,0.4676466656,0.4675116656,0.4673616656,0.4675866656,0.4483272212,0.4677416656,0.4679316656
Cost Explorer($),0.45,0.45,0.17,0.16,0.44,0.45,0.47,0.29,0.48,0.4,0.23,0.42,0.41,0.42,0.42,0.41,0.41
Key Management Service($),0.0710466672,0.0711156672,0.0706716672,0.0919550007,0.1042240008,0.1045090008,0.1049770008,0.1040440008,0.1041940008,0.1051660008,0.1045420008,0.1043230008,0.1050460008,0.1044820008,0.1043380008,0.1036030008,0.1042390008
Route 53($),1.504734,0.0046744,0.002287,0.002598,0.0017914,0.0018018,0.0025986,0.0023872,0.0024936,0.002386,0.0024006,0.0017954,0.0017974,0.0025528,0.0025226,0.002504,0.0023806
Backup($),0.0614476385,0.0614476378,0.0614476385,0.0614476381,0.0614476384,0.0614476384,0.0614476382,0.061447637,0.0614475872,0.0612364093,0.0612364127,0.0611881233,0.0611881233,0.0611881252,0.0613967205,0.0613967187,0.06139672
Glue($),0.0180642,0.01755116,0.02099768,0.02187812,0.01889536,0.01718464,0.0257660128,0.0293102128,0.0254729728,0.0265971728,0.0251794928,0.0246902128,0.0264876928,0.0251802928,0.0300244928,0.0302114928,0.0273486928
Service Catalog($),0.0,0.0105,0.0224,0.0168,0.0154,0.0224,0.0182,0.0224,0.0154,0.0154,0.0252,0.0224,0.0196,0.0238,0.021,0.0182,0.0182
Relational Database Service($),0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112,0.0034553112
Lambda($),0.001000315,0.0013171162,0.0013857188,0.0012343763,0.0010080147,0.0006286293,0.0013325785,0.0012036874,0.0012327171,0.001199739,0.0012265156,0.0010220005,0.0009091454,0.0014102497,0.0015259374,0.0013640141,0.00123285
SNS($),6.83772e-05,0.0009817033,0.0012771281,0.0012524963,0.0008630187,0.0006372933,0.0013928691,0.0014961287,0.0012100863,0.0011632001,0.0012054367,0.000735509,0.000820933,0.0012679037,0.0010653436,0.0012852261,0.0012607528
