Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
Relational Database Service($),3843.5465789776,3894.6499757712,3898.8183267337,3808.2845109069,3846.1538477148,3811.072291179,3883.5263015422,3921.2323706189,3993.8749375718,4006.3111396825,4048.9257758263,4043.8642125597,4127.1778466062,4097.7025370857,4186.8880208056,4271.9823362256,4271.6796602039
EC2-Other($),956.3617466326,900.0851881307,929.2845622351,866.5524741314,891.7248534915,859.9446883239,889.158095724,866.422701352,887.4677204589,867.8427041183,884.1890336268,866.4549473688,883.4743490044,858.168393396,877.1604869759,861.6731359905,877.2000270156
EC2-Instances($),533.6747827562,518.6524971788,509.1418923373,508.8270108105,478.1194436549,478.7482810142,513.0701162491,500.8544913256,495.062175617,490.5894308266,488.9793198786,477.2590206259,471.8837430806,479.0711792394,482.3670848699,478.6479632605,478.7202529496
API Gateway($),258.1406400766,275.4577984105,216.7268311708,199.4776722191,167.1085550217,158.5127567638,161.5876588697,161.3309542542,166.7459835303,161.5691171165,163.2049193641,173.5953595526,166.0631996888,157.5259325394,161.95940963,165.8205615654,163.8715789442
S3($),155.7225858808,155.2689088536,154.8469098912,154.9283304601,155.452405965,154.7276508005,154.9863377053,155.3600752236,155.6248129424,155.6014539278,156.0824776277,155.7502060971,155.8851610883,155.9639708832,156.8183648159,156.4275959471,156.573849175
CloudWatch($),58.8239974975,65.4529555381,61.4458419842,56.9451474678,56.2518368561,53.5414566118,54.5670503582,53.0986571959,54.6904650093,53.1583035397,53.6669517384,57.0520883104,54.603008471,52.0842919363,53.4827274131,54.4980518927,53.8977203607
Elastic Load Balancing($),29.1118395064,30.7421431273,29.652114488,27.5242211958,27.5773974128,26.2977111783,26.8230606306,26.7527450893,27.3573854544,26.685279842,27.0951685593,28.1692448031,27.6091186002,26.2326698015,26.9431176014,27.3290204844,26.9126355417
VPC($),29.081114741,28.3517479994,27.8177668473,27.1357279973,26.9268147616,26.4327495646,26.6221609547,26.5279879708,26.8221865209,26.4764253885,26.6666796068,27.2360856782,26.8505112559,26.39684485,26.6899385432,26.9493605233,26.8510858401
ElastiCache($),10.919770528,10.380770528,10.233770528,11.017770528,10.9199926888,10.7732462512,10.9199809216,10.6259809216,10.8709621704,10.6749621704,10.9689338024,10.6751436896,10.6261436896,10.185008344,9.8909639992,10.6749639992,10.8219639992
Cost Explorer($),0.06,0.08,0.07,0.08,0.07,0.07,0.09,0.22,0.11,0.05,0.1,0.06,0.07,0.06,0.05,0.06,0.07
Key Management Service($),0.0708606672,0.0706656672,0.0710526672,0.0709506672,0.0707676672,0.0709446672,0.0709536672,0.0707586672,0.0708606672,0.0712296672,0.0711516672,0.0710376672,0.0714186672,0.0709446672,0.0716046672,0.0710976672,0.0709536672
DynamoDB($),0.0639364822,0.0639364822,0.0639364822,0.0639364823,0.0639364823,0.0639364823,0.0639364823,0.0639364823,0.0639364824,0.0639364824,0.0639364824,0.0639364824,0.0639364824,0.0639364824,0.0639364824,0.0639364824,0.0639364824
Secrets Manager($),0.0411800008,0.0397333341,0.0411450008,0.0411600008,0.0411350008,0.0411600008,0.0411800008,0.0396483341,0.0411700008,0.0413250008,0.0410800008,0.0412400008,0.0411350008,0.0411000008,0.0413650008,0.0397583341,0.0410950008
Lambda($),0.0213314101,0.0321729453,0.0301914664,0.0320308899,0.0319772072,0.0320636388,0.0320686587,0.0320837834,0.0319479287,0.0285761376,0.0280112751,0.0320666673,0.0320130781,0.0296634915,0.0315034316,0.0300853331,0.0316967433
Route 53($),0.3095136,0.009842,0.0048136,0.0046046,0.0046274,0.0045194,0.0060576,0.0149286,0.0046508,0.00469,0.0054508,0.0045338,0.0045082,0.0044354,0.004874,0.0046314,0.0046692
Service Catalog($),0.0,0.0091,0.0105,0.0077,0.0049,0.0098,0.0098,0.0098,0.0056,0.0077,0.0112,0.0105,0.0119,0.0112,0.0084,0.0077,0.0098
SNS($),0.0013996429,0.0005730282,0.0006378361,0.0007387536,0.0005525317,0.0005791257,0.000624355,0.0006633,0.0005337029,0.0006542792,0.000495486,0.0008314452,0.0005957183,0.0005536305,0.0007594126,0.0006909011,0.0007431154
CloudWatch Events($),0.00042,0.000384,0.000384,0.000388,0.000392,0.000396,0.000403,0.000393,0.000384,0.000375,0.000376,0.000404,0.000392,0.00038,0.000396,0.000396,0.00039
Glue($),0.0,0.0,0.0,0.0,0.0,0.0,2.6664e-06,2.6664e-06,2.6664e-06,2.6664e-06,2.6664e-06,2.6664e-06,0.0002026664,0.0001826664,0.0001296664,0.0001636664,0.0002006664
SQS($),1.6e-06,1.6e-06,2.8e-06,2e-06,1.6e-06,2.4e-06,2.4e-06,2e-06,2e-06,2e-06,2.4e-06,2.4e-06,2.4e-06,2.4e-06,2e-06,1.6e-06,2.8e-06
Step Functions($),2.472e-07,1.2474e-06,1.5003e-06,1.0002e-06,1.0002e-06,1.5003e-06,1.0002e-06,1.2474e-06,1.2531e-06,1.0002e-06,1.5003e-06,1.5003e-06,1.0002e-06,1.5003e-06,1.2531e-06,1.2531e-06,1.2474e-06
Simple Workflow Service($),4.767e-07,9.534e-07,9.534e-07,4.767e-07,4.767e-07,9.534e-07,9.534e-07,9.534e-07,,4.767e-07,1.4301e-06,9.534e-07,1.4301e-06,9.534e-07,9.534e-07,4.767e-07,9.534e-07
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,,,,,,,,,0.0,,
Total costs($),5875.9517007238,5879.3483967954,5838.260682522,5660.9943785876,5660.5234389333,5580.3442358558,5721.5757937394,5722.6581829861,5818.8457187769,5799.1773093228,5860.1009697387,5840.3408662684,5924.4691881285,5863.613229268,5982.4730875217,6054.2814530028,6066.8222639063
