Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
Relational Database Service($),14031.7662731868,14067.1764434599,14032.617646493,13653.5560554197,13467.3827689766,13545.2298703274,13604.9959017262,13482.0639335548,13482.1374051965,13526.4658941463,13564.9194525336,13565.8341864817,13613.8147748636,13639.03603122,13650.5071516445,13644.2712978109,13576.0388458755
EC2-Other($),2700.4069917586,2728.2166655805,2723.5623786407,2737.9624612954,2760.447859627,2748.0997670131,2757.7849972027,2722.8135418538,2752.5119426661,2728.1450057272,2744.6680331875,2719.9340250403,2772.5681787036,2733.2356514106,2731.1855933442,2732.3366285346,2727.3542820973
EC2-Instances($),2335.0537523986,2334.2254886405,2298.6982286404,2268.90638235,2201.3160403864,2219.7133401682,2286.6127876605,2288.404473892,2380.8420874637,2264.4916979432,2186.0716831369,2149.4629445736,2118.8910269744,2129.9681986765,2137.118482449,2130.8481548718,2115.9099140743
DynamoDB($),819.3465711802,800.1167949825,876.4044602925,799.703891059,795.8679848276,792.3273853013,792.2080255135,799.5497534869,883.9862147611,822.6076361151,778.625146502,777.2471137221,783.7812842539,772.3378102808,838.1233994353,739.6828223661,426.5857999831
API Gateway($),666.2832486121,552.4457287972,545.1677471671,515.1965793907,483.5910681969,466.95371996,473.7844079103,465.7521461915,486.1293883483,461.6852269036,476.5633567684,470.7635512569,491.53155632,452.4453368612,463.523304868,489.8962041494,468.3399225166
DocumentDB (with MongoDB compatibility)($),382.345738976,382.5459621041,382.6649542224,382.9039837847,383.0041249553,382.7086403245,382.5815724419,382.681525317,382.6227114618,382.7887063189,382.9891170321,382.778408708,382.8397783243,382.8902837757,382.8538957301,383.0672533023,383.0350452773
OpenSearch Service($),259.9664239402,251.116388191,263.0203809611,251.4283768467,260.1223825032,263.0203852082,254.3264136113,251.4283722486,257.068388887,254.1703653542,257.2243702577,265.9183639116,251.3243627909,251.4283736351,268.8163834511,268.8163786709,260.1223953214
CloudWatch($),111.4285840825,113.7834485733,112.8910981684,114.2052908392,115.4766940735,113.4482227748,114.8053179098,110.1738034443,110.6391557925,109.6600172204,104.0813576869,102.616759789,105.5499765694,101.2762379133,102.7369821508,104.9587381642,99.0255211813
S3($),109.5451961882,111.5036196566,110.9279263487,110.3238339176,110.2802401591,105.8276905806,104.5835949833,105.3334904822,106.4980281687,109.175783633,106.0752733442,103.5259963806,103.1223496634,107.2020805947,109.5160030617,109.4989098633,108.727544028
Elastic Load Balancing($),102.3523985664,105.4114863664,104.5996324781,105.8527575751,107.943181251,104.9979046536,106.0669045546,105.2122525553,108.5016744263,105.4823989406,106.0522780725,104.7379287499,108.2412714688,102.5563746621,104.6147818534,106.436743942,104.1931899805
DynamoDB Accelerator (DAX)($),88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128,88.128
Lambda($),44.1059354988,46.7623904513,46.2833502867,46.759353868,48.0731031273,46.4835767674,47.2342546664,46.566055663,48.303083381,46.0943653201,47.3988643653,46.7724949697,48.8690335893,45.2539499809,46.4313543762,48.834166952,46.8056426162
VPC($),20.4069663249,20.9439909244,21.1151926927,20.7000078141,20.752370839,20.3738415468,20.9052109129,21.1122778587,21.2206105377,20.7900403055,21.4479386908,20.6926192683,21.2318646284,20.0587734713,21.4553343296,21.3160079683,20.5580143036
Elastic Container Service for Kubernetes($),11.36924264,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Secrets Manager($),0.2891350008,0.2899750008,0.2903700008,0.2888300008,0.2885200008,0.2885750008,0.2932050008,0.2771483341,0.2774833341,0.2914600008,0.2884800008,0.2881250008,0.2880200008,0.2879750008,0.2786183341,0.2938600008,0.2892100008
Backup($),0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1509964005,0.1609132573,0.1849970522
Route 53($),0.4428244,0.2402196,0.1254126,0.1141464,0.1088196,0.1069158,0.123916,0.2559814,0.110498,0.1026718,0.1066544,0.097575,0.0969732,0.102679,0.1031662,0.1022276,0.1035544
Cost Explorer($),0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.23,0.11,0.06,0.12,0.08,0.09,0.09,0.08,0.07,0.08
Key Management Service($),0.0379773336,0.0376773336,0.0380373336,0.0377823336,0.0380883336,0.0378453336,0.0378933336,0.0376833336,0.0374673336,0.0378903336,0.0376353336,0.0371463336,0.0385203336,0.0381543336,0.0383103336,0.0377583336,0.0380493336
SES($),0.0220824278,0.0196809856,0.0234806074,0.0082780801,0.0082786478,0.0236845765,0.027681915,0.0365856213,0.0159803374,0.0235823276,0.0383831039,0.0166793226,0.0082784436,0.0196808226,0.0272800554,0.0212790051,0.0082765279
Service Catalog($),0.0,0.0098,0.0098,0.0154,0.0098,0.0182,0.0196,0.0196,0.0112,0.0154,0.0224,0.0196,0.0238,0.021,0.0154,0.0154,0.021
SQS($),0.0063436,0.006514,0.006586,0.0063452,0.0063812,0.0064044,0.00657,0.0063264,0.0057756,0.0064004,0.0062656,0.0062288,0.0062308,0.0061932,0.0064348,0.0064428,0.0064924
EC2 Container Registry (ECR)($),0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608,0.0050299608
SNS($),0.0044054718,0.0053638057,0.0044726793,0.0033243442,0.0043572567,0.0034787111,0.00417092,0.0032677452,0.0037640153,0.0027836073,0.0030713746,0.0033521777,0.0051198256,0.0025467053,0.0039950505,0.0041576509,0.0034197647
CloudWatch Events($),0.001388,0.001578,0.001734,0.001396,0.001486,0.001512,0.00169,0.001382,0.000836,0.001288,0.001316,0.001286,0.001308,0.001242,0.00148,0.00153,0.001546
