Account ID,Account Name,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
,Total costs ($),"4,668,958.1177","4,490,456.1741","4,389,100.2319","4,368,239.0388","4,235,362.6285","4,132,414.1398","4,209,433.2084","4,083,758.3404","4,327,232.8049","4,406,365.5643","3,994,369.4915","4,325,159.1681"
352506242819,payments-platform_prod_ocl ,"926,593.6832","795,863.8264","754,749.9882","746,705.6402","686,434.4673","698,920.0195","715,548.1430","675,212.2383","718,375.4203","721,111.2443","623,893.6053","656,504.8085"
628412515026,Datalake AWS ,"424,243.2477","406,120.3194","406,203.5091","399,264.3638","402,505.6753","395,407.2331","409,910.6579","412,153.9068","441,493.1398","435,839.9887","411,587.9711","490,326.8234"
340077773684,Paytm Financial Services ,"220,210.4074","212,633.7536","219,178.8242","230,120.2503","221,080.2687","205,471.9368","209,704.2311","208,041.8230","220,726.1015","217,963.8586","205,305.5757","226,011.4570"
567423616371,parent account_ocl ,"333,742.4654","311,170.2123","289,737.4306","259,475.5108","232,343.9268","230,244.1880","227,052.1649","223,311.0182","232,264.8391","229,025.6565","213,583.4731","202,846.5097"
968032760053,Fraud AWS ,"174,475.0535","183,385.2735","189,835.8058","199,169.4488","205,339.0177","194,143.5149","181,198.1182","158,759.5548","177,587.8385","173,497.2700","175,379.2495","188,736.6966"
002637409966,user-management-prod ,"196,285.1845","196,123.8463","189,489.0906","184,087.7289","191,767.9227","184,598.4397","179,791.5589","174,652.6046","180,884.1536","188,148.0227","174,059.6594","185,179.4734"
304016915943,payments-data-rtdd_prod_ocl ,"179,160.3157","173,013.4742","167,969.3212","160,787.3856","157,044.0392","153,841.2769","164,691.9084","162,786.2956","179,288.9574","169,064.6998","163,621.2956","175,361.5854"
424503791295,merchant-payments-api_prod_ocl ,"167,491.1503","152,159.8178","150,898.9112","147,779.8151","144,680.5784","137,727.5945","144,583.9757","143,029.6308","146,256.4801","149,088.9196","145,688.1185","147,003.3368"
899249751508,PayTm DaaS ML ,"137,823.8950","123,022.3671","119,580.8497","123,329.1927","123,669.6475","126,668.3385","136,457.8245","129,231.5289","129,994.8069","134,408.8780","128,643.6829","143,573.3931"
272415727726,Paytm Ads ,"110,477.2553","95,417.9582","96,581.6615","96,056.0617","97,826.7905","94,714.9234","97,995.8941","91,978.1978","98,849.1554","100,751.4729","100,843.6439","109,835.4591"
075790327284,cdp_growth marketing_ocl ,"128,495.5987","137,664.6039","134,483.2693","119,838.9323","106,506.1191","97,772.6191","99,015.9465","98,342.5712","108,113.4334","105,875.2024","101,747.7810","107,215.9485"
211125458732,tpap-prod ,"31,625.0963","58,914.8696","79,848.3217","92,575.1761","106,841.0871","89,448.7355","96,449.7125","99,838.0338","95,731.5453","100,524.9875","98,434.9200","106,747.6410"
381491835802,uth-prod ,"24,097.7576","31,394.9209","35,582.3499","52,566.3054","63,834.4260","64,515.4519","73,052.7174","72,090.7799","75,217.9910","77,508.7926","76,989.5878","105,466.2704"
898496923608,games_pfg ,"111,248.1201","120,426.5484","121,789.0863","120,938.5346","121,233.6342","112,771.2694","107,023.6358","97,145.9949","96,377.3632","99,785.2175","95,441.3651","100,072.2964"
445736908015,recharge bill payments_ocl ,"102,438.5602","106,433.3427","108,137.5900","107,802.5435","104,355.9244","103,519.8580","112,597.4016","105,195.9559","105,519.8163","106,199.4553","101,647.1911","94,959.2474"
564188254156,Lending DataScience ,"117,917.5752","119,189.0794","105,808.5405","90,516.1387","77,074.0525","82,155.7919","88,557.0117","85,877.8975","81,295.5743","81,755.0482","77,246.8008","79,315.3831"
705108899578,daas-managed-services ,"63,527.8891","57,709.9524","57,998.9430","57,490.0417","53,724.8599","54,334.4907","56,527.3267","50,496.9532","55,580.0474","53,921.4996","55,636.6627","71,078.7563"
755560366148,SAP-HANA ,"48,344.8387","50,534.7948","46,141.1437","47,338.3767","48,255.1994","48,694.5639","46,377.4238","49,448.6208","59,637.8418","64,153.0161","63,816.2719","67,613.4263"
811134095225,AWS DaaS ,"50,875.6247","52,358.4756","48,636.2551","51,803.4420","52,539.8906","52,866.3366","53,320.0519","53,588.3297","55,343.6169","58,484.7445","57,655.0396","60,250.6374"
359716425895,Travel Aws ,"57,966.6661","58,567.9194","55,248.6896","55,069.6388","56,728.9475","55,844.0909","62,556.0429","60,768.0790","60,406.4927","58,419.2057","55,561.4263","59,794.0144"
003079193758,IOT Prod ,"48,624.6841","47,753.4829","44,971.9237","46,661.5146","49,062.7127","50,099.0509","50,803.5184","47,941.0560","49,514.2712","54,207.2596","49,394.7668","55,717.1330"
901553615594,merchantdashboards ,"58,659.8401","54,557.7874","51,477.7299","49,415.6932","47,551.2189","46,800.0909","49,538.2048","49,105.3710","50,206.5695","51,848.3896","50,175.2509","53,482.2867"
210577074618,recon_prod_ocl ,"18,016.7982","18,213.2319","21,326.5863","24,170.3203","26,389.0940","30,898.6881","30,245.6558","28,871.2979","36,504.2970","39,756.5125","41,686.3391","46,736.4567"
479671683529,cdp risk_ocl ,"51,536.0768","44,893.6683","38,378.5436","38,731.3167","33,796.9456","36,542.7919","39,281.3161","35,972.4772","38,174.2158","42,163.8288","43,707.1796","43,599.6954"
423969094700,pai_push_ocl ,"43,002.1126","43,715.7413","53,373.5207","47,869.6997","42,906.7995","36,839.9696","38,123.3649","34,874.0809","35,670.8834","36,191.8222","34,140.9152","38,235.6482"
746682193773,cds ,"95,014.9968","96,807.2833","81,238.7518","87,918.7205","73,980.5590","44,543.1289","40,888.8669","40,696.3809","39,851.0847","36,106.2955","34,925.5888","37,703.3098"
761904723706,kyb ,"31,321.7791","31,425.4368","30,970.9736","32,258.4632","33,327.9865","30,620.8766","31,309.4788","32,524.6077","33,890.9177","35,088.4092","33,675.8005","36,273.0310"
211125515568,risk-ocl-tpap ,"14,930.2100","19,206.8337","19,127.4248","20,637.0875","23,495.8097","23,367.2996","25,539.7030","24,600.0715","25,388.8657","24,981.6423","23,050.9157","34,581.7087"
647564693872,aml-prod ,"16,596.5350","12,368.0930","20,173.7633","12,280.5012","19,145.7397","11,092.7129","15,317.8559","12,914.3444","13,229.0443","25,507.0202","29,251.0676","32,330.6393"
182401677120,onboardingengine ,"27,750.3663","28,024.1402","27,138.2376","27,599.7457","28,040.0200","27,521.7418","26,288.6654","26,184.4674","27,291.4496","27,706.5263","27,485.8805","29,351.3841"
975049957371,tpap-dwh ,"2,968.8079","12,418.9808","13,202.3736","17,346.2255","16,685.0003","16,733.3263","17,592.8151","18,341.5023","26,809.6559","25,808.2405","24,718.1523","27,159.3191"
337891198417,digital_cst ,"4,686.6690","5,195.1322","16,407.8961","29,815.7553","39,350.6963","64,514.6557","99,135.1930","123,654.5518","158,333.5445","206,462.8901","23,364.7176","26,046.6406"
752518464574,User Preferences System ,"21,519.9375","22,209.8153","20,662.4066","23,206.2066","22,979.4747","20,895.8371","19,973.7891","19,249.0956","23,750.7646","24,717.1209","23,285.9056","25,941.0845"
929265682896,payment-non-prod ,"25,774.8659","25,071.3550","23,332.5307","23,953.1031","24,227.0727","24,302.6264","26,276.6391","25,410.4507","26,234.1746","25,881.4392","23,621.9758","23,542.5875"
021891570382,risk-lending ,0.0000,0.0000,0.0000,0.0000,"1,166.7461","14,307.2649","15,112.4115","14,457.9241","15,390.4768","21,764.5435","20,558.1338","23,038.7181"
419830208690,AaaS-prod ,"32,812.2880","32,015.2743","32,070.1964","26,192.9397","20,421.5657","20,390.9934","21,871.4225","22,945.5970","22,528.1134","20,089.2570","19,856.6283","20,492.7557"
