Service,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
EC2-Instances,"66,051","60,809","58,476","58,809","60,122","63,917","75,834","70,199","71,215","74,959","71,995","81,286"
EC2-Other,"30,455","30,132","29,845","29,765","29,598","29,762","30,022","30,121","30,105","30,419","30,242","30,757"
S3,"18,158","16,317","16,281","16,557","14,434","14,561","13,749","11,848","11,668","11,628","11,328","11,634"
VPC,"3,116","3,142","3,054","3,113","3,139","3,155","3,512","3,368","3,459","3,474","3,150","3,673"
Elastic Load Balancing,"3,806","3,754","3,596","3,292","3,132","3,031","3,088","2,919","3,070","3,053","2,780","3,091"
ElastiCache,,,704,"3,302","2,797","2,707","2,797","2,707","2,797","2,797","2,527","2,797"
Relational Database Service,"1,659","1,768","1,725","1,757","1,803","1,736","1,798","1,745","1,799","1,799","1,635","1,931"
Textract,"6,746",899,460,778,694,797,"1,558","1,348","1,535","1,607","1,017","3,457"
Rekognition,877,"1,008",996,"1,224","1,274","1,354","1,543","1,586","1,736","1,771","1,418","1,673"
SageMaker,"1,977","1,509","1,337","1,721","3,409","2,736",97,91,94,94,86,94
Elastic MapReduce,"2,223","1,049",901,750,686,736,823,"1,424",509,"1,196",929,"1,359"
CloudWatch,960,"1,005",994,"1,004","1,010",986,992,"1,067","1,026","1,035",987,"1,105"
Elastic File System,782,826,831,871,"1,171",732,175,166,107,103,103,103
Elastic Container Service for Kubernetes,868,648,219,223,234,288,298,468,700,298,269,426
EC2 Container Registry (ECR),130,140,145,147,149,152,154,155,156,158,160,168
DynamoDB,5,5,5,5,5,5,5,5,5,5,5,5
Key Management Service,2,2,2,2,2,4,4,4,4,4,4,4
SNS,3,3,3,3,3,3,3,3,3,3,2,3
Cost Explorer,2,3,3,2,3,3,3,3,3,3,3,3
Secrets Manager,2,2,2,2,2,2,2,2,2,2,2,2
Lambda,0,0,1,1,1,1,1,1,1,1,1,1
Route 53,0,0,0,0,0,0,0,0,0,0,0,0
Glue,0,0,0,0,0,0,0,0,0,0,0,0
Service Catalog,0,0,0,0,0,0,1,0,0,0,0,0
SQS,0,0,0,0,0,0,0,0,0,0,0,0
CloudWatch Events,0,0,0,0,0,0,0,0,0,0,0,0
Athena,0,,,,,0,0,,0,0,,0
Simple Workflow Service,0,0,0,0,0,0,0,0,0,0,0,0
Step Functions,0,0,0,0,0,0,0,0,0,0,0,0
CloudShell,,0,,,0,,0,,,,,
Direct Connect,,,,0,,,,,,,,
Glacier,,,,,,,,0,,,,0
CloudTrail,0,0,0,0,0,0,0,0,0,0,0,0
X-Ray,0,0,0,0,0,0,0,0,0,0,0,0
Cognito,0,,,,,0,0,0,0,0,0,0
CloudFormation,,,,,0,0,0,0,0,0,0,0
Total costs($),"137,824","123,022","119,581","123,329","123,670","126,668","136,458","129,232","129,995","134,409","128,644","143,573"
