Service Name,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
EC2-Other,"1,297,943","1,268,090","1,277,288","1,271,484","1,229,209","1,175,191","1,154,939","1,136,747","1,143,912","1,136,694","1,128,485","1,154,640"
EC2-Instances,"1,203,593","1,197,027","1,161,015","1,163,027","1,140,258","1,082,603","1,160,716","1,113,284","1,206,645","1,221,426","1,161,502","1,341,712"
Relational Database Service,"831,599","716,621","691,057","682,560","645,353","642,275","666,262","621,543","676,807","682,621","591,510","621,680"
S3,"450,707","450,605","430,283","415,843","410,577","408,346","419,460","412,265","428,046","437,104","436,023","462,684"
Elastic MapReduce,"226,164","211,732","213,138","215,573","210,338","204,394","212,328","201,009","207,327","206,253","188,314","214,175"
Elastic Load Balancing,"102,547","103,180","98,380","93,624","85,399","79,590","82,737","78,001","82,634","81,761","75,427","83,738"
ElastiCache,"93,003","97,565","111,307","108,315","101,278","96,388","72,925","68,001","71,285","81,059","67,276","70,277"
VPC,"71,006","70,854","69,618","71,325","70,749","68,763","71,859","68,692","70,285","69,760","63,404","70,531"
Bedrock,0,3,"9,670","21,291","26,713","55,298","89,806","114,750","144,224","189,769","5,002","4,857"
OpenSearch Service,"43,251","44,456","40,348","36,017","34,839","33,834","34,495","33,389","34,567","36,799","35,131","39,057"
CloudWatch,"30,188","29,290","29,136","29,187","30,370","32,037","33,179","32,689","33,646","35,591","30,405","33,162"
Savings Plans for  Compute usage,"84,907","82,419","51,796","57,096","41,891","46,131","2,601","2,376","1,114",352,0,0
DynamoDB,"28,607","29,761","27,104","28,861","30,054","30,959","29,303","30,132","31,773","29,680","28,757","30,513"
IoT,"22,482","23,194","22,816","23,924","24,752","24,910","26,927","25,949","27,917","28,561","27,016","30,960"
SageMaker,"18,998","21,639","21,024","17,603","22,579","18,335","14,707","13,297","17,124","16,029","14,974","18,322"
API Gateway,"23,876","16,500","15,984","16,639","18,711","15,827","17,410","16,462","17,773","18,013","17,279","19,676"
DocumentDB (with MongoDB compatibility),"17,907","18,247","16,562","13,278","11,030","22,937","19,105","18,386","18,878","18,727","17,109","16,209"
Elastic Container Service for Kubernetes,"21,349","17,745","16,414","17,460","18,284","15,515","14,744","15,104","19,305","17,661","15,000","17,017"
IoT Device Management,"13,597","12,748","10,303","10,963","11,160","12,256","13,862","12,165","10,941","14,597","11,625","11,774"
Elastic File System,"10,352","9,383","7,483","6,643","6,883","6,527","6,430","8,091","16,884","17,668","16,799","17,852"
Managed Streaming for Apache Kafka,"12,937","13,175","12,817","13,440","12,230","9,017","9,101","8,691","8,931","8,903","8,269","8,899"
Direct Connect,"7,895","8,224","7,390","6,943","6,041","5,636","8,286","5,615","5,970","6,083","5,788","3,832"
EC2 Container Registry (ECR),"5,233","5,567","5,847","6,103","6,274","6,321","6,439","6,593","6,794","6,990","7,226","7,358"
Route 53,"4,450","4,669","4,482","4,618","4,588","4,278","4,451","4,117","4,311","4,632","4,159","4,483"
Network Firewall,"4,831","4,424","4,434","3,711","3,609","3,235","3,353","3,257","3,365","3,359","3,035","2,792"
DynamoDB Accelerator (DAX),"3,274","3,383","3,274","3,363","3,296","3,190","3,296","3,190","3,296","3,296","2,977","3,296"
SUSE Linux Enterprise Server for SAP Applications 15 SP1,"2,449","2,531","2,448","2,529","2,530","2,602","2,531","2,450","2,534","2,536","2,285","2,536"
QuickSight,"2,238","2,241","2,308","2,290","2,235","2,271","2,296","2,313","2,331","2,449","2,605","2,661"
Lambda,"3,118","2,512","2,427","2,464","2,550","1,979","2,146","2,020","2,230","2,249","2,098","2,256"
Config,"1,078","1,300","1,289","2,168","2,387","1,808","2,023","2,074","2,517","3,263","3,428","2,631"
Textract,"6,746",900,460,778,780,"1,135","1,558","1,348","1,535","1,614","1,017","3,457"
Transfer Family,"1,512","1,752","1,928","1,862","1,563","1,546","1,786","1,728","1,786","1,786","1,614","1,786"
Athena,"2,237","2,124","2,085","1,756","1,950","1,953","2,061","1,894","1,647",791,686,724
Rekognition,"1,052","1,190","1,155","1,413","1,541","1,637","1,825","1,850","2,019","2,053","1,664","1,928"
VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),"1,555","1,607","1,555","1,606","1,606","1,555","1,606","1,555","1,607","1,607","1,452","1,607"
GuardDuty,0,75,"1,972","1,906","1,765","1,667","1,717","1,702","1,766","1,756","1,648","1,768"
WorkSpaces,"3,242",969,981,"1,113","1,327","1,452","1,145","1,575","2,106","1,203","1,130","1,017"
Systems Manager,0,0,0,0,0,0,0,"1,403","2,492","2,657","3,222","3,402"
Cost Explorer,"1,174",978,987,"1,144",908,"1,009","1,003",980,"1,096","1,048","1,170","1,067"
Secrets Manager,964,974,984,"1,025","1,028",991,"1,010","1,011","1,033","1,043","1,063","1,084"
Kinesis Firehose,"1,463","1,131",810,873,894,890,923,857,927,963,921,"1,058"
Backup,935,868,854,779,738,734,743,754,"1,003","1,278","1,307","1,314"
Glue,875,"2,098","1,044",916,425,630,752,873,"1,010",772,759,958
Key Management Service,803,898,847,843,882,915,931,926,944,954,979,"1,005"
SES,613,642,570,591,555,505,502,403,465,510,493,470
SQS,511,500,510,485,574,572,513,469,565,522,454,550
CloudTrail,192,927,"2,565",705,189,166,171,163,171,173,173,177
Kinesis,416,439,429,472,482,467,482,467,482,482,435,482
SUSE Linux Enterprise Server for SAP Applications 15 SP5,367,379,367,379,392,367,379,367,379,380,343,379
WAF,"2,459","1,189",77,86,86,77,71,56,54,54,54,85
Directory Service,303,312,303,313,313,303,313,302,313,312,282,312
Step Functions,590,858,599,78,14,14,16,16,14,14,12,13
Savings Plans for  Machine Learning,0,0,0,8,20,412,"1,451",0,0,0,0,0
Lightsail,1,1,1,11,121,103,87,104,103,131,213,280
Service Catalog,10,6,23,156,184,83,263,25,29,29,25,53
Global Accelerator,72,74,72,74,74,72,74,72,74,74,67,74
Certificate Manager,0,0,0,2,397,400,44,0,0,0,0,0
Redshift,831,1,1,1,1,1,1,1,1,1,1,1
Q,101,104,101,104,104,101,104,18,0,0,0,0
Resilience Hub,60,60,60,60,60,60,60,60,60,60,60,60
CloudFront,53,42,35,45,44,40,49,46,50,57,52,51
CloudWatch Events,61,71,61,77,71,55,33,16,18,19,18,20
DMS,134,138,46,0,0,0,0,0,0,0,0,0
Identity and Access Management Access Analyzer,0,0,0,0,0,0,0,0,0,82,92,93
CentOS 7 (ARM) with Support by Supported Images,0,0,62,137,0,0,0,0,0,0,0,0
MongoDB Atlas (pay-as-you-go),0,0,0,0,0,0,0,0,0,0,0,179
Elastic Container Service,9,14,13,20,14,16,15,14,13,17,14,16
SNS,13,16,20,16,22,14,11,7,8,9,10,24
End User Messaging,2,2,38,15,15,9,3,5,6,3,3,4
Elemental MediaLive,7,7,7,7,7,7,7,7,7,7,7,7
Websoft9 Applications Hosting Platform for Redash,0,0,0,0,0,0,0,0,72,0,0,0
Ubuntu Linux Desktop with Web Interface,0,10,29,28,0,0,0,0,0,0,0,0
Claude 3 Haiku ( Bedrock Edition),0,0,0,0,45,0,0,0,0,0,0,0
Claude 3 Sonnet ( Bedrock Edition),0,0,0,0,0,0,1,,6,8,13,16
Macie,3,3,3,3,3,3,3,3,3,3,3,3
MemoryDB,0,0,0,0,0,0,0,0,0,0,0,26
Cloud Native Database for MariaDB 10.6 (Ubuntu),0,0,0,0,0,0,0,25,0,0,0,0
IoT Device Defender,1,2,3,1,1,1,1,1,1,4,1,1
Claude 3.5 Sonnet ( Bedrock Edition),0,0,0,0,0,0,0,0,0,0,10,4
Security Hub,1,1,1,1,1,1,1,1,1,1,1,1
Amplify,0,0,0,0,0,0,0,0,0,0,0,10
CodePipeline,2,3,0,2,0,0,0,0,0,0,0,2
OpenJDK 8 (Java 8) on CentOS 7,7,0,0,0,0,0,0,0,0,0,0,0
Claude 3.7 Sonnet ( Bedrock Edition),0,0,0,0,0,0,0,0,0,0,0,6
CodeBuild,1,1,0,0,0,0,0,0,0,0,0,4
FSx,0,0,0,0,0,0,0,0,0,0,0,0
Compute Optimizer,0,0,0,0,0,0,0,0,0,0,0,0
DevOps Guru,1,0,0,0,0,0,0,0,0,0,0,0
CodeArtifact,0,0,0,0,0,0,0,0,0,0,0,0
Polly,0,0,0,0,0,0,0,0,0,0,0,0
Keyspaces (for Apache Cassandra),0,0,0,0,0,0,0,0,0,0,0,0
