Service,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
EC2-Other,"75,486","74,928","76,134","77,508","80,479","80,262","78,451","77,341","77,752","78,908","78,982","80,962"
EC2-Instances,"53,734","52,176","53,214","54,738","59,547","54,485","57,750","55,440","59,940","60,815","55,322","61,528"
ElastiCache,"40,008","41,353","37,325","37,078","36,987","35,856","29,212","28,287","29,246","34,550","26,913","28,821"
S3,"7,153","7,440","9,320","6,164","6,216","5,790","5,899","5,526","5,596","5,483","5,165","5,370"
CloudWatch,"3,091","3,114","3,368","3,220","3,215","3,100","3,194","3,102","3,199","3,195","2,929","3,215"
Elastic Load Balancing,"2,161","2,375","2,345","2,336","2,398","2,290","2,466","2,322","2,494","2,538","2,317","2,619"
OpenSearch Service,"11,270","11,539","4,735",,,,,,,,,
VPC,"1,701","1,749","1,691","1,770","1,765","1,719","1,787","1,724","1,721","1,721","1,557","1,723"
Managed Streaming for Apache Kafka,389,399,389,399,399,388,399,388,399,399,367,399
DynamoDB,245,253,244,253,253,245,146,53,55,55,50,55
Relational Database Service,146,148,153,155,155,153,155,153,155,155,148,155
Elastic Container Service for Kubernetes,144,149,144,149,149,144,149,144,149,149,134,149
Direct Connect,508,236,132,46,,,,,,,,
Lambda,63,75,58,63,71,68,82,73,78,78,67,77
Elastic MapReduce,101,104,146,111,38,,,,,,,
Secrets Manager,39,39,37,41,39,38,40,40,39,39,45,43
EC2 Container Registry (ECR),24,27,32,35,36,37,37,38,38,38,39,40
Elastic File System,13,13,13,13,13,13,13,13,13,13,13,13
Key Management Service,4,4,4,4,4,5,5,5,5,6,6,6
Step Functions,3,3,2,2,2,2,2,2,2,2,2,2
Cost Explorer,1,1,1,1,0,2,2,1,2,2,2,2
Route 53,0,0,1,1,1,1,1,1,1,1,1,1
Service Catalog,0,0,0,1,1,0,1,0,0,0,0,0
SQS,0,0,0,0,0,0,0,0,0,0,0,0
CloudWatch Events,0,0,0,0,0,0,0,0,0,0,0,0
SNS,0,0,0,0,0,0,0,0,0,0,0,0
Glue,0,0,0,0,0,0,0,0,0,0,0,0
Location Service,0,0,0,0,0,0,0,0,0,0,0,0
Simple Workflow Service,0,0,0,0,0,0,0,0,0,0,0,0
Systems Manager,,,,,,,,0,,,,
CloudShell,,,0,,,,,0,,,,
Glacier,,,,,,0,,,,,,0
CloudTrail,0,0,0,0,0,0,0,0,0,0,0,0
Migration Hub Refactor Spaces,0,0,0,0,,,,,,,,
X-Ray,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation,,,,,,,0,0,0,0,0,
Total costs ($),"196,285","196,124","189,489","184,088","191,768","184,598","179,792","174,653","180,884","188,148","174,060","185,179"
