account_id,Service,month,spend
628412515026,S3,Apr-2024,154077.0
628412515026,EC2-Instances,Apr-2024,139487.0
628412515026,Elastic MapReduce,Apr-2024,92037.0
628412515026,EC2-Other,Apr-2024,29274.0
628412515026,VPC,Apr-2024,3230.0
628412515026,Relational Database Service,Apr-2024,1612.0
628412515026,Elastic File System,Apr-2024,2161.0
628412515026,CloudWatch,Apr-2024,785.0
628412515026,DynamoDB,Apr-2024,460.0
628412515026,Elastic Load Balancing,Apr-2024,560.0
628412515026,SES,Apr-2024,165.0
628412515026,Elastic Container Service for Kubernetes,Apr-2024,72.0
628412515026,OpenSearch Service,Apr-2024,79.0
628412515026,Lambda,Apr-2024,53.0
628412515026,Glue,Apr-2024,49.0
628412515026,ElastiCache,Apr-2024,35.0
628412515026,Key Management Service,Apr-2024,26.0
628412515026,Cost Explorer,Apr-2024,19.0
628412515026,SageMaker,Apr-2024,21.0
628412515026,EC2 Container Registry (ECR),Apr-2024,14.0
628412515026,API Gateway,Apr-2024,13.0
628412515026,Secrets Manager,Apr-2024,12.0
628412515026,SNS,Apr-2024,0.0
628412515026,SQS,Apr-2024,0.0
628412515026,Service Catalog,Apr-2024,0.0
628412515026,Route 53,Apr-2024,0.0
628412515026,CloudWatch Events,Apr-2024,0.0
628412515026,Athena,Apr-2024,0.0
628412515026,Direct Connect,Apr-2024,0.0
628412515026,CloudTrail,Apr-2024,0.0
628412515026,Simple Workflow Service,Apr-2024,0.0
628412515026,Step Functions,Apr-2024,0.0
628412515026,CloudShell,Apr-2024,0.0
628412515026,X-Ray,Apr-2024,0.0
628412515026,CloudFormation,Apr-2024,0.0
628412515026,S3,May-2024,150929.0
628412515026,EC2-Instances,May-2024,137521.0
628412515026,Elastic MapReduce,May-2024,83817.0
628412515026,EC2-Other,May-2024,24707.0
628412515026,VPC,May-2024,3374.0
628412515026,Relational Database Service,May-2024,1665.0
628412515026,Elastic File System,May-2024,1610.0
628412515026,CloudWatch,May-2024,788.0
628412515026,DynamoDB,May-2024,475.0
628412515026,Elastic Load Balancing,May-2024,467.0
628412515026,SES,May-2024,199.0
628412515026,Elastic Container Service for Kubernetes,May-2024,247.0
628412515026,OpenSearch Service,May-2024,82.0
628412515026,Lambda,May-2024,37.0
628412515026,Glue,May-2024,50.0
628412515026,ElastiCache,May-2024,36.0
628412515026,Key Management Service,May-2024,26.0
628412515026,Cost Explorer,May-2024,23.0
628412515026,SageMaker,May-2024,22.0
628412515026,EC2 Container Registry (ECR),May-2024,17.0
628412515026,API Gateway,May-2024,13.0
628412515026,Secrets Manager,May-2024,13.0
628412515026,SNS,May-2024,0.0
628412515026,SQS,May-2024,0.0
628412515026,Service Catalog,May-2024,0.0
628412515026,Route 53,May-2024,0.0
628412515026,CloudWatch Events,May-2024,0.0
