service_id,service_name,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
1,EC2-Other,"1,297,942.7709","1,268,089.9788","1,277,287.6970","1,271,483.6963","1,229,208.7434","1,175,191.2645","1,154,939.2021","1,136,747.1307","1,143,911.5622","1,136,694.4520","1,128,484.5300","1,154,640.0685"
2,EC2-Instances,"1,203,592.9482","1,197,027.0565","1,161,015.1628","1,163,027.4759","1,140,257.6417","1,082,603.4934","1,160,716.2421","1,113,284.0283","1,206,645.4041","1,221,425.7435","1,161,502.2234","1,341,711.9115"
3,Relational Database Service,"831,598.5196","716,620.7693","691,056.9570","682,560.2490","645,352.8106","642,274.6417","666,261.7595","621,542.6176","676,806.6838","682,620.8780","591,509.6470","621,679.8312"
4,S3,"450,706.9683","450,605.1613","430,282.9165","415,843.1180","410,577.4753","408,346.4327","419,459.5530","412,264.5571","428,046.2501","437,104.2713","436,023.2795","462,684.3669"
5,Elastic MapReduce,"226,164.0942","211,732.0976","213,138.1513","215,573.4256","210,338.3416","204,394.3796","212,327.6791","201,009.2494","207,326.6744","206,252.6592","188,314.0295","214,175.0891"
6,Elastic Load Balancing,"102,546.8776","103,180.0615","98,379.7851","93,623.6835","85,398.9077","79,590.0021","82,736.7846","78,001.2508","82,633.6966","81,761.1068","75,426.6902","83,737.8585"
7,ElastiCache,"93,002.6558","97,565.4079","111,306.6402","108,315.2860","101,278.1355","96,387.7261","72,924.9649","68,001.1165","71,284.6702","81,058.6726","67,275.8476","70,276.6129"
8,VPC,"71,005.5788","70,854.3711","69,618.1455","71,324.7380","70,749.1775","68,762.5041","71,858.7829","68,692.1184","70,284.6308","69,760.0651","63,403.8760","70,530.7605"
9,Bedrock,0.0000,3.0335,"9,670.4400","21,290.9808","26,713.4109","55,298.4892","89,805.6264","114,750.1143","144,224.4675","189,769.4062","5,001.5608","4,857.3112"
10,OpenSearch Service,"43,251.0815","44,455.9007","40,348.3360","36,017.1317","34,838.5949","33,834.3100","34,495.3363","33,388.8988","34,567.0443","36,798.7591","35,130.8705","39,057.1037"
11,CloudWatch,"30,188.0983","29,289.6080","29,136.2533","29,187.3413","30,369.7232","32,036.5707","33,178.9575","32,689.3818","33,646.4607","35,591.0717","30,404.7702","33,161.8877"
12,Savings Plans for  Compute usage,"84,907.4247","82,418.6210","51,795.5441","57,095.6174","41,891.0340","46,131.0254","2,601.4362","2,375.7954","1,113.7596",352.3908,0.0000,0.0000
13,DynamoDB,"28,606.8844","29,761.1335","27,103.5372","28,860.9421","30,053.8973","30,958.5198","29,302.5918","30,131.9821","31,773.3723","29,679.6633","28,756.9836","30,512.6611"
14,IoT,"22,481.6546","23,194.2015","22,815.6314","23,924.1162","24,752.4759","24,910.0112","26,926.9809","25,948.6442","27,916.9534","28,561.4785","27,015.6214","30,960.2370"
15,SageMaker,"18,997.9011","21,638.9274","21,023.6510","17,603.2384","22,578.9374","18,334.9869","14,707.2308","13,297.3926","17,124.2662","16,028.5595","14,973.5930","18,322.3770"
16,API Gateway,"23,876.3479","16,499.8177","15,983.9624","16,639.4715","18,710.8844","15,826.8196","17,409.6531","16,462.2161","17,772.9384","18,012.7345","17,279.1626","19,675.7365"
17,DocumentDB (with MongoDB compatibility),"17,906.7594","18,247.0823","16,562.1680","13,277.7476","11,029.9205","22,936.9522","19,105.2597","18,386.0127","18,877.7312","18,726.7681","17,108.5814","16,209.3513"
18,Elastic Container Service for Kubernetes,"21,348.8600","17,744.7998","16,413.8334","17,459.6514","18,284.1019","15,514.9528","14,744.4972","15,104.2957","19,305.2647","17,660.5135","14,999.5473","17,016.6165"
19,IoT Device Management,"13,597.3420","12,747.8637","10,302.7001","10,963.1224","11,159.5841","12,255.6271","13,861.8588","12,164.7816","10,940.7867","14,597.4813","11,625.4523","11,774.3560"
20,Elastic File System,"10,351.7790","9,383.0063","7,483.4083","6,643.4565","6,883.4491","6,526.7466","6,430.2828","8,090.6576","16,884.4765","17,667.5100","16,798.8486","17,852.1382"
21,Managed Streaming for Apache Kafka,"12,936.9511","13,175.4708","12,817.1388","13,440.1410","12,229.6151","9,016.9082","9,100.9602","8,691.2600","8,930.7598","8,902.7680","8,268.6520","8,899.1542"
22,Direct Connect,"7,895.0317","8,224.1138","7,390.0040","6,942.6563","6,040.9082","5,635.5526","8,286.1084","5,614.8150","5,969.6556","6,082.9135","5,787.6525","3,831.9056"
23,EC2 Container Registry (ECR),"5,232.7571","5,567.1685","5,847.2566","6,103.2310","6,273.6570","6,321.0109","6,438.6655","6,593.0424","6,794.4687","6,990.4700","7,225.6669","7,358.3634"
24,Route 53,"4,450.3339","4,668.5527","4,482.0493","4,617.6625","4,587.7933","4,278.0986","4,450.6409","4,117.1413","4,310.5388","4,632.2227","4,159.3406","4,482.9522"
25,Network Firewall,"4,831.4165","4,424.2978","4,434.0108","3,711.2841","3,609.0729","3,235.0433","3,353.1500","3,256.9753","3,365.4273","3,358.8909","3,034.9171","2,791.5153"
26,DynamoDB Accelerator (DAX),"3,273.8400","3,382.9680","3,273.8400","3,362.8440","3,295.9200","3,189.6000","3,295.9200","3,189.6000","3,295.9200","3,295.9200","2,976.9600","3,295.9200"
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,"2,448.7390","2,531.1210","2,448.0000","2,529.0900","2,529.6000","2,601.9350","2,531.3000","2,449.7010","2,534.0640","2,535.5120","2,284.7280","2,535.6030"
