"Service","EC2-Other($)","Tax($)","Savings Plans for  Compute usage($)","Relational Database Service($)","S3($)","EC2-Instances($)","Support (Enterprise)($)","Elastic MapReduce($)","Elastic Load Balancing($)","ElastiCache($)","Out of Cycle Billing - DataTransfer($)","VPC($)","Bedrock($)","OpenSearch Service($)","CloudWatch($)","DynamoDB($)","IoT($)","Elastic Container Service for Kubernetes($)","OCB Skill Builder($)","API Gateway($)","DocumentDB (with MongoDB compatibility)($)","SageMaker($)","Elastic File System($)","IoT Device Management($)","Managed Streaming for Apache Kafka($)","EC2 Container Registry (ECR)($)","Direct Connect($)","OCBLateFee($)","Route 53($)","SUSE Linux Enterprise Server for SAP Applications 15 SP1($)","Savings Plans for  Machine Learning($)","Network Firewall($)","DynamoDB Accelerator (DAX)($)","QuickSight($)","VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG)($)","Config($)","Transfer Family($)","Athena($)","Lambda($)","Textract($)","Rekognition($)","WorkSpaces($)","GuardDuty($)","Systems Manager($)","Kinesis Firehose($)","Backup($)","Glue($)","Secrets Manager($)","Cost Explorer($)","Key Management Service($)","SUSE Linux Enterprise Server for SAP Applications 15 SP5($)","CloudTrail($)","SES($)","SQS($)","Kinesis($)","WAF($)","APN Annual Program Fee($)","Directory Service($)","Step Functions($)","Lightsail($)","Redshift($)","Certificate Manager($)","Global Accelerator($)","Q($)","Service Catalog($)","Resilience Hub($)","CloudWatch Events($)","CloudFront($)","DMS($)","CentOS 7 (ARM) with Support by Supported Images($)","MongoDB Atlas (pay-as-you-go)($)","Registrar($)","Identity and Access Management Access Analyzer($)","SNS($)","End User Messaging($)","Websoft9 Applications Hosting Platform for Redash($)","Ubuntu Linux Desktop with Web Interface($)","Elastic Container Service($)","Elemental MediaLive($)","Claude 3 Haiku ( Bedrock Edition)($)","Claude 3 Sonnet ( Bedrock Edition)($)","Cloud Native Database for MariaDB 10.6 (Ubuntu)($)","Macie($)","IoT Device Defender($)","Claude 3.5 Sonnet ( Bedrock Edition)($)","Security Hub($)","OpenJDK 8 (Java 8) on CentOS 7($)","CodePipeline($)","FSx($)","DevOps Guru($)","Compute Optimizer($)","CodeBuild($)","CodeArtifact($)","Polly($)","Keyspaces (for Apache Cassandra)($)","CentOS 7.9 (ARM) with support by Fleximg - Kernel 5.10($)","Transcribe($)","Claude 3.5 Haiku ( Bedrock Edition)($)","MemoryDB($)","Location Service($)","Simple Workflow Service($)","Budgets($)","Glacier($)","Amplify($)","IoT Analytics($)","CloudShell($)","Migration Hub Refactor Spaces($)","X-Ray($)","Cognito($)","SimpleDB($)","CentOS 7.9 (X86-64) with support by Fleximg - Kernel 5.15($)","CloudFormation($)","CodeCommit($)","Elastic Container Registry Public($)","Claude 3.7 Sonnet ( Bedrock Edition)($)","S3 Glacier Deep Archive($)","Refund($)","Data Transfer($)","Total costs($)"
"Service total","10459488.100175763","6582715.71","6335862.55","4867664.368074795","4322377.04244227","2056601.6679251238","2042088.56","1723813.6435649244","784631.6082565916","636418.505960858","564671.31865","523248.9567062183","425041.427451585","304432.1717389896","259275.8708600298","221765.1866852099","189153.3012346162","143139.3277711588","136945","132965.4476116085","129794.7924359395","103806.9859449346","93424.107531134","90266.0558682675","88603.4222920812","52864.5607176409","49187.477417465","40181.34","33227.7999728342","29959.393","29484","27946.0020143452","24403.059","19250.3804810317","18918.36","17958.07125","14147.3369822372","13384.8740625","12275.9966384415","12235.876725","11680.2638864991","11322.9384646125","10693.5062001072","9881.1341455499","8088.1904172774","7923.5236110352","7760.7074537668","7587.1183655227","7434.0188059354","6743.140074926","4481.37","4200.3239203954","4095.0787503904","3872.6562390764","3790.3497159225","3144.107738557","2500","2290.5980056571","1657.9609975084","800.8991221747","629.278585974","598.901244","545.447186488","499.695","467.57235","450","365.3272830985","347.8922193738","238.9637728711","198.8","179","145","130.803","106.5060427051","77.4667511256","71.765","66.68","65.3819780301","54.54","45.71436725","27.741825","25.11","22.048506","11.132985165","9.903264","7.2975","7.14","5.25","2.4135681067","1.93236","1.8326603432","1.4025","0.7971892575","0.629685","0.2904843439","0.16","0.1236816","0.114596","0.1065439342","0.056794875","0.0544459455","0.0375","0.0089966268","0.0011576388","0.0003539835","0.0003491701","0","0","0","0","0","0","0","0","0","-2813","-212394.87","-316412.0816124324","43207357.913473986"
"2024-04-01","1004424.7734802372","678672.77","777254.4","623698.9448908553","410899.1284909403","153725.5711584943","218326.2","169623.0706188159","86723.5426812139","69751.9918823212","31459.15","53421.5286465135","","32438.3820860642","22641.0737490911","21455.1633379114","16884.1983198347","16011.6449688751","","17913.9743779228","13430.06954303","11008.4258362962","7763.8342476152","10198.0065208575","9791.3163841025","3924.5822293259","5921.2737878307","","3337.7503923811","2448.739","3240","3623.5624107138","2455.38","1678.441255128","1555.2","808.254","1134.066398745","1677.98563875","538.4826364236","5059.3572","788.8974135","2431.3778907","0.0385037331","0.0458415","1097.0291039847","701.0035294343","656.4073966411","722.906492605","880.7743685161","602.6035576074","367.2","144.169928118","464.8869437398","383.5127204206","312.157445776","1844.3857508782","","226.9182280971","442.2864630126","0.614318847","623.071355178","","54.0018374564","100.8","7.578375","45","45.5917606922","39.664240728","100.4401096439","","","","","9.9873277876","1.699500048","","","0.174233993","5.4","","","","2.29338","0.83231073","","0.7455","7.14","1.5","0.219415284","0.91851","0.1814515221","0.6615","0.0825600702","","0.0243120848","","","","0.010654416","0.005022","0.0049806999","","0.0008657258","0.0001047696","0.000035397","0.0000034437","0","0","0","0","","","","","","","-54581.55","","4453453.9314140716"
"2024-05-01","981429.8806905695","654591.01","790842.24","537465.6330149898","410140.6359898202","133610.8886022374","210620.11","158799.073209118","87538.8310336111","73174.055918384","37739.57","53288.1680367622","2.27512872","33341.9908475387","21967.206035792","22320.850111457","17419.5620346077","13308.5998767174","","12382.9742656571","13685.311737616","12881.1955522467","7037.2546866623","9560.8978042875","9949.8368278185","4175.4009926316","6168.0853431829","","3501.4144913669","2531.121","3348","3318.2233666656","2537.226","1680.8605732224","1607.04","975.279","1313.7467574695","1592.91715125","472.8584166295","675.030375","892.6449134995","726.70612764","56.4388775813","0.04650375","847.9815738139","651.0933174922","1573.8537348209","730.8234549224","733.3876408383","673.426005954","379.44","695.0441253916","487.5557118616","375.1144174411","329.3986224376","891.9187170796","","234.1213655337","643.8442665539","0.614318847","0.6207191256","","55.8010058494","78.12","4.698225","45","52.9762752099","31.416451217","103.7881266817","","","60","","12.0879510679","1.642499976","","9.84","0.7455336174","5.58","","","","2.369826","1.62764889","","0.744","","2.25","0.2194152813","0.12636","0.1874999085","0.612","0.0747605395","","0.0235803645","","0.0045","","0.0106543776","0.00520125","0.0052641082","","0.0009387047","0.0001123938","0.0000353989","0.0000005117","0","0","","0","","","","","","","-52655.03","","4295734.2571529637"
"2024-06-01","987844.1852974934","637744.71","733518.72","518288.5693213876","390177.1407752429","141930.3755980459","204422.95","159853.6134558638","83102.3312875642","83479.980185587","29539.1593","52334.1201851891","7252.830037485","30261.3105386011","21852.1899438805","20327.6529185109","17134.4852993604","12310.3750235433","","11995.9253373021","12421.6259803768","12527.7382248335","5612.5562003804","7727.02507002","9654.736508256","4385.4605174533","5542.5029785422","","3361.5370048741","2448","3240","3325.5080871826","2455.38","1730.8064100286","1555.2","966.9015","1445.7681451023","1563.9745725","749.362246872","345.373875","866.2336635","736.05","1478.6362466597","0.0426613081","607.4972441032","640.6313822033","783.0431084709","737.7175597788","739.9930477016","635.5361427104","367.2","1923.6890402909","433.7278093639","382.2897073993","321.639494192","57.7936482383","","226.8962173562","449.5537905811","0.614318847","0.620729928","","54.0033984053","75.6","17.026275","45","46.0870664727","26.4766547179","34.7355365455","61.6","","71","0.0015","15.1965026171","28.658250048","","28.76","2.7819935119","5.4","","","","2.273652","2.15864697","","0.72","","0","0.219415284","0.09615","0.1814515221","0.072","0.0776407477","","0.0308288596","0.16","","","0.010654416","0.004842375","0.0045964152","","0.0008466639","0.0001021648","0.000035397","0.0000019404","0","0","","0","0","","","","","","-51105.74","","4185232.0856811858"
"2024-07-01","984827.6939881006","660542.22","750487.6799999999","511854.1075085689","375004.7827843969","131358.6889740727","205638.18","161680.0692318128","78501.7082046916","81235.6240107751","37428.47","53616.1031500805","15968.23562376","27012.9072766142","21890.5059948208","21645.7065444694","17966.992703412","13094.7385868308","136945","12494.8290498269","9958.3107240562","9860.7086441673","4982.5923596617","8222.3418035625","10109.843478736","4577.4238704083","5206.9922421766","","3463.2468493964","2529.09","3348","2783.463057043","2522.133","1717.5879358564","1605.96","1626.0525","1396.5948704266","1317.06396375","764.0720782036","583.653375","1059.7484294995","834.915","1429.8565420509","0.0484772483","654.6195131495","584.1496579549","687.2616113047","768.9695444136","858.0385279831","632.1702439245","379.44","528.501957902","449.4696499152","364.1113569082","354.1669916506","64.2151273866","","234.3886194686","58.7376747535","8.068831147","0.6207191256","1.219227","55.8010607058","78.12","117.372675","45","57.5879350316","33.8224055519","","137.2","","","","12.4046550286","11.417249976","","28.08","2.3144758045","5.58","0.08876575","","","2.216934","0.45264777","","0.744","","1.5","0.2194152813","0.14244","0.1874999085","0","0.0760352271","0.331221","0.0292257003","","0.1191816","","0.0106543776","0.005200875","0.005359383","","0.0009452717","0.0001570287","0.0000353989","0.0000006952","0","0","","0","0","0","","","","","-51409.55","","4334903.3722638297"
"2024-08-01","953383.8926384932","528794.16","234417.28","484008.8960050556","371471.2882295491","119852.7649746932","150625.2975","157753.7562245102","70924.6329339905","75958.6016545036","45225.72111","53165.8576849083","20035.0581846225","26129.0034301902","22777.2923986536","22540.4229770173","18589.5796915573","13713.0763942316","","14050.3408896871","8272.4403417514","13601.189868708","5162.5868146936","8369.6880407475","9208.1685509764","4705.2427839852","4530.6811284898","","3440.8449751187","2529.6","3348","2706.804697408","2471.94","1676.4899755272","1605.96","1790.20875","1172.0754025375","1462.27172625","991.5113005165","585.33525","1155.7872884995","994.988295285","1323.9274993876","0.0497942483","670.1929429725","553.8134365296","318.5898824046","771.1186727811","681.3464048867","661.393031466","392.19","141.7228811937","422.1597471135","430.1613225174","361.6314766046","64.2972001584","","234.3866518667","10.694718762","90.5677429662","0.6207191256","297.682017","55.8064118869","78.12","138.108075","45","52.8831457987","33.1530184966","","","","","0.0015","16.9377509983","11.045249976","","","3.7987086741","5.58","45.38716525","","","2.216934","0.65720094","","0.744","","0","0.2194152813","0.10752","0.1874999085","0.057","0.0767300699","0.166092","0.0255659656","","","","0.0106543776","0.012895875","0.0051007072","","0.0009238186","0.0001028723","0.0000353989","0.0000006394","","0","","0","","0","0","","","","","","3471115.592952077"
"2024-09-01","910185.2800426587","593147.01","640094.4","481706.0326862227","369715.7163511516","106913.5227056703","149096.4375","153295.7847012174","65934.8335733667","72290.794595115","51830.33","51680.0311311919","41473.8668806875","25375.7737655249","24027.4280039443","23218.8898368485","18708.0869161292","11636.2146139353","","11881.590546544","17202.7141200276","10819.8694001688","4895.0599693976","9191.720293575","6808.0566648156","4740.8620932478","4226.6644863423","","3208.5739245841","2601.935","3240","2426.282457425","2392.2","1703.4150125034","1555.2","1356.19275","1159.1266173106","1464.67555125","768.6824626321","851.383125","1227.644601","1088.786412015","1250.1205083907","0.043612749","667.4730952375","550.6570628125","472.5262945766","743.2019041451","756.4775616613","686.2413189493","367.2","124.6626387444","384.0778487735","429.2869526738","349.9673568583","57.8255648057","","226.8863732408","10.6189465599","77.3381446252","0.620729928","300","54.0023179929","75.6","62.06865","45","41.5443805996","29.7070169946","","","","","","10.2301815118","6.821250048","","","2.1863084129","5.4","","","","2.0961","0.77639553","","0.72","","0","0.219415284","0.05163","0.1814515221","0","0.076022655","0.132372","0.0435748478","","","","0.010654416","0.005022","0.0043805074","","0.0006882245","0.0001048989","0.000035397","0.0000002817","","0","0","0","","0","","","","","","","3892933.1726593587"
"2024-10-01","120595.8357434306","39143.77","0","0.212284849","19146.3935679362","5858.4948941797","151068.2925","-0.000000002","25566.0300503891","0.000000321","56444.86","436.4594146637","0","0.1699756913","-0.0000849001","-0.0000044514","113.0991153964","-0","","42.0905938882","0.0000002209","0.0000005048","-0.0000170463","-0","160.1336672488","133.9169564912","0.0000000667","","-0.0001105392","2531.3","0","-0.0000000081","-0","-0.0000654096","1605.96","0","0.0000000008","0","13.5671012518","0","0","0","-0.0000005135","0.0000000031","-0.0000000569","-0.0000000845","0.0000001657","-0.0000125239","0","-0.0000639915","379.44","-0.0000000652","21.0991598216","0.0000690672","-0.0000000155","-0.0000822073","","-0.000000003","0.0054063093","0","-0.0000000744","0","-0.0000000698","-0","0","0","0.000235834","0.0000000262","","","","","","0.1599663547","0.000001116","","","0.0268584189","0","","1.316763","","0","0","","0","","","0.0000000001","0","-0.0000000185","0","0.0023877675","0","-0.0000002486","","","","-0.0000000217","-0","0.0050705016","","0.0007356301","-0.0000000011","0.0000000031","0.0000109486","","0","0","0","","0","","","","-2813","","-159322.449157139","261127.1929321068"
"2024-11-01","878764.3660313741","438218.72","0","247442.8290439168","375046.8646932426","175454.6997708049","146656.53","150756.9370439103","64317.3432260752","15826.9893904382","53805.22","51638.0149554333","86062.5857273625","20707.1355293497","24517.031963399","22598.9865646207","19488.6815834035","11328.2218105025","","12355.5777745583","13789.5095071905","6733.0444225779","6067.9932147099","9123.5861720175","6549.416623691","4944.798389202","4211.1112288768","","3087.8559374631","2449.701","0","2442.7314852352","2392.2","1533.9249693234","1555.2","1555.446","1296.1920167467","1420.4244975","1426.4900282305","1010.9565","1387.6152885","1181.0574073275","1276.5227791205","1051.916526249","642.5700958487","565.6615624947","644.32921889","758.2541441666","298.59","694.1386883513","367.2","122.5755164381","304.4512990338","352.0641591502","349.9345071337","42.3552180435","","226.7356344587","12.2283339217","78.331234767","0.620729928","","54.0013883035","13.335","18.31095","45","12.2242409976","34.4661470723","","","","","","5.5414330301","3.553500048","","","10.2272681742","5.4","","","25.11","2.14542","0.38599737","","0.72","","","0.219415284","0.07755","0.1814515221","0","0.0783702356","","0.028209439","","","","0.010654416","0.006906","0.0044646344","","0.0006418086","0.000103399","0.000035397","0.0000008711","","0","0","0","","0","","","","","","-0.0003161124","2877165.4982768692"
"2024-12-01","886420.7958075095","621523.01","583317.65","507605.0647578192","387245.4156222893","221639.3995964115","152972.4675","155495.0057816902","68191.4067842938","53463.5026278589","57751.10824","52845.0595842424","108168.3506225775","25925.3254805079","25234.8455566745","23830.0292060194","20967.0326692254","14478.9484916231","","13341.0316812619","14158.2983658389","9495.1996196289","12663.3573970765","8205.58999716","6730.566807812","5095.8570004978","4477.2417203813","","3232.9041339186","2534.064","3348","2524.0704610412","2471.94","1748.4899743752","1607.04","1888.0755","1339.7184360997","1234.8843675","1619.960199624","1151.2953","1513.9707884995","1579.254831645","1324.5546625747","1868.7680589983","695.0482521555","752.0158750486","757.7394193762","774.570941748","821.9842724998","707.8503195","379.44","128.2207752533","352.1369529262","423.8722129564","361.6165707395","40.1888838738","","234.4160979811","10.7039684722","77.1689172938","0.6207191256","","55.8016313496","","22.108275","45","13.5691488518","37.3893276958","","","","","","5.7451827756","4.710749976","71.765","","9.4167152755","5.58","0.0806015","5.951091","","2.216934","0.599171985","","0.744","","","0.2194152813","0.06633","0.1874999085","","0.0823428555","","0.0264485706","","","0.1129808","0.0106543776","0.003991125","0.0043717645","","0.0006045296","0.0001187197","0.0000353989","0.0000006698","","0","0","0","","0","","","","","","","4079027.5384350364"
