"Service","EC2-Other($)","EC2-Instances($)","Elastic MapReduce($)","S3($)","SageMaker($)","Relational Database Service($)","VPC($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","EC2 Container Registry (ECR)($)","QuickSight($)","Athena($)","Key Management Service($)","ElastiCache($)","Cost Explorer($)","DynamoDB($)","Elastic File System($)","Route 53($)","Glue($)","Secrets Manager($)","Backup($)","Direct Connect($)","SQS($)","Systems Manager($)","Service Catalog($)","CodeArtifact($)","Lambda($)","SNS($)","FSx($)","CloudWatch Events($)","Location Service($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","CloudTrail($)","Migration Hub Refactor Spaces($)","SimpleDB($)","Total costs($)"
"Service total","38246.190181381","38216.4051593507","12902.1844180697","3288.9973478256","2419.4085717474","2082.2751634018","822.0775204303","619.784663757","584.627170056","370.324239024","97.4323774689","95.2000007616","46.77374","33.7009023751","32.592","23.04","20.9008620771","20.3917509035","19.4137756","10.1351023014","7.1301499911","1.5851647246","0.4140146729","0.1135032","0.0325","0.0308","0.0160107967","0.0122947273","0.0077807116","0.0043302417","0.002273","0.0008965","0.0000098919","0.0000055081","0.0000042587","2.93e-8","0","0","0","99961.204684785"
"2024-04-01","2268.6181856273","2232.8627594187","761.7070783562","204.2800233726","181.7177915322","121.3337737439","46.1144474678","36.6733195959","33.6","21.721625046","5.6335911196","5.6000000448","13.337995","1.9398970152","1.92","1.18","1.1721603388","1.1813751094","2.357312","0.5503958552","0.4172583328","0.0932449838","0.0243960735","0.006122","0.00173","0","0.0001001624","0.0001417559","0.0000232559","0.0002547201","0.000202","0.00005","0.0000001566","0.00000009","0.0000002453","","0","0","0","5944.0452544199"
"2024-04-02","2278.7944056765","2239.2453778162","766.3640231175","193.932286844","168.9113680404","121.3672987183","45.3615813843","39.5113417238","33.6","21.5286235528","5.4566579584","5.6000000448","23.233295","1.9402060152","1.92","1.35","1.1721603392","1.1819602367","1.9496868","0.5771321352","0.4179483328","0.0932449838","0.0244386927","0.0063008","0.001755","0.0049","0.0140031188","0.000722141","0.0000013133","0.0002547201","0.000187","0.0000695","0.0000001566","0.00000012","0.0000002453","","0","0","0","5953.5612315277"
"2024-04-03","2280.930334744","2270.7271527457","766.6910637018","189.4635773194","153.6956813293","121.3755563777","45.3981829267","39.7656608306","33.6","21.4375801591","7.2989957618","5.6000000448","","1.9407190152","1.92","1.19","1.172160341","1.1829332649","0.9816448","0.5520416952","0.4004911106","0.0932449838","0.0244517756","0.0065876","0.00175","0.0042","0.0000745268","0.0004691934","0.0000022624","0.0002547201","0.000235","0.00003","0.0000002088","0.0000001213","0.0000002604","","0","0","0","5945.4550768204"
"2024-04-04","2291.4204974726","2269.5819748793","770.8059774744","189.9021139476","152.842140161","121.4049832401","45.3892174363","39.016605932","33.6","21.4882624242","10.3975330376","5.6000000448","3.55162","1.9412290152","1.896","1.17","1.1721603425","1.183181615","1.0063716","0.5429984152","0.4023611106","0.0932449838","0.0244256115","0.0066208","0.00184","0.0014","0.0002350481","0.0018598907","0.0000261725","0.0002547201","0.000185","0.00004","0.0000003915","0.000000225","0.0000002525","","0","0","0","5964.4453612441"
"2024-04-05","2297.524622979","2241.6404149721","768.2920186368","188.1520659264","165.2138961947","121.4188057545","45.5702538807","38.3006518222","33.6","21.9165603556","5.647473195","5.6000000448","1.616185","1.9410010152","1.92","1.17","1.1721603414","1.1837599237","1.0226644","0.5745886952","0.4213433328","0.0932449838","0.0244893287","0.0066596","0.001895","0.0014","0.0000130313","0.0040315154","0.0004745171","0.0002547201","0.000207","0.0000695","0.000000522","0.0000003158","0.0000002453","","0","0","0","5944.0312067496"
"2024-04-06","2307.4925435195","2237.1697383161","764.6358080928","186.7355759805","151.7722878236","121.4336053327","45.413056372","36.9619975583","33.6","22.1209901763","3.8896041653","5.6000000448","3.897285","1.9412770152","1.92","1.17","1.1721603432","1.1853642135","1.0565382","0.7304676552","0.4205783328","0.0932449838","0.0243472599","0.0063328","0.0019","0.0014","0","0.0003744402","0.0005664431","0.0002547201","0.000096","0.00005","0.0000006264","0.000000329","0.0000002453","","0","0","0","5930.4474459896"
"2024-04-07","2308.4294551628","2230.7267264429","765.0003037152","189.2019651427","113.6859493088","121.4552426839","45.2949893713","36.9518011925","33.6","22.0564832323","4.1159411028","5.6000000448","","1.9426120152","1.92","1.17","1.1721603424","1.1843367438","1.020376","0.6399419392","0.4212733328","0.0932449838","0.0243485208","0.0063732","0.001925","0.0014","0","0.0004485361","0.0006268464","0.0002547201","0.000073","0.0000695","0.0000006786","0.00000037","0.0000002604","","0","0","0","5885.7183233896"
"2024-04-08","2307.461162261","2259.3793907064","767.2545770736","201.2400620667","166.8547875697","121.4826676098","45.4821871265","38.4164480795","33.6","22.1482704278","6.3795997267","5.6000000448","0.0004","1.9409020152","1.92","1.17","1.1721603445","1.1843648622","1.025558","0.5799949264","0.4223633328","0.0932449838","0.0243944746","0.0067896","0.00194","0.0014","0.0000152204","0.0004106273","0.0004759694","0.0002547201","0.000071","0.00003","0.0000006786","0.000000372","0.0000002525","","0","0","0","5984.8439240723"
"2024-04-09","2281.1705598591","2291.6847445696","776.9166783168","206.829068769","154.0221640078","121.5042419427","45.3989687747","38.799643308","33.6","21.8694675739","6.8839121319","5.6000000448","0.0025","1.9362910152","1.92","1.31","1.172160342","1.1847280931","1.0051672","0.6619487014","0.4222683328","0.0932449838","0.0244016381","0.0068828","0.00196","0.0014","0.000038598","0.0005413335","0.0005960948","0.0002547201","0.000134","0.00004","0.0000007308","0.000000402","0.00000025","","0","0","0","5994.0240085339"
