"Service","EC2-Instances($)","Elastic MapReduce($)","S3($)","EC2-Other($)","Relational Database Service($)","VPC($)","Transfer Family($)","CloudWatch($)","Elastic Load Balancing($)","Cost Explorer($)","Route 53($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Service Catalog($)","Glue($)","Secrets Manager($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Systems Manager($)","Total costs($)"
"Service total","13675.5826904451","9527.2200508856","4732.7416328334","3272.9858798295","396.8283888682","209.5320043066","122.4","12.6308037643","10.852803028","0.94","0.2","0.070467","0.0644522904","0.0308","0.0268390056","0.001945","0.0015435","0.0001572","0.0000282247","0.00001473","0","0","31962.1105009114"
"2024-04-01","788.4010253115","555.9444685968","329.087635772","189.6519270084","23.3532907293","12.3120102317","7.2","0.7506176776","0.6384003088","0.07","0.2","0.004185","0.0037913112","0","0.0000960008","0.000035","0","0.0000032","0.0000013881","0.0000007365","0","","1907.6174882727"
"2024-04-02","801.000663103","556.0532828592","233.7488931558","193.9331717523","23.355224549","12.3058822535","7.2","0.7546709008","0.6384003207","0.14","","0.00441","0.0037913112","0.0056","0.0000810008","0.00003","0","0.000002","0.0000013881","0.0000007365","0","","1829.1441053309"
"2024-04-03","761.8646372797","532.76865216","221.7339899244","193.1892091501","23.3985883998","12.4377959515","7.2","0.7564838091","0.6384001052","0.09","","0.004308","0.0037913112","0.0056","0.0001230008","0.00006","0","0.000004","0.0000018508","0.0000007365","0","","1754.0916456791"
"2024-04-04","793.8492709514","553.4627187984","225.306550352","186.1060372469","23.3439032566","12.3034319303","7.2","0.75579383","0.6384002745","0.05","","0.003573","0.0037913112","0.0014","0.0000930008","0.000085","0","0.0000064","0.0000013881","0.000000982","0","","1803.0250577222"
"2024-04-05","828.6902809274","563.2923445152","231.774241302","195.3916607078","23.3892961728","12.3697898969","7.2","0.7564679859","0.638400064","0.04","","0.00441","0.0037913112","0.0014","0.0001280008","0.0001","0.000099","0.0000088","0.0000018508","0.0000007365","0","","1863.5524212713"
"2024-04-06","708.6599916313","499.697605536","204.8400307694","169.3543685622","23.3835199619","12.280175702","7.2","0.7553032174","0.6384000137","0.04","","0.004308","0.0037913112","0.0014","0.0001060008","0.00012","0.000108","0.0000096","0.0000013881","0.000000982","0","","1626.859240676"
"2024-04-07","764.8090462279","527.3267486208","211.9788596002","188.308707116","23.3793730857","12.2931586943","7.2","0.7276373849","0.6384001006","0.04","","0.004308","0.0037913112","0.0014","0.0001120008","0.00013","0.000108","0.0000108","0.0000018508","0.000000982","0","","1736.7117937752"
"2024-04-08","908.2188368578","630.42050976","380.3062378059","228.0410624214","23.3729570247","12.3755844554","7.2","0.7205039988","0.6384002745","0.04","","0.004305","0.0037913112","0.0014","0.002601","0.00013","0.0001215","0.0000108","0.0000018508","0.0000007365","0","","2191.346454797"
"2024-04-09","934.7254054974","655.3707061776","472.4077594964","241.3199633965","23.360340524","12.3758923564","7.2","0.7323445532","0.6384","0.04","","0.004308","0.0037913112","0.0014","0.002582","0.000135","0.0001215","0.0000108","0.0000018508","0.000000982","0","","2348.1831634455"
"2024-04-10","908.6894728734","648.711073896","587.3330427555","236.5241296395","23.3036449402","12.3643942876","7.2","0.7311670087","0.6384","0.04","","0.003468","0.0037913112","0.0014","0.002594","0.000135","0.000117","0.0000104","0.0000013881","0.000000982","0","","2425.5468434822"
"2024-04-11","865.9334085577","608.1073893312","313.0372432891","216.4403332906","23.3483027531","12.3400932027","7.2","0.7305387871","0.6384000041","0.04","","0.003885","0.0037913112","0.0014","0.002608","0.000135","0.00009","0.0000112","0.0000018508","0.0000007365","0","","2047.8276323141"
"2024-04-12","824.177350695","574.4917247856","209.9984937704","182.8175701729","23.3379355503","12.3111013584","7.2","0.7374754067","0.6384003093","0.05","","0.004098","0.0037913112","0.0014","0.002594","0.00016","0.000117","0.000012","0.0000018508","0.000000982","0","","1835.7722271926"
"2024-04-13","805.183164546","567.1773261888","206.4637391045","189.8983534354","23.2837332748","12.3136797688","7.2","0.738487339","0.6384002104","0.04","","0.00441","0.0037913112","0.0014","0.002581","0.000145","0.000126","0.0000116","0.0000013881","0.000000982","0","","1812.949351149"
"2024-04-14","746.2034187823","528.1818853632","208.1523271231","191.5135203622","23.3257032918","12.3114999295","7.2","0.7339149879","0.6384002745","0.04","","0.004308","0.0037913112","0.0014","0.002604","0.00013","0.000135","0.0000116","0.0000018508","0.000000982","0","","1718.3130528585"
"2024-04-15","883.3709036775","598.5646259568","223.0849355867","172.2853233926","23.3203460715","12.3165068041","7.2","0.7400473415","0.6384002095","0.04","","0.00441","0.0037913112","0.0014","0.00259","0.000155","0.000135","0.000012","0.0000018508","0.0000007365","0","0","1921.5735849387"
"2024-04-16","724.8732669782","503.2990588904","250.289219599","163.1089270504","23.3100578773","12.2759612699","7.2","0.7478338483","0.6384004072","0.09","","0.003468","0.0037913112","0.0014","0.00266","0.00015","0.0001395","0.000012","0.0000018508","0.000000982","0","","1685.8443495647"
"2024-04-17","626.9325465476","424.3499294496","223.198433427","135.1016151243","23.2621714054","12.2450462136","7.2","0.7615156874","0.638400151","0.05","","0.004305","0.0037913112","0.0014","0.002686","0.00011","0.000126","0.00001","0.0000013881","0.0000007365","0","","1453.7520884417"
