"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","Route 53($)","VPC($)","Elastic MapReduce($)","CloudWatch($)","DynamoDB($)","Elastic File System($)","Direct Connect($)","Elastic Container Service for Kubernetes($)","SageMaker($)","QuickSight($)","EC2 Container Registry (ECR)($)","WAF($)","Elastic Container Service($)","Cost Explorer($)","Step Functions($)","CloudFront($)","Key Management Service($)","Glue($)","Secrets Manager($)","SQS($)","Lambda($)","SNS($)","FSx($)","Backup($)","CloudWatch Events($)","Service Catalog($)","Athena($)","SES($)","Location Service($)","Simple Workflow Service($)","CloudTrail($)","Migration Hub Refactor Spaces($)","SimpleDB($)","Total costs($)"
"Service total","126196.1750243469","47211.2600822861","8214.5710428898","6785.0026332995","1496.9416001788","932.8302469581","553.5328018956","280.2537847241","263.5416715639","211.3752952549","136.0381034893","81.6","22.6398641874","13.6000001088","12.8619889416","11.9000000136","5.1536857446","4.64","4.5206853396","2.6160604561","2.5366396848","1.6609205619","1.6121927823","1.2829968839","0.3011299954","0.2509556376","0.1614501951","0.1300754248","0.05844","0.0427","0.005725","0.0002001234","0.0002","0.0000275953","0","0","0","192449.0982255632"
"2024-04-01","7570.8558275526","2830.9094409009","477.5621805802","425.5931293775","146.5100475775","52.6669782824","27.1445432976","16.8492926675","61.8198785551","11.1707231159","8.8229952037","4.8","1.442676638","0.8000000064","0.7565875848","0.7000000008","0.0746744607","0.29","0.2398567461","0.02293","0.1495063344","0.000105","0.0942583336","0.0752194","0.0143087266","0.0028539892","0.0094970703","0.0076524366","0.003562","0","","","0.00002","0.0000013921","0","","","11639.3887472305"
"2024-04-02","7749.1534220843","2848.8977915595","471.0915758732","432.5077033532","146.0310280775","52.6607037527","28.7732148624","16.9196212538","12.6075847944","11.3101470453","8.8787984965","4.8","1.3353288705","0.8000000064","0.7565875848","0.7000000008","0.1321072351","0.32","0.2578687477","0.0303189342","0.1503523344","0.000084","0.0944983336","0.075323","0.0174493311","0.0056060637","0.0094970703","0.0076525413","0.00387","0.0035","","0.0001000581","","0.0000013937","0","0","","11788.3317366585"
"2024-04-03","7653.2667244043","2861.4885753667","476.7476964658","414.6359836139","125.0243341775","56.4149170991","30.3796606482","17.1896024726","12.6077302272","11.4521786945","8.5693987558","4.8","1.3386666672","0.8000000064","0.7565875848","0.7000000008","0.1755268656","0.32","0.2432197493","0.0329059155","0.1500823344","0.000106","0.0944283336","0.0753155","0.0177200058","0.0139164203","0.0094970703","0.0076520729","0.003384","0.0014","0.00025","0.0001000653","0.00001","0.000000931","0","0","","11677.3175714488"
"2024-04-04","7643.5084553801","2845.0790574534","534.8917292971","409.6819927646","80.0121350775","58.6540514785","31.6720305156","17.0175127987","12.6074393616","11.5935870188","8.3050107089","4.8","1.3386666672","0.8000000064","0.7565875848","0.7000000008","0.4397516067","0.26","0.2631697605","0.1235552219","0.1504303344","0.000095","0.0908944447","0.0753951","0.0181353141","0.0158297251","0.0094970703","0.0076517991","0.003384","0.0014","","","0.00003","0.0000018628","0","0","0","11662.8774773536"
"2024-04-05","7564.6626486577","2820.1914027679","465.6535537353","409.6546138741","79.8822533775","53.4547927204","34.8817523688","16.6659618577","12.6077302272","11.7475756261","8.2259765731","4.8","1.3386666672","0.8000000064","0.7565875848","0.7000000008","0.4775476171","0.26","0.2996500156","0.0201407","0.1507063344","0.000127","0.0949683336","0.0754472","0.017927693","0.0183501903","0.0094970703","0.0076515307","0.003896","0.0014","","","","0.0000014057","0","0","0","11487.4608271357"
"2024-04-06","7429.9631182233","2779.4630712241","470.3620273575","408.4912048709","78.4118491775","52.3555576893","26.8530671952","16.6113661158","12.6074393616","11.8987527547","8.1360096176","4.8","1.3386666672","0.8000000064","0.7565875848","0.7000000008","0.0737900704","0.26","0.2649937781","0.0144616","0.1498603344","0.000117","0.0950733336","0.0754988","0.0152769901","0.0143153558","0.0094970703","0.0076515104","0.003148","0.0028","","","0.00002","0.0000014041","0","","0","11304.5352230939"
"2024-04-07","7410.4900039143","2774.5184332521","459.7710801128","393.2438132705","73.1457108775","52.715827644","26.9952233184","16.2562756895","12.6075847944","12.0667241305","7.8725179276","4.8","1.3386666672","0.8000000064","0.7565875848","0.7000000008","","0.26","0.2537650236","0.0279589409","0.1510573344","0.000107","0.0948433336","0.0754908","0.0150246624","0.0142019029","0.0094970703","0.0076515104","0.002672","0.0028","","","","0.0000018708","0","0","","11248.9935206401"
"2024-04-08","7378.8596543178","2801.5540057026","460.1099034374","405.3152870844","76.8585217775","53.5687834465","38.4401511792","17.0126545312","12.6077302272","12.2320031272","8.1291007541","4.8","1.4415013727","0.8000000064","0.7565875848","0.7000000008","0.6162635641","0.26","0.2683000236","0.0238944881","0.1472953344","0.1659879992","0.0952383336","0.0755311","0.0173179426","0.0168429733","0.0094970703","0.0076512845","0.003694","0.0028","","","0.00001","0.0000018716","0","0","0","11274.8962105351"
"2024-04-09","7317.6291234643","2792.8999115408","489.0360008769","398.5657715867","76.9953553775","53.7080521881","35.5721025384","16.8224566537","12.6075847944","12.3907143559","7.9306525333","4.8","1.3386666672","0.8000000064","0.7565875848","0.7000000008","0.2435910878","0.23","0.251998022","0.0249200545","0.1495423344","0.1659819992","0.0953183336","0.0755115","0.0165890084","0.0180626239","0.0094970703","0.0076512729","0.003498","0.0028","","","0.00003","0.0000014089","0","0","","11223.8479728851"
