"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","API Gateway($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","ElastiCache($)","DynamoDB($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","Lambda($)","Route 53($)","Service Catalog($)","SNS($)","CloudWatch Events($)","Glue($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Total costs($)"
"Service total","75514.3532721151","14937.9046457428","7739.7551059924","2415.1360536257","2168.6463739233","772.6469756992","502.5414777366","467.1709486952","179.2123439544","0.724614059","0.6922856712","0.544100557","0.51","0.48375136","0.3879502","0.0385","0.0229315751","0.007143","0.0021759912","0.0001508","0.0000282247","0.0000149764","0","104700.7808438993"
"2024-04-01","4449.3725094393","977.4811557583","452.3668162868","229.7948336707","125.8724678541","52.4647807792","33.293181063","31.0820478149","10.8705064752","0.0426243501","0.0404673336","0.0272016664","0.1","0.0225472085","0.309126","0.0084","0.0003034859","0.000356","0.00009","0.000002","0.0000009254","0.0000007374","0","6363.1494188488"
"2024-04-02","4570.1564768321","1177.385408065","452.3523675218","192.0839121154","127.1625497742","54.6682168031","33.6234466787","31.7608663217","10.5275064752","0.0426243519","0.0407343336","0.0272316664","0.05","0.0291398579","0.0092716","0.007","0.0005270806","0.000376","0.000096","0.0000032","0.0000013881","0.0000007365","0","6649.9277568022"
"2024-04-03","4482.67461504","903.6042973173","451.9352352985","173.3717289088","128.4689955347","49.9386308795","32.3198172489","29.4016956376","10.5765064752","0.0426243501","0.0408453336","0.0261255553","0.06","0.028986081","0.0073722","0.0035","0.0003439023","0.000356","0.000094","0.0000032","0.0000013881","0.0000007365","0","6262.5017750874"
"2024-04-04","4414.1141456452","854.8790790497","452.1867597216","138.8900960185","128.4523854743","47.3691591212","31.3614861909","28.4829674119","10.5765281136","0.0426243519","0.0408363336","0.0262505553","0.02","0.0294453858","0.004528","0.0014","0.0005235872","0.000376","0.000106","0.000006","0.0000018508","0.000000982","0","6106.4787057935"
"2024-04-05","4476.3432735354","867.048686474","452.3219738189","138.2115789308","128.8765022054","47.2203703041","29.8542339325","28.4476447987","10.57657788","0.0426243519","0.0402243336","0.0274466664","0.02","0.0287821857","0.0044628","0.0014","0.0007550613","0.000356","0.000116","0.0000092","0.0000018508","0.000000982","0","6179.0670213115"
"2024-04-06","4438.4042892421","848.2924615472","452.3792952651","139.6700755626","127.7393559957","47.589761414","29.8431473496","28.5379208887","10.576726548","0.0426243501","0.0408363336","0.0275066664","0.02","0.0282748618","0.0045948","0.0014","0.0009309456","0.000396","0.000119","0.0000092","0.0000013881","0.0000007365","0","6123.1997280951"
"2024-04-07","4612.3950327085","867.0027657711","486.2624431049","138.5348829454","127.9878567327","47.6152964288","30.2394021752","28.7493865175","10.7727120544","0.0426243501","0.0411273336","0.0284616664","0.02","0.033072633","0.004366","0.0014","0.002230537","0.00103","0.0001159992","0.0000108","0.0000018508","0.000000982","0","6349.7342205906"
"2024-04-08","4663.3155207115","864.9812725034","506.5421678686","140.9267322274","128.7636278047","48.4102013113","30.6500043462","29.0359085198","9.6455753432","0.0426243519","0.0409413336","0.0279666664","0.02","0.0286949703","0.0045106","0.0014","0.0022232565","0.000679","0.0001149992","0.0000112","0.0000018508","0.000000982","0","6422.4401798468"
"2024-04-09","4491.2354551493","858.6193281731","451.8984708207","133.4482996871","128.0063460937","45.7823129367","29.617922463","27.701889052","10.8215753432","0.0426243519","0.0395883336","0.0275266664","0.02","0.0285382098","0.0045798","0.0014","0.0009112951","0.000364","0.0001269992","0.0000104","0.0000013881","0.0000007365","0","6177.2972718994"
"2024-04-10","4523.3120775666","845.2306899403","451.8389113366","135.0646635056","127.6546319414","46.2059690293","29.5854777087","27.5409527115","10.7234913456","0.0426243519","0.0398853336","0.0274616664","0.02","0.0281453776","0.0045262","0.0014","0.0006484948","0.000344","0.0001059992","0.0000104","0.0000018508","0.000000982","0","6197.3220197419"
"2024-04-11","4466.542306642","847.0283352273","451.9353227795","124.0067887884","127.6242682833","41.3688793024","28.8302354236","26.2408244064","10.3314913456","0.0426243501","0.0408453336","0.0275016664","0.02","0.0279711239","0.0043326","0.0014","0.0007411709","0.000352","0.0001169992","0.0000104","0.0000018508","0.000000982","0","6124.0743506754"
"2024-04-12","4509.352516783","838.968714764","451.8794153237","127.7086100086","127.4272018039","42.4569143593","28.8911991271","26.4283941443","10.5273607016","0.0426243519","0.0408813336","0.0354744448","0.03","0.0285730648","0.0044188","0.0014","0.0015192609","0.00036","0.0001289992","0.0000116","0.0000018508","0.0000007365","0","6163.825721458"
"2024-04-13","4448.548132219","844.9688861401","451.6236081953","124.396751033","127.2855159515","41.4196865148","28.0130591972","25.379666513","10.4294131488","0.0426243501","0.0408453336","0.0409400008","0.02","0.0281662365","0.0042466","0.0014","0.0008798319","0.000364","0.0001089992","0.000012","0.0000018508","0.000000982","0","6102.2443090976"
"2024-04-14","4374.1492904348","828.9377790252","451.736936881","121.2344100652","126.6547515351","40.4556806496","27.5167226843","24.6067698105","10.5274131488","0.0426243501","0.0410193336","0.0410300008","0.02","0.0281613854","0.0043438","0.0014","0.0009412894","0.00036","0.0001269992","0.0000112","0.0000013881","0.000000982","0","6005.9997749631"
"2024-04-15","4439.9037794664","843.0373300109","448.9230554709","121.670323007","127.07391346","40.5967086527","27.237173778","24.9994033831","10.723274664","0.0426243777","0.0409263336","0.0418400008","0.02","0.0284667317","0.0043814","0.0014","0.0009074496","0.000372","0.0002029992","0.0000116","0.0000018508","0.000000982","0","6084.3460976184"
"2024-04-16","4163.6376332229","831.6577307396","434.4413472307","120.1187527228","126.780182507","40.1252730961","25.8640792052","24.6354588615","10.331274664","0.0426243816","0.0410553336","0.0417100008","0.02","0.0279549759","0.004371","0.0014","0.0048015224","0.000318","0.0001999992","0.0000076","0.0000018508","0.0000007365","0","5777.7761776506"
"2024-04-17","3990.896217477","838.7807252363","439.1309790678","116.0036144284","126.8158209716","38.9591341171","25.8008891645","24.1391519021","10.674410228","0.0426243857","0.0412263336","0.0424250008","0.03","0.0288310704","0.004518","0.0014","0.0037434037","0.000384","0.0002059992","0.0000108","0.0000018508","0.000000982","0","5611.396314419"
