"Service","EC2-Instances($)","EC2-Other($)","VPC($)","CloudWatch($)","Elastic Load Balancing($)","S3($)","Elastic Container Service for Kubernetes($)","Kinesis($)","Secrets Manager($)","DynamoDB($)","SQS($)","Cost Explorer($)","Route 53($)","Key Management Service($)","Service Catalog($)","Lambda($)","Glue($)","SNS($)","CloudWatch Events($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Total costs($)"
"Service total","11089.5457455909","1392.2520229457","169.84789857","58.8413215787","52.1048305753","42.6685308891","40.8","7.1400485255","3.1996133198","2.5364757639","0.487838837","0.44","0.1","0.045333","0.0287","0.0036994513","0.002147","0.0009831366","0.000226","0.000027762","0.0000149755","0","12860.0454579213"
"2024-04-01","611.3623933347","71.3622794434","9.8546292878","4.4584714451","2.3100157245","1.3833225993","2.4","0.4200004995","0.1558999992","0.1491876037","0.0149116","0.02","0.1","0.002244","0","0.0002470526","0.000082","0","","0.0000013881","0.0000007365","0","703.9936867144"
"2024-04-02","602.6265931024","71.4265222391","9.8528006684","4.464388115","2.3123336783","1.383919882","2.4","0.4200002405","0.1559699992","0.1491860779","0.0149268","0.06","","0.002838","0.0056","0.0002077524","0.000089","0","","0.0000013881","0.0000007365","0","695.2753776798"
"2024-04-03","602.6886063075","71.7180603469","9.8950852179","4.4591814516","2.3202048305","1.4329610569","2.4","0.420001221","0.1525316659","0.1491922331","0.0149684","0.06","","0.002901","0.0035","0.0002551101","0.000093","0","","0.0000013881","0.0000007365","0","695.717543966"
"2024-04-04","614.4459837806","74.6827788603","9.9673907207","4.4577614547","2.3490668058","1.5028280242","2.4","0.420000555","0.1612116659","0.1491882919","0.0150176146","0.02","","0.002919","0.0014","0.0002037723","0.000127","0.0000549869","0.000033","0.0000013881","0.000000982","0","710.575967903"
"2024-04-05","680.4103188034","82.9544318167","10.0694487077","4.4581814579","2.5105505381","0.7947076848","2.4","0.4200003145","0.1789849992","0.1491868795","0.0152788","0.02","","0.002517","0.0014","0.0002644729","0.000093","0.0000836353","0.000078","0.0000018508","0.0000007365","0","784.3855286973"
"2024-04-06","680.4368083939","87.4101073852","9.9825639139","4.4582614611","3.5100595474","1.2645260148","2.4","0.420000222","0.1818699992","0.1491863876","0.0290428","0.02","","0.002763","0.0014","0.0001795997","0.000128","0.0000837533","0.000066","0.0000018508","0.000000982","0","790.2670493109"
"2024-04-07","664.2214680616","85.3541209897","10.088113831","4.4580914643","3.4238992301","1.5049243705","2.4","0.4200001665","0.1816599992","0.1491860778","0.0359984","0.02","","0.002829","0.0014","0.0002093467","0.000114","0.000065","","0.0000018508","0.000000982","0","772.2620827702"
"2024-04-08","663.6417013858","95.5306617503","10.0990712379","4.4580914676","4.5151013796","1.4661806926","2.4","0.4200015355","0.1881049992","0.1491946873","0.0362224","0.02","","0.002361","0.0014","0.0002174691","0.000105","0.000065","","0.0000013881","0.0000007365","0","782.9284821295"
"2024-04-09","664.5180959705","86.5971260914","10.0977201329","4.4580914708","3.5265684369","1.6223560226","2.4","0.4200018685","0.1817699992","0.1491970831","0.0375748","0.02","","0.002763","0.0014","0.0002277753","0.000127","0.0000675","","0.0000018508","0.000000982","0","774.033089984"
"2024-04-10","664.4242776134","84.137809038","10.1374047682","4.4580914739","3.2178482116","2.5753343281","2.4","0.420001221","0.1818449992","0.1491934038","0.0383844","0.02","","0.002898","0.0014","0.0002013612","0.000129","0.0000625","","0.0000018508","0.000000982","0","772.1648831512"
"2024-04-11","664.4263290593","83.7636742658","10.1433724449","4.4580914771","3.183655877","3.1770851567","2.4","0.420003811","0.1817849992","0.1492098661","0.0387456","0.02","","0.002832","0.0014","0.0002114256","0.000093","0.000065","","0.0000013881","0.000000982","0","772.3665563528"
"2024-04-12","670.3579738304","83.8948023785","10.0351633398","1.6322047986","3.209133617","3.5082758899","2.4","0.4200031635","0.2024499992","0.1492067348","0.03884","0.03","","0.001725","0.0014","0.0002609267","0.00013","0.0000725","","0.0000018508","0.0000007365","0","775.8816447657"
"2024-04-13","664.5630663746","82.0727852802","9.9011686347","1.6314248018","2.9499956853","3.7119041491","2.4","0.420003589","0.2178449992","0.1492099697","0.0389872224","0.02","","0.002832","0.0014","0.0001858418","0.000106","0.0000746468","0.000003","0.0000018508","0.000000982","0","768.0809950274"
"2024-04-14","664.4320820899","82.0068802626","9.9033014929","1.631424805","2.9785498866","4.0609874695","2.4","0.420003996","0.2178149992","0.1492133184","0.039084","0.02","","0.002346","0.0014","0.0002370213","0.000125","0.0000725","","0.0000013881","0.000000982","0","768.2635252115"
"2024-04-15","664.4384303056","83.053855364","9.9136534999","1.6341448082","3.1801818353","4.3310855766","2.4","0.42000629","0.2178549992","0.149228793","0.0391784","0.02","","0.002901","0.0014","0.000188994","0.000204","0.0000725","","0.0000018508","0.000000982","0","769.8023891986"
"2024-04-16","657.499674916","82.7848932836","9.9169700501","1.6313848114","3.2415510616","4.5019318081","2.4","0.420008843","0.2204999992","0.1492464611","0.0238988","0.02","","0.002832","0.0014","0.0002303079","0.000207","0.0000681125","0.000031","0.0000018508","0.0000007365","0","762.8148310418"
"2024-04-17","655.0519422613","83.50123415","9.9900406213","1.6340348146","3.3661142297","4.4462001634","2.4","0.420010989","0.2215149992","0.1492618951","0.0167788","0.03","","0.002832","0.0014","0.0001712217","0.000195","0.0000755018","0.000015","0.0000013881","0.000000982","0","761.2318240172"
