"Service","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","Elastic Container Service for Kubernetes($)","S3($)","CloudWatch($)","Glue($)","ElastiCache($)","DynamoDB($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Route 53($)","Cost Explorer($)","Service Catalog($)","SQS($)","Elastic File System($)","Lambda($)","SNS($)","CloudWatch Events($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","CodeArtifact($)","CloudFormation($)","Total costs($)"
"Service total","12684.3977822316","5729.3823611325","904.0320830311","391.8252517937","367.4578922362","163.2","134.8528043933","70.6978006437","49.6743881267","17.136","15.5186947527","15.4377691224","13.6711059594","4.2680894624","2.9563768","2.27","0.1533","0.0588436066","0.0370791531","0.0125941786","0.0010915517","0.000646","0.0000171612","0.0000169806","0","0","0","20567.0419883175"
"2025-04-01","778.6617626332","343.3003737256","61.4701195179","23.0508146602","21.4888414529","9.6","10.3257614054","5.4273082618","2.84354796","1.008","0.912864396","0.9075750072","0.8026270456","0.2534383344","0.8740816","0.12","0","0.0034564","0.0038005115","0.0008110222","0.0000151927","0.000306","0.0000004767","0.0000005001","0","0","","1261.0555061034"
"2025-04-02","763.5778246005","331.3985958693","48.908030944","23.0484584098","21.3065127328","9.6","7.0788613227","5.359299209","2.85601448","1.008","0.912864396","0.9081240072","0.8030557512","0.2430777788","0.1871756","0.14","0.0105","0.0034604","0.0023313544","0.0006912147","0.0000743209","0.00003","0.0000014301","0.0000010002","0","0","","1217.3529848216"
"2025-04-03","753.7425795031","333.8921323589","48.7509001525","23.0417734254","21.3144646315","9.6","7.8695740187","5.1563222304","2.92834652","1.008","0.912864396","0.9076890072","0.8030557512","0.2535383344","0.093635","0.13","0.0105","0.0034624","0.0019100829","0.0007344472","0.0000702766","0.000051","0.0000009534","0.0000012474","0","0","","1210.4216057368"
"2025-04-04","764.2585079857","358.9686215865","52.3341833963","23.04234539","21.3051761041","9.6","7.4508902181","5.1479309525","2.89285304","1.008","0.912864396","0.9072450072","0.8030557512","0.2534333344","0.1280202","0.12","0.0063","0.00346","0.0019421896","0.0007548188","0.0000343208","0.000027","0.0000004767","0.0000007473","0","0","","1249.1456469152"
"2025-04-05","752.6870648343","336.4018097984","57.7697293235","23.0494571292","21.4364845834","9.6","7.7807244473","5.2067048583","2.84176068","1.008","0.912864396","0.9080100072","0.8030557512","0.2535383344","0.0885042","0.13","0.007","0.0034604","0.0019330724","0.0008090088","0.0000439684","0.000016","0.0000009534","0.0000005001","0","0","","1220.8909722463"
"2025-04-06","736.6175587899","335.1818135221","47.0789507328","23.0499727284","21.3417146848","9.6","7.6763694877","5.010729093","3.00121756","1.008","0.912864396","0.9080100072","0.8030557512","0.2535333344","0.1327144","0.13","0.0105","0.003462","0.0019323207","0.0007228013","0.0000689703","0.000016","0.0000009534","0.0000010002","0","0","","1192.7232085334"
"2025-04-07","738.6695339064","324.8390515792","47.0103333101","23.0517432923","21.3211459166","9.6","7.7585985895","5.071971153","2.9652336734","1.008","0.912864396","0.9074820072","0.8030557512","0.2536383344","0.0938416","0.15","0.0105","0.0034608","0.0019293195","0.0007409721","0.0000752324","0.000018","0.0000014301","0.0000010002","0","0","","1184.4332202636"
"2025-04-08","750.6767841754","343.4324783762","59.483409144","23.0506989489","21.3264769181","9.6","7.6582569692","3.4893979938","2.9238337133","1.008","0.912864396","0.9084480072","0.8040628867","0.2430777788","0.163171","0.18","0.0105","0.0034604","0.0021873783","0.0007375031","0.0001014772","0.00002","0.0000014301","0.0000010002","0","0","","1225.8779694965"
"2025-04-09","745.038580406","336.7044368415","48.5841476401","23.0526336476","21.3088464364","9.6","7.7027867506","3.4424251957","2.9757379533","1.008","0.9128643975","0.9072480072","0.8046321973","0.2428827788","0.0941034","0.13","0.007","0.003462","0.0021382965","0.0007117771","0.0000097253","0.000016","0.0000004767","0.0000007416","0","0","","1202.5226646692"
"2025-04-10","761.191959894","365.0704480057","79.6697914622","23.0515215964","22.4773873468","9.6","7.6129647029","3.4311486866","2.9130943534","1.008","0.9128643984","0.9086550072","0.8046323064","0.2535333344","0.1087674","0.11","0.0084","0.0034616066","0.0021106774","0.0007816773","0.0000533842","0.000018","0.0000009534","0.0000009945","0","0","","1279.1395957878"
"2025-04-11","737.2907194249","333.9486101323","48.7046034283","23.0454990569","22.9931517214","9.6","7.8830583907","3.4045193752","2.8996568333","1.008","0.9128643984","0.9087750072","0.8048963624","0.2536383344","0.1341502","0.16","0.0119","0.0034628","0.0021194554","0.0006535686","0.0001014771","0.00002","0.0000014301","0.0000012531","0","0","","1193.9704026497"
"2025-04-12","736.2339170425","337.6585878857","58.7067663659","23.0455409271","22.3183828413","9.6","7.7567288173","3.5746782886","2.9039693533","1.008","0.9128643984","0.9080070072","0.8051171736","0.2535333344","0.0943434","0.12","0.0105","0.003462","0.0021394484","0.0007452045","0.0000666119","0.000008","0.0000009534","0.0000010002","0","0","","1205.9173600537"
"2025-04-13","734.1921752158","339.0404277367","49.6729621546","23.0455880684","21.9040814843","9.6","7.5764125806","3.358107102","2.7565051534","1.008","0.9128643984","0.9090990072","0.8051171736","0.2536383344","0.3540744","0.13","0.0112","0.0034608","0.0021665238","0.0007240721","0.0000993637","0.000012","0.0000014301","0.0000015003","0","0","","1195.5367184994"
"2025-04-14","727.488725941","319.9406085734","44.8815310714","23.0474350366","21.4802884261","9.6","7.4088470663","3.3412162091","2.8891126333","1.008","0.9128643984","0.9080070072","0.8051171736","0.2535333344","0.1048676","0.16","0.0112","0.0034616","0.0020299096","0.0006977502","0.0000912253","0.000016","0.0000009534","0.0000012531","0","0","","1164.2476531624"
"2025-04-15","733.2202052583","323.4459547592","56.3776257806","23.0497481439","21.3083112263","9.6","10.4693037983","3.4157451608","2.9254107533","1.008","0.9128643984","0.9088680072","0.8051171736","0.2428827788","0.103333","0.11","0.0084","0.0034632","0.0020118671","0.0007312438","0.000058858","0.000018","0.0000004767","0.0000012474","0","0","0","1187.9180551317"
"2025-04-16","740.1465517486","333.7901818678","48.0073171328","23.0506850019","21.507994252","9.6","7.3975145199","3.4310350655","3.0915514334","1.008","0.9128643984","0.9080040072","0.8054176417","0.2535333344","0.1050572","0.12","0.0084","0.0034636","0.0020363655","0.0007506198","0.0000423443","0.000018","0.0000009534","0.0000009945","0","0","","1194.1504204811"
"2025-04-17","730.703330872","332.368228514","46.6216814741","23.0513363307","21.3186314774","9.6","7.4461513081","3.4292618084","3.0665420333","1.008","0.9128643984","0.9085230072","0.8060343177","0.2536383344","0.0965366","0.13","0.0105","0.0034632","0.0023603801","0.000796477","0.0000848026","0.000036","0.0000014301","0.0000010002","0","0","","1181.7380037657"
