"Service","S3($)","EC2-Instances($)","Relational Database Service($)","EC2-Other($)","VPC($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","Elastic File System($)","CloudWatch($)","Config($)","Key Management Service($)","Backup($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","DynamoDB($)","Lambda($)","Service Catalog($)","Route 53($)","CloudWatch Events($)","SNS($)","Glue($)","SQS($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","15844.8326506715","13275.3369894018","2823.6616807826","784.2007830044","511.2384970957","133.7824430212","81.6","65.9355871342","57.4624788923","19.074","6.3913583832","2.8371973255","2.66","0.9466333992","0.9008827688","0.3636999312","0.1487001986","0.1456","0.1","0.037698","0.006063454","0.0009486608","0.0001036","0.0000152444","0.000014301","0","0","0","33611.6640252704"
"2025-04-01","1148.1205381266","1014.9808213454","169.1192017254","46.7327882067","32.0877704424","8.2536791347","4.8","7.4687296393","4.6335648066","1.122","0.3765516696","0.1672136986","0.09","0.0556843176","0.0534783328","0.0213941136","0.0055035119","0","0.1","0.00197","0.0000629584","0","0.0000004","0.0000004999","0.0000004767","0","0","","2438.1909534062"
"2025-04-02","1116.4921052355","958.2069880814","161.1921878882","48.0112162218","31.2960278242","8.1017706326","4.8","3.5344405566","6.4385563852","1.122","0.3753246696","0.1659375608","0.13","0.0556843176","0.0513161106","0.0213941136","0.0091728936","0","","0.002139","0.0000874502","0","0.0000056","0.0000009998","0.0000009534","0","0","","2340.0063564947"
"2025-04-03","1093.9453728856","929.9076845249","159.106566015","48.1755602055","31.4200923627","8.1088885553","4.8","3.3342433939","6.038162136","1.122","0.3757356696","0.1659682938","0.13","0.0556843176","0.0535133328","0.0213941136","0.0090651341","0.0112","","0.002359","0.0003859826","0","0.0000068","0.0000009998","0.0000009534","0","0","","2286.7838846762"
"2025-04-04","1036.029366492","883.53648091","159.2560026296","49.7431365061","30.7836321788","8.0180216632","4.8","3.8079367146","6.3206388576","1.122","0.3756426696","0.1659970393","0.11","0.0556843176","0.0535333328","0.0213941136","0.0091918569","0.0084","","0.002377","0.0003908098","0","0.0000056","0.0000004999","0.0000004767","0","0","","2184.2198336681"
"2025-04-05","645.3086426637","565.5309818256","159.3840558354","40.906826153","27.819974784","7.4255272427","4.8","2.9933441564","4.4223039108","1.122","0.3756366696","0.1667170308","0.11","0.0556843176","0.0535033328","0.0213941136","0.0087375299","0.0063","","0.001938","0.0003141105","0","0.0000048","0.0000004999","0.0000004767","0","0","","1460.513887453"
"2025-04-06","646.7328834631","566.8078025142","159.4990572778","42.4988001978","27.6735037796","7.3763342918","4.8","7.3356654078","4.7306382303","1.122","0.3757746696","0.1667235091","0.12","0.0556843176","0.0535083328","0.0213941136","0.0088012748","0.0112","","0.00238","0.0003876888","0","0.0000072","0.0000009998","0.0000009534","0","0","","1469.3925482219"
"2025-04-07","986.7310961674","855.4935506242","159.7390924705","47.0473796328","30.5157627374","8.0016586229","4.8","3.5961763768","5.8983387812","1.122","0.3756396696","0.1681194599","0.12","0.0556843176","0.0535283328","0.0213941136","0.0090509706","0.0091","","0.002031","0.0003553898","0.0000053328","0.0000052","0.0000009998","0.0000009534","0","0","","2103.7599711531"
"2025-04-08","1010.8742947233","837.8824098801","159.907275005","46.9199680945","30.5521737067","7.9809754069","4.8","3.4184428641","2.0066122734","1.122","0.3753036696","0.1681093422","0.25","0.0556843176","0.0513211106","0.0213941136","0.0091120785","0.0098","","0.002007","0.0003678304","0.0000053328","0.0000056","0.000001247","0.0000009534","0","0","","2106.4072645497"
"2025-04-09","968.8203097251","805.948252775","168.0348707854","48.2989935267","30.852426424","8.0052296627","4.8","3.3455150444","1.988279145","1.122","0.3753966696","0.1666969827","0.18","0.0556843176","0.0512811106","0.0213941136","0.0091095336","0.0077","","0.00246","0.0004027385","0.0000053328","0.0000068","","","0","0","","2042.0860146873"
