"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","EC2-Other($)","VPC($)","Relational Database Service($)","CloudWatch($)","Elastic File System($)","DynamoDB($)","Elastic Load Balancing($)","SES($)","OpenSearch Service($)","Lambda($)","Elastic Container Service for Kubernetes($)","Glue($)","ElastiCache($)","Key Management Service($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","API Gateway($)","SNS($)","Route 53($)","SQS($)","Service Catalog($)","CloudWatch Events($)","CloudTrail($)","Simple Workflow Service($)","Step Functions($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","112442.3020042288","92122.9783691321","61440.9242944044","11937.4023184622","2459.2056843191","827.9725360773","454.4838004407","447.0216370729","265.45199708","228.2973800191","109.7698730396","45.0043086424","41.3942185279","40.8","28.0652675716","19.584","16.7679730272","12.39","10.5201242256","7.24113","6.89531682","0.2605454295","0.2","0.1939252136","0.14","0.052592","0.0001","0.000019068","0.000017532","0","0","282965.319432334"
"2025-04-01","6781.2112807977","5917.5069627726","3507.6079911476","694.4221410771","152.3319803851","48.6873821132","28.3003058203","24.9721262762","15.6095271277","13.4717016105","3.4696791504","2.6475444127","1.6385592863","2.4","1.59272388","1.152","0.9726770016","0.61","0.6188308368","0.428155","0.5530735","0.0028489234","0.2","0.0111304","0","0.003962","0.000003","","0.0000002472","0","","17200.4225867664"
"2025-04-02","6521.5687167591","5757.2158968653","3438.3798955128","707.3576952575","152.4580335963","48.6909207913","28.437829015","24.9914921039","15.6101961941","13.4185768584","5.768146728","2.6476198834","2.6733024366","2.4","1.5563064","1.152","0.9700250016","0.87","0.6188308368","0.41247","0.544229","0.0035994592","","0.014072","0","0.005321","0.000006","0.0000009534","0.0000010002","0","","16727.7651836529"
"2025-04-03","6828.1175389055","5519.1000507106","3518.5286600328","699.065036775","148.9819566633","48.6995872815","28.9865260727","25.1099354806","15.6108442885","13.427217616","6.3250392988","2.6473518479","2.7706481958","2.4","1.50122896","1.152","0.9775100016","0.87","0.6188308368","0.426895","0.4372032","0.0179448372","","0.0118892","0.0112","0.004536","0.000005","0.0000014301","0.0000012531","0","","16865.7996388878"
"2025-04-04","6949.7940549721","5532.9044074173","3667.0081184062","698.0264379761","146.6200962968","48.7004990539","28.4768780402","25.1310400321","15.6115068633","13.4304800902","6.9906022653","2.6471814941","2.7931135184","2.4","1.62680144","1.152","0.9902210016","0.62","0.6188308368","0.427285","0.445816","0.0175030591","","0.0116096","0.0077","0.003314","0.000002","0.0000009534","0.000000753","0","","17146.4555010699"
"2025-04-05","6838.5902253047","5169.9696065516","3607.7334619582","709.75352144","148.5448253686","48.7048764786","28.9377909732","25.0911725353","15.6121704702","13.3868263755","6.5539933367","2.6472219901","2.571089953","2.4","1.62716928","1.152","0.9947450016","0.6","0.6188308368","0.42654","0.37764888","0.0135417174","","0.0089912","0.0049","0.002824","0","0.0000009534","0.000000753","0","","16626.3239753579"
"2025-04-06","6879.1253303569","5157.6391699975","3708.0388487178","727.7624790661","138.4013991892","48.70294613","28.9190345895","25.0799319347","15.6128429882","13.3713690423","6.5283768576","2.6472103235","2.5393011502","2.4","1.46862276","1.152","0.9998030016","0.62","0.6188308368","0.426765","0.3817877","0.0121596344","","0.0081432","0.0105","0.002409","0.000007","0.0000014301","0.0000012531","0","","16762.4692711595"
"2025-04-07","6914.3340512582","5616.8873883055","3743.7612115122","704.6491499268","143.4350626381","48.7037624036","28.9298949104","25.1983260837","15.6135118541","13.4492206732","7.4683858304","2.647491688","2.6860028036","2.4","1.8272830686","1.152","0.9872480016","0.63","0.6188308368","0.427595","0.37923872","0.0218399331","","0.014522","0.0091","0.003229","0","0.0000009534","0.0000010002","0","","17276.2343484015"
"2025-04-08","6932.5883071938","5561.2302725074","3768.826920155","709.9921307877","145.6956850509","48.6975449827","25.8237771635","25.1588195511","15.6141709868","13.4493010244","6.3906921899","2.6472922326","2.7546331968","2.4","1.72606978","1.152","0.9898400016","0.75","0.6188308368","0.413515","0.38320142","0.0161520442","","0.0107356","0.0098","0.002755","0.000003","0.0000009534","0.0000010002","0","","17267.3424516588"
"2025-04-09","6943.066003802","5551.9662322755","3784.448592337","714.7664565495","146.4952943299","48.6994057525","25.8311887388","25.5519028665","15.6148494167","13.4764627011","6.7241436158","2.6473287321","2.7086556343","2.4","1.6733379986","1.152","0.9913880016","0.93","0.6188308368","0.42778","0.38047156","0.0161399713","","0.01068","0.0063","0.002567","0.000008","0.0000014301","0.0000007587","0","","17290.6060223088"
