"Service","EC2-Instances($)","EC2-Other($)","S3($)","SUSE Linux Enterprise Server for SAP Applications 15 SP1($)","Elastic File System($)","VPC($)","SUSE Linux Enterprise Server for SAP Applications 15 SP5($)","Direct Connect($)","Elastic Load Balancing($)","CloudWatch($)","Backup($)","Cost Explorer($)","Secrets Manager($)","Service Catalog($)","Key Management Service($)","SES($)","Lambda($)","Glue($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","20771.4770441042","8388.7948978863","1757.0276974428","1389.648","385.3545131473","373.5961931662","208.08","122.4","29.327422693","11.0720482918","1.4110970704","1.37","0.4493988844","0.1477","0.111315","0.0595050035","0.0097351176","0.000873","0.000795446","0.000186","0.0000204981","0.0000172331","0","0","33440.3384599847"
"2025-04-01","1286.7595366815","619.4442278989","93.3239518678","81.744","85.5247422893","21.9708428939","12.24","7.2","1.7217995515","0.8164601467","","0.05","0.0266866664","0","0.006924","0.0008001938","0.0002882328","0","0","0.0000084","0.0000009534","0.0000005001","0","","2210.8302702761"
"2025-04-02","1316.2937394561","587.3623267985","97.0588556414","81.744","45.1710542627","22.020949684","12.24","7.2","1.7237084734","0.8535630655","","0.08","0.0255855553","0.0105","0.007587","","0.0004975988","0","0.000022","0.000008","0.0000009534","0.0000012474","0","","2171.7923997365"
"2025-04-03","1313.3522501998","509.714471676","101.3489260004","81.744","3.5599052343","22.071946088","12.24","7.2","1.7246196162","0.8534630654","","0.08","0.0267016664","0.0098","0.007536","","0.0004457249","0","0.000043236","0.0000124","0.0000014301","0.0000010002","0","","2053.9341233377"
"2025-04-04","1309.7871471878","498.1990044202","104.4809087713","81.744","3.5612404377","21.9812359777","12.24","7.2","1.7214971962","0.8535030654","0.1768010004","0.07","0.0266816664","0.0063","0.00756","0.0004001031","0.0005381246","0","0.0000322237","0.000012","0.0000014301","0.0000009945","0","","2042.0568645991"
"2025-04-05","1017.4008885695","497.1340777237","107.4778470247","81.744","3.5533912966","21.9149936572","12.24","7.2","1.7268591774","0.5477405586","0.1768010004","0.07","0.0266866664","0.0063","0.003216","","0.000433691","0","0.000011","0.0000044","0.0000004767","0.0000007473","0","","1751.2232519895"
"2025-04-06","1007.7646825181","493.7976373239","106.9436261872","81.744","3.5552719429","21.9151420952","12.24","7.2","1.7214686679","0.5481405591","0.1768010004","0.08","0.0266966664","0.0098","0.002991","","0.0005508144","0","0.000022","0.000012","0.0000014301","0.0000010002","0","","1737.7268452058"
"2025-04-07","1310.4874996089","496.0833872958","108.6847081762","81.744","50.4759184155","21.9776090488","12.24","7.2","1.7219973138","0.9539086422","0.1768010004","0.08","0.0267016664","0.0091","0.007599","0.020091356","0.0012598878","0","0.0002351018","0.0000124","0.0000014301","0.0000012474","0","","2091.8908315911"
"2025-04-08","1309.9802985287","498.2704241271","107.4838699072","81.744","22.0663647687","22.0606521006","12.24","7.2","1.7219514653","0.5080391706","","0.21","0.0256005553","0.0119","0.007563","0.0132043938","0.0011127327","0","0.0001338041","0.000008","0.0000009534","0.0000015001","0","","2063.5451250076"
"2025-04-09","1310.27337796","504.4930235739","105.0583001482","81.744","18.6490096285","22.0128538685","12.24","7.2","1.7700194943","0.561482355","","0.1","0.0255605553","0.0063","0.00756","0.0236084698","0.0005817645","0","0.0000637467","0.0000124","0.0000014301","0.0000002472","0","","2064.165755642"
"2025-04-10","1386.1374194056","521.7445308673","108.0348895301","81.744","18.6523783772","21.9230559661","12.24","7.2","1.7221962115","0.6181936508","","0.05","0.0266816664","0.0063","0.007983","0.0003001403","0.0005680253","0","0.0000283337","0.0000116","0.0000014301","0.0000007473","0","","2160.1085389517"
"2025-04-11","1315.5355454847","493.959753667","108.2637075746","81.744","18.6538218393","22.0275413887","12.24","7.2","1.7217332067","0.6038437541","0.1759732672","0.1","0.0267166664","0.0126","0.007731","0.0003001406","0.0004932797","0","0.0000385","0.0000084","0.0000009534","0.0000015001","0","","2062.2738106225"
