"Service","EC2-Other($)","OpenSearch Service($)","EC2-Instances($)","Elastic Load Balancing($)","VPC($)","S3($)","ElastiCache($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Key Management Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Secrets Manager($)","SQS($)","Glue($)","Lambda($)","SNS($)","Elastic File System($)","CloudWatch Events($)","Backup($)","API Gateway($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","9243.6937804952","4708.4218172678","3139.0243201168","1260.9838197572","768.6350061841","516.6500502881","378.371","163.2","140.4298688875","29.771205777","17.2698613622","8.6590018462","4.52","0.5675534","0.2863","0.225625018","0.0584664","0.0526776784","0.0293626871","0.0135135759","0.012701856","0.006088","0.0056089035","0.0000603051","0.0000195775","0.0000175908","0","0","0","20380.8877269744"
"2025-04-01","550.2008543737","277.9238650097","188.6419561093","75.6631262647","44.9350878828","29.7532637278","22.537","9.6","10.0789783469","1.6934116276","1.0158736149","0.4061590032","0.29","0.5068144","0","0.0133483344","0.0034592","0","0.0014174603","0.0002559147","0.000747168","0.000538","0.0003299355","","0.0000004775","0.0000005031","0","","","1213.2664873541"
"2025-04-02","561.7073084495","275.491896028","192.2470987203","85.0799059133","45.1629305169","30.7438611137","22.435","9.6","10.2042842275","1.7057185789","1.0158742338","0.4423091146","0.28","0.0063392","0.0098","0.0128277788","0.0034688","0","0.0020963744","0.0031657503","0.000747168","0.000642","0.0003299355","0.0000021536","0.0000014325","0.0000010062","0","0","","1236.1556084958"
"2025-04-03","554.9143197667","277.9278717646","189.1885594634","89.2070188121","45.1569795034","31.2738581126","23.05","9.6","9.9783118178","1.7125965655","1.0158742338","0.4725226704","0.13","0.003371","0.0105","0.0133633344","0.0034648","0","0.0019923134","0.0015999551","0.000747168","0.000544","0.0003299355","0.0000021538","0.0000014325","0.0000012548","0","","","1233.6638300578"
"2025-04-04","553.2533565208","278.3878685213","187.5933672251","91.0207751973","45.3151045749","30.3837240352","23.256","9.6","10.1385001307","1.721472345","1.0158742338","0.4724356704","0.15","0.0036818","0.0196","0.0133833344","0.0034684","0","0.0019203756","0.0006349853","0.000747168","0.000536","0.0003299355","0.0000021538","0.000000955","0.0000010062","0","","","1232.3527845683"
"2025-04-05","544.2055195151","275.4918692785","183.7032993989","86.6116739659","45.2734531511","30.961929074","22.746","9.6","9.8166827224","1.7266781934","1.0158742338","0.4683560037","0.27","0.0036822","0.0126","0.0133633344","0.0034632","0","0.0015366425","0.0002723466","0.000747168","0.000502","0.0003299355","","0.000000955","0.0000002545","0","","","1211.9278335733"
"2025-04-06","525.8897275073","275.4918673677","177.7777702395","24.9173663299","45.3619377512","28.4603753307","22.744","9.6","9.6799475841","1.7279690242","1.0158742338","0.4863185594","0.28","0.0035406","0.021","0.0133683344","0.0034632","0","0.0011192411","0.000326934","0.000747168","0.000334","0.0003299355","","0.0000014325","0.0000010062","0","","","1123.4773857795"
"2025-04-07","540.7518204519","275.1278681516","186.6322437294","84.4378644698","45.3719144378","30.2410888256","23.256","9.6","9.9396540968","1.7292149021","1.0158742338","0.5127524485","0.31","0.0037794","0.0196","0.0133783344","0.0034688","0.0046963344","0.0018919012","0.0004063383","0.000747168","0.000176","0.0003299355","0.0000021538","0.000000955","0.0000010062","0","","","1208.9747740741"
"2025-04-08","538.5690861639","275.3358564979","187.3835096846","89.8359627283","45.2195422391","31.7887923814","22.898","9.6","6.8647346045","1.7353752097","1.0158742357","0.5393123376","0.27","0.0034874","0.0224","0.0128277788","0.0034732","0.0046963344","0.0018181401","0.0004146649","0.000747168","0.00023","0.0003299355","0.0000086152","0.0000014325","0.0000012607","0","","","1211.1064820128"
"2025-04-09","540.7617091713","280.1518611655","187.4161505983","93.0196019038","45.2964103552","31.3634487926","22.629","9.6","6.8733640191","1.744843996","1.0158742362","0.5394233376","0.32","0.0034378","0.014","0.0133633344","0.0034664","0.0046963344","0.0019372561","0.0004479813","0.000747168","0.000212","0.0003299355","0.0000043076","0.000000955","0.0000007458","0","","","1220.7743317937"
"2025-04-10","547.05904471","276.0118662556","187.4525025813","78.3106454736","45.5071875423","30.7436027591","20.863","9.6","6.8869626374","1.7508755546","1.0158742352","0.5400773376","0.41","0.0036904","0.014","0.0133683344","0.0034656","0.0046963344","0.0018967866","0.0010457271","0.000747168","0.00017","0.0003299355","0.0000043076","0.000000955","0.0000010003","0","","","1206.1950556356"
"2025-04-11","545.6301322265","277.5638642385","184.912496816","78.3839753964","45.3111723391","29.9250481947","20.483","9.6","7.2592675255","1.7698227619","1.0158742338","0.5398643376","0.21","0.003785","0.0238","0.0133783344","0.0034696","0.0046963344","0.001896067","0.0005935704","0.000747168","0.000176","0.0003299355","0.0000043076","0.0000014325","0.0000012607","0","","","1202.6573970805"
"2025-04-12","536.5399964927","276.787863927","179.2571285735","70.2310903959","45.1050497837","30.696133021","20.328","9.6","6.9135057571","1.7780580432","1.0158742338","0.5395733376","0.24","0.003681","0.021","0.0133633344","0.0034616","0.0046963344","0.0014355088","0.0004942399","0.000747168","0.000136","0.0003299355","","0.0000014325","0.0000012548","0","","","1179.0816213738"
"2025-04-13","523.1415489941","275.7478634003","175.0140194409","27.3263839608","45.1857119341","28.5270754421","20.379","9.6","6.8790914551","1.7780580432","1.0158742338","0.5404853376","0.26","0.003525","0.021","0.0133833344","0.0034672","0.0049503344","0.0010792226","0.000287297","0.000747168","0.00006","0.0003299355","","0.000000955","0.0000015093","0","","","1115.4439441982"
"2025-04-14","532.7657442026","278.8598755095","180.6952066256","61.8440909692","45.1292104115","29.9817796824","20.328","9.6","7.3196276178","1.7797756752","1.015874232","0.5392853376","0.24","0.0037086","0.0238","0.0133633344","0.0034644","0.0048823344","0.0017588173","0.0003512618","0.000747168","0.000378","0.0003299355","0.0000021538","0.0000014325","0.0000012607","0","","","1170.1512589618"
"2025-04-15","548.9413033561","278.9638863066","184.0991517707","72.9223686308","45.2442630024","31.0949798033","21.089","9.6","6.9916249443","1.7929922147","1.0158742346","0.5407193376","0.28","0.0038448","0.0168","0.0133533344","0.0034636","0.0048923344","0.0019981934","0.0013453997","0.000747168","0.000612","0.0003299355","0.0000043076","0.000000955","0.0000012548","0","","0","1202.6235568839"
"2025-04-16","556.9450486233","277.7198861464","184.5056067942","74.4317338913","45.082155038","30.1727148017","25.089","9.6","7.3404089116","1.8052518664","1.0158742349","0.5397713376","0.28","0.0036438","0.0154","0.0128077788","0.0034708","0.0048903344","0.0017554516","0.0009879441","0.000747168","0.00039","0.0003299355","0.0000064611","0.000000955","0.0000010003","0","","","1214.5718832742"
"2025-04-17","542.4172599697","275.4358876991","182.5042523458","77.7402354541","44.9768957206","30.5383751902","24.261","9.6","7.2649224889","1.8190911754","1.0158742345","0.5396363376","0.3","0.003541","0.021","0.0133833344","0.0030076","0.0048843344","0.0018129351","0.0008832654","0.000747168","0.000452","0.0003299355","0.0000172296","0.0000014325","0.0000010062","0","","","1198.463491857"
