"Service","OpenSearch Service($)","Elastic File System($)","EC2-Instances($)","EC2-Other($)","S3($)","Backup($)","Relational Database Service($)","VPC($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","SQS($)","Secrets Manager($)","SNS($)","Cost Explorer($)","Key Management Service($)","DynamoDB($)","Route 53($)","SES($)","Service Catalog($)","Glue($)","CloudWatch Events($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","9507.2599305647","6592.8824708982","4026.0486915779","3078.5259382379","2754.0405931453","337.2746295401","299.5780868848","219.6771269701","40.8","39.0614624933","36.740384152","5.7010162164","2.4651027733","1.4851310276","1.37","1.1976023424","0.3623052132","0.2931822","0.1835703542","0.147","0.000841","0.000194","0.0000181146","0.0000172278","0","0","26945.0952949338"
"2025-04-01","557.4488132831","402.3373687047","240.0888801519","178.6542387681","157.3726893834","19.6105284415","17.2919506262","12.789965459","2.4","2.297189662","3.290014568","0.0424782164","0.1467466664","0.0001238302","0.07","0.0704376672","0.0213120708","0.2064468","0.0094981325","0","0","","0.0000004767","0.0000002529","0","","1594.148683161"
"2025-04-02","565.9868155815","351.4725183982","225.27808019","172.2061489436","158.6025028107","19.5000911486","17.8510026839","12.8184725352","2.4","2.2971217358","3.2899063012","0.4590708","0.1407705553","0.1188101204","0.07","0.0706386672","0.0213120714","0.006674","0.0094986727","0.0084","0","0.000064","0.0000009534","0.0000010002","0","","1532.6079011693"
"2025-04-03","554.5508208086","339.4374235919","236.5972652466","178.9307641856","159.1583077059","19.6769317681","17.4037242406","12.9160239084","2.4","2.2982287146","3.2912212917","0.35663","0.1468166664","0.0933231998","0.08","0.0704226672","0.0213120714","0.0067006","0.0117025277","0.0105","0","0.000008","0.0000014301","0.0000012474","0","","1527.458129872"
"2025-04-04","566.1428110443","366.5381110826","236.3150573675","180.6665401969","159.0017608654","19.764094118","17.5950191263","12.9683594177","2.4","2.2982721889","3.2900828087","0.1703968","0.1467716664","0.0404952945","0.07","0.0701976672","0.0213120714","0.0033022","0.0117033787","0.0077","0","0.000024","0.0000009534","0.0000007473","0","","1567.5220129952"
"2025-04-05","557.1368155665","367.8780690713","229.5209756955","181.4980193322","159.389015225","19.7800747822","17.4005054959","13.0295286797","2.4","2.2977683226","3.2898489087","0.111464","0.1467566664","0.0241814476","0.06","0.0704946672","0.0213120714","0.003519","0.0117032107","0.0049","0","0.000008","","0.0000007473","0","","1554.0749608902"
"2025-04-06","554.0828046955","402.1139361119","229.1636214363","181.5278166924","159.8055072446","19.8047102194","17.5885460918","13.0300521592","2.4","2.2983107976","3.2897918313","0.154828","0.1468266664","0.0345756963","0.08","0.0702726672","0.0213120714","0.0031038","0.0095007533","0.0098","0","0.000018","0.0000009534","0.0000012474","0","","1585.6353371354"
"2025-04-07","562.9328069526","389.7428810414","245.4589442972","179.1499637585","160.1503022334","19.8170838832","17.1130114461","13.0433791265","2.4","2.3012408256","3.2912332583","0.0831788","0.1468166664","0.0139127166","0.09","0.0702006672","0.0213120714","0.0068118","0.0117041799","0.0098","0","0.000008","0.0000009534","0.0000010002","0","","1595.8545936779"
"2025-04-08","565.6748031646","373.8210131944","243.1386681655","185.7769254471","160.8187504385","19.7870056786","18.4212656994","13.0153607733","2.4","2.2981288237","1.3697379379","0.2752404","0.1407305553","0.0685773349","0.21","0.0702726672","0.0213120714","0.0253864","0.0095020045","0.0098","0","0.00003","0.0000009534","0.0000010002","0","","1587.3525127099"
"2025-04-09","559.8788030497","409.2281221826","246.4966658531","185.067755429","166.1756645925","19.8054405702","19.0049359479","12.9371450837","2.4","2.2973039861","1.3705458019","2.1847436","0.1405755553","0.6149627799","0.11","0.0702726672","0.0213120714","0.0031508","0.0095023477","0.0056","0","","0.0000014301","0.0000004944","0","","1627.8225042427"
"2025-04-10","563.7128035804","399.9511526111","245.0927700645","181.9416393634","164.728975204","19.8267184068","17.2650155384","12.8837307114","2.4","2.2985508841","1.3729587719","0.9132552","0.1467416664","0.2520403497","0.05","0.0704916672","0.0213120714","0.0032372","0.0095029578","0.0084","0","","0.0000014301","0.0000007473","0","","1612.9492984259"
"2025-04-11","560.1908113572","411.6445385036","244.8606580118","184.2870448618","163.0593841504","19.9017079929","17.4488638994","12.852034888","2.4","2.2969071803","1.3719638955","0.0357256","0.1468666664","0.0019950316","0.09","0.0707166672","0.0213120714","0.0050388","0.0139097049","0.0112","0","","0.0000009534","0.0000015003","0","","1620.7106817361"
