"Service","S3($)","EC2-Instances($)","Relational Database Service($)","EC2-Other($)","VPC($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","Elastic File System($)","CloudWatch($)","Config($)","Key Management Service($)","Backup($)","Cost Explorer($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Lambda($)","Service Catalog($)","Route 53($)","CloudWatch Events($)","SNS($)","Glue($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","304471.8533302427","246256.2249899251","59274.5449686882","16171.0856201391","11552.483890074","4364.389250555","2460.9065886645","1528.9239521292","973.7480571867","409.51","111.3214237214","55.1069150781","40.54","20.9639320012","14.7798859838","7.8228637878","3.0316750327","2.6782","1.6","0.714242","0.139164105","0.0631434376","0.0114972","0.0005754699","0.000516822","5.27e-8","0","0","0","647722.4446822967"
"2024-04-01","22544.4939641519","20111.8541018906","4678.4816186336","1236.5423579412","1023.1594772172","848.66342139","192.8278259078","100.3527739816","86.5726388649","33.63","8.373899064","4.0781236994","2.83","1.6400733192","0.9990091636","0.6442863843","0.2692968507","0.049","0.1","0.04613","0.0105573691","0.0047376544","0.0013412","0.0000499716","0.000026514","0.0000000527","0","0","","50875.6247112218"
"2024-05-01","22848.4658275259","20588.2702170085","5428.1860085217","1414.3373928025","1053.7893478616","520.8","204.8194662433","163.3496918073","81.6150645622","34.752","8.391766872","4.1953541869","3.15","2.013370936","1.1972645904","0.6657621504","0.2754809954","0.0371","0.1","0.04751","0.0105024109","0.00498806","0.0014256","0.0000522851","0.0000277415","","0","0","","52358.4756221616"
"2024-06-01","21727.8260782089","18122.3330852317","5426.0688338345","1369.0715247629","1002.4941274888","504","194.3099398337","159.3173093913","76.5052408084","33.66","8.3486789528","4.3085408561","3.25","2.0127939048","1.1972646","0.644285952","0.2544068833","0.0854","0.5","0.051194","0.0101954316","0.0050586544","0.001096","0.0000458072","0.000024059","","0","0","","48636.2551246614"
"2024-07-01","23536.1566255203","19225.6334825711","5570.3897886486","1395.6238388391","1047.2076103159","520.8","202.9740633377","169.997827727","79.4373978288","34.782","8.340385872","4.4458874068","2.94","2.022645452","1.1972645904","0.665762112","0.2417585254","0.406","0.1","0.056429","0.0138775613","0.0076628976","0.0015904","0.0000514529","0.0000397179","","0","0","","51803.4419897768"
"2024-08-01","24467.4845363427","19065.5494646002","5569.0778430162","1376.2810654925","1044.0903830602","520.8","202.7344289016","159.7500272371","78.4364130923","34.782","8.349700872","4.4804156334","3.29","2.016945452","1.1972645904","0.6657621504","0.2369732976","0.4809","0.1","0.064434","0.0141516797","0.00660206","0.0011984","0.0000529137","0.0000568755","","0","0","","52539.8906196675"
"2024-09-01","25627.5258907631","19587.9155211328","4648.349581471","1361.0785007742","1011.4861189279","189.00093861","196.2151652711","114.0387006356","76.2702917491","33.66","8.7107920671","4.5135627559","3.45","1.6225716522","1.1972646","0.6442859528","0.2305412086","0.2464","0.1","0.064024","0.0108462872","0.0049306544","0.000574","0.0000471933","0.0000504133","","0","0","","52866.3366001196"
"2024-10-01","25257.01441927","20424.7743081257","4707.5235528706","1379.1737535556","958.6686234945","148.8","201.5289648757","105.8280340236","79.5171566301","34.822","9.333362082","4.6395302314","3.77","1.6063867488","1.1972645904","0.6657621504","0.2570370873","0.742","0.1","0.067526","0.0140379749","0.0067728976","0.001296","0.0000527505","0.0000559674","","0","0","0","53320.0518973265"
"2024-11-01","26020.8583640103","20117.2171513309","4589.2174897888","1303.4367013786","867.3105908965","264","194.6073055249","96.3462672463","79.96254876","33.66","9.3788278504","4.7779423265","3.57","1.6079333174","1.1972646","0.6382715136","0.2489472488","0.1134","0.1","0.062645","0.0116140454","0.0054769872","0.000866","0.0000486234","0.0000517582","","0","0","0","53588.3297082072"
"2024-12-01","26522.9863518272","21023.7498156926","4703.0959672118","1322.9431728274","898.6396135161","415.524890555","210.9918970973","108.9835228731","78.8070872767","34.782","10.38195384","4.8483692335","3.78","1.6066133616","1.2679589382","0.6632171851","0.2549183562","0.1246","0.1","0.066705","0.0120585963","0.0053688976","0.0007364","0.0000505302","0.0000527665","","0","0","0","55343.6169219824"
"2025-01-01","28579.3003909264","22314.5629575155","4709.2974310878","1342.2902400333","912.1899080629","148.8","223.0907097293","114.1069043332","83.0012120473","34.782","10.39114284","4.9281305897","3.82","1.6075188992","1.3536796536","0.66321648","0.2574384963","0.1218","0.1","0.064015","0.0109551768","0.0041728976","0.00061","0.0000481467","0.000050502","","0","0","0","58484.7445324176"
"2025-02-01","28560.4124437104","21908.2064422593","4437.0597281247","1343.4630830789","820.1187272968","134.4","200.976412646","113.1959279963","83.059298051","31.416","10.3434028591","4.9215554303","3.39","1.6027021556","1.353679824","0.5990352768","0.2346104882","0.1113","0.1","0.059807","0.0101342767","0.0046487168","0.0005256","0.0000414729","0.000045007","","0","0","0","57655.0395512708"
"2025-03-01","28779.3284379856","23766.1584425662","4807.7971254789","1326.8439886529","913.3293619356","148.8","235.8304092961","123.6569648768","90.5637075159","34.782","10.97751055","4.9695027282","3.3","1.6043768024","1.4247062428","0.66321648","0.2702655949","0.1603","0.1","0.063823","0.0102332951","0.00272306","0.0002376","0.0000343224","0.0000354997","","0","0","","60250.6374034835"
