"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","S3($)","Relational Database Service($)","SageMaker($)","ElastiCache($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","EC2 Container Registry (ECR)($)","QuickSight($)","Elastic File System($)","DynamoDB($)","Key Management Service($)","Cost Explorer($)","Glue($)","Route 53($)","Identity and Access Management Access Analyzer($)","Secrets Manager($)","Athena($)","Service Catalog($)","Backup($)","CloudTrail($)","SQS($)","Direct Connect($)","Systems Manager($)","Lambda($)","CodeArtifact($)","SNS($)","CloudWatch Events($)","FSx($)","Location Service($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","IoT($)","CloudShell($)","Migration Hub Refactor Spaces($)","SimpleDB($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","843001.950263499","811171.1767639883","212939.6613933245","95455.6238058214","62497.4394487591","56325.1506106826","32259.5924310584","29005.8148085123","19440.0073254156","14373.628814526","13372.075001501","2962.3194035062","2559.7827707424","2024.5170748893","1364.5630916891","756.1679612735","586.8","431.0344283473","341.1184756","248.6","206.5172069463","85.59041","36.9313","33.5681941663","11.16338","10.5346262363","3.3550815804","0.668704","0.642200017","0.3463504714","0.2663418919","0.123417","0.0914527252","0.018827","0.0001834706","0.0001509535","0.0000911319","0.000001664","6.774e-7","0","0","0","0","2201506.841793068"
"2024-04-01","66179.4252470866","67375.5674077909","21583.0941825449","5980.0577144906","4358.2059637997","3988.1916263798","69.67","1109.5375616555","1485.0967008482","663.7918594351","1052.627170056","166.6119536808","168.000001344","36.8382484344","43.1794884357","59.2661022418","42.19","17.5770671528","31.6042822","","13.3107822109","47.127345","0.1967","2.797349514","0","0.209136","0.730585965","0.05745","0.0253656991","0.0341722082","0.0151573049","0.007603","0.007641603","0.001554","0.0000101071","0.0000181134","0.000007544","","0.0000000293","0","0","","","174475.0534558757"
"2024-05-01","69523.9322478824","68418.5886865688","20162.6297311376","6688.2659666727","5590.1817009645","6976.8478592583","732.702","1280.2348672534","1478.279172429","915.5019576598","965.927104025","167.1639796373","167.999997312","41.0560412166","83.0946148184","56.301394056","45.26","21.1756232456","31.9247038","","15.9751415622","18.288785","0.0406","2.7973495141","0","0.213346","0.7529429708","0.059035","0.0209457419","0.0258430454","0.0152398927","0.007356","0.0076416023","0.001604","0.0000110106","0.000018531","0.000008005","","","0","0","","","183385.2735158134"
"2024-06-01","72141.0533887334","70430.3886127464","20117.6196132576","8467.7489703046","5095.0890198392","7382.2228187481","538.2378968031","1250.5132030399","1501.9042322383","1071.4189026164","1125.547658335","167.2645195749","191.0333348616","47.3033195784","124.3169599234","56.7896790008","50","22.4533610076","32.8355572","","16.2281138841","1.06235","0.6671","2.797349514","0","0.2598464","0.9131708384","0.055615","0.0265908217","0.0274691715","0.0117720576","0.006236","0.007641603","0.001454","0.000007912","0.000013833","0.0000076393","","0.0000005861","0","0","","","189835.8057870694"
"2024-07-01","75959.8360601694","74459.2596611791","21452.1037185504","11931.2100732281","4788.1768251254","4247.9743248212","452.1602571706","1357.8532182978","1548.2612469782","1067.2575645657","1116","181.9336333887","191.999996928","86.9315763994","128.5814959438","57.87022378","54.4","26.9285237239","33.7433924","","15.4283875671","0.81272","6.5373","2.7973495141","0","0.2941288","0.9583818062","0.05972","0.0163373114","0.0265870094","0.0220647219","0.004725","0.0076416023","0.0016035","0.0000248208","0.0000218546","0.0000075735","0.000001664","","0","0","","","199169.448795395"
"2024-08-01","77478.0793310374","78324.2556522969","22160.8055011784","10242.4094946238","4796.5241734948","3794.6491629724","2690.5968443308","1628.1578803722","1524.6948602228","1006.5597524562","839.714507085","203.6401875213","191.999996928","107.5301280453","129.1042656459","58.139497314","54.41","33.2754575065","33.8535218","","15.5050727252","3.19083","7.4949","2.7973495141","11.16338","0.3289360707","","0.05796","0.0190939999","0.0254107302","0.0194780964","0.005789","0.0076416023","0.0016135","0.0000369786","0.0000155817","0.0000077526","","","","0","","","205339.0177303834"
"2024-09-01","74487.4571302982","72755.5009784637","20917.1056389904","7112.2273202359","5398.9666966396","3673.3889797014","2603.830609757","3210.0578737851","1494.0982904575","949.6218531318","656.6513025","254.290359216","192.000001536","116.9860864437","124.3971579984","58.0884261225","53.04","33.4036686352","27.9530452","","15.7655722251","1.62365","3.6631","2.797349514","0","0.457329171","","0.053195","0.019144117","0.0253094003","0.0219706203","0.013623","0.007641603","0.001554","0.0000304077","0.0000074646","0.0000072089","","0.0000000319","","0","","","194143.5149028762"
"2024-10-01","71977.3932108993","62926.5962720648","17858.0428735072","7021.9876563442","6274.5158950558","3608.1022236498","3766.6019884907","3243.1435463434","1568.8690412339","1609.5889819976","372","290.6798391439","204.774190272","145.0564501168","127.2307430731","56.326443448","50.11","33.7294118542","29.6800312","","16.1510919686","0.506855","12.0351","2.7973495141","0","1.9434771979","","0.05804","0.0587326456","0.0262086652","0.0937668787","0.009703","0.007395099","0.001604","0.0000219397","0.0000165396","0.0000078345","","0.0000000301","","0","0","","181198.1181690077"
"2024-11-01","57743.892418235","59646.4024858509","12858.0881765392","6859.3556662594","5981.8341105","3461.5746425735","4253.0190845062","3022.8204722833","1586.0958752391","1762.6855293949","551.160243528","299.0697886954","221.2333351032","202.6010749211","115.2807669326","58.0770684585","56.79","32.3263191251","24.6606552","","16.9667327731","0.611175","0.9177","2.797349514","0","1.1010217565","","0.054569","0.0798223495","0.0277132912","0.0161310554","0.005691","0.007641603","0.001554","0.0000116478","0.0000110403","0.0000076338","","","","0","0","","158759.55484501"
"2024-12-01","66623.5975551262","64909.4736780966","14195.0241167168","7011.9752947152","5068.5139019721","5293.2762915194","5456.84725","3286.9190841352","1786.0800217535","1272.0124563133","1562.4","295.2605608563","239.99999616","242.7657208128","123.9732747161","62.954252976","60.48","47.346130676","23.5047738","","19.63876752","0.46307","1.0808","2.7973495141","0","1.2453928462","","0.055145","0.0912710997","0.0311861738","0.0158814708","0.006006","0.0076416023","0.001624","0.0000098979","0.0000096309","0.0000077525","","","","0","0","","177587.8385228537"
