"Service","IoT($)","IoT Device Management($)","EC2-Other($)","EC2-Instances($)","DynamoDB($)","CloudWatch($)","Kinesis Firehose($)","ElastiCache($)","S3($)","Elastic Load Balancing($)","VPC($)","Lambda($)","SQS($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","SNS($)","Key Management Service($)","Route 53($)","IoT Device Defender($)","Glue($)","CloudWatch Events($)","Location Service($)","Simple Workflow Service($)","Step Functions($)","Direct Connect($)","CloudShell($)","Glacier($)","CloudTrail($)","Migration Hub Refactor Spaces($)","CloudFormation($)","Total costs($)"
"Service total","309402.8569625581","145983.99033468","43967.0448416338","35404.8099837469","13914.7828154108","10919.2408750752","9954.4968638401","6417.0002822242","6258.6186265756","4810.2005255149","4536.5934753073","2192.4274739233","892.5393773","57.4561765052","27.36","5.3347","3.5068427227","1.533927","1.2","0.26366392","0.072483","0.041008","0.00147","0.0005848924","0.0005395386","0.0002506496","1.276e-7","3.71e-8","0","0","0","594751.3740841834"
"2024-04-01","22481.0857567195","13596.4919762","3293.2811711059","2605.5956432484","1697.9358116759","607.6371504798","724.4918758942","1339.2","1145.1122333426","358.9197349533","438.9602351702","238.7813601693","89.1056681","5.2585327698","1.89","0.0798","0.5604615781","0.134121","0.1","0.05194488","0.00458","0.00559","0.00012","0.0000505236","0.0000273725","0.0002069382","","","0","0","","48624.6840521213"
"2024-05-01","23193.731740404","12747.15376655","3301.9925885815","2712.432376881","1349.9679812743","596.1251211605","726.6693494824","1383.84","703.1995873893","368.3489512978","375.2202130869","226.5331082981","61.0840547","4.8706230685","1.78","0.0616","0.1648516292","0.140283","0.1","0.05585684","0.004806","0.00576","0.00012","0.0000519129","0.0000289015","0.0000437114","","","0","0","","47753.4828641693"
"2024-06-01","22815.1474243633","10302.16161475","3253.9814562995","2806.4282904688","1523.7134473615","561.8917828115","721.4221557123","1339.2","652.5137696855","350.6486008299","363.6475555716","209.5551706544","64.5237434","4.7390716587","1.71","0.1582","0.2255935666","0.122871","0.1","0.02102516","0.005049","0.006724","0.00012","0.0000462348","0.0000254037","","","0.0000000302","0","0","","44971.9237379623"
"2024-07-01","23923.6707228433","10962.54354181","3245.8267994648","2595.6458089564","1449.2768770482","697.3780547166","768.6148780417","1383.84","614.4488191601","364.1208812932","378.616253681","204.2814505985","65.954382","4.73646909","1.28","0.8036","0.2360563035","0.110574","0.1","0.01791608","0.007665","0.003672","0.00012","0.0000535378","0.000042892","","0.0000001034","","0","0","","46661.5146386205"
"2024-08-01","24752.1689930266","11159.17577756","3474.5353108699","2580.692046096","2794.0378462844","890.1083919017","796.4850808548","970.9202822242","599.6395149646","381.2028092989","363.2659124902","194.6944808448","98.6035529","4.755727047","0.63","0.9471","0.6009004419","0.119202","0.1","0.0185432","0.008616","0.002422","0.00012","0.000052924","0.0000607519","","","","0","","","49062.7127436809"
"2024-09-01","24909.4725888462","12255.13994269","3676.3685164448","2517.9968696794","3440.6289517707","939.7641535547","803.4021217076","","447.0199773499","384.2127176543","362.4519575505","183.0044006844","169.8481537","4.919174992","2.51","0.497","1.5695061178","0.118206","0.1","0.0175682","0.006308","0.002548","0.00012","0.0000455066","0.0000528649","","","","0","","","50099.0508813138"
"2024-10-01","26926.4705059616","13860.77845932","3436.9930370059","2633.6028623272","635.8688412877","988.3481914498","868.9174683094","","407.5375357531","418.5881069503","379.6438509966","172.7202982964","64.6970441","4.685201133","2.79","1.512","0.1115950913","0.123669","0.1","0.01722604","0.009849","0.002458","0.00012","0.000053291","0.0000581693","","","","0","","0","50803.5184314826"
"2024-11-01","25948.1362602726","12164.11393819","3541.1045833862","2987.2357817204","146.230073502","1023.4672404126","827.0117880335","","320.3524827294","398.8858332995","371.9757836214","151.2415625177","53.5726951","4.8064266587","2.45","0.217","0.010251592","0.120891","0.1","0.01432652","0.006274","0.002586","0.00012","0.0000489677","0.00005402","","","","0","","0","47941.0560015437"
"2024-12-01","27916.6715272073","10940.34733466","3755.9697050914","3384.0823409173","156.1879355144","1135.2085607693","892.5731989468","","302.30621445","429.2150046028","371.3976766902","166.4506809996","55.5715997","4.714767047","3.04","0.2506","0.0091777847","0.152031","0.1","0.01364376","0.006538","0.002476","0.00013","0.0000512989","0.0000543334","","","0.0000000028","0","","0","49514.2712487759"
"2025-01-01","28561.1937675125","14597.06375484","3843.4399172625","3529.746007384","163.0619759898","1164.5862779433","924.42645852","","390.6657641468","436.6502204696","369.1663529344","162.2219239791","56.7652062","4.7087560255","3.04","0.2443","0.0079811484","0.150486","0.1","0.01350128","0.004717","0.00205","0.00013","0.0000493457","0.0000514306","","0.0000000242","0.0000000041","0","","0","54207.2596494405"
"2025-02-01","27015.1938234163","11625.00347536","4061.4422316052","3226.2351886018","183.1110018476","1090.7433264677","883.6440558531","","349.0820165509","420.8475933298","338.7472078528","139.8244989916","52.8704451","4.605374968","2.94","0.2184","0.0065943515","0.134253","0.1","0.00999024","0.005021","0.002142","0.0001","0.0000435853","0.0000462881","","","","0","","0","49394.7668304097"
"2025-03-01","30959.9138519849","11774.01675275","5082.1095245162","3825.1167674662","374.7620718543","1223.9826234077","1016.8384324843","","326.7407110534","498.5600715355","423.5004756615","143.1185378894","59.9428323","4.656052047","3.3","0.3451","0.0038731177","0.10734","0.1","0.01212172","0.00306","0.00258","0.00015","0.0000377641","0.0000371107","","","","0","","","55717.1330046629"
