"Service","EC2-Other($)","EC2-Instances($)","S3($)","SageMaker($)","Managed Streaming for Apache Kafka($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Config($)","Relational Database Service($)","QuickSight($)","Elastic Container Service for Kubernetes($)","GuardDuty($)","EC2 Container Registry (ECR)($)","Elastic MapReduce($)","ElastiCache($)","Glue($)","Kinesis($)","Step Functions($)","Key Management Service($)","SQS($)","Transfer Family($)","Secrets Manager($)","Cost Explorer($)","DynamoDB($)","Route 53($)","Lambda($)","Kinesis Firehose($)","Athena($)","Service Catalog($)","Elastic File System($)","CloudWatch Events($)","SNS($)","CloudTrail($)","Direct Connect($)","SES($)","Backup($)","Simple Workflow Service($)","API Gateway($)","CloudShell($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","1486796.2714577564","531755.3288782468","161340.254355904","120539.7122410223","45603.6909248615","44522.2187812768","37399.6188703368","32400.5506586747","22703.111","17192.523381189","16674.625659708","13494.970769216","11849.2823246202","11103.6698194063","10889.3655653328","9738.4035","7505.4156665013","4939.1005929701","2044.4835384638","1759.1036687752","1281.6847713654","1153.5008940045","1003.1572208724","948.67","825.2070755949","567.9756788","291.1529963245","55.2221189507","49.65654","5.1821","4.4445442545","3.468942","2.8424775684","2.6502205","1.4205754913","0.5477120322","0.0018882072","0.0005839487","0.0000310382","2.564e-7","0","0","2596448.488025471"
"2024-04-01","134003.9386422305","44088.391668272","13019.2562446173","8151.388604781","3035.3379336518","2470.158971447","2986.8438790759","2376.2340812232","934.245","2177.7454548454","1368.000010944","1080","","626.0773390527","907.2085888152","709","609.8403491675","378.408225736","548.6367631701","104.4630220019","93.7269329859","216","72.0283505487","95.02","63.7830123384","59.4989258","28.8570488515","4.0605732344","0.81737","0.0791","0.3692913942","0.101174","0.1880062218","0","0.6564671491","0.0461405656","0.00015735","0.0000505325","0.0000143225","0.0000000246","0","","220210.4073943507"
"2024-05-01","123265.0390111024","44096.2605187803","13011.1948386165","8858.8707016434","3583.6600969065","2568.1405215758","3091.1060363713","2323.9910299194","1148.314","2220.8725641253","1371.225784512","976.872465275","59.7673565479","689.144341315","898.6297255488","733.989","1743.9766705806","391.051575861","846.3010991369","128.142565282","96.1213990515","223.2","73.6594862688","72.98","68.7957367395","42.4821248","41.0674621463","4.6352627403","0.08828","0.0637","0.3692982596","0.14385","0.2159480079","2.6502205","0.6808795857","0.0498408376","0.0001573498","0.000053321","0.0000143266","","","","212633.7536170347"
"2024-06-01","129814.723239254","44349.6475080293","12371.6359918357","8609.2231162875","3504.6858388338","2822.8480923596","2986.0658966289","2544.7888594167","1137.227","2099.2079284256","1407.4000112472","1080","1343.7802648344","752.0342806195","834.624","803.541","775.5800345795","378.4301849215","586.7425141167","130.1366702985","118.2154297352","415.0441645875","77.2004699943","62.21","68.4159921998","43.3493004","31.9496655563","4.2545842206","24.86321","0.1575","0.3722990248","0.146161","0.1961734674","0","0.0832190098","0.0434262569","0.00015735","0.0000457675","","","0","","219178.8242302585"
"2024-07-01","136990.7286063351","47993.3700774035","12333.5696241133","8823.9542893602","3524.4985231602","2831.4217265188","2984.8896088831","2669.396185329","2018.566","1338.8838369794","1391.999977728","1488","1149.8295802588","805.9002258379","912.3661095696","913.368","638.0187420404","420.1162992836","62.8027207298","138.741487696","98.2736856494","299.256729417","79.0861888347","65.78","70.6981762254","47.4203394","21.7074372539","4.5311424189","1.216365","0.7882","0.3696719252","0.381668","0.2700202454","0","","0.0488231041","0.0001573498","0.0000550233","0.0000023891","0.0000000569","","","230120.2502835198"
"2024-08-01","127576.2248236542","47530.0845483368","12403.9166736089","9783.4828197579","3595.0176884185","3362.334067746","3167.2742512827","2511.1834851043","2236.269","1180.9999446346","1391.999977728","1344.813849165","1201.9803211335","847.3191946721","937.504401624","901.576","133.8703987674","430.067536315","0.0000607423","147.156977206","103.2841435389","","79.5306733446","61.93","70.6989578027","46.9412208","25.4454082143","4.7177243699","2.60422","0.9415","0.3698313737","0.417802","0.2631855548","0","0.0000044535","0.0478228793","0.0001573498","0.0000514795","","","0","0","221080.2687230582"
"2024-09-01","116184.9213806104","43738.1629391524","12086.483713931","10202.7423837228","3924.8733673877","3875.5314278536","3134.3737190365","2622.22013013","1682.414","1162.2484040865","1392.000011136","417.686041665","1107.2767180101","886.8428685105","895.2029096976","872.768","338.8958744168","416.196748632","0.0000651304","152.4312817023","101.422548577","","80.9391133329","59.89","68.4199005835","43.447237","18.3891030212","4.7402533684","0.043315","0.4991","0.3701571694","0.253501","0.2057103846","0","0.0000052932","0.0446206086","0.00015735","0.0000464696","","0.0000000361","","","205471.9367540061"
"2024-10-01","116858.8041092562","45197.0843042224","12363.723997251","10761.8323043428","4058.5112323059","4280.5656741825","3243.1503033603","2756.9721168685","1906.257","1181.0029913688","1391.999977728","397.198413111","1138.0882570042","941.7787995053","937.44","836.16","447.2062093417","430.066001481","0.000058941","158.517178478","115.8235877279","","86.0075598198","67.17","70.7006933927","49.9752584","20.6328199627","5.1051112935","0.007675","1.4777","0.3702072348","0.297741","0.2549571365","0","","0.0486231016","0.0001573498","0.0000527857","","","","0","209704.2310729536"
"2024-11-01","117289.1297473812","42967.564746133","13543.3269452687","9678.3180970147","4002.653163978","4215.5196140268","3135.1833021004","2678.381296565","1961.865","1162.5280571232","1392.000011136","612","1142.2486409815","987.2391833233","907.2","787.33475","580.26390481","416.1575626905","0.0000568895","159.0176499584","109.0519792089","","88.2054472324","69","68.034396636","50.3329078","20.0036278029","4.141454304","13.91781","0.1974","0.3702026056","0.314684","0.2765537214","0","","0.0446234388","0.00015735","0.0000494406","","","0","0","208041.8230229208"
"2024-12-01","123634.6662997147","44037.1868667116","14646.0100810331","11658.6460416919","4151.5939037525","4310.9815175129","3230.3066030235","2832.201804229","2389.146","1181.1735722384","1391.999977728","1562.4","1188.6809235245","1051.2353150802","937.44","814.60725","701.5325489055","430.049875808","0.000063155","157.490083824","116.3966476534","","89.3194710258","69.55","70.6949651933","46.0451186","20.8008201604","4.6381176079","0.06917","0.2261","0.3702042688","0.346089","0.2497707364","0","","0.0461264374","0.0001573498","0.0000508198","","0.0000001209","0","0","220726.1015369067"
