"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","Elastic MapReduce($)","VPC($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","Athena($)","WAF($)","Transfer Family($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","Secrets Manager($)","SES($)","DynamoDB($)","Elastic File System($)","Backup($)","Key Management Service($)","Service Catalog($)","Route 53($)","Cost Explorer($)","Relational Database Service($)","CloudFront($)","Bedrock($)","Glue($)","SNS($)","CloudWatch Events($)","Rekognition($)","Lambda($)","SQS($)","API Gateway($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","ElastiCache($)","CloudShell($)","CloudTrail($)","QuickSight($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","316271.0934438441","242934.9123669356","67055.6753759616","34675.9693371591","6137.0123388948","5868.0455428057","5634.6819028704","4380","4246.844255","3590.5013681633","2379.4363546101","1688.5158123945","942.4778690347","418.1911233711","340.0620153716","85.3676712519","78.2305902533","57.6784906921","43.0627860609","36.6744","27.8206214","21.01","9.327626956","5.7986888017","2.12076072","0.2675351768","0.1606280352","0.080967","0.062814","0.0590048854","0.0421492346","0.0279476437","0.0010603291","0.0002042677","0.0001630975","0.0001070784","1.015e-7","0","0","0","0","696931.2133234025"
"2024-04-01","25486.9425174574","18864.1908084289","5504.4064522469","2859.1140293694","506.9854592008","349.2032481657","437.6408630625","360","328.720875","2403.4471703873","","118.349076652","643.5898853493","30.9945822191","30.0570525696","6.8376202828","11.2520597949","6.296020884","5.2035415934","0.2079","10.1734074","0.75","0.777302247","1.4802578005","","0.0230810224","0.0110701331","0.006078","","0.0003050643","0.0053560346","","0.0000854275","0.0000113702","0.0000192485","0.000008928","","0","0","","","57966.6661453401"
"2024-05-01","26166.8384899534","19563.7091384509","5758.6530255116","3237.7069651127","445.313675308","388.1804146567","451.2400124182","372","341.63212","1126.6100931366","188.9898943868","138.4542999757","298.8879836854","33.0566022554","25.2047939151","7.2674114443","7.0529455326","6.2969756431","3.487739694","0.0378","5.0557118","0.63","0.777302246","0.7873411589","","0.024255732","0.0135908731","0.004699","","0.0006035369","0.0050536","0.000279367","0.0001130166","0.0000114706","0.0000199229","0.000008928","","0","0","","","58567.9193717325"
"2024-06-01","25808.869860194","18873.92876856","5232.9547140134","3011.4069813553","194.0158651172","540.5609625633","446.6449058706","360","341.8535","6.0333333816","216.0470923344","132.5773509192","","33.3949900284","22.0913150534","7.0329802828","7.0538820653","6.2989810736","3.425079024","0.6818","1.2891416","0.94","0.777302247","0.7703506887","","0.0194750224","0.0115620148","0.004223","","0.0007277771","0.0039376","0.0003874936","0.0001024757","0.0000086517","0.0000151178","0.000008928","","0","0","","","55248.6896044533"
"2024-07-01","24746.4098351825","19732.8771099089","4951.2023557672","2953.4147546443","383.9178916792","555.3771255454","473.4615677532","372","440.903305","6.00806442","223.2883594053","143.4902394622","","34.199401054","19.8109125406","7.2674114787","7.0600726639","6.301779247","3.401396952","6.1054","1.1518374","0.53","0.777302246","0.611280946","","0.0412130536","0.0178964784","0.00469","","0.0009996611","0.0058024","0.0006548596","0.0000893542","0.0000282542","0.0000243907","0.000008928","0.0000000255","0","0","","","55069.6388107017"
"2024-08-01","25333.165055393","20318.2159371468","5214.5399554152","2734.3826486131","872.5107523028","536.718525389","504.7803267555","372","388.28596","6.0483870012","223.5563654088","137.0783836585","","34.604258734","18.7748720245","7.2674109629","7.1192454071","6.3126150955","3.40194792","7.3885","1.0715102","0.37","0.777302246","0.5063578322","","0.0335860536","0.0139922444","0.002266","","0.008658579","0.0043188","0.0082258579","0.000084854","0.0000418686","0.0000170567","0.000008928","0.0000000272","0","0","0","","56728.9475177755"
"2024-09-01","25675.1924298813","19246.8932309612","5330.7056650196","2707.6789148177","494.1145402884","535.0984713418","485.3843656287","360","565.137005","6.041666715","216.1593726102","137.9263478303","","34.6503266793","18.6045433301","7.0329797572","7.1453613449","6.3255605809","3.3768106905","3.5448","1.0429254","0.89","0.777302247","0.3323526733","","0.0163976888","0.0102691236","0.001751","","0.0028073226","0.0020364","0.0025001931","0.0000791797","0.0000327227","0.0000080647","0.000008928","","0","0","","","55844.0908634206"
"2024-10-01","26523.8775892588","22239.5891989914","7756.9836342203","2780.7874592451","925.3945571524","551.2042130066","477.4747686447","372","465.355285","6.0725805486","223.3719198396","139.3829444699","","35.465918524","20.1174774478","7.2674115844","6.5406910313","6.3384938594","3.41999592","12.1527","1.0501696","0.94","0.777302246","0.4045787218","","0.037109732","0.0177219374","0.008493","","0.0032110036","0.0046648","0.0026750889","0.0000842471","0.0000245811","0.0000174553","0.000008928","","0","0","","0","62556.0429000855"
"2024-11-01","27142.7921574405","21076.3961846779","6838.8991712812","2833.4942270425","609.4477981528","535.8510169387","462.4488989819","360","465.23387","6.0583333818","216.1712274483","141.4142879686","","35.7554616348","18.6756748856","7.0329797572","4.9918618987","5.9047679808","3.433425024","1.0262","1.0539","1","0.777302247","0.1673626772","","0.0205670192","0.0137156632","0.009005","","0.0037759461","0.0030484","0.0026229022","0.0000821993","0.0000133479","0.000012364","0.000008928","","0","0","0","0","60768.0789611894"
"2024-12-01","27169.9398107886","21074.8831728014","6890.8456278999","2866.8511604043","294.3175531","479.4299726678","470.7944010708","372","312.445885","6.00806442","223.3743352926","145.5473524791","","35.7742711008","41.5158468219","7.2674115832","5.017231105","1.8824847","3.524111436","1.1438","1.0379612","1.86","0.777302246","0.1973812269","","0.0190872128","0.0139651349","0.009273","","0.0097711216","0.0026116","0.0027109768","0.0000872477","0.0000111085","0.0000102284","0.000008928","","0","0","0","0","60406.492673903"
"2025-01-01","27572.8658526422","20769.2572970055","4659.321288321","3051.1062298741","337.9249400656","463.6466537847","492.8026161262","372","210.49772","6.024193452","223.3713304692","148.1727636443","","35.984037012","44.4798520748","7.2674115838","4.9700536365","1.8956564882","3.516473436","1.1459","2.5281476","9.42","0.777302246","0.1694772494","0.0061092","0.0140958584","0.0138451009","0.010896","","0.0104809064","0.0022836","0.0027170451","0.0000886188","0.0000093058","0.0000087391","0.000008928","0.0000000118","0","0","","0","58419.2057400258"
"2025-02-01","26923.6166355359","19379.7871253371","4360.3052985453","2730.2008899191","325.9969824444","431.2103149015","442.05040766","336","171.26765","6.0446427042","201.7485827091","151.9915219386","","36.9429666573","40.6793635413","6.5641149629","4.9773103212","1.9066728216","3.486323419","0.9044","1.0310586","1.69","0.777302246","0.2000630463","1.93602168","0.0136396016","0.012181363","0.008978","0.062814","0.008551761","0.0019352","0.0024716544","0.0000846465","0.0000079383","0.000007025","0.0000088704","","0","0","","0","55561.426329051"
"2025-03-01","27720.5832101165","21795.1843946656","4556.85818772","2909.8250767615","747.0723240832","501.5646238445","489.9587688981","372","215.51108","6.104838615","223.3578747058","154.1312433961","","37.368307472","40.0503111669","7.2625275717","5.0498754519","1.918482318","3.385940952","2.3352","1.3348506","1.99","0.777302246","0.1718847805","0.17862984","0.00502718","0.0108179684","0.010615","","0.0091122057","0.0011008","0.0027022051","0.000079062","0.0000036481","0.0000034844","0.000008928","0.000000037","0","0","","","59794.014405724"
