"Service","EC2-Instances($)","Elastic MapReduce($)","S3($)","EC2-Other($)","Relational Database Service($)","VPC($)","Systems Manager($)","Transfer Family($)","CloudWatch($)","Elastic Load Balancing($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Glue($)","Lambda($)","Secrets Manager($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","204191.4634537994","139519.7874717568","68898.1294657631","56877.7155714973","5964.6190437234","4167.8337378577","3855.85028","2628","410.3076454883","233.0161398588","21.94","2.9","2.6558","1.416363","1.36487172","0.7630421048","0.2307972724","0.029345","0.0292625","0.0023876","0.0005826244","0.0005180492","0","0","486778.0557796156"
"2024-04-01","21909.949035751","15251.3185932484","7637.5493471767","5409.3035007605","699.4882522638","368.6677968248","0","216","22.6035076805","19.1520050226","1.49","0.2","0.0476","0.124989","0.113739336","0.0615490056","","0.0036","0.0029025","0.0002852","0.0000504343","0.000026514","0","","51536.0767807182"
"2024-05-01","19019.8732213409","12914.0139364072","6825.4478333545","4787.3406934327","696.8592865684","380.0661978289","0","223.2","25.1571663498","19.7904062306","1.36","0.2","0.0378","0.127479","0.1137392976","0.0624082872","0.0113635125","0.00356","0.002824","0.00029","0.0000518224","0.000027496","0","","44893.6682849287"
"2024-06-01","16228.9104831895","10756.6716099908","6599.5397119374","3477.0259281876","685.191464842","366.1477587792","0","216","27.6021256497","19.1520078355","1.72","0.2","0.091","0.110604","0.113739336","0.0620010056","","0.00273","0.002093","0.0002244","0.0000453446","0.000024059","0","","38378.5435515569"
"2024-07-01","15573.6239980426","10882.093319424","6858.7859647788","4069.6905108046","693.0484771386","379.0194667669","0","223.2","29.8628787073","19.7904284074","1.3","0.2","0.4039","0.107826","0.1137392976","0.0675193832","","0.00413","0.004087","0.0003292","0.0000538263","0.0000404697","0","","38731.316669247"
"2024-08-01","13071.4782362122","8862.70156002","6780.7390228719","3887.2597814337","541.1358535739","378.7759831997","0","223.2","29.7920999825","19.7904261575","1.11","0.2","0.4655","0.112509","0.1137392976","0.0640302872","","0.00298","0.0035415","0.0002452","0.0000514836","0.0000561069","0","","33796.9456163267"
"2024-09-01","14666.7025929161","10166.306454936","6223.6136992036","4512.4973547123","378.4270667627","325.6632156495","0","216","32.0459447623","19.1520088878","1.59","0.2","0.2548","0.108399","0.113739336","0.0618120056","0.0514514389","0.001495","0.0016965","0.00012","0.0000467166","0.0000504366","0","","36542.791948264"
"2024-10-01","16783.778419212","11774.0307867704","5103.9016787222","4625.1978606038","378.411440429","335.2903239327","0","223.2","34.8021412188","19.7904090163","1.61","0.2","0.7441","0.109962","0.1137392976","0.0666493832","0.0614489736","0.003195","0.0036225","0.0002532","0.0000537039","0.0000562054","0","0","39281.3161401689"
"2024-11-01","15012.7100328074","10383.26747311","4471.8460359833","4594.8892462394","378.41144043","324.2039088702","531.32745","216","38.3075199291","19.1520087689","1.57","0.3","0.1022","0.114003","0.113739336","0.064574","0.0927832836","0.00213","0.0023895","0.0001788","0.0000500535","0.0000517543","0","0","35972.4772158657"
"2024-12-01","15906.1086188256","11070.075628566","4522.2002512872","4799.2947759611","378.411440429","334.6543417427","876.83107","223.2","40.3416642898","19.7904099089","2.57","0.3","0.1183","0.1383","0.1137392976","0.063000484","","0.00192","0.0020845","0.0001508","0.0000510069","0.0000535136","0","0","38174.2158006124"
"2025-01-01","17939.763802414","12569.6570429916","4451.1731131853","5393.3937753299","378.411440429","335.4983817361","807.90596","223.2","41.6920874471","19.7904085545","2.61","0.3","0.1141","0.13737","0.1137392976","0.0639226128","","0.001605","0.0018035","0.0001304","0.0000471933","0.0000510046","0","0","42163.8287810958"
"2025-02-01","18805.3696621038","12281.7747873888","4646.5959423668","6245.4303069054","378.411440428","304.0225705079","779.59417","201.6","43.5156705797","17.875209175","2.28","0.3","0.1057","0.124473","0.1137392928","0.0629010704","0.0000036733","0.00135","0.0015105","0.000112","0.000042903","0.0000455061","0","0","43707.179637401"
"2025-03-01","19273.1953509843","12607.8762789036","4776.7368648954","5076.3918371263","378.411440429","335.8237920191","860.19163","223.2","44.5848388917","19.7904118938","2.73","0.3","0.1708","0.100449","0.1137392976","0.06267458","0.0137463905","0.00065","0.0007075","0.0000684","0.000038136","0.000034983","0","","43599.6953534303"
