"Service","EC2-Other($)","EC2-Instances($)","VPC($)","S3($)","ElastiCache($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","SQS($)","Textract($)","CloudFront($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Cost Explorer($)","Claude 3 Haiku ( Bedrock Edition)($)","Route 53($)","Bedrock($)","Service Catalog($)","SNS($)","CloudWatch Events($)","Lambda($)","Glue($)","Secrets Manager($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","Direct Connect($)","CloudTrail($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","223514.1875151728","58445.3147464702","12990.6844252809","12571.9662422061","9035.02024999","6029.0190364479","2848.86150653","2593.7028963855","711.0914120307","424.905","410.32256495","255.7377838429","234.8559352984","126.7710056432","73.58","45.475931","41.6821714","23.23702866","4.9371","0.8810571727","0.141294","0.1187884755","0.07203122","0.058045","0.0005820333","0.0005378942","0.000039","0.0000375369","0","0","0","330382.6249636412"
"2024-04-01","18457.4001831135","5062.9973761136","1074.9707165055","1275.712910443","686.024","656.485161377","144","221.894460923","58.6642204","","10.3621941","20.9646268545","60.2042684851","7.5550029473","10.72","","2.2077102","","0.0861","0.085707073","0.00968","0.0102202491","0.0046580064","0.007065","0.0000505373","0.0000278747","","0.0000071694","0","","","27750.3663473724"
"2024-05-01","18748.6944543039","5122.4351722298","1099.8808448472","1197.5838381713","697.008","667.3067815616","148.8","217.9547038927","40.528286","","26.93868585","21.8028977078","19.5168442136","8.257690872","5.05","","2.2022262","","0.0623","0.0827338076","0.012538","0.0101111466","0.00484604","0.007135","0.0000528685","0.0000288967","","0.0000060793","0","","","28024.1401776886"
"2024-06-01","18427.9178309707","4784.3558429546","1057.8657715824","1113.7737232279","700.80599999","592.1013466646","144","209.8747948843","39.0544012","","25.60639805","21.0995081901","5.4916151848","9.1170510711","4.77","","2.1355718","","0.1519","0.0840403579","0.011342","0.0100916148","0.0049666728","0.00535","0.0000467038","0.000024907","","0.0000238623","0","","","27138.2376418891"
"2024-07-01","18650.0468842467","4963.0689942964","1094.6191364892","885.4971670704","752.583","656.1822209062","244.8","215.422842258","51.43741","","31.4731106","21.8028214008","8.8888296106","9.226364856","11.53","0.08876575","2.1655396","","0.7882","0.0858954826","0.01267","0.0103525455","0.0074007184","0.008005","0.0000525513","0.0000420737","0.000039","0.0000004259","0","","","27599.7457448817"
"2024-08-01","18775.1510666564","4984.6316313287","1091.7853480786","770.8551948316","762.741","644.5078016045","520.8","212.4262976628","57.4062372","86.775","31.8475941","21.8028768317","11.0719286944","11.0544893","3.93","45.38716525","2.1376866","4.6972392","0.8988","0.0791264084","0.010562","0.0080830439","0.00876104","0.00602","0.0000524385","0.0000610041","","","0","","","28040.0200232736"
"2024-09-01","18692.6646178302","4579.8607979544","1052.0225602781","877.9333002794","736.113","371.1108509148","504","204.0598583527","57.1701148","338.13","30.88854615","21.0995600978","12.264310814","11.224763088","5.53","","8.5586882","18.53978946","0.4795","0.0603449749","0.012616","0.0092703326","0.0062796728","0.002905","0.0000455178","0.0000525698","","","0","","","27521.7417722873"
"2024-10-01","17751.9343592197","4523.6408624828","1087.4665766401","959.7423301403","887.7405","376.8084240149","337.401680695","207.748889622","60.4076000307","","39.3247736","21.8028460655","14.190010251","11.216872824","5.33","","2.3380118","","1.4644","0.0688101305","0.01193","0.0101581744","0.00988104","0.00637","0.0000537774","0.0000583745","","","0","0","","26288.6653988828"
"2024-11-01","17876.0096856796","4480.0554544053","1069.09143317","972.828587525","862.03","361.2942763378","204","208.5126690982","52.6422","","35.70420275","20.5311529376","16.2548157957","11.226440088","4.48","","9.5344656","","0.1778","0.0629728605","0.010838","0.0096719184","0.0062520064","0.004345","0.0000503983","0.0000530163","","","0","0","","26184.4673665871"
"2024-12-01","18386.1296010722","4781.2390970519","1142.6642596513","1084.4472293121","888.285","433.0614763581","169.059825835","226.2320039338","79.3383088","","41.1415955","21.6678616036","18.5112413185","11.272591824","5.73","","2.3637156","","0.203","0.070256144","0.012066","0.0103782413","0.0062237184","0.003735","0.0000508318","0.0000550983","","","0","0","0","27291.4495728943"
"2025-01-01","18685.2980460136","4929.4539475566","1115.4942691683","1210.5352816595","745.0165","450.2470886947","148.8","229.8483811714","80.4638476","","48.77552985","21.8028325452","20.2716953944","12.162254272","5.58","","2.4772788","","0.2009","0.0672715297","0.013022","0.0101956151","0.00469404","0.00319","0.0000488762","0.0000509262","","","0","0","0","27706.5263257129"
"2025-02-01","19165.2682438304","4583.4913719987","996.9011961727","1195.4111587526","629.5115","391.5418772726","134.4","212.3323471279","69.22377","","43.87007645","19.557962739","23.2151878684","12.2465906928","5.44","","3.1983028","","0.1806","0.0613624057","0.01168","0.0094702541","0.0050522248","0.00265","0.0000426351","0.0000470425","","","0","0","","27485.8804902673"
"2025-03-01","19897.6725422359","5650.0841980974","1107.9223126975","1027.645520793","687.16175","428.3717307411","148.8","227.3956474587","64.755016","","44.38985795","21.8028368693","24.9751876679","12.210893808","5.49","","2.3629742","","0.2436","0.0725359979","0.01235","0.0107853397","0.00301604","0.001275","0.0000348973","0.0000361104","","","0","","","29351.3841019041"
