"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","VPC($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Secrets Manager($)","SQS($)","Websoft9 Applications Hosting Platform for Redash($)","Cloud Native Database for MariaDB 10.6 (Ubuntu)($)","Identity and Access Management Access Analyzer($)","Cost Explorer($)","DynamoDB($)","Service Catalog($)","Route 53($)","Key Management Service($)","Athena($)","Lambda($)","CloudWatch Events($)","Glue($)","SNS($)","SES($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","Glacier($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","596744.6259717975","387344.7869395655","37499.9194314818","24854.0983830452","8331.9512735758","876","751.7408299679","283.0798740193","152.144863182","71.765","25.11","18.4","13.22","7.77888","2.6859","1.2","1.017207","0.290185","0.1184106487","0.098011","0.0618506737","0.0305771439","0.0016137635","0.0005726593","0.0005173247","6.88e-8","6.9e-9","0","0","1056980.1262919244"
"2024-04-01","14242.9371688593","16143.6950904354","3.8234814562","695.3118499645","393.5879754693","72","61.4499730362","9.3003372179","1.3354533692","","","","0.76","0.63936","0.0546","0.1","0.083847","","0.0067988655","0.003425","0.004628","0.0022117873","","0.0000499716","0.0000262685","","","0","","31625.0962767009"
"2024-05-01","30945.2322550123","25031.9346565915","524.719359979","1768.2299958492","482.3997253457","74.4","68.1610514794","16.049282958","2.2220108219","","","","0.61","0.660672","0.0413","0.1","0.086151","","0.0081520702","0.007341","0.004795","0.0027326213","","0.0000518224","0.000027987","","","0","","58914.8695615379"
"2024-06-01","46299.3990374388","28746.7593767824","1650.4124989034","2317.4881771309","671.4709112447","72","67.2819273701","18.9510916566","2.6582096219","","","","0.98","0.63936","0.0819","0.1","0.072807","","0.0103047932","0.008621","0.004979","0.0024116648","","0.0000448819","0.0000238135","0.0000000361","","0","","79848.3216823383"
"2024-07-01","52837.7210827367","33149.2552449791","2976.9550507614","2590.5334281205","850.4888141246","74.4","66.4674675556","23.673826914","3.8632532219","","","","0.55","0.660672","0.4018","0.1","0.072231","","0.010335435","0.011448","0.007525","0.0038185555","","0.0000528905","0.0000407444","","0.0000000069","0","","92575.1760920461"
"2024-08-01","62132.9413434978","37672.6125681928","3792.8684389694","2305.8415605558","759.3364611481","74.4","69.5971395978","27.9485106286","3.5339672219","","","","0.37","0.660672","0.4809","0.1","0.077064","0.290185","0.0079919811","0.010208","0.0066427745","0.0033114707","","0.0000505302","0.000055859","0.0000000327","","0","","106841.0870714604"
"2024-09-01","50742.8939879663","31483.4266293642","4264.7053445719","2077.5934335401","716.6095575916","72","63.6045074972","24.0301766348","1.9060696219","","","","0.87","0.63936","0.252","0.1","0.078771","","0.0093207196","0.009191","0.0048259744","0.002184956","","0.0000467166","0.0000498857","","","0","","89448.7354570403"
"2024-10-01","55214.4746080512","33955.1369637889","4163.8425594982","2182.4992830081","755.4896303638","74.4","57.6149284609","25.604750685","18.1256704505","","","","0.9","0.660672","0.7546","0.1","0.080727","","0.0103758257","0.007944","0.0066507072","0.0030226034","","0.0000532272","0.0000559714","","","0","0","96449.7124956415"
"2024-11-01","60323.5597152631","32498.0405772573","4112.8048383413","1991.9132162744","708.4986857261","72","58.2519200595","23.5964171904","22.3395172","","25.11","","0.96","0.63936","0.1099","0.1","0.082065","","0.0127046506","0.007125","0.0053749744","0.0022845633","","0.0000500535","0.0000517582","","","0","0","99838.0338033121"
"2024-12-01","52947.1775547837","35790.2583385716","3859.5327993661","2154.9610053725","724.4736751007","74.4","56.6699884868","25.34009047","24.1254700403","71.765","","","1.83","0.660672","0.1197","0.1","0.104793","","0.0103481887","0.008041","0.00554832","0.0021982894","","0.0000510069","0.0000530105","","","0","0","95731.5453270072"
"2025-01-01","55806.6487343881","37678.0671224974","3901.0513381265","2218.2052571603","733.1914253339","74.4","58.1782318997","27.7634082048","24.6643460125","","","","1.81","0.660672","0.1176","0.1","0.103293","","0.0106375654","0.007712","0.00418732","0.0023123625","0.001112734","0.0000486234","0.0000505071","","","0","0","100524.9874897356"
"2025-02-01","56379.4098164597","34994.9436360152","4044.2364246904","2109.479139756","718.3891244138","67.2","58.9301916477","27.8682754698","22.8949896","","","9","1.64","0.596736","0.1085","0.1","0.098664","","0.0101236075","0.00746","0.0041962832","0.0021316576","0.0005010295","0.0000419496","0.0000457543","","","0","0","98434.9199983343"
"2025-03-01","58872.2306673405","40200.6567350897","4204.967296818","2442.0420363129","818.0152877135","74.4","65.533502877","32.9537059894","24.475906","","","9.4","1.94","0.660672","0.1631","0.1","0.076794","","0.0113169462","0.009495","0.00249732","0.0019566121","","0.0000309855","0.0000357651","","","0","","106747.6410367699"
