"Service","EC2-Other($)","EC2-Instances($)","ElastiCache($)","S3($)","CloudWatch($)","Elastic Load Balancing($)","OpenSearch Service($)","VPC($)","Managed Streaming for Apache Kafka($)","DynamoDB($)","Relational Database Service($)","Elastic Container Service for Kubernetes($)","Direct Connect($)","Lambda($)","Elastic MapReduce($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","Elastic File System($)","Key Management Service($)","Step Functions($)","Cost Explorer($)","Route 53($)","Service Catalog($)","SQS($)","CloudWatch Events($)","SNS($)","Glue($)","Location Service($)","Simple Workflow Service($)","Systems Manager($)","CloudShell($)","Glacier($)","CloudTrail($)","Migration Hub Refactor Spaces($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","937193.0637629564","678688.3401604705","405636.7744746159","75122.1058675994","37942.8558040461","28661.3956340248","27543.7875190246","20629.5336208942","4712.9563468273","1906.2428218902","1833.3244407062","1752","921.640716165","852.2562855383","499.6041924906","479.1479015425","419.2839086311","155.8205207472","60.9211310576","26.5773177213","17.47","5.8","5.0351","0.9971156279","0.339138","0.3161733805","0.0754483512","0.019096","0.0005819443","0.000039","5.73e-8","2.75e-8","0","0","0","0","2225067.685119338"
"2024-04-01","75486.2308582037","53733.6399189367","40008.4315719365","7152.9611994607","3091.2231095482","2160.7086274578","11270.1616468513","1701.4991840776","388.6497829147","244.6416288312","146.1464410674","144","507.5828457494","63.2769136165","100.656","38.7463166587","24.2346797068","12.985043328","4.269103032","3.1700168358","1.31","0.4","0.0826","0.0952984","0.040344","0.0348897753","0.0048420192","0.001554","0.0000509896","","","","0","0","0","","196285.1844673971"
"2024-05-01","74927.5960375027","52176.1978128141","41352.9395588634","7439.7083515525","3114.223140687","2374.6659989061","11538.5695174135","1748.9712877535","399.2011308797","252.7956962899","148.269878717","148.8","235.7748388224","74.5252084609","104.045357481","39.0878202418","26.5722749429","12.9850434576","4.277364936","2.9750264079","1.03","0.4","0.0637","0.0944452","0.0377","0.0323985817","0.00507478","0.0016235","0.0000528378","","","","0","0","0","","196123.8463410294"
"2024-06-01","76134.0355405601","53214.143221392","37325.4556796681","9319.7638588614","3368.4118569408","2345.4709153418","4735.0563547598","1690.573546099","388.5174546036","244.2325994606","152.895442977","144","132.2192472674","58.1295839993","145.9997129838","36.7742850023","31.9959448444","12.985043328","4.229356032","2.4682081197","0.93","0.5","0.1659","0.0801124","0.025962","0.0239074976","0.0052510184","0.001544","0.0000462315","","0.0000000106","","0","0","0","","189489.0905753992"
"2024-07-01","77508.1023609489","54737.8133291616","37078.1249103972","6163.6206121568","3220.3596891318","2336.1251331584","","1770.459209233","399.0934945267","252.698084394","155.3089571835","148.8","46.0637843258","63.3308545783","111.2148086394","40.5760454668","34.6707405725","12.9850434576","4.226424936","2.1462876056","0.54","0.5","0.8134","0.0832692","0.02635","0.0366059753","0.0078129088","0.001643","0.0000535429","","","","0","0","0","","184087.7289045009"
"2024-08-01","80479.3117416643","59546.5517558363","36986.5460890524","6216.4015663642","3214.6865344195","2398.4531125852","","1764.858029101","398.9883806229","252.8000709985","155.3046855529","148.8","","71.0589712542","37.6883133864","39.1927309372","36.1221000944","12.9850434576","4.377784138","1.8429569268","0.36","0.5","0.9464","0.080836","0.024876","0.0300571257","0.0089959088","0.001594","0.0000524417","","","","0","","0","","191767.922677868"
"2024-09-01","80261.9992572009","54485.2867870384","35856.2382349993","5790.0991171265","3100.4453381811","2289.7403026373","","1719.1432612041","388.309417347","244.7474704933","152.9575450957","144","","67.6235775692","","38.3268133413","36.6219841889","12.985043328","5.26214004","1.795182363","1.75","0.5","0.4788","0.0771764","0.023594","0.020463008","0.0065540184","0.001554","0.0000455178","","","0.0000000056","0","","0","","184598.4396591038"
"2024-10-01","78451.0207024163","57749.8803385142","29211.7295192093","5899.3738952427","3194.0198472912","2465.7674322135","","1787.3400034949","398.9741761424","146.0507542824","155.3004439949","148.8","","81.6933422371","","39.9962214636","37.0392996762","12.9850434576","5.28467892","2.0494643955","2.13","0.5","1.4686","0.0832072","0.027182","0.0330082578","0.0100629088","0.001594","0.0000537138","","","","0","","0","0","179791.5588710322"
"2024-11-01","77340.5343855637","55440.1856772906","28287.2661957551","5525.8767145744","3102.0179117661","2321.5051944794","","1723.7947513088","388.1343931925","53.1908406077","152.9567137404","144","","72.931008966","","40.105705","37.5804174847","12.985043328","5.28179604","2.0135215521","1.43","0.5","0.1757","0.0803308","0.026314","0.0238635048","0.0064750192","0.001554","0.0000499153","0.000039","0.0000000467","","0","","0","0","174652.6045969355"
"2024-12-01","77752.2437414688","59940.0931034576","29245.7444350103","5595.7771334486","3198.6051581644","2494.2636784637","","1720.9179210647","398.7294114572","55.1520074887","155.3032254632","148.8","","78.3107373801","","39.3287098411","37.9993554336","12.9850434576","5.33997192","1.8385669241","1.89","0.5","0.1953","0.0797108209","0.02437","0.0237815626","0.0065259088","0.001614","0.0000508278","","","","0","","0","0","180884.1535535638"
