"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","VPC($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","Secrets Manager($)","Kinesis($)","DynamoDB($)","SQS($)","Cost Explorer($)","Service Catalog($)","Route 53($)","Key Management Service($)","Lambda($)","Glue($)","Athena($)","CloudWatch Events($)","SES($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","Glacier($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","398552.5307593933","301479.712880715","31077.2054677392","13749.7190956915","4819.673521827","1349.6174761324","876","161.817166881","153.5158032955","65.7513885823","13.5027709304","13.08","2.6971","1.2","1.004721","0.094282177","0.0611819433","0.05379","0.051169","0.0357499192","0.02546405","0.000580721","0.0005170735","2.84e-8","1.96e-8","0","0","0","752317.3508871197"
"2024-04-01","20116.96420122","3122.5814303652","198.4823891942","175.7572729053","306.3539323972","80.0652755693","72","6.8341083094","12.601700372","4.4878412192","0.689862037","0.7","0.0462","0.1","0.079719","0.0065536701","0.00464","","0.000594","","0.0018298653","0.0000499716","0.000026514","","","0","","","24097.7576266098"
"2024-05-01","23421.9218221426","5937.9251133578","829.3832268774","685.9381480458","337.6366436709","79.0696984391","74.4","9.4734058848","13.0350756315","4.7858690148","0.503236","0.61","0.0378","0.1","0.083907","0.0066663574","0.004802","","0.003244","","0.0021466337","0.0000522851","0.0000277415","","","0","","","31394.9208850824"
"2024-06-01","24990.3574009146","8511.9922067293","574.1351507256","985.8348064073","335.9649467866","81.3698388539","72","11.305929437","12.6224730415","4.9189599112","0.6353412","0.94","0.0833","0.1","0.073305","0.0064988048","0.004914","","0.003065","","0.0016617228","0.0000458073","0.00002455","","","0","","","35582.3498688919"
"2024-07-01","27325.5733333642","21334.8918066776","2045.5136892794","1289.065768044","361.5777025084","102.3856355407","74.4","12.270846133","13.046355174","5.3164199404","1.1376672","0.53","0.4032","0.1","0.071208","0.0067641165","0.007503","","0.00451","","0.0028749305","0.0000524136","0.0000404994","","","0","","","52566.3053768217"
"2024-08-01","29862.0773784577","29184.2023865453","2930.8660235183","1273.9012294777","354.5640541238","120.6942700488","74.4","12.9984080685","13.04775962","5.4937856622","1.1448528389","0.36","0.483","0.1","0.073917","0.0055442275","0.00641","","0.004351","","0.0025178938","0.000052437","0.0000556017","","","0","0","","63834.4259965212"
"2024-09-01","29124.4377225962","30106.9798627851","3451.1145617881","1252.3877314002","360.142206808","114.0395651072","72","13.8957316587","12.626388844","5.499881859","1.0286108","0.86","0.2492","0.1","0.071472","0.0079036529","0.004804","","0.004603","","0.0015395514","0.0000467166","0.0000501634","","","0","","","64515.4518827308"
"2024-10-01","36539.1395781835","30827.8604004223","3732.4711669145","1335.9830851331","382.2420634582","123.4644641597","74.4","15.1475251115","13.042328242","5.6901483532","1.4078792","0.9","0.7707","0.1","0.075183","0.0086094693","0.006513","","0.005037","","0.0026441825","0.0000532272","0.0000559638","","","0","","0","73052.7174350208"
"2024-11-01","36194.2213524522","30206.2242573022","3786.9470598651","1237.3293746464","433.1306053408","124.8009761017","72","15.0988205476","12.621765731","5.6553951287","1.4679516127","0.95","0.112","0.1","0.082329","0.0108904645","0.0053596792","0.0144","0.005195","","0.0020601794","0.0000495768","0.0000515091","","0.0000000196","0","","0","72090.779894157"
"2024-12-01","39388.4530754915","30472.6626717225","3213.5161784634","1411.7255475756","494.0043029919","125.2088685013","74.4","15.2698558614","13.045547649","6.0530052981","1.4792380194","1.82","0.1239","0.1","0.106884","0.0086505824","0.00545718","","0.004933","0.0007005803","0.0021248756","0.0000510069","0.0000532593","","","0","","0","75217.9910460586"
"2025-01-01","40564.3251665561","31559.6972975363","3241.6051392517","1413.1739972363","488.5079437342","128.6186964324","74.4","15.6761833847","13.0453123845","6.142069834","1.4239980097","1.81","0.1218","0.1","0.109389","0.0089098048","0.0040082128","","0.004717","0.0150839186","0.0028255965","0.0000486234","0.0000502638","","","0","","0","77508.7926367798"
"2025-02-01","39954.971597546","31695.5358458194","3355.2031222584","1301.0756277302","450.7141716141","128.5661075961","67.2","15.6795214668","11.761096606","5.6343318405","1.272944","1.64","0.1043","0.1","0.099234","0.0081647138","0.0043166192","","0.004876","0.0106562696","0.0018186295","0.0000424263","0.0000455077","","","0","","0","76989.5878206436"
"2025-03-01","51070.0881304687","48519.159601452","3717.9677596031","1387.5465070896","514.8349483929","141.3340797822","74.4","18.1668310176","13.02","6.073680521","1.3111900127","1.96","0.1617","0.1","0.078174","0.009126313","0.0024542521","0.03939","0.006044","0.0093091507","0.001419989","0.0000362292","0.0000354998","0.0000000284","","0","","","105466.270417802"
