Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
S3($),154077.3559369251,150929.3508792026,142292.8188817251,132616.381190522,133235.9448645007,134181.7810408609,140004.332970104,139000.7792543103,148682.5125343036,154668.4052150752,153587.2527962449,169784.9705527607
EC2-Instances($),139486.8801823402,137520.7810610134,137916.5726680113,137812.2561086607,138372.8799310474,132143.7236947714,136195.304551425,142571.0933476216,159776.8481816403,149288.0530910874,139126.9955771313,183587.3989366936
Elastic MapReduce($),92037.3936528748,83816.9232848848,92992.7824067524,95109.3050858444,97866.4183040336,97350.4025007524,104188.096267124,103882.0300856824,106103.9905572716,105133.0327643034,92929.4641299656,107482.8384027896
EC2-Other($),29273.7574011972,24707.3970410649,25394.6183437267,25572.147068074,24832.7545873499,23919.7907840597,21016.20057946,18591.272951135,18285.2199536311,18355.0254020493,18248.744796116,20542.1180576158
VPC($),3229.9493362679,3373.9944794991,3219.4497403222,3485.3884660895,3493.0386107212,3566.0732668151,4125.3536724165,3805.0001714959,4021.0576936509,4034.4049998391,3653.5826645858,4442.4745953582
Relational Database Service($),1612.3227287643,1665.1376512267,1614.5739013748,1793.5219850178,1848.1757459517,1485.3547274749,1492.4974081945,1449.6549585189,1492.5246288998,1493.6844342274,1368.2353176911,1501.6883698985
Elastic File System($),2160.6634802776,1610.0313895488,518.7715188623,538.4826434949,547.0656332304,538.577119339,553.1993368889,604.1276352791,648.5821018861,591.2691572547,534.511139386,728.564386554
CloudWatch($),784.9160616991,787.7912685877,796.2646852726,822.0993545611,805.4921095324,764.1441717899,816.6381655686,769.7861309991,760.5486749642,744.1551480271,702.7346189314,779.2642886033
DynamoDB($),460.4157822155,475.0202924676,460.5729432392,477.8490647073,478.5747194779,464.3635477777,479.8569622735,464.9531391103,480.4272863522,474.2211663862,436.8863487452,482.5956454594
Elastic Load Balancing($),560.2785413681,467.1514897742,397.7946572077,412.155504917,412.4664011844,398.9832354993,414.9170671786,400.9112405905,413.4877083231,412.8238743963,386.8270382892,406.9916212564
SES($),165.0447874161,199.0169710713,211.0328097208,227.9702446008,220.4245919974,208.7184328548,204.6175397185,130.2557578401,158.7363321034,189.2775329674,209.273055981,168.8220462598
Elastic Container Service for Kubernetes($),72.0,247.34994944,72.0,74.4,74.4,72.0,74.4,132.0,283.06015639,74.4,67.2,74.4
OpenSearch Service($),79.4138316921,81.9581249177,79.4154919514,81.9600793743,81.9791934946,79.4159343642,81.9609903116,79.420103678,81.9643825798,81.9625370306,74.3376579385,81.9772762304
Lambda($),52.6002588971,37.4192819338,38.8366545749,40.0775343578,32.2273949263,28.1747427917,50.0499744205,66.2894907336,91.5904911045,86.9018783872,73.4169755473,78.9168934045
Glue($),48.8605773674,49.7921637053,46.6754029616,46.4675294904,52.1739218225,53.067424464,56.337820107,54.6527940779,56.7366288455,57.3714724656,50.2501185163,52.6384302114
ElastiCache($),34.56,35.712,34.56,35.712,35.712,34.56,35.712,34.56,35.712,35.712,32.256,35.712
Key Management Service($),26.38713504,26.40865092,27.7008895955,29.04040692,29.53196592,28.8381335981,30.576950388,29.163798048,29.989898904,29.582966904,27.6215573423,30.152963904
Cost Explorer($),19.21,22.99,20.76,19.0,16.86,23.41,23.59,23.08,23.19,23.16,20.9,20.53
SageMaker($),21.055999968,21.74719998,21.055999968,21.74719998,21.74719998,21.055999968,21.74719998,21.055999968,21.74719998,21.74719998,14.059107813,
EC2 Container Registry (ECR)($),14.0512820512,17.3040697035,18.3558252728,18.4259185526,18.4411282622,18.5217600242,18.5274050928,18.52740504,18.5274050928,18.5274050928,18.5451065615,18.564678332
API Gateway($),13.07167988,13.29560624,14.56727202,14.99863008,14.26378856,12.50099326,12.5733377,11.6204368,12.67830242,12.29052356,11.09200834,12.095433
Secrets Manager($),11.92714,12.575618202,13.269525,13.503694331,13.57636546,12.57653,12.412683202,12.573985,12.868061589,12.804008847,12.6488285906,12.848947718
SNS($),0.4392256045,0.4526598766,0.4110868853,0.4347562375,0.4295711836,0.3918859216,0.4304666565,0.417689791,0.4272373959,0.4538891705,0.452627606,0.4616401577
SQS($),0.3254940136,0.3248716622,0.29396,0.309966,0.3023464136,0.2906824,0.3043792,0.3032152,0.31536,0.3281240272,0.3256877089,0.3285216136
Service Catalog($),0.0497,0.0371,0.0896,0.4088,0.4669,0.2513,0.7546,0.1029,0.1127,0.1176,0.1036,0.1666
Route 53($),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CloudWatch Events($),0.076851,0.155668,0.063902,0.082644,0.090424,0.065005,0.065234,0.074118,0.082732,0.073533,0.053998,0.101971
Athena($),0.039825,,,0.037105,0.037315,,,,0.00123,0.00231,,0.000705
Direct Connect($),0.0006693699,0.0004828926,0.0007862943,0.0006407618,,,,,,,,
CloudTrail($),1.8e-05,4.3e-05,6.9e-05,0.000129,0.000167,6e-05,0.000196,8.6e-05,0.000286,0.000357,0.000246,0.000325
Simple Workflow Service($),4.95089e-05,5.18224e-05,4.627e-05,5.28657e-05,5.14836e-05,4.48098e-05,5.12932e-05,5.00535e-05,5.00535e-05,4.95768e-05,4.2903e-05,3.05088e-05
Step Functions($),2.6023e-05,2.7496e-05,2.40599e-05,4.0728e-05,5.63802e-05,5.01773e-05,5.57089e-05,5.2007e-05,5.37582e-05,5.07552e-05,4.55108e-05,3.39777e-05
CloudShell($),,,3.58e-08,,5.02e-08,5.06e-08,,2.97e-08,,,,
X-Ray($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total costs($),424243.2476547616,406120.3193781332,406203.5090921046,399264.3638441686,402505.6752889638,395407.2330688246,409910.6578644126,412153.9067970099,441493.1398291395,435839.9886914104,411587.9710914457,490326.8233533074
