Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),66179.4252470866,69523.9322478824,72141.0533887334,75959.8360601694,77478.0793310374,74487.4571302982,71977.3932108993,57743.892418235,66623.5975551262,65919.2675756421,67897.1596856713,77070.8564127178
EC2-Other($),67375.5674077909,68418.5886865688,70430.3886127464,74459.2596611791,78324.2556522969,72755.5009784637,62926.5962720648,59646.4024858509,64909.4736780966,63174.414786612,64827.3481296518,63923.3804126664
Elastic MapReduce($),21583.0941825449,20162.6297311376,20117.6196132576,21452.1037185504,22160.8055011784,20917.1056389904,17858.0428735072,12858.0881765392,14195.0241167168,13863.5015677944,13207.9326323896,14563.713640718
S3($),5980.0577144906,6688.2659666727,8467.7489703046,11931.2100732281,10242.4094946238,7112.2273202359,7021.9876563442,6859.3556662594,7011.9752947152,8191.1704426989,7817.9124726941,8131.3027335539
Relational Database Service($),4358.2059637997,5590.1817009645,5095.0890198392,4788.1768251254,4796.5241734948,5398.9666966396,6274.5158950558,5981.8341105,5068.5139019721,4811.7061966743,4868.8487287634,5464.8762359303
SageMaker($),3988.1916263798,6976.8478592583,7382.2228187481,4247.9743248212,3794.6491629724,3673.3889797014,3608.1022236498,3461.5746425735,5293.2762915194,4129.9586565245,4372.7935078565,5396.1705166777
ElastiCache($),69.67,732.702,538.2378968031,452.1602571706,2690.5968443308,2603.830609757,3766.6019884907,4253.0190845062,5456.84725,4058.015,3657.0115,3980.9
CloudWatch($),1109.5375616555,1280.2348672534,1250.5132030399,1357.8532182978,1628.1578803722,3210.0578737851,3243.1435463434,3022.8204722833,3286.9190841352,3323.63805587,2939.9146136778,3353.0244317987
VPC($),1485.0967008482,1478.279172429,1501.9042322383,1548.2612469782,1524.6948602228,1494.0982904575,1568.8690412339,1586.0958752391,1786.0800217535,1829.5360335276,1743.0175509076,1894.0742995799
Elastic Load Balancing($),663.7918594351,915.5019576598,1071.4189026164,1067.2575645657,1006.5597524562,949.6218531318,1609.5889819976,1762.6855293949,1272.0124563133,1289.4256134659,1238.2119895628,1527.5523539265
Elastic Container Service for Kubernetes($),1052.627170056,965.927104025,1125.547658335,1116.0,839.714507085,656.6513025,372.0,551.160243528,1562.4,1582.847015972,1478.4,2068.8
EC2 Container Registry (ECR)($),166.6119536808,167.1639796373,167.2645195749,181.9336333887,203.6401875213,254.290359216,290.6798391439,299.0697886954,295.2605608563,319.2007450272,305.7362650885,311.4675716759
QuickSight($),168.000001344,167.999997312,191.0333348616,191.999996928,191.999996928,192.000001536,204.774190272,221.2333351032,239.99999616,262.74193128,263.9999932416,263.999995776
Elastic File System($),36.8382484344,41.0560412166,47.3033195784,86.9315763994,107.5301280453,116.9860864437,145.0564501168,202.6010749211,242.7657208128,300.0213578438,343.5900293528,353.8370417242
DynamoDB($),43.1794884357,83.0946148184,124.3169599234,128.5814959438,129.1042656459,124.3971579984,127.2307430731,115.2807669326,123.9732747161,124.2030353767,114.6194446928,126.5818441322
Key Management Service($),59.2661022418,56.301394056,56.7896790008,57.87022378,58.139497314,58.0884261225,56.326443448,58.0770684585,62.954252976,66.447080168,83.0917005879,82.81609312
Cost Explorer($),42.19,45.26,50.0,54.4,54.41,53.04,50.11,56.79,60.48,57.47,31.36,31.29
Glue($),17.5770671528,21.1756232456,22.4533610076,26.9285237239,33.2754575065,33.4036686352,33.7294118542,32.3263191251,47.346130676,56.0095799945,50.7901604584,56.0191249675
Route 53($),31.6042822,31.9247038,32.8355572,33.7433924,33.8535218,27.9530452,29.6800312,24.6606552,23.5047738,26.5328392,24.1991014,20.6265722
Identity and Access Management Access Analyzer($),,,,,,,,,,82.2,83.2,83.2
Secrets Manager($),13.3107822109,15.9751415622,16.2281138841,15.4283875671,15.5050727252,15.7655722251,16.1510919686,16.9667327731,19.63876752,19.6993525724,20.916620676,20.9315712616
Athena($),47.127345,18.288785,1.06235,0.81272,3.19083,1.62365,0.506855,0.611175,0.46307,3.850515,4.01355,4.039565
Service Catalog($),0.1967,0.0406,0.6671,6.5373,7.4949,3.6631,12.0351,0.9177,1.0808,1.1291,0.8659,2.303
Backup($),2.797349514,2.7973495141,2.797349514,2.7973495141,2.7973495141,2.797349514,2.7973495141,2.797349514,2.7973495141,2.7973495141,2.7973495116,2.7973495141
CloudTrail($),0.0,0.0,0.0,0.0,11.16338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQS($),0.209136,0.213346,0.2598464,0.2941288,0.3289360707,0.457329171,1.9434771979,1.1010217565,1.2453928462,1.2840566059,1.2903973972,1.9075579909
Direct Connect($),0.730585965,0.7529429708,0.9131708384,0.9583818062,,,,,,,,
Systems Manager($),0.05745,0.059035,0.055615,0.05972,0.05796,0.053195,0.05804,0.054569,0.055145,0.05515,0.049535,0.05329
Lambda($),0.0253656991,0.0209457419,0.0265908217,0.0163373114,0.0190939999,0.019144117,0.0587326456,0.0798223495,0.0912710997,0.0833754539,0.0926329397,0.1088878376
CodeArtifact($),0.0341722082,0.0258430454,0.0274691715,0.0265870094,0.0254107302,0.0253094003,0.0262086652,0.0277132912,0.0311861738,0.032934426,0.0320501508,0.0314661994
SNS($),0.0151573049,0.0152398927,0.0117720576,0.0220647219,0.0194780964,0.0219706203,0.0937668787,0.0161310554,0.0158814708,0.0135327597,0.0118573384,0.0094896951
CloudWatch Events($),0.007603,0.007356,0.006236,0.004725,0.005789,0.013623,0.009703,0.005691,0.006006,0.007842,0.032969,0.015874
FSx($),0.007641603,0.0076416023,0.007641603,0.0076416023,0.0076416023,0.007641603,0.007395099,0.007641603,0.0076416023,0.0076416023,0.0076416004,0.0076416023
Location Service($),0.001554,0.001604,0.001454,0.0016035,0.0016135,0.001554,0.001604,0.001554,0.001624,0.001584,0.001454,0.001624
Step Functions($),1.01071e-05,1.10106e-05,7.912e-06,2.48208e-05,3.69786e-05,3.04077e-05,2.19397e-05,1.16478e-05,9.8979e-06,8.4443e-06,7.1131e-06,3.191e-06
Simple Workflow Service($),1.81134e-05,1.8531e-05,1.3833e-05,2.18546e-05,1.55817e-05,7.4646e-06,1.65396e-05,1.10403e-05,9.6309e-06,8.1854e-06,6.9948e-06,3.1842e-06
Glacier($),7.544e-06,8.005e-06,7.6393e-06,7.5735e-06,7.7526e-06,7.2089e-06,7.8345e-06,7.6338e-06,7.7525e-06,7.641e-06,6.8756e-06,7.6712e-06
IoT($),,,,1.664e-06,,,,,,,,
CloudShell($),2.93e-08,,5.861e-07,,,3.19e-08,3.01e-08,,,,,
Migration Hub Refactor Spaces($),0.0,0.0,0.0,0.0,,,,,,,,
SimpleDB($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
X-Ray($),,,,,,,,,,,,0.0
Total costs($),174475.0534558757,183385.2735158134,189835.8057870694,199169.448795395,205339.0177303834,194143.5149028762,181198.1181690077,158759.55484501,177587.8385228537,173497.2699718769,175379.2494845945,188736.6966123124
