Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),66051.0863744512,60809.1348467395,58476.2520429307,58808.8469947285,60121.8464273996,63917.2679382836,75833.8509315363,70198.6205884922,71215.4220348074,74958.8493724218,71994.9428756756,81286.4837151952
EC2-Other($),30455.384406034,30132.1124627366,29845.3152059599,29765.1267722286,29598.3623241132,29761.9796395152,30022.270761704,30121.2894856509,30104.9353568532,30418.9040698956,30241.8313284714,30757.4618515084
S3($),18158.2864949536,16316.5982800329,16280.7777982063,16557.1753774934,14433.8919829571,14560.9552629997,13748.5666494924,11847.8534298853,11667.8789044487,11628.164078864,11327.7687657496,11633.898839637
VPC($),3115.6291806137,3141.8249186483,3053.6322289603,3112.7225185013,3138.9996001546,3154.5453585613,3511.6019619875,3367.5209340791,3458.567169397,3474.2401651101,3150.4250089555,3673.0727849107
Elastic Load Balancing($),3806.395700231,3753.8264604991,3596.0448384687,3291.7572108471,3132.2815708699,3030.5781774807,3087.7668756946,2919.3469384565,3069.9673112481,3052.5238144965,2780.4147188178,3091.4738204012
ElastiCache($),,,703.921,3302.052,2797.44,2707.2,2797.44,2707.2,2797.44,2797.44,2526.72,2797.44
Relational Database Service($),1659.0334139159,1768.4822435917,1725.1492145713,1756.601818259,1803.4183999956,1736.2892807222,1797.5651515044,1744.9174249906,1798.6043384025,1798.7546810724,1635.0916161508,1930.8040934135
Textract($),6745.7532,899.355,460.2915,778.149,693.672,797.0475,1558.1556,1347.942,1535.0604,1606.9968,1016.8485,3456.7878
Rekognition($),876.705718,1007.9419680014,996.039468,1223.5094680014,1273.5234680014,1354.029468,1542.9484680014,1586.067468,1735.6914680014,1771.3104680014,1418.0537180012,1673.3729060014
SageMaker($),1976.9962278044,1509.3309307092,1337.473264911,1721.3453530503,3408.592276483,2735.9442898874,96.5899651615,91.2037384862,93.7039343312,93.703426522,86.1719273411,93.6960298813
Elastic MapReduce($),2222.5529169736,1049.0693691478,900.9898874452,749.5413853998,686.4572613512,735.9361009842,823.2148778344,1424.368120778,508.8279187908,1195.8480963396,928.7321514536,1359.266677174
CloudWatch($),960.4376402318,1004.9277895725,994.2990514721,1004.4600010901,1010.0003324116,986.3890016646,991.829084856,1067.4042717381,1025.7321349359,1034.6571121147,987.2762392783,1104.5647945567
Elastic File System($),782.3120490412,825.6603400412,830.6724847653,871.4066582447,1171.1911137566,732.3921854976,174.539144672,166.2420787322,107.1095727866,102.7648284642,102.7648158414,102.7647922602
Elastic Container Service for Kubernetes($),867.970472085,647.893649025,218.96680264,223.2,233.975453778,287.955042111,297.6,468.0,700.314965,297.6,268.8,425.550074584
EC2 Container Registry (ECR)($),129.9839618504,140.0764952788,144.8726473996,147.0301014859,149.2676889364,152.0403081899,154.2680127822,155.1605856165,156.4933022342,157.9791561572,159.9831733923,167.7583638817
DynamoDB($),5.1223936862,5.2931399991,5.122390912,5.2931402987,5.2931403006,5.1223923351,5.2931402987,5.1186406452,5.2892622552,5.2892629652,4.7773987907,5.2892615452
Key Management Service($),2.266697016,2.279344968,2.2403062382,2.232919968,2.39276917,3.5744685821,4.262361592,4.2457784764,4.309416936,4.304652936,4.2649115839,4.44366175
SNS($),2.8373310138,3.1515733978,2.9926951085,3.0045839606,2.9174304186,2.7009237758,2.8572551554,2.702198785,2.7107153791,2.7536857703,2.4823505986,2.8070703241
Cost Explorer($),2.24,2.52,2.71,2.3,2.65,2.8,2.99,2.77,3.17,3.2,2.82,2.81
Secrets Manager($),1.6128405396,1.6116433616,1.6071083174,1.611472824,1.6042522864,1.9391355666,2.005464108,2.0074544604,2.005793624,2.006571796,2.0048938255,1.998528624
Lambda($),0.4445263058,0.4820009944,0.6418308736,0.6538757332,0.6339454305,0.6257224898,0.6940198458,0.6740999054,0.6930448959,0.7013626421,0.6429194441,0.7374835884
Route 53($),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Glue($),0.3540840064,0.342762552,0.3395943408,0.345519552,0.344400552,0.3395103408,0.3586699072,0.354474,0.3431515136,0.3559788688,0.347484016,0.3408528048
Service Catalog($),0.0546,0.0392,0.0882,0.4151,0.4802,0.2758,0.7455,0.1092,0.1274,0.1218,0.1113,0.161
SQS($),0.0165932171,0.0118536,0.0096136,0.0109516,0.0105432,0.0091548068,0.009666,0.00866,0.0084428,0.007466,0.0062256,0.0067236
CloudWatch Events($),0.018013,0.000721,0.000453,0.000407,0.000857,0.00049,0.000599,0.00127,0.000586,0.000736,0.000484,0.001015
Athena($),5e-05,,,,,0.00125,0.0002,,0.00015,0.0003,,0.00085
Simple Workflow Service($),4.95089e-05,5.18224e-05,4.627e-05,5.23783e-05,5.19603e-05,4.62399e-05,5.22738e-05,5.00535e-05,5.14836e-05,4.81467e-05,4.38564e-05,3.43224e-05
Step Functions($),2.62685e-05,2.7987e-05,2.47955e-05,3.9951e-05,5.60841e-05,4.99095e-05,5.62121e-05,5.17545e-05,5.3255e-05,5.05081e-05,4.55018e-05,3.85006e-05
CloudShell($),,5.52e-08,,,2.55e-08,,3.14e-08,,,,,
Direct Connect($),,,,7.5e-09,,,,,,,,
Glacier($),,,,,,,,5.4e-09,,,,1.4e-09
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),0,0,0,0,0,0,0,0,0,0,0,0
Cognito($),0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CloudFormation($),,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total costs($),137823.8949607481,123022.3670737615,119580.8496991864,123329.1927226034,123669.6475466362,126668.3384979438,136457.8244696511,129231.5289429914,129994.8068793794,134408.8779850927,128643.6828963456,143573.3930634662
