Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),33572.6587618848,26687.4750460457,26504.9859469943,24233.0391854359,25369.4207155126,24932.5447399313,25030.5096100846,22183.7428154527,23493.6865135541,25740.9987471718,27522.2780140238,31814.3165778376
S3($),22672.0515175546,22785.0146798305,23786.2462665224,25095.0490931886,25549.7096276465,26363.3720280596,28394.2125940648,27825.6561124419,30594.6392515423,27578.3132692516,26897.0932943772,28015.3401629193
Elastic MapReduce($),14405.3034701086,10011.2709991756,10630.2429518992,10458.2557144632,11038.1528474924,11145.1258722146,10783.4908149192,8902.0383115454,9434.6153133022,10497.5599212722,10751.7708763402,11911.8958786786
ElastiCache($),8480.076,8782.549,9225.21,9353.4715740091,9373.8754577603,9298.3630462754,10568.5173121024,10484.751933678,10898.7182548163,12874.2544690314,11079.97367804,11395.652650439
EC2-Other($),11557.5629334935,8682.7203544866,8572.1063122166,8479.9448626656,8520.4008018237,8370.963014991,8263.6640960207,7646.0249230938,7655.8823784596,8287.2130959293,8527.3923564202,9246.8391228888
Relational Database Service($),4317.7044628249,4670.6601652354,4486.8703751271,4473.3979299721,4476.3889004764,4351.9645932374,4478.7444670123,4350.8010287155,5157.7048761903,5177.5075082379,4907.5625869008,5417.9438584335
Managed Streaming for Apache Kafka($),4706.6570092448,4674.7837694952,4708.7266297153,5395.4697556854,4213.2743273806,1256.8784491746,1282.114161222,1238.8854207383,1260.9963418137,1200.8168621661,1087.6004341847,1197.9475438706
Elastic Load Balancing($),4114.5956380965,2633.038396922,2379.044318104,2509.7211103102,2972.0847049539,2845.9637171467,2776.8533431967,2401.0857693742,2494.8754897868,2229.2632253772,2253.2473078099,2534.6060416162
EC2 Container Registry (ECR)($),1211.0936496974,1328.85810412,1397.2337375669,1432.9276344135,1464.376105421,1512.4114551626,1550.9927139913,1577.1445833067,1603.0677456718,1616.9160591088,1648.1397297105,1684.5182296671
DynamoDB($),1461.9183982188,1313.7931103517,1278.3951831611,1344.3167365045,1260.4515201499,1462.3478481898,1300.769452568,1245.9831451026,1492.0337432225,1366.6145711292,1300.72927019,1371.4276339321
Athena($),1704.30913,1575.347745,1556.228845,1150.978215,1367.735665,1190.817485,1363.0225,1188.257805,1084.01021,305.36628,480.862225,444.0639
CloudWatch($),1047.6005675563,1035.7753060931,885.524823839,923.668822686,1018.8982233404,786.1415625216,793.0069120149,755.9571692607,772.4995096785,764.6626514312,791.5426691442,862.7326142734
Systems Manager($),0.000546,0.0,0.0,0.0,0.000195,0.000195,0.0,862.42124,1599.50244,1834.80068,2430.36162,2527.38702
VPC($),648.9385162139,665.7644436302,619.302316992,638.0176966132,635.5335786867,614.6430050459,624.645234026,502.3410016118,514.4225064435,497.6917955196,444.1054669342,493.3932023143
Transfer Family($),216.0679930421,223.4652915989,216.5911292957,223.5735056027,223.2,249.331377022,446.4710107817,432.07738222,446.9071344247,446.9747173046,404.1416301198,447.0669524323
Elastic Container Service for Kubernetes($),228.494108889,223.2,216.0,223.2,223.2,216.0,223.2,276.0,237.900283335,223.2,201.6,331.2
Glue($),44.1083711719,43.2386288284,43.170685225,44.9030719445,43.6523265268,45.550078473,47.118939448,38.3938528745,36.1308967466,36.7349876661,35.5789786159,40.656817367
CloudTrail($),34.4881488243,29.848334023,30.0350123875,28.6935812027,29.6664135921,26.8295666585,23.355068063,23.0574909197,26.1882386692,27.1701456137,30.410735372,33.8567661862
Key Management Service($),19.2786563726,18.504551712,18.430860144,18.416573712,18.430370712,18.418626144,18.426157164,18.408180144,18.502958712,18.494738712,19.4810458488,21.386501664
Secrets Manager($),6.5506983124,6.9476350843,7.0792044524,6.84910137,6.932913754,7.2009116348,7.22253133,7.2143866348,7.2138359,7.536116809,9.0158276209,21.3091619297
Route 53($),8.5768232,7.8903112,7.950555,7.8455628,8.9105884,8.3780262,7.0476532,6.1907354,6.9505572,7.3086482,7.0223906,7.6377532
WAF($),8.324714256,7.328110488,7.000000056,6.999999888,6.999999888,7.000000056,6.999999888,7.000000056,6.999999888,6.999999888,6.999999888,6.999999888
Cost Explorer($),2.92,2.08,1.34,1.29,1.05,0.97,0.98,0.95,1.82,1.82,3.05,2.4
Lambda($),1.6367899363,1.8282284864,1.4222175876,1.2648822722,1.4035244753,1.2881782572,1.5399422682,1.4173212045,1.4161873973,1.0922719782,1.2356012017,1.6164420092
Elastic File System($),0.8163364524,1.1002126344,0.7797758622,0.6734444546,0.5940522874,0.6320842432,0.5614738115,0.6475954802,0.6160694968,0.5848996818,0.5345481237,0.5979822948
Backup($),0.437063082,0.5342631822,0.57858562,0.6074177112,0.6196773895,0.6382009244,0.6448983743,0.6612147496,0.6756882855,0.6830097677,0.683776877,0.6929426708
CodePipeline($),2.0,3.0,0.0,2.0,0.0,0.0,,,,,,
CloudFront($),0.3367623487,0.3245044695,0.2505120231,0.4331754847,0.3441733636,0.2846062,0.360080836,0.3484298,0.459536,0.4144683436,0.3806940739,0.3798556235
API Gateway($),0.4393009201,0.4469888971,0.4425331653,0.3453141446,0.3916952069,0.3295918632,0.3643784935,0.3444752806,0.3078943602,0.0706404942,0.1220743499,0.1829440514
Compute Optimizer($),0.2419353867,0.2499999027,0.2419353867,0.2499999027,0.2499999027,0.2419353867,0.2499999027,0.2419353867,0.2499999027,0.2499999027,0.2258063547,0.2499999027
Service Catalog($),0.0532,0.0378,0.0882,0.3955,0.7105,0.2597,0.7532,0.112,0.1253,0.1253,0.1064,0.1617
CodeBuild($),0.882,0.816,0.096,0.0,0.076,0.0,0.0,0.0,,0.0,0.0,0.0
SNS($),0.0187604948,0.019229327,0.0090698183,0.0135507823,0.0120914944,0.0065620301,0.0115398235,0.009518933,0.007443001,0.0061420503,0.3651760642,0.9704581837
DevOps Guru($),1.08784,0.028,0.0206,0.032,0.02412,0.01156,0.026,0.01724,0.01468,0.01252,0.01024,0.00516
CloudWatch Events($),0.020005,0.013749,0.012024,0.011144,0.014264,0.010997,0.012913,0.010241,0.009632,0.010781,0.015187,0.019275
DocumentDB (with MongoDB compatibility)($),0.002903472,0.00290346,0.002903472,0.00290346,0.00290346,0.002903472,0.00290346,0.002903472,0.00290346,0.00290346,0.002903376,0.00290346
SQS($),0.0013712,0.0013912,0.0010648,0.0016316,0.0012972,0.00058,0.0012824,0.0008604054,0.000752,0.0006348054,0.0005428673,0.0002628
Keyspaces (for Apache Cassandra)($),0.0006924029,0.0006923387,0.0006924058,0.0006923398,0.0006923411,0.0006924007,0.0006921703,0.0005770007,0.0005769945,0.0005769947,0.0005769604,0.000576994
Amplify($),0.0001396934,0.0001498595,0.0001362197,0.0002093721,0.000137163,0.0001398657,0.0001374677,0.0001378653,0.0001582938,0.0001997162,0.0001392594,0.0001377852
