Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),25486.9425174574,26166.8384899534,25808.869860194,24746.4098351825,25333.165055393,25675.1924298813,26523.8775892588,27142.7921574405,27169.9398107886,27572.8658526422,26923.6166355359,27720.5832101165
EC2-Instances($),18864.1908084289,19563.7091384509,18873.92876856,19732.8771099089,20318.2159371468,19246.8932309612,22239.5891989914,21076.3961846779,21074.8831728014,20769.2572970055,19379.7871253371,21795.1843946656
S3($),5504.4064522469,5758.6530255116,5232.9547140134,4951.2023557672,5214.5399554152,5330.7056650196,7756.9836342203,6838.8991712812,6890.8456278999,4659.321288321,4360.3052985453,4556.85818772
Elastic Load Balancing($),2859.1140293694,3237.7069651127,3011.4069813553,2953.4147546443,2734.3826486131,2707.6789148177,2780.7874592451,2833.4942270425,2866.8511604043,3051.1062298741,2730.2008899191,2909.8250767615
Elastic MapReduce($),506.9854592008,445.313675308,194.0158651172,383.9178916792,872.5107523028,494.1145402884,925.3945571524,609.4477981528,294.3175531,337.9249400656,325.9969824444,747.0723240832
VPC($),349.2032481657,388.1804146567,540.5609625633,555.3771255454,536.718525389,535.0984713418,551.2042130066,535.8510169387,479.4299726678,463.6466537847,431.2103149015,501.5646238445
CloudWatch($),437.6408630625,451.2400124182,446.6449058706,473.4615677532,504.7803267555,485.3843656287,477.4747686447,462.4488989819,470.7944010708,492.8026161262,442.05040766,489.9587688981
Elastic Container Service for Kubernetes($),360,372,360,372,372,360,372,360,372,372,336,372
Athena($),328.720875,341.63212,341.8535,440.903305,388.28596,565.137005,465.355285,465.23387,312.445885,210.49772,171.26765,215.51108
WAF($),2403.4471703873,1126.6100931366,6.0333333816,6.00806442,6.0483870012,6.041666715,6.0725805486,6.0583333818,6.00806442,6.024193452,6.0446427042,6.104838615
Transfer Family($),,188.9898943868,216.0470923344,223.2883594053,223.5563654088,216.1593726102,223.3719198396,216.1712274483,223.3743352926,223.3713304692,201.7485827091,223.3578747058
EC2 Container Registry (ECR)($),118.349076652,138.4542999757,132.5773509192,143.4902394622,137.0783836585,137.9263478303,139.3829444699,141.4142879686,145.5473524791,148.1727636443,151.9915219386,154.1312433961
Kinesis Firehose($),643.5898853493,298.8879836854,,,,,,,,,,
Secrets Manager($),30.9945822191,33.0566022554,33.3949900284,34.199401054,34.604258734,34.6503266793,35.465918524,35.7554616348,35.7742711008,35.984037012,36.9429666573,37.368307472
SES($),30.0570525696,25.2047939151,22.0913150534,19.8109125406,18.7748720245,18.6045433301,20.1174774478,18.6756748856,41.5158468219,44.4798520748,40.6793635413,40.0503111669
DynamoDB($),6.8376202828,7.2674114443,7.0329802828,7.2674114787,7.2674109629,7.0329797572,7.2674115844,7.0329797572,7.2674115832,7.2674115838,6.5641149629,7.2625275717
Elastic File System($),11.2520597949,7.0529455326,7.0538820653,7.0600726639,7.1192454071,7.1453613449,6.5406910313,4.9918618987,5.017231105,4.9700536365,4.9773103212,5.0498754519
Backup($),6.296020884,6.2969756431,6.2989810736,6.301779247,6.3126150955,6.3255605809,6.3384938594,5.9047679808,1.8824847,1.8956564882,1.9066728216,1.918482318
Key Management Service($),5.2035415934,3.487739694,3.425079024,3.401396952,3.40194792,3.3768106905,3.41999592,3.433425024,3.524111436,3.516473436,3.486323419,3.385940952
Service Catalog($),0.2079,0.0378,0.6818,6.1054,7.3885,3.5448,12.1527,1.0262,1.1438,1.1459,0.9044,2.3352
Route 53($),10.1734074,5.0557118,1.2891416,1.1518374,1.0715102,1.0429254,1.0501696,1.0539,1.0379612,2.5281476,1.0310586,1.3348506
Cost Explorer($),0.75,0.63,0.94,0.53,0.37,0.89,0.94,1.0,1.86,9.42,1.69,1.99
Relational Database Service($),0.777302247,0.777302246,0.777302247,0.777302246,0.777302246,0.777302247,0.777302246,0.777302247,0.777302246,0.777302246,0.777302246,0.777302246
CloudFront($),1.4802578005,0.7873411589,0.7703506887,0.611280946,0.5063578322,0.3323526733,0.4045787218,0.1673626772,0.1973812269,0.1694772494,0.2000630463,0.1718847805
Bedrock($),,,,,,,,,,0.0061092,1.93602168,0.17862984
Glue($),0.0230810224,0.024255732,0.0194750224,0.0412130536,0.0335860536,0.0163976888,0.037109732,0.0205670192,0.0190872128,0.0140958584,0.0136396016,0.00502718
SNS($),0.0110701331,0.0135908731,0.0115620148,0.0178964784,0.0139922444,0.0102691236,0.0177219374,0.0137156632,0.0139651349,0.0138451009,0.012181363,0.0108179684
CloudWatch Events($),0.006078,0.004699,0.004223,0.00469,0.002266,0.001751,0.008493,0.009005,0.009273,0.010896,0.008978,0.010615
Rekognition($),,,,,,,,,,,0.062814,
Lambda($),0.0003050643,0.0006035369,0.0007277771,0.0009996611,0.008658579,0.0028073226,0.0032110036,0.0037759461,0.0097711216,0.0104809064,0.008551761,0.0091122057
SQS($),0.0053560346,0.0050536,0.0039376,0.0058024,0.0043188,0.0020364,0.0046648,0.0030484,0.0026116,0.0022836,0.0019352,0.0011008
API Gateway($),,0.000279367,0.0003874936,0.0006548596,0.0082258579,0.0025001931,0.0026750889,0.0026229022,0.0027109768,0.0027170451,0.0024716544,0.0027022051
Glacier($),8.54275e-05,0.0001130166,0.0001024757,8.93542e-05,8.4854e-05,7.91797e-05,8.42471e-05,8.21993e-05,8.72477e-05,8.86188e-05,8.46465e-05,7.9062e-05
