Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
Savings Plans for  Compute usage($),84907.4246546325,82418.6210050872,51795.5440664768,57095.6174377542,41891.0339961804,46131.0254303619,2601.4361544743,2375.7954130618,1113.7596261182,352.390829074,0.0,0.0
ElastiCache($),16710.3924,16353.764,30780.68142002,24561.20266671,17210.98751996,14148.864,4.16832019,0.0,0.0,26.26831987,0.0,0.0
Relational Database Service($),8499.70749111,3311.44806036,0.45710647,105.19497499,24.69306949,0.0,7.41881753,4.20443,0.0,801.31066087,708.8218729,0.0
Cost Explorer($),659.3558246881,599.1201877846,607.2573969356,642.241370645,599.9618731831,629.7667488816,603.9161501398,581.6449998066,627.9590300001,549.3855782487,611.5870642167,604.0257129354
OpenSearch Service($),297.073,369.024,2675.32987686,246.69637403,429.48900582,483.84,444.416,322.56,333.312,333.312,301.056,359.9754046191
QuickSight($),267.320000592,267.3199988328,267.320000592,267.3199988328,267.3199988328,267.320000592,267.3199988328,267.320000592,267.3199988328,362.2928467757,517.3143369917,573.1901552295
Savings Plans for  Machine Learning($),2.3e-09,0.0,0.0,8.3731599838,19.9824181991,411.5056034519,1450.8726976387,0.0,0.0,0.0,0.0,0.0
Redshift($),829.934167,,,,,,,,,,,
S3($),40.0833870163,40.8193367878,38.249058004,41.7820747102,40.6914847208,40.4054721638,42.7876808329,42.9550283881,40.0722618369,40.178241873,40.4688531617,53.2658288283
Glue($),11.2493150927,11.8719568462,12.5436109239,12.1917458069,12.8060934215,12.1975159262,13.1114042456,14.2789259905,13.504992004,14.1649728255,12.8748562996,34.607742658
Athena($),,,,,,,,,,,,51.322635
Service Catalog($),0.182,0.0378,0.6713,6.1187,7.4494,3.5203,12.0351,1.0101,1.211,1.211,0.9513,2.2645
Config($),0.42,0.434,0.42,0.434,0.434,0.42,0.45,0.42,0.434,0.451,0.392,0.557
EC2-Other($),,,,,,,,,,,,5.0632150682
Lambda($),0.1560920752,0.1611504519,0.1574382426,0.1618875073,0.1606345548,0.1544322373,0.1602736861,0.1550426671,0.1602995593,0.1603396929,0.1448808557,0.1680589332
Key Management Service($),0.11976,0.127233,0.110082,0.112791,0.115347,0.112734,0.113961,0.116931,0.140583,0.143184,0.132489,0.103167
VPC($),,,,,,,,,,,,1.39354306
EC2-Instances($),,,,,,,,,,,,0.6512370143
Secrets Manager($),0.057125,0.06026,0.04606,0.071565,0.050575,0.024215,0.052095,0.037565,0.030935,0.026085,0.02268,0.011045
CloudWatch($),0.0056398826,0.0061214219,0.0059562494,0.00610504,0.0060191209,0.0057411725,0.0062094513,0.0058464398,0.0060223975,0.0062296021,0.0059912329,0.2577809274
Bedrock($),,,,,,,,,,,,0.167005304
SQS($),0.0047316,0.004772,0.0036968,0.0056492,0.004058,0.0019084,0.0041732,0.0027108,0.0024124,0.0020584,0.0017168,0.0010524
SNS($),0.0017774668,0.0017206722,0.0012481396,0.0024976247,0.0020232084,0.0009667357,0.002114521,0.0014164094,0.0012088564,0.0010744298,0.0008765032,0.0005315497
Systems Manager($),,,,,0.00297,,,,,,,
Glacier($),7.75463e-05,0.0001025118,9.17202e-05,9.67837e-05,8.36552e-05,7.81351e-05,8.12202e-05,8.76228e-05,7.68128e-05,6.96755e-05,6.83423e-05,7.74104e-05
Step Functions($),1.0206e-05,1.0685e-05,7.94e-06,2.41366e-05,3.63302e-05,2.86234e-05,2.15415e-05,1.16448e-05,9.8575e-06,8.5054e-06,6.8965e-06,3.3653e-06
Simple Workflow Service($),1.78002e-05,1.85049e-05,1.35981e-05,2.20284e-05,1.5138e-05,7.6473e-06,1.69617e-05,1.08054e-05,9.5526e-06,8.1693e-06,6.6033e-06,3.1059e-06
CloudShell($),,,,,3.14e-08,,,,,,,1.406e-07
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Total costs($),112223.487471711,103372.8217349463,86178.7984309722,82987.5331417836,60505.1906218466,62129.1651833287,5448.2712704659,3610.5085202283,2397.9144662281,2481.3045070119,2193.7749998036,1687.0256995493
