Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),21909.949035751,19019.8732213409,16228.9104831895,15573.6239980426,13071.4782362122,14666.7025929161,16783.778419212,15012.7100328074,15906.1086188256,17939.763802414,18805.3696621038,19273.1953509843
Elastic MapReduce($),15251.3185932484,12914.0139364072,10756.6716099908,10882.093319424,8862.70156002,10166.306454936,11774.0307867704,10383.26747311,11070.075628566,12569.6570429916,12281.7747873888,12607.8762789036
S3($),7637.5493471767,6825.4478333545,6599.5397119374,6858.7859647788,6780.7390228719,6223.6136992036,5103.9016787222,4471.8460359833,4522.2002512872,4451.1731131853,4646.5959423668,4776.7368648954
EC2-Other($),5409.3035007605,4787.3406934327,3477.0259281876,4069.6905108046,3887.2597814337,4512.4973547123,4625.1978606038,4594.8892462394,4799.2947759611,5393.3937753299,6245.4303069054,5076.3918371263
Relational Database Service($),699.4882522638,696.8592865684,685.191464842,693.0484771386,541.1358535739,378.4270667627,378.411440429,378.41144043,378.411440429,378.411440429,378.411440428,378.411440429
VPC($),368.6677968248,380.0661978289,366.1477587792,379.0194667669,378.7759831997,325.6632156495,335.2903239327,324.2039088702,334.6543417427,335.4983817361,304.0225705079,335.8237920191
Systems Manager($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.32745,876.83107,807.90596,779.59417,860.19163
Transfer Family($),216.0,223.2,216.0,223.2,223.2,216.0,223.2,216.0,223.2,223.2,201.6,223.2
CloudWatch($),22.6035076805,25.1571663498,27.6021256497,29.8628787073,29.7920999825,32.0459447623,34.8021412188,38.3075199291,40.3416642898,41.6920874471,43.5156705797,44.5848388917
Elastic Load Balancing($),19.1520050226,19.7904062306,19.1520078355,19.7904284074,19.7904261575,19.1520088878,19.7904090163,19.1520087689,19.7904099089,19.7904085545,17.875209175,19.7904118938
Cost Explorer($),1.49,1.36,1.72,1.3,1.11,1.59,1.61,1.57,2.57,2.61,2.28,2.73
Route 53($),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Service Catalog($),0.0476,0.0378,0.091,0.4039,0.4655,0.2548,0.7441,0.1022,0.1183,0.1141,0.1057,0.1708
Key Management Service($),0.124989,0.127479,0.110604,0.107826,0.112509,0.108399,0.109962,0.114003,0.1383,0.13737,0.124473,0.100449
EC2 Container Registry (ECR)($),0.113739336,0.1137392976,0.113739336,0.1137392976,0.1137392976,0.113739336,0.1137392976,0.113739336,0.1137392976,0.1137392976,0.1137392928,0.1137392976
Glue($),0.0615490056,0.0624082872,0.0620010056,0.0675193832,0.0640302872,0.0618120056,0.0666493832,0.064574,0.063000484,0.0639226128,0.0629010704,0.06267458
Lambda($),,0.0113635125,,,,0.0514514389,0.0614489736,0.0927832836,,,3.6733e-06,0.0137463905
Secrets Manager($),0.0036,0.00356,0.00273,0.00413,0.00298,0.001495,0.003195,0.00213,0.00192,0.001605,0.00135,0.00065
SNS($),0.0029025,0.002824,0.002093,0.004087,0.0035415,0.0016965,0.0036225,0.0023895,0.0020845,0.0018035,0.0015105,0.0007075
SQS($),0.0002852,0.00029,0.0002244,0.0003292,0.0002452,0.00012,0.0002532,0.0001788,0.0001508,0.0001304,0.000112,6.84e-05
Simple Workflow Service($),5.04343e-05,5.18224e-05,4.53446e-05,5.38263e-05,5.14836e-05,4.67166e-05,5.37039e-05,5.00535e-05,5.10069e-05,4.71933e-05,4.2903e-05,3.8136e-05
Step Functions($),2.6514e-05,2.7496e-05,2.4059e-05,4.04697e-05,5.61069e-05,5.04366e-05,5.62054e-05,5.17543e-05,5.35136e-05,5.10046e-05,4.55061e-05,3.4983e-05
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),51536.0767807182,44893.6682849287,38378.5435515569,38731.316669247,33796.9456163267,36542.791948264,39281.3161401689,35972.4772158657,38174.2158006124,42163.8287810958,43707.179637401,43599.6953534303
