Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
Bedrock($),,3.03350496,9670.44004998,21290.98023046,26708.71367363,55279.94938479,89805.6263634,114750.11430315,144223.77576685,189769.3773366,4999.533260328,4855.538555194
EC2-Instances($),1301.7817893537,1646.8607557477,2520.7562646785,3700.9939508323,4301.97856041,4255.1007188355,3995.9951335891,3626.0539721698,7654.5343599924,9343.7144931131,10570.4367877702,12319.9889320284
EC2-Other($),1156.0593421069,1377.1961736436,1788.3692348663,2214.2251088337,2292.4381125181,2316.9233298013,2588.4584364203,2642.487718855,3510.5025352697,3945.4665338544,4055.3732266472,4571.28662529
VPC($),817.9447470642,847.2369880638,1193.2095825532,1293.4003419841,1304.9597542647,1328.4382990743,1414.3538848256,1373.4458610385,1409.7940000971,1451.5797430686,1303.2604918818,1365.6136851006
S3($),713.4253996526,536.0513529307,454.4287460888,485.8454810497,528.2796284835,553.5346277935,572.4690519162,574.6404822448,724.9302775943,1006.7461721783,1117.8972056917,1244.0823447621
Elastic Load Balancing($),278.1511644197,311.4217344825,335.4614982861,337.5789176805,331.1592687806,332.606387074,343.8941925215,319.6671232086,384.4313580567,401.0206065674,374.8773101525,484.079598322
SageMaker($),,,,,3401.8473704475,,16.3524610769,19.1532587847,12.7679999832,12.7679999832,12.768,12.7679999832
Elastic Container Service for Kubernetes($),152.406704445,148.8,144.0,148.8,148.8,144.0,148.8,144.0,148.8,148.8,134.4,148.8
CloudWatch($),42.8599979701,56.3236482223,60.7774138396,61.7758560367,59.4560932509,54.4263181234,46.9420880468,40.5357067948,80.2902374625,135.192618126,207.6686109605,263.2362820443
Direct Connect($),0.0529493515,0.0263923507,0.0265000006,0.0106820424,,,,,,46.5,364.2401356113,446.5338437165
Kinesis Firehose($),90.544804478,100.4299880986,84.301491657,99.6666639839,92.3800992641,81.8134386844,48.8594087708,25.6002289873,29.5148402878,33.3480525497,32.6725121187,35.6828556047
CloudWatch Events($),59.6750329593,69.4105543246,60.3088779,75.4070653,69.0926967,54.0941358,31.9118901,14.875288,16.598597,17.701555,16.692333,18.100361
EC2 Container Registry (ECR)($),19.2086983209,20.5710142672,23.1648566624,23.8203832328,25.8181169956,32.1789470796,33.7369600796,34.5142021974,38.8167395495,42.83825408,58.9976948928,64.8367645852
Secrets Manager($),17.7228955244,20.8123313915,23.6001438954,24.9400093096,26.3779806182,27.7920939062,29.7340141664,31.2976794594,33.860670357,34.5421805334,36.6521595469,38.1606907928
Lambda($),10.1892193767,30.0746120445,21.9339628943,24.9163404204,23.9395898699,21.1628275889,14.5121733935,8.21522064,13.8818888348,22.2925469702,20.6409063535,22.4986400371
Resilience Hub($),15,15,15,15,15,15,15,15,15,15,15,15
ElastiCache($),,,,,,,1.76,20.062,20.832,20.832,18.816,31.19225
OpenSearch Service($),,,,,,,,,,,,71.0125274616
WAF($),6.000000048,5.999999904,6.000000048,5.999999904,5.6516464926,5.00000004,4.99999992,5.00000004,4.99999992,4.99999992,4.999999872,4.99999992
Key Management Service($),2.363285016,2.368930968,2.324993016,2.329285968,4.352017776,4.349527032,4.349319592,4.331794032,4.387371936,4.392150936,4.3475678976,4.320048936
Service Catalog($),0.0847,0.0616,0.1638,6.7445,7.9583,3.8724,12.7036,1.1543,1.3111,1.3202,1.0115,2.5165
Cost Explorer($),2.18,2.39,2.47,2.03,1.41,3.39,3.67,3.21,3.07,3.07,3.03,3.29
Claude 3.5 Sonnet ( Bedrock Edition)($),,,,,,,,,,,9.903264,3.979068
Claude 3 Sonnet ( Bedrock Edition)($),,,,,,,,,,,0.176577,11.743092
Route 53($),0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Claude 3.7 Sonnet ( Bedrock Edition)($),,,,,,,,,,,,6.009261
SQS($),0.3032463311,0.3344531466,0.3380272994,0.3600527656,0.3322175,0.2953413694,0.3076718,0.3002057,0.2770777242,0.315426573,0.2646197414,0.2996513
Systems Manager($),0.0,0.0,0.0,7.8e-05,0.0,0.0,7.8e-05,0.16,0.29,0.29,0.282,0.29
SNS($),0.0096494551,0.0226245008,0.1149207987,0.0159579593,0.0148791478,0.0094860988,0.0149643861,0.0112720862,0.011806618,0.0117357961,0.0096655391,0.0082765978
Glue($),0.004836,0.0050250304,0.005207,0.0366720304,0.0356390304,0.0177,0.0405740304,0.020509,0.0190340304,0.0141140304,0.0134801504,0.00485274
Step Functions($),2.8109e-05,2.86155e-05,2.54028e-05,2.90187e-05,4.12904e-05,3.32114e-05,2.40049e-05,1.2791e-05,0.033189928,0.0557554961,0.0500539491,0.049023635
Transcribe($),,,,0.1589088,,,,,,,,
Claude 3.5 Haiku ( Bedrock Edition)($),,,,,,,,,0.1129808,,0.0016152,0.0182352
Polly($),,,,0.018284,,,,,,,,
Elastic File System($),0.00036504,0.0003650808,0.00036504,0.0003651705,0.0004644926,0.000518328,0.0005194434,0.000522072,0.0005220648,0.0005220648,0.0005220768,0.0005220648
DynamoDB($),0.0001007924,5.6916e-05,5.69646e-05,5.508e-05,5.6916e-05,5.5599e-05,5.6916e-05,5.37333e-05,5.6916e-05,5.6916e-05,5.39391e-05,5.66865e-05
Glacier($),,,,7.69569e-05,8.64129e-05,7.44413e-05,8.14731e-05,8.24417e-05,7.19279e-05,6.65177e-05,6.31928e-05,6.20947e-05
Simple Workflow Service($),5.09823e-05,5.23851e-05,4.66975e-05,2.69301e-05,1.60329e-05,7.6666e-06,1.71832e-05,1.14326e-05,9.5495e-06,8.2314e-06,6.8864e-06,3.3368e-06
Backup($),1.7277e-05,1.72794e-05,1.7277e-05,1.72794e-05,1.72794e-05,1.7277e-05,1.72794e-05,1.7277e-05,1.72794e-05,1.72794e-05,1.72788e-05,1.72794e-05
CloudShell($),,3.94e-08,3.14e-08,,,,,,1.897e-07,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),,0.0,,0.0,,,0.0,,,0.0,,
CloudFormation($),,,,0.0,,,0.0,0.0,0.0,0.0,0.0,
Elastic Container Registry Public($),,,,,,,,,,0.0,0.0,0.0
Total costs($),4686.6690240739,5195.1322043937,16407.8960828776,29815.755341029,39350.6963276041,64514.6556696146,99135.1929823352,123654.5518261361,158333.5445102189,206462.8901463852,23364.7176416786,26046.6406267135
