Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),55208.8350409981,57326.7198366438,58965.0201635477,57921.018442965,58699.2808537917,55544.3506803897,46277.3550760655,38632.940162435,36622.7945584923,34413.8535230443,32695.845206929,31910.0859838432
EC2-Instances($),31065.0876495791,31823.4487504536,31047.8470457721,31803.0852642616,31250.8662119526,29187.1973064296,30516.8446008396,29790.0746257773,29847.1903867508,33298.3705465498,34213.6641015225,38318.9662129918
S3($),6871.5098680859,11790.8101039173,9486.0006733025,10682.7647929424,10736.9381764288,8436.1536514802,10419.8692203435,10096.357327023,10242.9024385416,10869.1536199936,11408.4656418224,13375.034368049
ElastiCache($),5920.8861884067,6091.2861848071,7607.227190443,7645.3591286297,8032.0440604292,7907.637058654,8020.4390442608,7555.8555217613,7691.6000243866,9153.0565199203,7853.0267725729,7849.9107709858
Elastic Load Balancing($),4490.5179570402,4576.4351985655,4256.7885603687,4113.9395401903,4247.5464705287,3709.8548615942,3587.8165716862,3492.180685767,4040.8842553256,3746.7985411461,3475.1083395566,3583.2567911951
CloudWatch($),3079.9483267401,3106.8105457325,2990.7612105451,3014.897935103,2986.8135010945,2812.8608407556,2839.4090871714,2300.0446485296,2218.5515262726,2204.2509828791,614.4586584676,489.848456834
Relational Database Service($),1654.7485539589,1670.5339450206,1654.9507824937,1670.6042446488,1670.5145582879,1654.9590792824,1670.4716117151,1654.634825473,1670.5790269807,1670.5351130333,1623.5814193242,1670.8422836654
Elastic Container Service for Kubernetes($),1080.258291834,1338.064824418,1476.472570945,1562.4,1577.401497945,1512.0,1562.4,1572.0,1934.4,1995.873537305,1272.045392138,744.0
VPC($),851.9878128346,884.9492814763,801.4954090559,741.4233031723,920.2207799746,926.7010608757,967.9819033855,938.8009147018,902.6589485576,956.4241767651,896.953603299,914.5434968998
Elastic File System($),210.5761754994,223.1540630675,217.2389143291,265.091462676,252.5528570159,249.2860579072,319.0575223905,308.7883421665,358.2103995677,600.0896277149,554.6267062438,352.3760732554
Directory Service($),302.5576374712,312.1618207161,302.5282898174,312.5181592927,312.5155358279,302.5151643295,312.538633867,302.3141792805,312.5547973114,312.4577817254,282.00730849,312.2639796502
CloudTrail($),0.0,742.378112,2391.94036,529.634468,0.0,0.0,0.0,0.0,0.0,0.0,2.81176,0.0
Transfer Family($),216.0205386177,223.2071573074,216.0084739196,223.2078994775,223.2108379747,216.011406783,223.2101199639,216.0074126602,223.2097784155,223.2100973407,201.608370761,223.2112129706
Route 53($),90.934519994,110.5490765986,109.209647194,109.1969881986,107.7283875986,102.831809594,87.3200447986,79.339632994,101.2742923986,105.0456498438,110.0666773992,94.5157369986
WorkSpaces($),79.18,78.34,78.76,79.18,78.76,78.76,78.76,78.76,78.76,78.76,78.76,78.76
SES($),49.899999948,49.8999999766,49.899999948,49.8999999766,49.8999999766,49.899999948,49.8999999766,49.899999948,49.8999999766,49.8999999766,49.8999999792,49.8999999766
Global Accelerator($),18.0000651415,18.6000398662,18.0000469024,18.6000470876,18.6000458459,18.0000381762,18.6000419701,18.0000355925,18.6000583073,18.6000276036,16.8000256571,18.6000381562
Backup($),6.8889018926,7.2396975623,7.60626456,9.9489518406,17.564211248,13.9486588487,15.1536358488,15.8936505253,14.0340107417,29.211349461,40.017877706,29.091546599
CentOS 7 (ARM) with Support by Supported Images($),,,61.6,137.2,,,,,,,,
Config($),21.225,17.988,14.097,12.558,12.498,12.429,10.776,9.792,10.674,16.647,10.635,14.019
Elemental MediaLive($),7.2,7.44,7.2,7.44,7.44,7.2,7.44,7.2,7.44,7.44,6.72,7.44
Cost Explorer($),6.44,6.52,6.74,6.43,6.25,6.56,6.79,6.65,7.71,7.7,6.96,7.28
Key Management Service($),4.379608032,4.368267936,4.3415444764,4.320948936,6.050429844,7.316179056,7.330989286,7.3057248337,7.390074888,7.392075888,7.3450831544,7.287363286
Secrets Manager($),4.0760283652,4.0870723222,4.0478778096,4.087249634,4.2049659222,4.4222616587,4.4595951115,4.4355605476,6.8216322596,11.1220278284,11.4480095433,11.435657718
Glue($),4.0436230352,3.9660736795,3.8725419719,4.0932529322,3.9249819388,3.869062016,4.0892598936,4.0398646856,4.07054716,4.0662166738,3.972121752,3.9035871392
Service Catalog($),0.1932,0.0385,0.6825,6.0802,7.5096,3.6708,12.0715,0.9597,1.1529,1.0913,0.8687,2.2995
Athena($),1.321355,5.834465,6.68854,1.46443,1.06679,0.00227,,0.0002,,0.1172,,0.0001
CloudFront($),0.9852783777,1.2981089948,1.1855018677,1.6596537274,1.5415350241,1.2588078481,1.436708215,1.3960791179,1.6320731747,1.5378480209,1.4001902893,1.08276065
EC2 Container Registry (ECR)($),0.318434832,0.3184349016,0.318434832,0.3184349016,0.3372200802,0.835165029,1.2800304648,1.567616616,1.5676167792,1.5676167792,1.5676168032,1.5676167792
DynamoDB($),,,0.298368,,0.2442,0.63936,0.660672,0.63936,0.660672,0.6607654825,0.596736,0.660672
SNS($),0.0786310808,0.0786023593,0.0791191546,0.0877815644,0.0866730366,0.0820129119,0.1551783613,0.0773942511,0.0993953373,0.2237865983,0.064358275,0.0705227737
Lambda($),0.0161643238,0.0167529872,0.0148877763,0.0179110884,0.0170907775,0.0145170406,0.0137672931,0.0139545774,0.0147937434,0.015565473,0.0151813589,0.0193527828
CentOS 7.9 (ARM) with support by Fleximg - Kernel 5.10($),,,0.16,,,,,,,,,
Systems Manager($),0.0,0.0,0.000156,0.0,0.0,0.0,0.0,0.02203,0.02203,0.04255,0.02203,0.02203
SQS($),0.0051956,0.0053716,0.0041076,0.0060096,0.0046112,0.002208,0.0048884108,0.0033332,0.0028404,0.0023992,0.0020272358,0.0012088
Glacier($),6.9922e-05,9.30417e-05,8.66021e-05,9.04326e-05,8.5127e-05,7.11184e-05,7.30042e-05,6.89991e-05,7.69238e-05,7.53623e-05,6.42204e-05,6.49687e-05
