Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),82864.9688134349,74535.8955568021,75435.1419843534,74116.8868110287,69900.640761805,63423.3238773322,64979.9881285981,65159.3248587139,65595.9905522455,66491.2135274767,67035.0384862887,63768.3475832127
EC2-Instances($),55367.6452081841,49437.0557982338,47157.2947193803,46128.0841738378,47088.7402736437,49123.8196489651,53736.6796557195,51944.4394316724,54109.0901721785,55309.1704412036,52412.5343630899,56148.2683205272
S3($),13414.8415440722,13100.1452654858,12986.8532972172,13050.2309335684,13927.0003310384,11434.6639307248,11905.2212120808,12250.7132564773,12596.4203975687,12941.5348073784,13258.249028887,13792.7094517232
Elastic Load Balancing($),3436.0058627765,3274.4321506649,3503.3865999848,3617.4608726218,3678.2428673152,3875.7797583418,3467.8865389058,3052.288117763,3046.8143990263,3044.6385344232,3559.0149782261,3095.9883718194
CloudWatch($),2718.764164295,2545.5204094545,2444.2383542825,2541.2290471457,2620.0604790825,2583.9788247724,2913.9069900057,3219.6136812095,3240.2298089466,3701.8887188537,2753.9042684098,2924.524313835
Elastic File System($),2061.0608340297,1922.5458052416,1843.3500159042,1812.7202087582,1834.3048872843,1778.6652054395,1828.230632827,1802.2772688903,1878.093458365,1961.5249327197,1853.2182134668,2031.5050028595
VPC($),1851.5285454971,1825.9832640261,1766.0920465389,1781.4648371066,1771.1859815667,1787.0178684671,1873.8363404887,1809.4390130434,1803.982595316,1706.7781439618,1509.4106829168,1626.4053842328
ElastiCache($),1339.2,1383.84,1339.2,1383.84,1383.84,1339.2,1383.84,1339.2,1383.84,1383.84,1249.92,1383.84
Network Firewall($),1692.1059293162,1460.3661541076,1552.7264902608,733.7277277208,668.5933325702,642.8867034671,667.4055382742,647.7933917148,667.5648778233,663.4819224028,604.4565292707,666.4607343818
OpenSearch Service($),614.0463894903,634.2071408621,614.0469255205,634.2064806052,634.2069498932,614.0466797731,634.2072699175,614.046600458,634.2065445902,634.2065698772,573.7256179445,634.2061490955
Direct Connect($),1083.6315914658,1167.7276508993,1421.627613871,1092.7083208654,220.9422805219,212.5223744439,217.0126703133,219.9912998467,230.2694364472,230.9940987005,171.2460023213,177.6968460709
DynamoDB($),199.7527453157,205.4788059673,198.7345367394,201.5646097528,210.3066572438,204.629648516,207.3835782172,198.6929091215,210.5296198117,209.1660871519,189.4475567579,211.4153607406
Elastic Container Service for Kubernetes($),258.21594597,135.65614275,144.0,148.8,148.8,144.0,148.8,144.0,148.8,148.8,134.4,148.8
Athena($),99.392385,121.640805,131.70925,151.043815,172.34243,184.87681,205.995485,223.07706,248.7421,264.302795,9.003305,
SQS($),62.8187597294,89.8027561701,67.7385243303,92.0709962271,135.2675344,99.5486413761,100.0426164,114.5036776,170.4198612,88.2057255575,51.8218872,55.874113655
Backup($),207.860677502,116.669769191,90.2802195721,76.8743384216,67.1605393974,59.8885202344,59.0957989846,62.632425353,66.443058971,74.7776535974,83.239017132,92.9193376241
QuickSight($),72.000000576,71.999998848,72.300000576,71.999998848,71.999998848,72.000000576,71.999998848,72.000000576,71.999998848,71.999998848,71.9999981568,71.999998848
Lambda($),62.6105789401,57.1880622459,54.9077652555,61.2202770308,60.1619400124,58.3038632246,72.914173279,68.0436934048,63.8198721711,70.8207054282,74.2106690932,76.728724285
Key Management Service($),29.257024896,29.581339536,30.0478175697,32.03271584,33.509822472,33.500499264,33.462980634,33.7159060438,35.491382452,36.552347424,36.515489616,37.299856572
Global Accelerator($),18.0008216446,18.6006531975,18.0022102282,18.6006948191,18.6035557797,18.0007127232,18.6009528372,18.0009671326,18.6011364339,18.6011364354,16.8180879951,18.6011788037
Secrets Manager($),27.3837866826,13.4180809814,13.4996166428,13.608531141,13.4871692055,13.4104749761,13.4708453345,13.4575849761,13.415286141,13.5462657087,13.8266906888,13.8102712959
EC2 Container Registry (ECR)($),0.2998098,1.5702669697,3.448732771,8.8713732814,12.3523425969,12.782522736,12.7825224912,12.782522736,12.7825224912,13.2621363784,14.4889294624,15.1210152132
WAF($),6.000000048,5.999999904,6.000000048,5.999999904,5.999999904,6.000000048,5.999999904,6.000000048,5.999999904,5.999999904,5.9999998464,5.999999904
Route 53($),0.8022296,2.4135048,2.4453338,2.4244926,0.909786,0.8667488,19.6071934,0.6187576,0.5541682,0.6914752,1.4308756,0.5386742
Cost Explorer($),2.33,1.73,0.98,0.58,0.41,2.99,3.9,2.07,1.83,2.47,3.78,3.51
Service Catalog($),0.0847,0.0616,0.1582,0.7917,0.9338,0.4935,1.4308,0.1848,0.2107,0.2121,0.1827,0.3234
Config($),0.309,0.078,0.522,0.576,0.342,0.171,0.006,0.486,0.099,0.006,0.024,0.177
CloudWatch Events($),0.169433,0.141505,0.126606,0.129258,0.163454,0.170045,0.192651,0.178508,0.179514,0.1764,0.160885,0.214775
SNS($),0.0552885348,0.058933517,0.0438941398,0.0556742494,0.0569779094,0.0469025592,0.0617737454,0.0490383289,0.0498418039,0.0486161738,0.0416191221,0.0445264515
Glue($),0.0046140192,0.0049212128,0.0049980192,0.0077592128,0.00882918,0.0062930184,0.00986318,0.0065430192,0.0063102128,0.004997554,0.0052020176,0.00302346
Relational Database Service($),0.003343536,0.003343536,0.003343536,0.003343536,0.003343536,0.003343536,0.003343536,0.003343536,0.003343536,0.0033412902,0.0033434688,0.003343536
Simple Workflow Service($),4.95894e-05,5.23799e-05,4.62438e-05,5.40093e-05,5.19698e-05,4.69495e-05,5.37688e-05,5.03953e-05,5.17748e-05,4.88706e-05,4.35925e-05,3.29877e-05
Step Functions($),2.75933e-05,2.86224e-05,2.4907e-05,4.28722e-05,6.07495e-05,5.28686e-05,5.8156e-05,5.32887e-05,5.43442e-05,5.09336e-05,4.60401e-05,3.66177e-05
Systems Manager($),0.000156,,,,,,,,,,,
IoT($),3.3732e-05,,,,,,,,,,,
CloudShell($),,,,,2.34e-08,,,,,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),0.0,,,,,0.0,,,,,,
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),167491.1502942709,152159.8177656068,150898.9111676924,147779.8150880041,144680.5784379489,137727.5944981331,144583.9756658465,143029.6307609492,146256.4800648029,149088.9195784533,145688.1185166113,147003.3368269524
