account_id,account_name,month,aop_amount
352506242819,payments-platform_prod_ocl,2024-04-01,1000000
628412515026,Datalake AWS,2024-04-01,506000
567423616371,parent account_ocl,2024-04-01,438000
469795226344,billing account_ocl,2024-04-01,355800
590183666588,ppsl-pg2-prod,2024-04-01,293000
968032760053,Fraud AWS,2024-04-01,275000
002637409966,user-management-prod,2024-04-01,250000
340077773684,Paytm Financial Services,2024-04-01,237000
762730909359,PM-Equities,2024-04-01,225000
746682193773,cds-clm,2024-04-01,196000
899249751508,PayTm DaaS ML,2024-04-01,192000
075790327284,cdp_growth marketing_ocl,2024-04-01,185000
304016915943,payments-data-rtdd_prod_ocl,2024-04-01,180000
424503791295,merchant-payments-api_prod_ocl,2024-04-01,175000
471112571211,ppsl-dwh-prod,2024-04-01,148000
272415727726,Paytm Ads,2024-04-01,147000
564188254156,Lending DataScience,2024-04-01,130000
211125515568,risk-ocl-tpap,2024-04-01,121000
656952484900,Paytm Money,2024-04-01,108000
898496923608,games_pfg,2024-04-01,104000
445736908015,recharge bill payments_ocl,2024-04-01,103000
705108899578,daas-managed-services,2024-04-01,93000
479671683529,cdp risk_ocl,2024-04-01,90000
767397937234,ppsl-risk-prod,2024-04-01,85000
003079193758,IOT Prod,2024-04-01,75000
811134095225,AWS DaaS,2024-04-01,75000
423969094700,push_notifications_ocl,2024-04-01,71000
189893850600,pa-prod,2024-04-01,67000
381492193378,pml-datalake,2024-04-01,63000
359716425895,Travel Aws,2024-04-01,63000
901553615594,merchantdashboards,2024-04-01,60000
590183673148,ppsl-rtdd-prod,2024-04-01,60000
755560366148,SAP-HANA,2024-04-01,60000
210577074618,recon_prod_ocl,2024-04-01,50000
637423614657,pml-oauth,2024-04-01,50000
659606126372,URJA MONEY PVT LTD,2024-04-01,46900
752518464574,User Preferences System,2024-04-01,40000
753168370952,hawkeye_ocl,2024-04-01,35000
529444375373,PIBPL Payer,2024-04-01,35000
182401677120,onboardingengine,2024-04-01,34000
761904723706,kyb,2024-04-01,34000
546818093346,verifierAWS,2024-04-01,31000
233815244996,payment-platform_nonprod_ocl,2024-04-01,30000
758230397644,Mall Bangalore,2024-04-01,29000
419830208690,AaaS-prod,2024-04-01,28200
028914776520,edc_prod_ocl,2024-04-01,26000
906954799739,Nearbuy,2024-04-01,25500
929265682896,payment-non-prod,2024-04-01,23000
161115069565,infosec-soc,2024-04-01,22000
495419344110,incentive,2024-04-01,19500
522974168642,chat_ocl,2024-04-01,19000
663804405009,movies_ocl,2024-04-01,18000
155772818492,Insider (Events),2024-04-01,18000
251917288737,IT Production,2024-04-01,17500
090436275138,Digital Channels,2024-04-01,17000
252197745876,AWS InfoSec,2024-04-01,16500
Equity DR,Equity DR,2024-04-01,16000
654654208887,ppsl-recon-prod,2024-04-01,15000
992382517474,ppsl-central-tools,2024-04-01,15000
952840895893,User Management,2024-04-01,15000
474140895141,Enterprise SMS,2024-04-01,14000
471112548387,ppsl-affordability-prod,2024-04-01,14000
647564693872,aml-prod,2024-04-01,13000
072401294672,DMS AWS,2024-04-01,12000
698979518480,bitbucket_ocl,2024-04-01,12000
984308723723,digital_saas_ocl,2024-04-01,12000
730335596554,ppsl-aml-prod,2024-04-01,11800
576293063887,digital_insurance,2024-04-01,10200
128131020113,pa-nonprod,2024-04-01,10000
905418390117,ppsl-pg2-nonprod,2024-04-01,10000
767397827620,ppsl-oauth-prod,2024-04-01,10000
685585466397,recon_nonprod_ocl,2024-04-01,10000
337158390682,commoninfra_ocl,2024-04-01,10000
442231926211,lending-vkyc,2024-04-01,9800
340677782776,aoa-prod,2024-04-01,9000
977469002159,ppsl-oe-prod,2024-04-01,9000
066636274316,central_app_tech_web_ocl,2024-04-01,9000
848332057417,mloyal_prod,2024-04-01,9000
407648374860,IT_BACKUP,2024-04-01,9000
885068115609,pai-sre,2024-04-01,8000
538615689396,Pandora AWS,2024-04-01,8000
064619502227,CentralToolsPlatform,2024-04-01,8000
239103975135,QR,2024-04-01,8000
153518195166,cdo-non-prod,2024-04-01,8000
914516902729,finance_support_ocl,2024-04-01,8000
798411736697,ncmc-acq-rupay-switch,2024-04-01,8000
997924011427,ckyc,2024-04-01,8000
480732456233,dms-prod_ocl,2024-04-01,7800
337891198417,digital_cst,2024-04-01,7200
700271710604,labs-llm,2024-04-01,7000
851725496687,pml-oauth-dr,2024-04-01,7000
318633126153,AWS SMS,2024-04-01,7000
211125336551,pml-infosec,2024-04-01,6000
562921704166,paytm-ups,2024-04-01,6000
767397730150,ppsl-mo-prod,2024-04-01,6000
789596305652,regular_mf,2024-04-01,6000
054736913503,scp-mgv,2024-04-01,6000
492902601864,ncmc_acquirer_ocl,2024-04-01,6000
058264391305,pml-storefront,2024-04-01,6000
442447453008,Digital Gold,2024-04-01,6000
131752971524,loyalitypoints,2024-04-01,5800
New 1,<Place Holder for NOS Account>,2024-04-01,5000
477161539263,ticketnewprod (Ram),2024-04-01,5000
