"Service","Savings Plans for  Compute usage($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","Secrets Manager($)","S3($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"Service total","1236.7030942037","54.905986393","17.3264","0.680214","0.520965","0.4994614809","0.0010581917","0.0001876651","0.0001661802","0","0","0","0","0","1310.6375331146"
"2024-04-01","","0.04","0","0.001599","0.000425","0.0001381962","0.0000024619","0.000000075","0.0000001911","0","0","0","0","","0.0421649242"
"2024-04-02","","0.07","0","0.001599","0.000595","0.0001381962","0.0000025731","0.000000105","0.0000001911","0","0","0","0","","0.0723350654"
"2024-04-03","","0.04","0","0.001764","0.000595","0.0001381962","0.00000257","0.000000105","0.0000001911","0","0","0","0","","0.0425000623"
"2024-04-04","","0.01","0","0.001722","0.001275","0.0001292312","0.0000025863","0.000000225","0.0000004368","0","0","0","0","","0.0131294793"
"2024-04-05","","0.01","0","0.001512","0.001785","0.0001381962","0.000002537","0.000000314","0.0000006006","0","0","0","0","","0.0134386478"
"2024-04-06","","0.01","0","0.001344","0.002125","0.0001381962","0.0000026611","0.000000359","0.0000005733","0","0","0","0","","0.0136107896"
"2024-04-07","","0.01","0","0.001764","0.00204","0.0001381962","0.000002415","0.000000373","0.0000006552","0","0","0","0","","0.0139456394"
"2024-04-08","","0.01","0","0.001722","0.00221","0.0001390052","0.0000025951","0.000000401","0.0000006825","0","0","0","0","","0.0140746838"
"2024-04-09","","0.01","0","0.001722","0.00221","0.0001381962","0.0000027472","0.000000312","0.0000007098","0","0","0","0","","0.0140739652"
"2024-04-10","","0.01","0","0.00147","0.00204","0.0001398284","0.0000030516","0.000000342","0.0000006825","0","0","0","0","","0.0136539045"
"2024-04-11","","0.01","0","0.00147","0.002465","0.0001389962","0.000002904","0.000000401","0.0000007644","0","0","0","0","","0.0140780656"
"2024-04-12","","0.01","0","0.00147","0.002635","0.0001390225","0.000002935","0.000000415","0.0000007917","0","0","0","0","","0.0142481642"
"2024-04-13","","0.01","0","0.001722","0.00255","0.0001381962","0.0000027814","0.000000443","0.0000008463","0","0","0","0","","0.0144142669"
"2024-04-14","","0.01","0","0.001722","0.00238","0.0001381962","0.0000028825","0.000000444","0.0000007644","0","0","0","0","","0.0142442871"
"2024-04-15","","0.01","0","0.001428","0.002465","0.0001381962","0.0000028378","0.00000043","0.0000007917","0","0","0","0","","0.0140352557"
"2024-04-16","","0.01","0","0.001722","0.002465","0.0001381962","0.0000028407","0.000000429","0.0000007917","0","0","0","0","","0.0143292576"
"2024-04-17","","0.01","0","0.001722","0.00221","0.0001381962","0.0000027045","0.0000004","0.0000006825","0","0","0","0","","0.0140739832"
"2024-04-18","","0.01","0","0.001722","0.00221","0.0001398284","0.0000027271","0.000000387","0.0000005733","0","0","0","0","","0.0140755158"
"2024-04-19","","0.01","0","0.001722","0.002125","0.0001381962","0.0000029175","0.000000358","0.0000007098","0","0","0","0","","0.0139891815"
"2024-04-20","","0.01","0","0.001176","0.002125","0.0001381962","0.0000027669","0.000000401","0.0000006552","0","0","0","0","","0.0134430193"
"2024-04-21","","0.01","0","0.001218","0.00221","0.0001381962","0.0000028095","0.000000387","0.0000006825","0","0","0","0","","0.0135700752"
"2024-04-22","","0.01","0","0.001638","0.00221","0.0001381962","0.0000028612","0.000000356","0.0000006006","0","0","0","0","","0.013990014"
"2024-04-23","","0.01","0","0.001722","0.002465","0.0001398223","0.0000027264","0.000000343","0.0000006825","0","0","0","0","","0.0143305742"
"2024-04-24","","0.01","0","0.001764","0.001785","0.0001381962","0.0000023938","0.0000003","0.0000006006","0","0","0","0","","0.0136904906"
"2024-04-25","","0.01","0","0.001722","0.00204","0.0001381962","0.0000023502","0.00000036","0.0000006552","0","0","0","0","","0.0139035616"
"2024-04-26","","0.01","0","0.00147","0.002125","0.0001381962","0.0000023051","0.00000036","0.0000006279","0","0","0","0","","0.0137364892"
"2024-04-27","","0.01","0","0.00168","0.00204","0.0001406524","0.0000023491","0.000000356","0.0000006552","0","0","0","0","","0.0138640127"
"2024-04-28","","0.01","0","0.00147","0.00204","0.0001389941","0.0000022789","0.000000327","0.0000005733","0","0","0","0","","0.0136521733"
"2024-04-29","","0.01","0","0.001386","0.002125","0.0001381941","0.0000026819","0.000000385","0.0000006552","0","0","0","0","","0.0136529162"
"2024-04-30","","0.01","0","0.001722","0.00204","0.0001381943","0.0000029607","0.000000385","0.0000006279","0","0","0","0","","0.0139041679"
"2024-05-01","","","0","0.001638","0.002125","0.0001390177","0.0000029702","0.000000372","0.0000004641","0","0","0","0","","0.003905824"
"2024-05-02","","0.01","0","0.001599","0.00204","0.0001390206","0.0000030396","0.000000357","0.0000006552","0","0","0","0","","0.0137820724"
"2024-05-03","","0.01","0","0.001722","0.0017","0.0001381945","0.000002973","0.000000358","0.0000006279","0","0","0","0","","0.0135641534"
"2024-05-04","","0.01","0","0.001722","0.002125","0.0001381945","0.0000030618","0.000000311","0.0000007098","0","0","0","0","","0.0139892771"
"2024-05-05","","0.01","0","0.001764","0.002125","0.0001389951","0.0000030174","0.000000373","0.0000006006","0","0","0","0","","0.0140319861"
"2024-05-06","","0.01","0","0.001722","0.0017","0.0001390035","0.000003084","0.000000343","0.0000006279","0","0","0","0","","0.0135650584"
"2024-05-07","","0.01","0","0.001722","0.001955","0.0001381945","0.000003084","0.000000345","0.0000006825","0","0","0","0","","0.013819306"
"2024-05-08","","0.01","0","0.001722","0.001955","0.0001381945","0.0000029959","0.000000343","0.0000007098","0","0","0","0","","0.0138192432"
"2024-05-09","","0.01","0","0.001722","0.002125","0.0001390035","0.0000030285","0.000000283","0.0000006825","0","0","0","0","","0.0139899975"
"2024-05-10","","0.01","0","0.001722","0.002125","0.0001381945","0.0000030252","0.000000386","0.0000006279","0","0","0","0","","0.0139892336"
