"Service","EC2-Other($)","EC2-Instances($)","Elastic Load Balancing($)","S3($)","Elastic MapReduce($)","Elastic Container Service for Kubernetes($)","Managed Streaming for Apache Kafka($)","VPC($)","Route 53($)","EC2 Container Registry (ECR)($)","GuardDuty($)","CloudWatch($)","QuickSight($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","API Gateway($)","Secrets Manager($)","SNS($)","Lambda($)","DynamoDB($)","Glacier($)","Step Functions($)","SQS($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","381501.0689754016","253393.6746507876","28639.9998382097","24199.2558797472","8438.2462766432","7614.493195473","7266.2515868323","6548.4151542046","5298.3267602289","4913.58849998","3712.9406425244","2089.161215472","631.7419306752","113.1540123002","66.33","16.8903","0.580192463","0.550275","0.0085823894","0.0056139508","0.0038934041","0.0010573117","0.0002083341","0.0002042493","0.0001778709","7.815e-7","0","0","0","0","0","734444.6891242347"
"2024-04-01","1002.9943098676","969.6050739685","99.2272105422","48.4744782374","48.8844551","31.2","15.7965731089","14.0502738983","19.37772","3.8907665018","","0.6709031293","1.6000000128","0.1042120008","0.3","0","0.0003090995","0.00045","0.000023992","0.0000148412","0","0.0000025501","0.0000001152","0.000000161","0.0000002038","","0","0","0","","","2256.1767773304"
"2024-04-02","1016.4585057398","963.4939821786","143.999373091","49.4808408933","43.8722672784","31.2","15.873149954","14.1275295536","13.4563968","3.964899518","","2.5334885733","1.6000000128","0.1045360008","0.17","0","0.0006357594","0.00063","0.0000507437","0.000015905","0","0.0000026611","0.0000000996","0.0000002254","0.0000001746","","0","0","0","","","2300.3363051624"
"2024-04-03","999.0392784362","950.6515867099","151.0918528778","50.0550608172","41.4540526068","31.2","15.8741105959","14.135667889","13.4816288638","4.0508061883","","2.6193778768","1.6000000128","0.1083730008","0.28","0","0.0005900987","0.00063","0.0000348922","0.0000126172","0.0000441275","0.0000024438","0.0000001328","0.0000002254","0.0000002328","","0","0","0","","","2275.6431106457"
"2024-04-04","995.0596146639","953.9905248329","177.036494582","50.3499553775","42.2670168348","31.2","15.8402713874","14.0457117147","13.5685324","4.1198166762","","2.5966001105","1.6000000128","0.1085770008","0.12","0","0.0006111737","0.00135","0.000027399","0.0000148423","0","0.0000025977","0.000000249","0.0000005152","0.0000004656","","0","0","0","","","2301.905122836"
"2024-04-05","979.5936818236","950.178016813","195.7617424386","49.5829258009","41.8528452948","31.2","15.5175803849","14.0791251988","13.600924","4.1782090878","","2.5889125574","1.6000000128","0.1074400008","0.11","0","0.0005760493","0.00189","0.0000335821","0.0000152034","0","0.0000025724","0.0000003652","0.000000644","0.0000006113","","0","0","0","","","2299.9539224411"
"2024-04-06","992.0685226943","944.2308565106","187.8780282814","50.0592963142","41.4203992092","31.2","15.517580872","13.9501363624","13.5468608","4.200515352","","2.5579062638","1.6000000128","0.1089790008","0.06","0","0.0005865864","0.00216","0.0000371687","0.0000157045","0","0.0000025874","0.000000414","0.0000007728","0.0000006694","","0","0","","","","2298.4018855767"
"2024-04-07","982.6749674179","949.5632092778","125.6529463061","49.6746965693","42.4392385908","31.2","15.51758083","13.9430320803","13.3436272","4.200515352","","2.5585166745","1.6000000128","0.1085710008","0.06","0","0.0004601375","0.00198","0.0000298386","0.0000127949","0","0.0000024601","0.0000003964","0.0000007728","0.0000007276","","0","0","","","","2232.5393884402"
"2024-04-08","990.2672519666","944.8967669423","185.3757483733","49.9663943115","40.8307051788","31.2","15.517580303","14.0440648129","13.5096676","4.2229328069","","2.9018445621","1.6000000128","0.1087930008","0.23","0","0.0006462984","0.00243","0.0000286254","0.0000153967","0","0.0000025049","0.0000004452","0.0000009016","0.0000007861","","0","0","0","","","2294.6748748293"
"2024-04-09","993.2190083642","942.7266870643","150.6333469044","50.0636324507","41.9238493452","31.2","15.5946626333","13.9935713009","13.5238604","4.2532942745","","2.5719673008","1.6000000128","0.1072060008","0.11","0","0.0006422768","0.00252","0.0000230729","0.0000144799","0","0.0000025503","0.0000004608","0.0000008694","0.0000008444","","0","0","0","","","2261.5242906064"
"2024-04-10","997.1457873904","948.834373196","162.3585372412","50.0964650665","42.6720175224","31.2","15.6229690833","14.0733137159","13.51994","4.283935107","","2.6072449016","1.6000000128","0.1087690008","0.12","0","0.0007019408","0.00216","0.0000194283","0.0000141307","0","0.0000025288","0.0000004266","0.000000941","0.0000006987","0.000000463","0","0","0","","","2284.2462527958"
"2024-04-11","999.2494281365","948.1037045441","147.3247728492","50.2627642562","42.6687006192","31.2","15.6345765799","13.9534811787","13.4121132","4.3049050473","","2.563673253","1.6000000128","0.1060360008","0.17","0","0.0006528075","0.0018","0.0000168647","0.000015386","0","0.0000024368","0.0000004754","0.0000008694","0.0000008152","","0","0","0","","","2270.5566453327"
"2024-04-12","1000.8897243827","952.0307713668","158.5725917489","50.2307988444","41.554986594","31.2","15.6269660379","14.0841362851","13.4410984","4.3291430145","","2.5827278589","1.6000000128","0.1059220008","0.13","0","0.0006422787","0.00243","0.0000208219","0.0000128336","0","0.0000023053","0.0000005066","0.0000010705","0.000000728","","0","0","0","","","2286.3819770914"
"2024-04-13","997.4338069122","951.1308429128","153.80933052","50.1155180846","42.4789800636","31.2","15.6274299457","13.9541119424","13.3952236","4.358506055","","2.5705903073","1.6000000128","0.1085710008","0.16","0","0.0006668463","0.00252","0.0000147594","0.0000147854","0","0.0000024166","0.000000492","0.000000966","0.0000008152","","0","0","0","","","2277.9461324381"
"2024-04-14","987.9317773566","947.5713243098","86.0215949532","49.6698477329","41.91946233","31.2","15.6327183659","13.9348529331","13.2992252","4.359927192","","2.5832823171","1.6000000128","0.1072060008","0.21","0","0.000512419","0.00279","0.0000183471","0.000012492","0","0.0000023486","0.0000003436","0.0000009016","0.0000008736","","0","0","0","","","2196.0445564297"
"2024-04-15","1006.3938967651","919.5547175446","164.7250288296","50.5920916906","37.4561374676","31.2","15.6344072337","14.0374802917","13.3794088","4.3791283719","","2.5873897997","1.6000000128","0.1087690008","0.07","0","0.0006990395","0.00252","0.0000149764","0.0000156935","0","0.0000024158","0.0000005076","0.0000008694","0.0000008152","","0","0","0","","","2261.7217101255"
"2024-04-16","998.5754491378","895.5350092114","155.4942449187","50.31428837","31.272636096","31.2","15.6347241671","14.0650708709","13.4574924","4.4335269855","","2.597726072","1.6000000128","0.1085710008","0.11","0","0.0007791556","0.00261","0.0000149375","0.0000134256","0","0.0000023945","0.0000004608","0.000000966","0.0000008153","","0","0","0","","","2214.4021613983"
"2024-04-17","1016.0511283726","893.2052848728","138.7168674928","50.2859569697","30.5262326112","31.2","15.6268337814","13.9952218735","13.41257283","4.4849429716","","2.5759674137","1.6000000128","0.1085710008","0.14","0","0.0007230011","0.00234","0.0000139794","0.0000148062","0","0.0000024167","0.0000004452","0.0000008694","0.0000007568","","0","0","0","","","2211.9326764777"
"2024-04-18","987.58700251","894.9279592844","152.751326975","50.3652950721","30.3744369804","31.2","15.6300828436","14.0455201256","13.47236785","4.5182895362","","2.5801682121","1.6000000128","0.1086550008","0.11","0","0.0006741268","0.00234","0.0000131286","0.0000136997","0","0.0000023878","0.000000412","0.0000008372","0.0000007278","","0","0","0","","","2199.2741497229"
"2024-04-19","962.5029126943","871.3082415358","142.9663097523","50.2940053949","31.5242937924","20.8650225","15.6360881903","14.018913965","13.4080164","4.5567534494","","2.5561588795","1.6000000128","0.1302321121","0.13","0","0.0006984337","0.00234","0.0000102025","0.0000150332","0.00000057","0.0000023788","0.0000004286","0.0000007084","0.0000007277","","0","0","0","","","2131.5000171617"
"2024-04-20","965.8494068346","856.3776031312","142.5482728447","50.4468484061","30.1290977904","16.8","15.6282263992","13.9469034658","13.4039508","4.5652620717","","2.5495610019","1.6000000128","0.1409383344","0.06","0","0.0006212201","0.00225","0.0000116401","0.0000127021","0","0.0000023944","0.0000003954","0.000000644","0.0000006986","","0","0","0","","","2114.0489707875"
"2024-04-21","949.9743635622","852.8537252569","94.7236551992","50.2963944901","30.3232817268","16.8","15.6287016568","13.9541673865","13.2252992","4.5682117422","","2.5997404763","1.6000000128","0.1428553344","0.06","0","0.0005545348","0.00243","0.0000130984","0.0000141811","0","0.0000022823","0.0000004266","0.0000008372","0.0000006697","","0","0","0","","","2046.7534120743"
"2024-04-22","966.3341284197","856.6924061836","146.6107053498","50.6811974611","30.8369420656","16.8","15.6293129794","14.0693155824","13.4550416","4.6056625701","","2.6253185938","1.6000000128","0.1426513344","0.06","0","0.0005685743","0.00243","0.0000149508","0.0000136525","0.00000627","0.0000023917","0.0000003778","0.0000008372","0.0000006987","","0","0","0","","","2120.1457199057"
"2024-04-23","968.0136931246","856.1908472361","141.9597662454","50.8243947171","30.7086454788","16.8","15.634619694","14.1289251549","13.4817408","4.6998159254","","2.6412056269","1.6000000128","0.1427293344","0.26","0","0.0007590079","0.0027","0.0000139041","0.0000137018","0.0000130967","0.0000023735","0.000000412","0.0000005796","0.0000007569","","0","0","0","","","2117.0898871829"
"2024-04-24","974.928203821","851.0599122008","151.89942966","51.0309226187","30.4133951244","16.8","15.6292418737","14.1003022838","13.4858072","4.8236925936","","2.6218008473","1.6000000128","0.1582860012","0.12","0","0.0007905962","0.00198","0.0000183545","0.0000144281","0.0000103911","0.0000023053","0.0000003612","0.000000644","0.0000006403","","0","0","0","","","2128.673811958"
"2024-04-25","980.7496693468","830.9199005759","158.914988625","51.4277624151","24.2852056284","16.8","15.6316573663","14.1938718148","13.5209744","4.9279565773","","2.6274452501","1.6000000128","0.2025656682","0.11","0","0.0014881181","0.00216","0.0000169133","0.000013665","0.0000091086","0.0000024473","0.000000331","0.0000007084","0.0000006694","","0","0","0","","","2115.9156896418"
"2024-04-26","977.2990141743","809.9705345055","147.9215757115","50.8528608765","18.0055230012","16.8","15.6366596845","14.0722338058","13.4538464","5.0007194395","","2.6491561428","1.6000000128","0.2108180016","0.11","0","0.0007545894","0.00198","0.0000183549","0.0000152835","0.00000057","0.0000022393","0.0000003652","0.000000644","0.0000006111","","0","0","0","","","2073.5857144134"
"2024-04-27","982.8242599755","816.1002315408","163.5128916782","50.1153333553","18.6894770052","16.8","15.6257621802","13.9843034146","13.4783848","5.0614419555","","2.625741164","1.6000000128","0.2095460016","0.05","0","0.0008212735","0.00225","0.0000173524","0.0000127884","0.000000285","0.0000022179","0.0000003788","0.0000007084","0.000000757","","0","0","0","","","2100.6804788451"
"2024-04-28","990.4999236008","814.1127664683","137.4129266769","49.2315105869","18.3304055748","16.8","15.6331599633","13.9471019374","13.4174452","5.1004984944","","2.6156729068","1.6000000128","0.2107910016","0.06","0","0.0007159823","0.00198","0.0000168409","0.0000155286","0.000000285","0.0000023866","0.0000003788","0.000000805","0.0000007278","","0","0","0","","","2078.974935359"
