"Service","EC2-Instances($)","EC2-Other($)","VPC($)","OpenSearch Service($)","ElastiCache($)","Elastic Load Balancing($)","CloudWatch($)","Relational Database Service($)","S3($)","Managed Streaming for Apache Kafka($)","Elastic Container Service for Kubernetes($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Elastic File System($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","SNS($)","Glacier($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","Lambda($)","SQS($)","Total costs($)"
"Service total","9168.2686772159","6736.9068456175","2083.4343566472","1116.9214978617","926.923","843.8814699629","713.1978866243","514.8231967923","513.1517223148","500.8015108363","438.924800555","183.4806588198","45.36304424","25.5623806516","16.391552163","14.69","8.4133","8.2386192","0.0019806094","0.0012423905","0.0004293095","0.0000886431","0.0000845212","0","0","0","0","23859.378344976"
"2024-04-01","131.5912461174","81.7971325622","22.7629938768","12.2244423121","10.128","9.2257900291","5.0473527902","5.5726692028","7.036981936","5.4886058275","4.8","1.4687400207","0.2832661111","0.1589698754","0.1015990008","0.33","0","2.0002184","0.0000145179","0.0000065321","0.0000032336","0.0000001365","0.000000075","0","0","0","0","300.0180325572"
"2024-04-02","130.0763855598","84.7236798286","22.7866298778","12.2244585873","10.128","9.2446169675","9.0446709222","5.5726691951","7.0309114864","5.4894625051","4.8","1.4872209601","0.5006616662","0.1624458931","0.1196935565","0.18","0","0.0004612","0","0.0000150176","0.000002967","0.0000001911","0.000000105","0","0","0","0","303.5719864864"
"2024-04-03","130.2156267964","80.9374069182","22.7396465999","12.2244728853","10.128","9.2470728263","8.8992820183","5.5726691875","7.0114559902","5.4896658314","4.8","1.5078970709","0.4850527784","0.1656960404","0.1117892231","0.26","0","0.0006044","0.0000384332","0.0000069429","0.0000029058","0.0000002184","0.000000105","0","0","0","0","299.7963871716"
"2024-04-04","129.9398050234","80.2840263241","22.7262592755","12.2244820094","10.128","9.2360696541","8.9243756863","5.5726691948","6.9774166384","5.4895517074","4.8","1.5094958688","0.4769527788","0.1688445057","0.1061950008","0.12","0","0.0005872","0","0.0000090444","0.0000030363","0.0000003822","0.000000225","0","0","0","0","298.6847435554"
"2024-04-05","130.2848609238","81.0637280928","22.7414784219","12.2244947753","10.128","9.2369473238","8.9493129891","5.5726697907","7.037883693","5.4902382987","4.8","1.5094958688","0.4988433344","0.1686700519","0.1063240008","0.1","0","0.0002396","0","0.0000082855","0.0000029486","0.0000005733","0.000000315","0","0","0","0","299.9131992874"
"2024-04-06","124.4303181597","77.3082586481","22.7197150706","12.224495247","10.128","9.2120964684","8.2960993156","5.5726691873","7.1171610888","5.4872819205","4.8","1.5094958688","0.4982033344","0.1687720054","0.1052110008","0.06","0","0.0002832","0","0.0000061752","0.0000030153","0.0000006825","0.00000036","0","0","0","0","289.6380707484"
"2024-04-07","124.4232036273","78.2087397545","22.6994586648","12.2244933722","10.128","9.2067446888","8.109720412","5.5726692028","7.250733802","5.4871152243","4.8","1.5094958688","0.5000933344","0.1683547411","0.1061980008","0.06","0","0.0001296","0","0.0000014284","0.000003148","0.0000007098","0.000000373","0","0","0","0","290.455155953"
"2024-04-08","130.2235932505","82.2043211751","22.7905869429","12.2245063339","10.128","9.2339017727","8.8450893504","5.5726691955","7.1748135405","5.4882003096","4.8","1.5157948973","0.5046605565","0.1693545797","0.1063180008","0.23","0","0.0002392","0.0000583509","0.0000123791","0.000003033","0.0000007371","0.000000371","0","0","0","0","301.2121239765"
"2024-04-09","130.2275331996","84.0904835468","22.7269247768","12.2245440453","10.128","9.2327978759","8.9803814821","5.5726686451","7.2109310289","5.4882372854","4.8","1.5216398098","0.5008683344","0.1711050734","0.1062040008","0.11","0","0.0002016","0.0004423466","0.0000089551","0.0000028792","0.0000007371","0.000000401","0","0","0","0","303.0929760233"
"2024-04-10","130.592496925","83.2484773077","22.7341757953","12.2245721905","10.128","9.2291804794","8.9681552272","5.5726686272","7.077215816","5.4887591646","4.8","1.5233312541","0.4997633344","0.1741686933","0.1060480008","0.12","0","0.0004348","0.0000381406","0.0000101523","0.0000024476","0.000000546","0.000000374","0","0","0","0","302.487499276"
"2024-04-11","130.0275168724","82.137448155","22.6935380538","12.2245119887","10.128","9.2188694011","8.9256998498","5.5726686392","7.1861932826","5.4881212986","4.8","1.5240738624","0.5010433344","0.1785120015","0.1042300008","0.17","0","0.0002684","0","0.0000050131","0.0000028517","0.0000007371","0.000000386","0","0","0","0","300.8807041282"
"2024-04-12","130.1463743279","82.6383549369","22.7039816973","12.2244882321","10.128","9.2362376514","8.9440679025","5.5726686331","7.2425252858","5.4891745922","4.8","1.527460033","0.5013033344","0.1832139872","0.1058260008","0.17","0","0.0008724","0.0000042693","0.0000027931","0.0000026828","0.0000008463","0.000000458","0","0","0","0","301.6145600641"
"2024-04-13","124.372299648","78.7595180206","22.6927110346","12.2244868981","10.128","9.2128709534","8.3132366394","5.5726686329","7.1739784216","5.485477399","4.8","1.5289259304","0.5014833344","0.1867700161","0.1059400008","0.16","0","0.000128","0","0.0000051831","0.0000029022","0.0000006825","0.000000416","0","0","0","0","291.2185041131"
"2024-04-14","124.3723743536","78.8115350675","22.6881999265","12.2244807392","10.128","9.2078873722","8.3152822431","5.5726686327","7.1634651499","5.4853080239","4.8","1.5289259304","0.5017533344","0.1851516737","0.1049140008","0.21","0","0.0001032","0","0.0000011108","0.0000028006","0.000000819","0.000000416","0","0","0","0","291.3000547943"
"2024-04-15","130.2178116154","82.7283868198","22.7682092838","12.2245047537","10.128","9.2354708697","9.2900153769","5.5726686387","7.1412848299","5.4886162309","4.8","1.5289259304","0.5013133344","0.1912671672","0.1059400008","0.11","0","0.0007368","0.0003597612","0.0000138675","0.0000027659","0.0000007917","0.000000458","0","0","0","0","302.0335292959"
"2024-04-16","130.1192831759","83.4213824188","22.7416088168","12.2245509267","10.128","9.254309791","8.8665834812","5.5726686389","7.0979082322","5.4883349529","4.8","1.5289259304","0.5015833344","0.1933500292","0.1058530008","0.11","0","0.0003748","0.0000298851","0.0000210614","0.00000284","0.0000007917","0.00000043","0","0","0","0","302.1547725374"
