"Service","Cost Explorer($)","Service Catalog($)","Key Management Service($)","S3($)","Secrets Manager($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"Service total","4.99","2.3625","0.647103","0.5025882199","0.091885","0.0011016441","0.0001869256","0.0001673253","0","0","0","0","0","8.5955321149"
"2024-04-01","0.04","0","0.001638","0.000139057","0","0.0000031053","0.000000075","0.0000001365","0","0","0","0","","0.0417803738"
"2024-04-02","0.07","0","0.001599","0.000138248","0","0.000002773","0.00000009","0.0000001911","0","0","0","0","","0.0717403021"
"2024-04-03","0.03","0","0.001638","0.000138248","0","0.0000028811","0.00000012","0.0000002184","0","0","0","0","","0.0317794675"
"2024-04-04","0.01","0","0.001599","0.0001390712","0","0.0000029146","0.000000225","0.0000004095","0","0","0","0","","0.0117416203"
"2024-04-05","0.01","0","0.001365","0.0001390741","0","0.0000030696","0.00000027","0.0000005187","0","0","0","0","","0.0115079324"
"2024-04-06","0.01","0","0.001365","0.000138248","0","0.0000030149","0.000000372","0.0000006552","0","0","0","0","","0.0115072901"
"2024-04-07","0.01","0","0.001638","0.000139857","0","0.0000032436","0.000000343","0.0000006552","0","0","0","0","","0.0117820988"
"2024-04-08","0.01","0","0.001599","0.000138248","0","0.0000030007","0.000000386","0.0000006825","0","0","0","0","","0.0117413172"
"2024-04-09","0.01","0","0.001443","0.000138248","0","0.0000030097","0.000000401","0.0000007371","0","0","0","0","","0.0115853958"
"2024-04-10","0.01","0","0.001443","0.0001390741","0","0.0000024827","0.000000356","0.0000006825","0","0","0","0","","0.0115855953"
"2024-04-11","0.01","0","0.001248","0.0001390712","0","0.0000027931","0.000000427","0.0000007644","0","0","0","0","","0.0113910557"
"2024-04-12","0.01","0","0.001443","0.000139048","0","0.0000028367","0.00000043","0.0000007917","0","0","0","0","","0.0115861064"
"2024-04-13","0.01","0","0.001722","0.000138248","0","0.0000029467","0.00000043","0.0000007917","0","0","0","0","","0.0118644164"
"2024-04-14","0.01","0","0.001722","0.000139057","0","0.0000028614","0.000000356","0.0000008463","0","0","0","0","","0.0118651207"
"2024-04-15","0.01","0","0.001722","0.000138248","0","0.0000029425","0.000000429","0.0000007917","0","0","0","0","","0.0118644112"
"2024-04-16","0.01","0","0.001722","0.000138248","0","0.0000029512","0.000000444","0.0000008463","0","0","0","0","","0.0118644895"
"2024-04-17","0.01","0","0.001764","0.000138248","0","0.0000028436","0.000000359","0.0000007098","0","0","0","0","","0.0119061604"
"2024-04-18","0.01","0","0.001722","0.000139057","0","0.0000027487","0.000000311","0.0000007098","0","0","0","0","","0.0118648265"
"2024-04-19","0.01","0","0.001722","0.000138248","0","0.0000028973","0.000000401","0.0000006552","0","0","0","0","","0.0118642015"
"2024-04-20","0.01","0","0.001722","0.0001382482","0","0.0000030439","0.000000369","0.0000007371","0","0","0","0","","0.0118643982"
"2024-04-21","0.01","0","0.00147","0.0001390741","0","0.0000027939","0.000000444","0.0000006279","0","0","0","0","","0.0116129399"
"2024-04-22","0.01","0","0.001722","0.000138248","0","0.0000029033","0.000000357","0.0000006279","0","0","0","0","","0.0118641362"
"2024-04-23","0.01","0","0.00147","0.0001398714","0","0.0000028172","0.000000343","0.0000007098","0","0","0","0","","0.0116137414"
"2024-04-24","0.01","0","0.001302","0.0001390741","0","0.0000024596","0.0000003","0.0000006006","0","0","0","0","","0.0114444343"
"2024-04-25","0.01","0","0.001722","0.000138248","0","0.0000023949","0.000000359","0.0000005733","0","0","0","0","","0.0118635752"
"2024-04-26","0.01","0","0.001134","0.000138248","0","0.000002262","0.000000374","0.0000006279","0","0","0","0","","0.0112755119"
"2024-04-27","","0","0.001764","0.0001398712","0","0.0000023635","0.000000327","0.0000006279","0","0","0","0","","0.0019071896"
"2024-04-28","0.01","0","0.001764","0.000139057","0","0.0000023367","0.000000357","0.0000006825","0","0","0","0","","0.0119064332"
"2024-04-29","0.01","0","0.001722","0.000138248","0","0.0000026972","0.000000328","0.0000007098","0","0","0","0","","0.011863983"
"2024-04-30","0.01","0","0.001722","0.000138248","0","0.0000029631","0.000000342","0.0000006006","0","0","0","0","","0.0118641537"
"2024-05-01","0.01","0","0.001638","0.0001382447","0","0.0000029881","0.000000326","0.0000007098","0","0","0","0","","0.0117802686"
"2024-05-02","0.01","0","0.001599","0.0001390708","0","0.0000030639","0.000000284","0.0000006006","0","0","0","0","","0.0117420193"
"2024-05-03","0.01","0","0.001599","0.0001390447","0","0.0000029284","0.000000299","0.0000006006","0","0","0","0","","0.0117418727"
"2024-05-04","0.01","0","0.001599","0.0001390679","0","0.000003106","0.0000004","0.0000006825","0","0","0","0","","0.0117422564"
"2024-05-05","0.01","0","0.001365","0.0001382447","0","0.0000030442","0.000000342","0.0000006825","0","0","0","0","","0.0115073134"
"2024-05-06","0.01","0","0.001599","0.0001390537","0","0.0000030793","0.000000358","0.0000006552","0","0","0","0","","0.0117421462"
"2024-05-07","0.01","0","0.001326","0.0001390679","0","0.000003097","0.000000359","0.0000006006","0","0","0","0","","0.0114691245"
"2024-05-08","0.01","0","0.001326","0.0001382447","0","0.0000030268","0.000000372","0.0000006552","0","0","0","0","","0.0114682987"
"2024-05-09","0.01","0","0.001638","0.0001390708","0","0.0000030148","0.000000326","0.0000006006","0","0","0","0","","0.0117810122"
"2024-05-10","0.01","0","0.001599","0.0001390447","0","0.0000030198","0.000000357","0.0000007371","0","0","0","0","","0.0117421586"
"2024-05-11","0.01","0","0.001599","0.00012764","0","0.0000031283","0.000000269","0.0000006552","0","0","0","0","","0.0117306925"
"2024-05-12","0.01","0","0.001638","0.0001382447","0","0.0000031267","0.000000372","0.0000006552","0","0","0","0","","0.0117803986"
"2024-05-13","0.01","0","0.001602","0.0001382447","0","0.0000030181","0.000000327","0.0000005733","0","0","0","0","","0.0117441631"
"2024-05-14","0.01","0","0.001764","0.0001382447","0","0.0000030382","0.000000358","0.0000007098","0","0","0","0","","0.0119063507"
"2024-05-15","0.01","0","0.001722","0.0001336432","0","0.0000027959","0.000000343","0.0000005733","0","0","0","0","","0.0118593554"
"2024-05-16","0.01","0","0.001722","0.0001944093","0","0.0000028398","0.000000357","0.0000006279","0","0","0","0","","0.011920234"
"2024-05-17","0.01","0","0.00147","0.0002223568","0","0.0000028075","0.000000344","0.0000006825","0","0","0","0","","0.0116961908"
"2024-05-18","0.01","0","0.001596","0.0001649329","0","0.0000028197","0.000000374","0.0000007098","0","0","0","0","","0.0117648364"
"2024-05-19","0.01","0","0.001554","0.0001970229","0","0.0000028471","0.00000033","0.000000546","0","0","0","0","","0.011754746"
"2024-05-20","0.01","0","0.001722","0.0001791829","0","0.0000029062","0.000000374","0.0000006825","0","0","0","0","","0.0119051456"
"2024-05-21","0.01","0","0.001764","0.0001404498","0","0.0000029064","0.000000345","0.0000006279","0","0","0","0","","0.0119083291"
"2024-05-22","0.01","0","0.00147","0.000178002","0","0.0000028816","0.000000341","0.0000006552","0","0","0","0","","0.0116518798"
"2024-05-23","0.01","0","0.001764","0.0001745719","0","0.0000027884","0.00000037","0.0000006825","0","0","0","0","","0.0119424128"
"2024-05-24","0.01","0","0.001722","0.0001509132","0","0.0000027379","0.0000003","0.0000006279","0","0","0","0","","0.011876579"
"2024-05-25","0.01","0","0.001722","0.0001749957","0","0.0000027418","0.000000314","0.0000006552","0","0","0","0","","0.0119007067"
"2024-05-26","0.01","0","0.001512","0.0001996658","0","0.0000028605","0.000000269","0.0000006552","0","0","0","0","","0.0117154505"
"2024-05-27","0.01","0","0.001722","0.0002012463","0","0.0000028718","0.000000313","0.000000546","0","0","0","0","","0.0119269771"
"2024-05-28","0.01","","0.001722","0.0001799888","0","0.0000027728","0.000000328","0.0000005733","0","0","0","0","","0.0119056629"
"2024-05-29","0.01","0","0.001722","0.0016635847","0","0.0000027728","0.000000283","0.0000006279","0","0","0","0","","0.0133892684"
"2024-05-30","0.01","0","0.001722","0.0019285977","0","0.0000028848","0.000000327","0.0000007098","0","0","0","0","","0.0136545193"
"2024-05-31","0.01","0","0.001722","0.0019702633","0","0.0000028619","0.000000328","0.0000005733","0","0","0","0","","0.0136960265"
"2024-06-01","0.01","0","0.001287","0.0023428457","0","0.0000028175","0.000000315","0.0000006552","0","0","0","0","","0.0136336334"
"2024-06-02","0.01","0","0.001599","0.0022740803","0","0.0000028397","0.000000372","0.0000006279","0","0","0","0","","0.0138769199"
"2024-06-03","0.01","0","0.001599","0.0019015162","0","0.000002817","0.000000344","0.0000005187","0","0","0","0","","0.0135041959"
"2024-06-04","0.01","0","0.001599","0.0019865307","0","0.0000027327","0.000000342","0.0000005187","0","0","0","0","","0.0135891241"
"2024-06-05","0.01","0","0.001599","0.0019687001","0","0.0000024295","0.000000299","0.0000006006","0","0","0","0","","0.0135710292"
