"Service","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","S3($)","Route 53($)","VPC($)","Elastic Container Service for Kubernetes($)","WAF($)","Relational Database Service($)","CloudTrail($)","CloudWatch($)","QuickSight($)","API Gateway($)","CloudFront($)","EC2 Container Registry (ECR)($)","SES($)","Secrets Manager($)","Cost Explorer($)","DynamoDB($)","Key Management Service($)","SNS($)","Service Catalog($)","Simple Workflow Service($)","Step Functions($)","Lambda($)","CloudShell($)","Glacier($)","Glue($)","SQS($)","SimpleDB($)","CloudWatch Events($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","123777.3249315486","65140.9477664455","4591.0652519305","3283.9828221731","1698.8519633553","1440.3690766621","1197.141149165","609.6957682533","549.4345882683","226.2234577279","216.358069331","157.9354826688","156.3049349919","155.7640908066","155.7546821933","132.5323865896","30.3959089731","25.79","6.796088782","2.578743","2.2195984208","0.8043","0.0006536892","0.0005530775","0.0004563037","2.307e-7","3e-9","0","0","0","0","0","0","203558.2727245908"
"2024-04-01","388.4193779954","195.8666271739","8.9043129482","7.8982976964","13.1922441333","2.7274810777","2.4","1.1891561376","5.572668567","0.3863760558","0.2033333352","0.4000000032","","0.0058411914","0.2243598504","0.0173748907","0","0.11","0.485434913","0.006678","0.000318036","0","0.0000009862","0.0000007488","0.0000005164","","","0","0","0","0","","","628.0098842566"
"2024-04-02","391.9645147701","210.1351630527","8.9025166647","7.9358456561","1.1227025333","2.6615712432","2.4","1.1921111376","5.5726685593","0.3760389504","0.2033333352","0.4000000032","","0.0094084706","0.2262613436","0.1829195257","0","0.09","0","0.006519","0.0002517785","0","0.0000014793","0.0000007488","0","","","0","0","0","0","","","633.3818282523"
"2024-04-03","396.806622486","200.4442820322","8.9819063775","7.9681588574","1.1207669333","2.6619187935","2.4","1.2642599376","5.572668567","0.3570495488","0.2033333352","0.4000000032","","0.007926335","0.2292109165","0.3128863957","0","0.2","0","0.006678","0.0002741473","0","0.0000014793","0.0000007488","0","","","0","0","0","0","","","628.9379448943"
"2024-04-04","400.3221381024","176.0633866851","9.0576058388","7.9978934992","1.1752961333","2.6758460287","2.4","1.2474851376","5.572668567","0.4893933219","0.2033333352","0.4000000032","","0.4682570227","0.2377050125","0.2642507137","0","0.05","0","0.006678","0.0002877073","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","608.6322280794"
"2024-04-05","370.8968862734","167.3729066515","9.1977600374","7.9764344357","1.2710965333","2.6926170999","2.4","1.3078823376","5.572668567","0.4297971265","0.2033333352","0.4000000032","","0.6164778","0.2467512893","0.3512285889","0","0.04","0","0.006678","0.0031729251","0","0.0000014793","0.0000007488","0","","","0","0","0","0","","","570.9856932321"
"2024-04-06","368.5069208405","176.3068925463","9.3305709269","8.0421604831","1.3290469333","2.6457619315","2.4","1.4178203376","5.5726685593","0.3835812429","0.2033333352","0.4000000032","","0.6065022","0.2478953664","0.3808247309","0","0.04","0","0.006678","0.0060747314","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","577.8267351393"
"2024-04-07","364.8055089056","138.035957946","9.3198403054","7.995958059","1.2382277333","2.6431791065","2.4","1.3924583376","5.572668567","0.401693364","0.2033333352","0.4000000032","","0.5880581021","0.2489272804","0.3925464872","0","0.04","0","0.006837","0.0060964901","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","535.6912939934"
"2024-04-08","365.5810503113","125.1953008878","9.1583613826","7.9852604037","1.2266529333","2.6490875657","2.4","1.4268131376","5.572668567","0.4082938339","0.2033333352","0.4000000032","","0.5980748428","0.2566799687","0.3512529017","0","0.06","0","0.006519","0.0064009889","0","0.0000014793","0.0000009984","0.0000005224","","","0","0","0","0","","","523.4857530635"
"2024-04-09","364.0731716945","125.1250607975","9.37067391","8.0101368417","1.2433897333","2.6539063144","2.4","1.6009439376","5.5726685593","0.3954500273","0.2033333352","0.4000000032","","0.6336498265","0.2668806946","0.3128981326","0","0.04","0","0.006519","0.0059984349","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","522.3146839638"
"2024-04-10","364.0145187404","146.1095197351","10.008927438","8.1769503808","1.2615409333","2.6803320946","2.4","1.3570127376","5.572668567","0.4311768807","0.2033333352","0.4000000032","","0.6219342635","0.2726840991","0.2676302691","0","0.04","0","0.006678","0.0038413296","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","543.828751778"
"2024-04-11","356.8651749824","156.1406128561","10.2949757274","8.0542749254","1.2854981333","2.6425376262","2.4","1.3526147376","5.5726685593","0.3968547341","0.2033333352","0.4000000032","","0.5440758526","0.27725976","0.2672291904","0","0.04","0","0.006519","0.0047595299","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","546.7483914308"
"2024-04-12","353.4195087486","158.8668249944","10.6368984607","8.0034289395","1.3073289333","2.6518672795","2.4","1.3566575376","5.5726685593","0.4339186346","0.2033333352","0.4000000032","","0.6379146935","0.2844698937","0.2902821997","0","0.07","0","0.006519","0.0043726565","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","546.5459968401"
"2024-04-13","346.0927115214","158.2769948623","10.7187411959","7.9703904766","1.3284961333","2.6544210192","2.4","1.4168945376","5.572668567","0.3867485375","0.2033333352","0.4000000032","","0.6144298432","0.2916565248","0.3443899043","0","0.04","0","0.007842","0.0064855134","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","538.7262066961"
"2024-04-14","346.2565051303","159.8442919786","10.4156789502","7.9746003134","1.2922233333","2.6607098491","2.4","1.3210043376","5.572668567","0.3862438128","0.2033333352","0.4000000032","","0.6090950092","0.291726538","0.4496618848","0","0.08","0","0.007344","0.0095405549","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","540.1746300753"
"2024-04-15","350.4229919748","156.2164900557","9.8969164908","7.9896541641","1.3120077333","2.6490442588","2.4","1.1672591376","5.572668567","0.4257234885","0.2033333352","0.4000000032","","0.6203705113","0.2960499096","0.2736160585","0","0.06","0","0.008364","0.0067244112","0","0.0000019724","0.0000009984","0.0000005246","","","0","0","0","0","","","539.921217595"
"2024-04-16","342.6483486498","157.5155461931","10.2802898341","8.0080837141","1.2264817333","2.6469758335","2.4","1.3072613376","5.572668567","0.3968832856","0.2033333352","0.4000000032","","0.6033693587","0.2966588205","0.2629876615","0","0.04","0","0.008364","0.0042623401","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","533.8215173885"
"2024-04-17","341.7007518096","160.6468932152","10.5454521761","8.0187175617","1.0979001333","2.6560967729","2.4","1.3460315376","5.572668567","0.3873941447","0.2033333352","0.4000000032","","0.5839920437","0.2972412216","0.3433859886","0","0.05","0","0.008364","0.0053617937","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","536.2635872749"
"2024-04-18","340.4907769629","167.5017856021","11.4669372027","8.0774323382","58.1281953333","2.6428713708","2.4","1.8982733376","5.5726685593","0.3749778308","0.2033333352","0.4000000032","","0.5230040063","0.2972412216","0.3356161239","0","0.04","0","0.008364","0.0066780859","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","600.3681577915"
"2024-04-19","349.3870109136","192.2663321918","12.1411126042","8.0039791181","88.0344069333","2.64852","2.4","1.5068081376","5.5726685593","0.4429387034","0.2033333352","0.4000000032","","0.6043031048","0.2973215789","0.3429869654","0","0.04","0","0.006936","0.0083174948","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","664.3069786144"
"2024-04-20","359.3223247925","226.0979501573","11.9870056246","7.8443762633","103.6198069333","2.6402888121","2.4","1.5372347376","5.572668567","0.45178217","0.2033333352","0.4000000032","","0.3875027401","0.2973849456","0.4204663448","0","0.04","0","0.008364","0.0096250207","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","723.2401171685"
"2024-04-21","363.3543186239","229.1042221985","11.0125906578","7.825478454","103.8580533333","2.6402882415","2.4","1.5181409376","5.5726685593","0.4503474063","0.2033333352","0.4000000032","","0.5173957525","0.2973849456","0.4030107933","0","0.04","0","0.00837","0.0073820875","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","729.6129883003"
"2024-04-22","364.3612046044","225.6258553544","10.4044177967","7.8293349315","63.3123933333","2.6451639209","2.4","1.3342019376","5.572668567","0.4511242829","0.2034333352","0.4000000032","","0.1407245905","0.2973849456","0.3390079754","0","0.06","0","0.008364","0.0074065129","0","0.0000014793","0.0000007488","0.0000005269","","","0","0","0","0","","","685.3926888465"
"2024-04-23","361.5675151819","218.3184438064","10.7787321812","7.8806390045","41.5113415333","2.6529054482","2.4","1.3086455376","5.5726685593","0.4576855205","0.2033333352","0.4000000032","","0.585288971","0.2993604461","0.2820933427","0","0.04","0","0.008364","0.0057131594","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","654.2727330013"
"2024-04-24","347.2073347845","169.6875959944","11.5304684425","7.9568760535","46.0420429333","2.6531601936","2.4","1.5001247376","5.572668567","0.4252871484","0.2033333352","0.4000000032","","0.5796825702","0.3036274203","0.3085635565","0","0.04","0","0.008568","0.0055773725","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","596.8249135904"
"2024-04-25","349.5632287782","175.1091001366","12.716504392","8.195812208","16.5537417333","2.6452710577","2.4","1.5821165376","5.572668567","0.4309013586","0.2033335272","0.4000000032","","0.5188668581","0.305784222","0.2941493381","0","0.04","0","0.006528","0.0054381324","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","576.5434475712"
"2024-04-26","348.2879661175","178.2302456198","12.7722932172","8.0385471782","1.5947833333","2.6507794947","2.4","1.6359449376","5.572668567","0.4311004384","0.243333336","0.4000000032","","0.5900888078","0.3114931399","0.3095305575","0","0.04","0","0.006732","0.0054530885","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","563.5209628074"
"2024-04-27","345.4667056399","179.6526696823","12.7497934334","8.1279412803","1.6118395333","2.6419810307","2.4","1.8580631376","5.5726685593","0.453248737","0.243333336","0.4000000032","","0.5884560443","0.3154126656","0.3471442259","0","0.04","0","0.007146","0.0064222164","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","562.4828280029"
"2024-04-28","344.826422617","181.9332996522","12.3790189065","8.411683436","1.6164717333","2.6625140852","2.4","1.9674137376","5.5726685516","0.4273700579","0.243333336","0.4000000032","","0.5861249504","0.3154126656","0.3992942741","0","0.04","0","0.008364","0.0062082597","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","564.1956029875"
"2024-04-29","348.9995435271","182.7821704809","11.7744872838","8.0972877112","1.5712549333","2.6566025883","2.4","1.6518503376","5.572668567","0.4336409182","0.243433336","0.4000000032","","0.5924923803","0.3158381368","0.2997234289","0","0.06","0","0.008526","0.0052179634","0","0.0000014793","0.0000009984","0.0000005246","","","0","0","0","0","","","567.8647405983"
"2024-04-30","351.7685882138","182.7812229803","10.8207525858","8.0901617901","1.0774449333","2.6476864917","2.4","1.3263695376","5.572668567","0.4508629753","0.243333336","0.4000000032","","0.6289918793","0.3161959344","0.2732761438","0","0.05","0","0.008406","0.0045472633","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","568.8605113561"
"2024-05-01","349.8169381995","184.7401659958","11.3035622038","7.82511102","13.2009128645","2.6565904748","14.4","1.4865876288","5.5585825547","0.455790163","0.1967741904","0.387096768","","0.0056171076","0.3063186912","0.1015708878","0","0.04","0.485434913","0.006519","0.0002918784","0","0.0000019724","0.0000009984","0.0000002578","","","0","0","0","0","","","592.9738677699"
"2024-05-02","350.0339808021","184.9202491113","11.0125661028","8.0194452717","1.0835776645","2.6543920378","14.4","1.4918706288","5.5585825393","0.4521734106","0.1967741904","0.387096768","","0.0049869641","0.3068870832","0.3098480479","0","0.04","0","0.006519","0.0002794663","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","580.8792315665"
"2024-05-03","350.657857411","186.5789922271","10.9983619879","8.0695792076","1.1196128645","2.6517632606","14.4","1.3860912288","5.5585825393","0.4476821871","0.1967741904","0.387096768","","0.0162355644","0.3068870832","0.3150245304","0","0.05","0","0.006519","0.0003063333","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","583.1473691048"
"2024-05-04","351.3626402269","187.3665613747","11.3746094259","7.9330493892","1.1697576645","2.6402715836","14.4","1.5962754288","5.558582547","0.4483939569","0.1967741904","0.387096768","","0.6210471165","0.3068870832","0.3651080099","0","0.04","0","0.005247","0.0023878226","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","585.7746920658"
"2024-05-05","350.5972782795","183.0141550826","11.4157619132","7.8852145485","1.2278052645","2.6422649892","14.4","1.5688866288","5.5585825393","0.4549501961","0.1967741904","0.387096768","","0.6018459694","0.3068870832","0.3746745022","0","0.04","0","0.006519","0.006447466","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","580.6851473917"
"2024-05-06","348.1095453297","177.0838062603","10.812752365","7.7912215239","1.0944776645","2.6472730473","14.4","1.4895696288","5.558582547","0.4537509501","0.1968741904","0.387096768","","0.4049865417","0.3073425632","0.3146945372","0","0.06","0","0.006519","0.0044287278","0","0.0000019724","0.0000007488","0.0000005329","","","0","0","0","0","","","571.122924899"
"2024-05-07","349.6986693355","174.8835642233","10.8038945264","7.7775296453","1.0608228645","2.6458793738","14.4","1.4225124288","5.558582547","0.4410337409","0.1967741904","0.387096768","","0.5901825754","0.3075718248","0.2743772052","0","0.04","0","0.005247","0.005580234","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","570.499320961"
"2024-05-08","349.7480779464","179.3749856332","10.5648829013","7.7990769923","1.0397556645","2.6503580151","14.4","1.2684798288","5.558582547","0.4277780123","0.1967741904","0.387096768","","0.384781734","0.3075718248","0.3557135969","0","0.04","0","0.006519","0.0051022331","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","574.5155398589"
"2024-05-09","348.7272151923","179.2487836643","10.5477486608","7.7921253739","1.0504716645","2.6429972556","14.4","1.2745146288","5.558582547","0.4239948515","0.1967741904","0.387096768","","0.4958508266","0.3075718248","0.3097149569","0","0.04","0","0.005406","0.0053746939","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","573.4142258205"
"2024-05-10","348.9966059948","175.4162531389","10.6879065302","7.8003685256","1.0990304645","2.6420913013","14.4","1.3292712288","5.558582547","0.4619781147","0.1967741904","0.387096768","","0.6401943298","0.3090624512","0.3527905625","0","0.04","0","0.005724","0.0051808188","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","570.3289134442"
"2024-05-11","347.8210343809","158.9942413532","11.3459266867","7.8971471771","1.1357812645","2.644908922","14.4","1.5162144288","5.5585825393","0.425179613","0.1967741904","0.387096768","","0.5917353149","0.3105024465","0.5377701612","0","0.04","0","0.005724","0.0087283134","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","553.8173502811"
"2024-05-12","349.0132690352","163.6807990437","10.8693747208","7.864149889","1.3701352645","2.7211939281","14.4","1.4092812288","5.5585825393","0.4316938045","0.1967741904","0.387096768","","0.6221388388","0.3107183976","0.459660142","0","0.04","0","0.006519","0.0073143361","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","559.3487040976"
"2024-05-13","349.2278084485","160.4729164724","10.3363879404","7.8265693691","1.1957196645","2.6523847568","14.4","1.2467562288","5.5585825393","0.4362860859","0.1968741904","0.387096768","","0.3862823535","0.3121687441","0.3380740599","0","0.06","0","0.006519","0.0062634105","0","0.0000014793","0.0000009984","0.0000005539","","","0","0","0","0","","","555.0466930637"
"2024-05-14","351.0237589249","162.5322953819","10.3061216414","7.8395436732","1.1499532645","2.6426590154","14.4","1.2362802288","5.5585825316","0.4437389696","0.1967741904","0.387096768","","0.6091294628","0.3140501261","0.2917169148","0","0.04","0","0.007956","0.0049294476","0","0.0000014793","0.0000007488","0","","","0","0","0","0","","","558.9845887691"
"2024-05-15","354.8126558967","158.4902251434","10.4046002293","7.8362536326","1.1908176645","2.6564696737","14.4","1.3155672288","5.558582547","0.4354921757","0.1967741904","0.387096768","","0.5953978797","0.3146546886","0.3364463003","0","0.04","0","0.006324","0.0051325186","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","558.9824935081"
"2024-05-16","357.4010238646","156.8391553698","10.3791939746","7.8193869917","1.1898324645","2.647714807","14.4","1.2734436288","5.558582547","0.4161719957","0.1967741904","0.387096768","","0.5077552931","0.314844948","0.3308476648","0","0.04","0","0.005712","0.0047881621","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","559.7123276409"
"2024-05-17","357.3578023201","160.8361365429","10.7176748909","7.8509171066","1.0569164645","2.6674600168","14.4","1.3950672288","5.5585825316","0.432943243","0.1967741904","0.387096768","","0.6008536793","0.314844948","0.3292842654","0","0.04","0","0.008364","0.0044855226","0","0.0000014793","0.0000007488","0","","","0","0","0","0","","","564.155205947"
"2024-05-18","356.3291584225","159.886955609","10.9566865577","7.8956965124","1.1162908645","2.6414955189","14.4","1.4227356288","5.5585825547","0.4360975916","0.1967741904","0.387096768","","0.6060391001","0.314844948","0.3949140263","0","0.04","0","0.008364","0.0069512707","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","562.5986865344"
"2024-05-19","356.9853913843","159.7607662891","10.8598703114","7.8331070283","1.2204524645","2.6404885089","14.4","1.4363982288","5.5585825393","0.4118909536","0.1967741904","0.387096768","","0.5954788584","0.314844948","0.4179455011","0","0.04","0","0.008364","0.0069306045","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","563.0743855494"
"2024-05-20","359.2700249341","163.3859909785","10.4255373594","7.8626655151","1.2238484645","2.6550469992","11.541149165","1.2600426288","5.558582547","0.542026489","0.1968741904","0.387096768","","0.4439991138","0.314844948","0.3808255748","0","0.06","0","0.0051","0.0059615754","0","0.0000014793","0.0000009984","0.0000005517","","","0","0","0","0","","","565.5196202804"
"2024-05-21","361.3484941948","157.9191471565","10.2796309567","7.8193006586","1.1620484645","2.6501596985","2.4","1.2769890288","5.5585825393","0.5213048527","0.1967741904","0.387096768","","0.7741845","0.314844948","0.3019272502","0","0.04","0","0.008364","0.0046065948","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","552.963458523"
"2024-05-22","363.1064281678","161.486474036","10.6035680948","7.8623345252","1.1690868645","2.7645333079","2.4","1.3647492288","5.5585825393","0.4911847204","0.1967741904","0.387096768","","0.1819164","0.3156201473","0.3463466133","0","0.04","0","0.008364","0.0048085662","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","558.2878706476"
"2024-05-23","371.5077895516","165.839822395","10.721396192","7.8396639837","1.0247132645","2.7916687611","2.4","1.3778502288","5.558582547","0.4584180362","0.1967741904","0.387096768","","0.4788142626","0.3167759345","0.3438013066","0","0.04","0","0.008364","0.0062431673","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","571.2977775601"
"2024-05-24","376.1235625852","168.4532023375","10.7949030947","7.8735494767","1.0285336645","2.7747723763","2.4","1.4010480288","5.558582547","0.4644750604","0.1967741904","0.387096768","","0.380406022","0.3177628104","0.3286064811","0","0.04","0","0.00714","0.0062638013","0","0.0000019724","0.0000007488","0","","","0","0","0","0","","","578.5366819655"
"2024-05-25","376.077848851","173.612813713","10.9762521724","7.8307379331","1.6574648645","2.7695728179","2.4","1.4989644288","5.5585825393","0.4679269116","0.1967741904","0.387096768","","0.555554428","0.3177628104","0.3477788815","0","0.04","0","0.008364","0.0063856912","0","0.0000014793","0.0000009984","0","","","0","0","0","0","","","584.7098834788"
"2024-05-26","375.8715067764","174.623763573","10.7783916609","7.7924908358","3.2373028645","2.7474165268","2.4","1.4716074288","5.558582547","0.4570807683","0.2032256677","0.387096768","","0.5949168851","0.3177628104","0.3940971899","0","0.04","0","0.008364","0.007516271","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","586.8911255444"
"2024-05-27","376.564897996","174.5140997972","10.4704798524","7.8469996874","3.1814244645","2.6466490133","2.4","1.3012788288","5.558582547","0.4570950999","0.2355838672","0.387096768","","0.5873666166","0.3177628104","0.2934772232","0","0.06","0","0.006936","0.0062236726","0","0.0000014793","0.0000007488","0.0000005517","","","0","0","0","0","","","586.8359570243"
"2024-05-28","384.0884311565","175.0217316065","10.4992601992","7.7968330934","2.7989448","2.6453939097","2.4","1.2254082288","5.558582547","0.4512527984","0.2354838672","0.387096768","","0.5296354307","0.318022173","0.2522994748","0","0.04","0","0.00714","0.0033945447","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","594.2589135687"
"2024-05-29","372.1253866806","175.1414789681","10.5983666858","7.8009240011","2.9832296645","2.6512281274","2.4","1.2378846288","5.558582547","0.4705376018","0.2354838672","0.387096768","","0.5856385559","0.318611155","0.3448955322","0","0.06","0","0.008364","0.0041016063","0","0.0000014793","0.0000007488","0","","","0","0","0","0","","","582.9118126178"
"2024-05-30","371.9215545801","175.948264237","10.5619032566","7.8379361661","2.9427000645","2.6526549311","2.4","1.2294528288","5.5585825393","0.4521117502","0.2354838672","0.387096768","","0.5100213031","0.3188773848","0.3444746071","0","0.04","0","0.005718","0.0068283349","0","0.0000019724","0.0000009984","0","","","0","0","0","0","","","583.3536635896"
