"Service","Cost Explorer($)","Service Catalog($)","Key Management Service($)","S3($)","Secrets Manager($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"Service total","4.51","1.4581","0.672531","0.4903122472","0.029445","0.0006408955","0.0005558029","0","0","0","0","0","7.1615849456"
"2024-04-01","0.03","0","0.001677","0.0001067222","0.000025","0.0000009862","0.0000007488","0","0","0","0","","0.0318104572"
"2024-04-02","0.07","0","0.001638","0.0001067222","0.00003","0.0000014793","0.0000007488","0","0","0","0","","0.0717769503"
"2024-04-03","0.04","0","0.001638","0.0001067222","0.00004","0.0000019724","0.0000007488","0","0","0","0","","0.0417874434"
"2024-04-04","0.01","0","0.001722","0.0001067222","0.00007","0.0000014793","0.0000009984","0","0","0","0","","0.0119011999"
"2024-04-05","0.01","0","0.00147","0.0001067222","0.00011","0.0000014793","0.0000007488","0","0","0","0","","0.0116889503"
"2024-04-06","0.01","0","0.001722","0.0001067222","0.000105","0.0000019724","0.0000009984","0","0","0","0","","0.011936693"
"2024-04-07","0.01","0","0.001806","0.0001067222","0.00013","0.0000019724","0.0000009984","0","0","0","0","","0.012045693"
"2024-04-08","0.01","0","0.001764","0.0001067222","0.000115","0.0000014793","0.0000007488","0","0","0","0","","0.0119879503"
"2024-04-09","0.01","0","0.00168","0.0001067222","0.000145","0.0000019724","0.0000009984","0","0","0","0","","0.011934693"
"2024-04-10","0.01","0","0.001764","0.0001067222","0.000125","0.0000019724","0.0000007488","0","0","0","0","","0.0119984434"
"2024-04-11","0.01","0","0.001386","0.0001067222","0.00013","0.0000019724","0.0000009984","0","0","0","0","","0.011625693"
"2024-04-12","0.01","0","0.001764","0.0001067222","0.00012","0.0000014793","0.0000009984","0","0","0","0","","0.0119931999"
"2024-04-13","0.01","0","0.001176","0.0001067222","0.00015","0.0000019724","0.0000007488","0","0","0","0","","0.0114354434"
"2024-04-14","0.01","0","0.001722","0.0001067222","0.000145","0.0000014793","0.0000009984","0","0","0","0","","0.0119761999"
"2024-04-15","0.01","0","0.00168","0.0001067222","0.00015","0.0000019724","0.0000009984","0","0","0","0","","0.011939693"
"2024-04-16","0.01","0","0.001176","0.0001067222","0.000135","0.0000019724","0.0000009984","0","0","0","0","","0.011420693"
"2024-04-17","0.01","0","0.00147","0.0001067222","0.000145","0.0000014793","0.0000007488","0","0","0","0","","0.0117239503"
"2024-04-18","0.01","0","0.001722","0.0001067222","0.000135","0.0000019724","0.0000009984","0","0","0","0","","0.011966693"
"2024-04-19","0.01","0","0.001764","0.0001067222","0.00012","0.0000014793","0.0000009984","0","0","0","0","","0.0119931999"
"2024-04-20","0.01","0","0.001722","0.0001067222","0.000125","0.0000019724","0.0000007488","0","0","0","0","","0.0119564434"
"2024-04-21","0.01","0","0.001428","0.0001013101","0.00013","0.0000019724","0.0000009984","0","0","0","0","","0.0116622809"
"2024-04-22","0.01","0","0.001764","0.0001067222","0.00012","0.0000014793","0.0000007488","0","0","0","0","","0.0119929503"
"2024-04-23","0.01","0","0.00168","0.0001067222","0.00011","0.0000019724","0.0000009984","0","0","0","0","","0.011899693"
"2024-04-24","0.01","0","0.001806","0.0001067224","0.000105","0.0000019724","0.0000009984","0","0","0","0","","0.0120206932"
"2024-04-25","0.01","0","0.001428","0.0001067222","0.00012","0.0000014793","0.0000009984","0","0","0","0","","0.0116571999"
"2024-04-26","0.01","0","0.00147","0.0001067224","0.000105","0.0000019724","0.0000007488","0","0","0","0","","0.0116844436"
"2024-04-27","0.01","0","0.001722","0.0001067222","0.000085","0.0000014793","0.0000009984","0","0","0","0","","0.0119161999"
"2024-04-28","0.01","0","0.00147","0.0001067226","0.0001","0.0000019724","0.0000007488","0","0","0","0","","0.0116794438"
"2024-04-29","0.01","0","0.001722","0.0001067222","0.000115","0.0000014793","0.0000009984","0","0","0","0","","0.0119461999"
"2024-04-30","0.01","0","0.001764","0.0001067222","0.000115","0.0000019724","0.0000009984","0","0","0","0","","0.011988693"
"2024-05-01","","0","0.001599","0.0001067222","0.00012","0.0000019724","0.0000007488","0","0","0","0","","0.0018284434"
"2024-05-02","0.01","0","0.001599","0.0001067222","0.0001","0.0000014793","0.0000009984","0","0","0","0","","0.0118081999"
"2024-05-03","0.01","0","0.001287","0.0001067222","0.000125","0.0000019724","0.0000007488","0","0","0","0","","0.0115214434"
"2024-05-04","0.01","0","0.001722","0.0001067222","0.0001","0.0000019724","0.0000009984","0","0","0","0","","0.011931693"
"2024-05-05","0.01","0","0.001554","0.0001067222","0.00011","0.0000014793","0.0000007488","0","0","0","0","","0.0117729503"
"2024-05-06","0.01","0","0.00168","0.0001067222","0.00011","0.0000019724","0.0000009984","0","0","0","0","","0.011899693"
"2024-05-07","0.01","0","0.001764","0.0001067226","0.000135","0.0000014793","0.0000009984","0","0","0","0","","0.0120082003"
"2024-05-08","0.01","0","0.00168","0.0001067224","0.000085","0.0000019724","0.0000009984","0","0","0","0","","0.0118746932"
"2024-05-09","0.01","0","0.001764","0.0001067222","0.00012","0.0000019724","0.0000007488","0","0","0","0","","0.0119934434"
"2024-05-10","0.01","0","0.001722","0.0001067222","0.000145","0.0000014793","0.0000009984","0","0","0","0","","0.0119761999"
"2024-05-11","0.01","0","0.001722","0.0001067222","0.000115","0.0000019724","0.0000009984","0","0","0","0","","0.011946693"
"2024-05-12","0.01","0","0.001722","0.0001067226","0.00012","0.0000019724","0.0000007488","0","0","0","0","","0.0119514438"
"2024-05-13","0.03","0","0.001722","0.0001067222","0.000095","0.0000014793","0.0000009984","0","0","0","0","","0.0319261999"
"2024-05-14","0.01","0","0.001722","0.0001817952","0.00011","0.0000019724","0.0000007488","0","0","0","0","","0.0120165164"
"2024-05-15","0.01","0","0.001722","0.0001517587","0.000125","0.0000019724","0.0000009984","0","0","0","0","","0.0120017295"
"2024-05-16","0.01","0","0.001764","0.0000816893","0.00013","0.0000019724","0.0000009984","0","0","0","0","","0.0119786601"
"2024-05-17","0.01","0","0.00147","0.0001917958","0.00012","0.0000014793","0.0000007488","0","0","0","0","","0.0117840239"
"2024-05-18","0.01","0","0.001722","0.0001917952","0.00013","0.0000019724","0.0000009984","0","0","0","0","","0.012046766"
"2024-05-19","0.01","0","0.001722","0.0001817908","0.000105","0.0000019724","0.0000007488","0","0","0","0","","0.012011512"
"2024-05-20","0.01","0","0.001722","0.0002018057","0.000125","0.0000014793","0.0000009984","0","0","0","0","","0.0120512834"
"2024-05-21","0.01","0","0.001722","0.0001817849","0.00012","0.0000019724","0.0000009984","0","0","0","0","","0.0120267557"
"2024-05-22","0.01","0","0.001722","0.0001067222","0.000115","0.0000019724","0.0000009984","0","0","0","0","","0.011946693"
"2024-05-23","0.01","0","0.001722","0.0001917957","0.00013","0.0000014793","0.0000007488","0","0","0","0","","0.0120460238"
"2024-05-24","0.01","0","0.001764","0.0001917952","0.000115","0.0000014793","0.0000009984","0","0","0","0","","0.0120732729"
"2024-05-25","0.01","0","0.001722","0.0001917953","0.000105","0.0000019724","0.0000009984","0","0","0","0","","0.0120217661"
"2024-05-26","0.01","0","0.001722","0.0001917952","0.0001","0.0000019724","0.0000007488","0","0","0","0","","0.0120165164"
"2024-05-27","0.01","0","0.001764","0.0002017998","0.000115","0.0000014793","0.0000009984","0","0","0","0","","0.0120832775"
"2024-05-28","0.01","0","0.001722","0.0002218231","0.00011","0.0000019724","0.0000009984","0","0","0","0","","0.0120567939"
"2024-05-29","0.01","0","0.001722","0.0012069551","0.000105","0.0000014793","0.0000007488","0","0","0","0","","0.0130361832"
"2024-05-30","0.01","0","0.001722","0.0021320901","0.0001","0.0000019724","0.0000009984","0","0","0","0","","0.0139570609"
