"Service","VPC($)","EC2-Instances($)","EC2-Other($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","S3($)","Secrets Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"Service total","2253.824477083","1257.1204087855","943.398701331","4.8","1.4707","0.659856","0.4896642193","0.039185","0.0006287216","0.0005520503","0.0000134205","0","0","0","0","0","4461.8041866112"
"2024-04-01","","","","","","","","","","","","","","","","","0"
"2024-04-02","","","","","","","","","","","","","","","","","0"
"2024-04-03","","","","","","0.000117","0.0000154218","","","","0.0000001902","0","","","","","0.000132612"
"2024-04-04","","","","0.01","0","0.001599","0.0000216476","0.00136","0.0000004095","0.000000225","0.0000025798","0","0","0","0","","0.0129838619"
"2024-04-05","0.071230555","0.00000101","0.8400005174","0.01","0","0.00147","0.0000216476","0.00187","0.0000005733","0.000000343","0.0000025277","0","0","0","0","","0.924597174"
"2024-04-06","0.12","0.0000012131","1.3440006536","0.01","0","0.001722","0.0000216476","0.00153","0.000000546","0.00000033","0.0000024827","0","0","0","0","","1.477278873"
"2024-04-07","0.12","0.0000018282","1.3440009368","0.01","0","0.001764","0.0000216476","0.00221","0.0000006825","0.000000387","0.0000024826","0","0","0","0","","1.4780019647"
"2024-04-08","0.12","0.8170497672","1.5390161983","0.01","0","0.001764","0.0000216476","0.00204","0.0000007371","0.000000313","0.0000026162","0","0","0","0","","2.4898952794"
"2024-04-09","0.12","1.0320373738","1.5884927502","0.01","0","0.001722","0.0000216476","0.000625","0.0000016431","0.0000008078","0.0000005413","0","0","0","0","","2.7529017638"
"2024-04-10","2.0339833002","1.0320413271","1.5881268794","0.01","0","0.001176","0.0000216476","0.000125","0.0000019724","0.0000009984","","0","0","0","0","","4.6654771251"
"2024-04-11","3.0005081791","1.0320279398","1.587824802","0.01","0","0.001722","0.0000216476","0.000135","0.0000019724","0.0000009984","","0","0","0","0","","5.6322425393"
"2024-04-12","3.0008301574","1.0321643691","1.6182737861","0.01","0","0.001428","0.0000216476","0.00014","0.0000019724","0.0000007488","","0","0","0","0","","5.6628606814"
"2024-04-13","3.0005087637","1.032026192","1.5874722026","0.01","0","0.001218","0.0000216476","0.000145","0.0000014793","0.0000009984","","0","0","0","0","","5.6313942836"
