"Service","Cost Explorer($)","Service Catalog($)","Key Management Service($)","Secrets Manager($)","S3($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"Service total","4.3","3.1241","0.66777","0.515525","0.507705876","0.0010419099","0.0001859346","0.0001661271","0","0","0","0","0","9.1164948476"
"2024-04-01","0.04","0","0.001638","0.000425","0.0001392635","0.0000025028","0.000000075","0.0000001365","0","0","0","0","","0.0422049778"
"2024-04-02","0.07","0","0.001599","0.000595","0.0001384545","0.0000025048","0.000000105","0.0000001911","0","0","0","0","","0.0723352554"
"2024-04-03","0.02","0","0.001599","0.00068","0.0001392545","0.0000024163","0.000000105","0.0000002184","0","0","0","0","","0.0224209942"
"2024-04-04","0.01","0","0.001599","0.00119","0.0001392635","0.0000025719","0.000000239","0.0000004095","0","0","0","0","","0.0129314839"
"2024-04-05","0.01","0","0.00147","0.001785","0.0001392777","0.0000025725","0.000000315","0.0000006552","0","0","0","0","","0.0133978204"
"2024-04-06","0.01","0","0.001722","0.0017","0.0001392806","0.0000025945","0.000000371","0.000000546","0","0","0","0","","0.0135647921"
"2024-04-07","0.01","0","0.001764","0.002125","0.0001384545","0.0000024827","0.000000359","0.0000007098","0","0","0","0","","0.014031006"
"2024-04-08","0.01","0","0.001176","0.00221","0.0001384545","0.0000024165","0.0000004","0.0000006552","0","0","0","0","","0.0135279262"
"2024-04-09","0.01","0","0.00168","0.002295","0.0001384545","0.000002595","0.000000387","0.0000007644","0","0","0","0","","0.0141172009"
"2024-04-10","0.01","0","0.001722","0.002125","0.0001392777","0.0000027495","0.000000358","0.0000006552","0","0","0","0","","0.0139900404"
"2024-04-11","0.01","0","0.001806","0.00238","0.0001384545","0.0000027827","0.000000384","0.0000007098","0","0","0","0","","0.014328331"
"2024-04-12","0.01","0","0.001722","0.002465","0.0001384545","0.0000028612","0.000000357","0.000000819","0","0","0","0","","0.0143294917"
"2024-04-13","0.01","0","0.001722","0.002635","0.0001392806","0.0000028146","0.00000043","0.0000007917","0","0","0","0","","0.0145003169"
"2024-04-14","0.01","0","0.001722","0.00255","0.0001392547","0.0000030601","0.000000444","0.0000007917","0","0","0","0","","0.0144155505"
"2024-04-15","0.01","0","0.00147","0.00255","0.0001392635","0.0000027283","0.00000043","0.0000007644","0","0","0","0","","0.0141631862"
"2024-04-16","0.01","0","0.001428","0.00255","0.0001384545","0.0000027648","0.00000043","0.0000007371","0","0","0","0","","0.0141203864"
"2024-04-17","0.01","0","0.001722","0.00238","0.0001392806","0.0000027887","0.000000402","0.000000819","0","0","0","0","","0.0142452903"
"2024-04-18","0.01","0","0.001596","0.002295","0.0001384545","0.0000026907","0.000000372","0.0000007098","0","0","0","0","","0.014033227"
"2024-04-19","0.01","0","0.00126","0.001955","0.0001384547","0.0000027642","0.000000355","0.0000006825","0","0","0","0","","0.0133572564"
"2024-04-20","0.01","0","0.001134","0.00221","0.0001392545","0.0000027147","0.000000371","0.0000006552","0","0","0","0","","0.0134869954"
"2024-04-21","0.01","0","0.001722","0.001955","0.0001384545","0.0000027058","0.000000388","0.0000006825","0","0","0","0","","0.0138192308"
"2024-04-22","0.01","0","0.00177","0.002125","0.0001328494","0.0000027729","0.000000342","0.0000006825","0","0","0","0","","0.0140316468"
"2024-04-23","0.01","0","0.00168","0.002125","0.0001392778","0.0000026392","0.00000036","0.0000007098","0","0","0","0","","0.0139479868"
"2024-04-24","0.01","0","0.001515","0.001955","0.0001384546","0.0000024613","0.000000328","0.0000006006","0","0","0","0","","0.0136118445"
"2024-04-25","0.01","0","0.001344","0.00204","0.0001392778","0.0000023931","0.000000374","0.0000006552","0","0","0","0","","0.0135267001"
"2024-04-26","0.01","0","0.00147","0.002125","0.0001384546","0.0000022632","0.000000374","0.0000006825","0","0","0","0","","0.0137367743"
"2024-04-27","0.01","0","0.001722","0.00204","0.0001392546","0.0000023721","0.000000297","0.0000006825","0","0","0","0","","0.0139046062"
"2024-04-28","0.01","0","0.001722","0.001955","0.0001400896","0.0000023847","0.000000341","0.0000005733","0","0","0","0","","0.0138203886"
"2024-04-29","0.01","0","0.001722","0.001955","0.0001384545","0.0000026189","0.000000357","0.0000005733","0","0","0","0","","0.0138190037"
"2024-04-30","0.01","0","0.001722","0.00204","0.0001384549","0.0000029342","0.000000356","0.0000006006","0","0","0","0","","0.0139043457"
"2024-05-01","0.01","0","0.001638","0.00221","0.0001384444","0.0000029532","0.000000372","0.0000006279","0","0","0","0","","0.0139903975"
"2024-05-02","0.01","0","0.001599","0.0017","0.000138445","0.0000030743","0.000000372","0.0000006006","0","0","0","0","","0.0134414919"
"2024-05-03","0.01","0","0.001722","0.00204","0.0001392444","0.0000029828","0.00000034","0.0000006006","0","0","0","0","","0.0139051678"
"2024-05-04","0.01","0","0.00147","0.002125","0.0001392705","0.000003069","0.000000388","0.0000006279","0","0","0","0","","0.0137383554"
"2024-05-05","","0","0.001722","0.00187","0.0001400766","0.0000030534","0.000000327","0.0000006552","0","0","0","0","","0.0037361122"
"2024-05-06","0.01","0","0.001218","0.00153","0.0001384444","0.000003079","0.000000342","0.0000006825","0","0","0","0","","0.0128905479"
"2024-05-07","0.01","0","0.00147","0.0017","0.0001384444","0.000003068","0.000000314","0.0000006825","0","0","0","0","","0.0133125089"
"2024-05-08","0.01","0","0.001722","0.00238","0.0001392705","0.0000029956","0.00000037","0.0000006006","0","0","0","0","","0.0142452367"
"2024-05-09","0.01","0","0.001092","0.00187","0.0001384444","0.000002995","0.000000299","0.0000007098","0","0","0","0","","0.0131044482"
