"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","Network Firewall($)","CloudWatch($)","VPC($)","Elastic File System($)","ElastiCache($)","Elastic Container Service for Kubernetes($)","Route 53($)","Directory Service($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","DynamoDB($)","Key Management Service($)","Direct Connect($)","Lambda($)","Backup($)","Athena($)","SQS($)","Cost Explorer($)","OpenSearch Service($)","Service Catalog($)","SNS($)","Systems Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Certificate Manager($)","Total costs($)"
"Service total","463129.3201501057","389288.3641346431","32654.5665583234","26159.3148595006","25550.2767095339","21656.5441341753","6308.1091973063","3835.0904707589","3087.072","2565.114313722","2259.96264","1333.9139124096","893.9230727609","775.8560059905","490.9190584849","292.79506374","196.1198959246","172.2953507191","163.6055421154","159.067055","152.4987584757","19.84","4.5990240405","2.2638","1.1188245392","0.01302","0.0005765304","0.000521522","2.774e-7","1.851e-7","0","0","0","0","0","981152.5646507845"
"2024-04-01","471.4147169222","237.286736179","4.3959013423","14.8704742072","25.2223208661","15.0438891908","16.4314744489","1.7119846161","7.776","4.8","2.67806","3.3674005166","1.0791307252","0.482865","16.9248801172","0.6421293384","0.0008769164","0.0000207995","0.3599610518","","0.0055484","0.12","","0","0.000056717","","0.0000014142","0.0000007488","","","0","0","","","","824.6144295177"
"2024-04-02","465.7008394419","271.6078004033","4.4686931298","14.7346957928","25.1966627904","16.2018774425","16.7247990611","1.5540319725","7.776","4.8","0.1731148","3.3902859667","1.1010805443","0.4959583333","1.2425519201","0.6439623384","0.0008941647","0.0000141295","0.3600219839","","0.0373372","0.09","","0","0.0000329273","","0.0000014142","0.0000007488","","","0","0","","","","836.3006565055"
"2024-04-03","597.9400492573","368.1016141044","4.5710762665","14.8579341405","29.6420810778","17.5018148854","16.8942719175","1.7306468892","7.776","4.8","0.1843184","3.409467678","1.1289469239","0.4910605553","0.8121318973","0.6427473384","0.0009841506","0.0000208814","0.3600618337","","0.0407989129","0.11","","0","0.0050675503","","0.0000014142","0.0000007488","","","0","0","","","","1071.0010968234"
"2024-04-04","651.395770239","377.6887115722","5.3638006315","15.0955404849","25.9026547692","17.7198461976","17.189739522","1.5875187287","7.776","4.8","0.1902516","3.2428071862","1.1560488254","0.4916005553","0.7972848857","0.6444603384","0.00113116","0.0000344721","0.360142017","","0.0467444796","0.05","","0","0.0125560935","","0.0000018856","0.0000009984","","","0","0","","","","1131.5126466423"
"2024-04-05","690.9053673356","485.9117847157","4.6659657268","14.9167867085","30.2193982668","18.138438059","17.1543504792","1.5743912895","7.776","4.8","0.2066624","3.3534960276","1.1805319746","0.5154316664","0.7986292249","0.6393453384","0.0013455248","0.000041232","0.3602181829","","0.049966","0.05","","0","0.0195352099","","0.0000009428","0.0000004992","","","0","0","","","","1283.2376868046"
"2024-04-06","708.2078166085","510.6967136117","4.69095863","14.8543592958","22.7445027123","15.8154386041","16.7787633729","1.5025932555","7.776","4.8","0.3960816","3.4283620195","1.186976511","0.5091666664","0.7867021634","0.6385293384","0.0027840149","0.0000219228","0.3602393015","","0.0525348","0.05","","0","0.000805465","","0.0000009566","0.0000005068","","","0","0","","","","1315.2793513571"
"2024-04-07","710.1339548739","509.5786452217","4.6921614277","14.8273194655","22.7214682533","15.1133615294","16.8497101914","1.5116258948","7.776","4.8","0.2990056","3.350791364","1.1878697014","0.5118166664","0.7876121936","0.6441873384","0.0023923559","0.0000179102","0.3602393015","","0.0516376","0.05","","0","0.0010867247","","0.0000019128","0.0000010136","","","0","0","","","","1315.2509065402"
"2024-04-08","1387.790664079","573.8032961526","5.6607649464","15.1533853444","39.7788250773","19.3883227716","17.4265852985","1.573986649","7.776","4.8","0.8756296","3.3565359336","1.2101125615","0.5226316664","0.817129915","0.6447933384","0.0993847032","0.0006505504","0.3602393015","","0.0699084","0.05","","0","0.0684137838","","0.0000019128","0.0000007602","","0.0000001545","0","0","","","","2081.2272629001"
"2024-04-09","1735.337157513","631.8984254329","7.0621534889","16.5989212285","33.6028192533","20.0565974164","16.9938755737","1.7868902835","7.776","4.8","1.6847496","3.3843968082","1.24700671","0.5163116664","0.8076825957","0.6441003384","0.3358693776","0.0003276255","0.3601893809","","0.1588152","0.05","","0","0.0020073731","","0.0000014349","0.0000007602","","","0","0","","","","2485.1042990611"
"2024-04-10","1952.0244201352","706.7512793915","9.8697987515","23.8790610263","44.5720525142","23.8830759405","16.7258319999","2.2072120879","7.776","4.8","3.468914","3.3706500138","1.2703675943","0.5244816664","0.805624767","0.6444573384","0.8307995876","0.001895731","0.3601902502","","0.1920768","0.05","","0","0.0022745296","","0.0000019128","0.0000010136","","","0","0","","","","2804.0104670517"
"2024-04-11","1892.7666605405","703.0692899421","9.6552604559","23.1768591174","38.6099726755","20.0734630625","16.3083211061","2.2598967878","7.776","4.8","3.3618868","3.3225408611","1.278860679","0.5138166664","0.794594384","0.6420453384","1.0350024448","0.0452222997","0.3602058483","","0.2216064","0.05","","0","0.0019898267","","0.0000019128","0.0000010136","","","0","0","","","","2730.1234981626"
"2024-04-12","2257.068703121","750.5952498266","10.380089051","24.1491240249","49.58439756","22.3333802283","16.4617974602","2.4092029818","7.776","4.8","3.64446","3.4281994639","1.2897093455","0.5239366664","0.8101317235","0.6442023384","1.108354834","0.1729603643","0.3602260919","","0.2846136","0.09","","0","0.0029065101","","0.0000014349","0.0000007602","","0.0000000306","0","0","","","","3157.9176474175"
"2024-04-13","2551.0385047728","917.9093287246","14.2691060785","44.9779439654","72.0795262653","23.8499457781","16.5493502486","2.8859399672","7.776","4.8","6.0924888","3.311671864","1.3075634067","2.4016816664","0.8232512596","0.6425613384","2.7678562412","0.0698513344","0.3602263756","","0.1872989247","0.05","","0","0.0021376359","","0.0000019128","0.0000010136","","","0","0","","","","3674.1522375738"
"2024-04-14","2524.2507514276","888.0012158919","15.0568369097","42.4578233946","67.5840781471","26.2981654176","16.4886045691","2.9316716362","7.776","4.8","5.7848544","3.2806011387","1.3160087564","2.6966066664","0.8033436184","0.6453363384","2.9380386713","0.7530833694","0.3602263759","","0.2736248","0.05","","0","0.0024179467","","0.0000014349","0.0000010136","","","0","0","","","","3614.5492919239"
"2024-04-15","2218.8789773295","884.4679726184","15.7831767952","47.6936367936","72.2706890629","23.1900717364","16.8489310251","3.1127592035","7.776","4.8","6.3533516","3.4220515003","1.3304093347","2.0055316664","0.7091689174","0.6519693384","2.4269012418","0.2557445979","0.3602136339","","0.3212508","0.05","","0","0.0018387335","","0.0000019128","0.0000010136","","","0","0","","","","3312.7106488553"
"2024-04-16","1780.4627016775","878.7802883063","16.1259221463","45.1455214291","70.5130163966","24.2272274063","17.2934337488","3.3421642923","7.776","4.8","6.2056796","3.3691729748","1.3459285095","2.1768766664","0.6504494104","0.6440103384","2.2498355585","0.7718138333","0.3601809413","","0.2582188","0.05","","0","0.0018215312","","0.0000014349","0.0000007602","","","0","0","","","","2866.5502657621"
"2024-04-17","1693.813842832","868.9449105267","16.5921517922","43.4186185465","76.694883051","22.2055385192","17.4566774429","3.4673004033","7.776","4.8","5.9387372","3.375802422","1.3572901181","2.8388516664","0.6530482848","0.6440073384","2.1960860063","0.2126428251","0.360193239","","0.3349912","0.09","","0","0.0035464922","","0.0000019128","0.0000010136","","","0","0","","","","2773.1751228325"
"2024-04-18","1712.832790721","862.2764467307","17.4975672474","45.8326922583","77.2527051531","22.1981690268","17.5519323655","3.8540771516","7.776","4.8","6.1574356","3.3954655001","1.3696199035","2.2869266664","0.6553176884","0.6442833384","2.2359095599","0.3460828553","0.3602293566","","0.7963784","0.05","","0","0.0020388084","","0.0000019128","0.0000010136","","","0","0","","","","2790.1720712578"
"2024-04-19","1682.7025337262","865.2206905465","18.4876442696","47.0511659046","74.6769052681","21.7317768471","17.6963321777","4.1148076048","7.776","4.8","6.0632568","3.3092351832","1.3951866153","1.7632266664","0.6472883719","0.6442473384","2.3090477819","0.4388312378","0.3602395539","","0.3621544","0.05","","0","0.0012841367","","0.0000014349","0.0000010136","","","0","0","","","","2761.6018568786"
"2024-04-20","1631.1678458894","860.7892064876","19.4002091294","47.442654044","74.8258904196","15.5063948087","17.6266447906","4.2334382711","7.776","4.8","5.9266236","3.2986298527","1.4054584968","1.7409466664","0.6460063743","0.6422583384","2.2904292674","0.1655640116","0.360225426","","0.3358816","0.05","","0","0.0008010646","","0.0000019128","0.0000007602","","","0","0","","","","2700.4311112116"
"2024-04-21","1625.2190102474","852.7103540014","20.1258313259","42.9304774368","70.3559209967","18.9187245296","17.707567309","4.1723074182","7.776","4.8","5.5454912","3.3573543888","1.4054584968","1.7761016664","0.6443249776","0.6442263384","2.2941383991","1.5270314297","0.3602254343","","0.3420868","0.05","","0.0021","0.000630578","","0.0000019128","0.0000010136","","","0","0","","","","2682.6653659005"
"2024-04-22","1644.1658305158","862.879494971","21.2342716357","45.8350190368","75.6464429647","14.9626330331","17.9764793761","4.3596054337","7.776","4.8","6.0071324","3.3488486305","1.417430524","1.7748816664","0.6532642788","0.6440073384","2.2178067935","0.3256776205","0.3602249963","","0.377396","0.05","","0.0021","0.0011801017","","0.0000014349","0.0000007602","","","0","0","","","","2716.8157295121"
