"Service","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","VPC($)","Network Firewall($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","S3($)","Lambda($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","Route 53($)","Cost Explorer($)","DynamoDB($)","Service Catalog($)","Key Management Service($)","SQS($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Athena($)","Elastic File System($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","50769.6656475489","25203.6039694085","5493.2956551353","5124.6133771974","3802.2738984203","1232.147790416","782.0648456177","227.995820276","86.7838636885","81.1147605542","75.1338663547","18.8822784","15.95","8.400076278","2.4493","1.200168","0.7723175712","0.0037361018","0.0005786993","0.0005211954","0.000495","0.0000243816","0","0","0","92926.3529902448"
"2024-04-01","121.0325180552","55.4578020248","12.0742025709","10.8317415853","9.700355037","2.4","0.1233333336","0.0978900653","","0.1685966664","0.1081522464","0.3025728","0.05","0.021312","0","0.003765","0.000006","0","0.0000014142","0.0000007488","","0.0000000624","0","0","","212.3722496103"
"2024-04-02","122.6762690308","55.9751107641","12.0557982995","10.8267923386","9.749991731","2.4","1.5620833194","0.1072475759","","0.1686316664","0.1108289042","0.0021536","0.07","0.021312","0","0.003879","0.0017348","0","0.0000014142","0.0000007488","","0.0000000624","0","0","","215.7318352553"
"2024-04-03","123.4077618658","56.0997942037","12.36667285","10.8282157468","9.7897456951","2.4","1.5633533192","0.1040468","","0.1687766664","0.1118139672","0.0027188","0.03","0.021312","0","0.003696","0.0017372","0","0.0000014142","0.0000004992","","0.0000000624","0","0","","216.89964709"
"2024-04-04","126.7405434476","57.1000305408","12.660267742","10.8300823861","10.1903678635","2.4","1.5658333194","0.1078958945","","0.1692666664","0.1118139672","0.0021728","0.01","0.0213120648","0","0.00309","0.001744","0","0.0000018856","0.0000007488","","0.0000000624","0","0","","221.9144233891"
"2024-04-05","127.6259033957","56.5901940326","12.6339569678","10.8288561731","9.639724465","2.4","1.5633333192","0.1083169357","","0.1688966664","0.1118139672","0.002064","0.01","0.0213120648","","0.00207","0.0017408","0","0.0000009428","0.0000007488","","0.0000000624","0","0","","221.7081845415"
"2024-04-06","127.4492028982","56.4933843","12.6296733125","10.8251650864","9.5803581957","2.4","1.5633333192","0.1089032057","","0.1688566664","0.1118139672","0.0016628","0.01","0.0213120648","0","0.00171","0.0017396","0","0.0000009566","0.0000005068","","0.0000000624","0","0","","221.3671169419"
"2024-04-07","127.6774096752","56.4423090088","12.6286473582","10.8396851375","9.5939812176","2.4","1.5633333192","0.1114892618","","0.1696766664","0.1118139672","0.0017768","0.01","0.0213120648","0","0.00369","0.0017576","0","0.0000019128","0.0000010136","","0.0000000624","0","0","","221.5768850655"
"2024-04-08","140.893060448","56.908331228","12.6454102583","10.9540603302","9.8849057995","2.4","1.582730449","0.1153077205","","0.1697516664","0.1127958488","0.0023944","0.01","0.0213120648","0","0.00369","0.001756","0.000000052","0.0000014349","0.0000007602","","0.0000000624","0","0","","235.705508523"
"2024-04-09","147.3963715912","57.5180052088","12.641052898","10.9520849848","10.0457241024","2.4","1.6171373029","0.1173162366","0.0000040533","0.1698116664","0.1146644448","0.0026632","0.01","0.0213120648","0","0.004038","0.0017552","0.0000009577","0.0000019128","0.0000010136","","0.0000000624","0","0","","243.0119449005"
"2024-04-10","150.4170283439","57.7446959719","12.644283887","10.9502278018","9.7451646166","2.4","1.6609598459","0.1178900746","0.0000045783","0.1696616664","0.1161222487","0.0037728","0.01","0.0213120648","0","0.004293","0.0017552","0.0000010132","0.0000019128","0.0000010136","","0.0000000624","0","0","","246.0071761019"
