"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Cost Explorer($)","Service Catalog($)","Route 53($)","Secrets Manager($)","S3($)","DynamoDB($)","Key Management Service($)","SQS($)","Athena($)","SNS($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","9703.0918973741","4422.7463176994","2180.1160137968","576.5460517977","445.4155333291","16.06","13.6682","11.0709996","10.7316862181","8.5449178359","8.4213903188","0.790248","0.0160496","0.00243","0.0024225065","0.0004464786","0.0004359097","0.0004110672","0","0","0","17397.2254515319"
"2024-04-01","24.5824803962","7.9623088429","4.5618872538","1.147548709","0.993333324","0.04","0","1.0001092","0.0271466664","0.0020166843","0.021312","0.002772","0.0000384","","0","0.000002396","0.000000075","0.0000001566","0","0","","40.3409561042"
"2024-04-02","24.5824881605","7.9072491479","4.5603512694","1.147222889","0.9924999908","0.06","0","0.000022","0.0272366664","0.0018898937","0.021312","0.002376","0.000024","","0","0.0000023757","0.00000012","0.0000001566","0","0","","39.30267467"
"2024-04-03","24.2903269657","7.9108028738","4.5614566968","1.1472417309","0.993333324","0.03","0","0.0000124","0.0275216664","0.0019426938","0.021312","0.002706","0.0000336","","0","0.0000022402","0.00000012","0.0000001827","0","0","","38.9866924943"
"2024-04-04","24.5825273996","7.9278325182","4.5609606975","1.1473391208","0.993333324","0.01","0","0.0000708","0.0268955553","0.0020684257","0.0213120552","0.002706","0.0000768","","0","0.0000024156","0.000000225","0.0000003915","0","0","","39.2751257284"
"2024-04-05","24.5473184131","8.0931521893","4.5859447978","1.1514527564","0.993333324","0.01","","0.0006124","0.0277116664","0.0021875314","0.0213120552","0.001452","0.0000528","","0","0.0000012293","0.000000165","0.0000002871","0","0","","39.434531615"
"2024-04-06","24.5882172764","7.9262399086","4.5631122564","1.1477960978","0.993333324","","","0.0002588","0.0266666664","0.001940368","0.0213120552","","","","","0.0000011351","","","0","","","39.2688778879"
"2024-04-07","24.583545588","7.9089028905","4.5609002608","1.1473986229","0.993333324","0.01","0","0.0001712","0.0276166664","0.0019930051","0.0213120552","0.001254","0.0000528","","0","0.0000023572","0.000000165","0.0000002871","0","0","","39.2564832222"
"2024-04-08","24.5836946174","8.0143909612","4.5616861348","1.1475462802","0.993333324","0.01","0","0.0003068","0.0288916664","0.0028018733","0.0213120552","0.002706","0.00012","","0","0.0000024171","0.000000344","0.0000006003","0","0","","39.3667930739"
"2024-04-09","24.583600257","7.9135376677","4.5603960288","1.1473688888","0.993333324","0.01","0","0.0002304","0.0291366664","0.0024316758","0.0213120552","0.00264","0.000096","","0","0.0000024389","0.000000359","0.0000006525","0","0","","39.2640864141"
"2024-04-10","24.583645763","7.9165550484","4.5603442823","1.1472","0.993333324","0.01","0","0.0000188","0.0288516664","0.0024316308","0.0213120552","0.002706","0.0001152","","0","0.0000026612","0.000000371","0.0000006525","0","0","","39.2665174548"
"2024-04-11","24.5837053574","7.9221900635","4.560341562","1.1472","0.993333324","0.01","0","0.0000208","0.0291366664","0.0024317468","0.0213120552","0.002706","0.00012","","0","0.0000025949","0.0000004","0.0000006786","0","0","","39.2725012488"
"2024-04-12","24.5837036301","7.9162281962","4.5603419432","1.1472","0.993333324","0.01","0","0.0000268","0.0293266664","0.0024276308","0.0213120552","0.002838","0.0001344","","0","0.0000023834","0.000000401","0.0000007569","0","0","","39.2668761872"
"2024-04-13","24.5837108999","7.9158823782","4.560344339","1.1472","0.9929166574","0.01","0","0.0000116","0.0293266664","0.0024276308","0.0213120552","0.002706","0.0001344","","0","0.0000024705","0.000000342","0.0000007569","0","0","","39.2659761963"
"2024-04-14","24.583822008","7.9232957096","4.5603398419","1.1472","0.993333324","0.01","0","0.0000188","0.0293266664","0.0024276308","0.0213120552","0.002706","0.0001344","","0","0.0000024608","0.000000416","0.0000007047","0","0","","39.2739200174"
"2024-04-15","24.5837747025","7.9159824495","4.5603422336","1.1472","0.993333324","0.01","0","0.0000156","0.0291366664","0.0024317613","0.0213120552","0.002706","0.0001296","","0","0.0000023856","0.000000388","0.0000007569","0","0","","39.266367923"
"2024-04-16","24.5837917463","7.923992187","4.5603827029","1.1472","0.993333324","0.01","0","0.0000196","0.0293266664","0.0024690092","0.0213120552","0.002706","0.0001344","","0","0.0000023353","0.000000429","0.0000007047","0","0","","39.27467116"
"2024-04-17","24.5837859556","7.9380805465","4.5607817151","1.1473223131","0.9929166574","0.01","0","0.000068","0.0290416664","0.0024276308","0.0213120552","0.002244","0.00012","","0","0.0000023492","0.000000401","0.0000006786","0","0","","39.2881039689"
"2024-04-18","24.5837371379","7.9618796629","4.5609728497","1.1474141812","0.993333324","0.01","0","0.0003372","0.0288566664","0.0025382376","0.0213120552","0.002706","0.00012","","0","0.0000023038","0.000000239","0.0000006003","0","0","","39.313210458"
