"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","EC2 Container Registry (ECR)($)","Route 53($)","S3($)","Key Management Service($)","SQS($)","SNS($)","Step Functions($)","Glacier($)","Simple Workflow Service($)","DynamoDB($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","5934.7921311199","3492.3701352906","1789.6666003539","952.8","729.8230082299","700.0346860864","32.4562259337","25.49","13.0739","8.769118702","8.4","1.7750432588","0.739083","0.016214","0.0024645304","0.0004365158","0.000425255","0.0004116011","0.0000511298","1.91e-8","0","0","0","13690.2099350264"
"2024-04-01","14.391253493","8.050485258","2.520114169","2.4","1.8182717562","1.4598845835","0.0538583328","0.04","0","0.0120481656","1","0.0003137001","0.002772","0.0000192","0","0.000000075","0.000003148","0.0000001566","0","","0","0","","31.7490240378"
"2024-04-02","14.3967725939","8.0612989104","2.520116876","2.4","1.8172943995","1.5755010623","0.0539633328","0.06","0","0.0120481656","","0.0003103957","0.002178","0.0000336","0","0.000000105","0.0000030808","0.0000001566","0","","0","0","","30.8995206786"
"2024-04-03","14.3883515552","8.0613608534","2.5201164492","2.4","1.8178830413","1.5848902537","0.0519511106","0.04","0","0.0120481656","","0.0003103957","0.002706","0.0000384","0","0.000000105","0.0000029908","0.0000002349","0","","0","0","","30.8796595554"
"2024-04-04","14.3809872827","8.0613003078","2.5201153903","2.4","1.8150410448","1.5771705091","0.0525811106","0.01","0","0.0120481656","","0.0003103957","0.002706","0.000072","0","0.000000225","0.0000030151","0.0000003915","0.0000000528","","0","0","","30.832335891"
"2024-04-05","14.3812578069","8.0613012317","2.5201208177","2.4","1.8189632423","1.5776363892","0.0544883328","","0","0.0120481656","","0.0002548471","0.001452","0.0000528","0","0.00000015","0.000001673","0.0000002871","0.0000000528","","0","0","","30.8275777962"
"2024-04-06","14.3817702576","8.0613090227","2.5201165755","2.4","1.8153969072","1.5844491394","0.0533333328","","","0.0120481656","","0.0002386656","","","","","0.0000013024","","0.0000000528","","0","","","30.8286634216"
"2024-04-07","14.3812571528","8.0613122845","2.5201133197","2.4","1.8200808993","1.9175901859","0.0543833328","0.01","0","0.0120481656","","0.000313644","0.001254","0.0000576","0","0.000000165","0.0000026279","0.000000261","0.0000000528","","0","0","","31.1784136913"
"2024-04-08","14.3822851737","8.0613079351","2.5204385045","2.4","1.8197409687","1.5848613834","0.0557483328","0.01","0","0.0120481656","","0.0003103957","0.002706","0.0001104","0","0.000000327","0.000002668","0.0000006786","0.0000000528","","0","0","","30.8495609859"
"2024-04-09","14.3819525679","8.0613060749","2.5201375287","2.4","1.8194609661","1.5889332049","0.0560633328","0.01","0","0.0120481656","","0.0003375109","0.002178","0.0001296","0","0.000000312","0.0000026513","0.0000005481","0.0000000528","","0","0","","30.852550516"
"2024-04-10","14.3807318656","8.0613184428","2.5201674529","2.4","1.8193596685","1.5883438165","0.0558533328","0.01","0","0.0120481656","","0.0003103959","0.002706","0.0001104","0","0.000000297","0.00000259","0.0000006264","0.0000000528","","0","0","","30.8509531068"
"2024-04-11","14.3829755675","8.0613507222","2.5203144714","2.4","1.819759182","1.9184082731","0.0559583328","0.01","0","0.0120481656","","0.0003168885","0.002706","0.0001296","0","0.000000357","0.0000026054","0.0000005742","0.0000000528","","0","0","","31.1839707925"
"2024-04-12","14.4028932024","8.0613004683","2.8207361777","2.4","1.8222925033","1.6187227289","0.0562733328","0.01","0","0.0120481656","","0.0003137001","0.002706","0.0001296","0","0.00000043","0.0000027967","0.0000006003","0.0000000528","","0","0","","31.2074197589"
"2024-04-13","14.4180698994","8.061261872","2.5201677327","2.4","1.8149994542","1.6143506281","0.0560633328","0.01","0","0.0120481656","","0.0003103957","0.002772","0.0001392","0","0.000000401","0.0000027179","0.0000007308","0.0000000528","","0","0","","30.910186583"
"2024-04-14","14.4169667379","8.0612518857","2.5201681202","2.4","1.8167131911","1.6148741954","0.0563783328","0.01","0","0.0120481656","","0.0003103957","0.002706","0.0001344","0","0.000000342","0.0000027588","0.0000007047","0.0000000528","","0","0","","30.9115552827"
"2024-04-15","14.4179666106","8.0612647202","2.5207075369","2.4","1.8197463519","1.6136563604","0.0563783328","0.01","0","0.0120481656","","0.000313644","0.00231","0.0001248","0","0.000000415","0.0000028381","0.0000006003","0.0000000528","","0","0","","30.9145204286"
"2024-04-16","14.426983372","8.0613069607","2.5201174576","2.4","1.8178997159","1.6144577145","0.0561683328","0.01","0","0.0120481656","","0.0003103957","0.002706","0.0001392","0","0.000000388","0.0000027722","0.0000007308","0.0000000528","","0","0","","30.9221412586"
"2024-04-17","14.4296493123","8.0613366086","2.5201177021","2.4","1.819559926","1.6119236082","0.0559583328","0.01","0","0.0120481656","","0.0003103957","0.002772","0.0001248","0","0.000000416","0.0000025944","0.0000006264","0.0000000528","","0","0","","30.9238045409"
"2024-04-18","14.4347829756","8.0612680851","2.5201229277","2.4","1.8186133487","1.618861748","0.0558533328","0.01","0","0.0120481656","","0.0003103957","0.00231","0.0001056","0","0.000000371","0.0000025474","0.0000006264","0.0000000528","","0","0","","30.9342801768"
"2024-04-19","14.4351556262","8.0612832496","2.5201718701","2.4","1.8173273756","1.613844884","0.0559583328","0.01","0","0.0120481656","","0.0003103957","0.002706","0.00012","0","0.000000299","0.0000026841","0.0000005742","0.0000000528","","0","0","","30.9289295097"
"2024-04-20","14.4259221563","8.0613171679","2.5201972689","2.4","1.819937412","1.6134803618","0.0556433328","0.01","0","0.0120481656","","0.0003136885","0.002706","0.0001248","0","0.000000358","0.0000026776","0.0000006003","0.0000000528","","0","0","","30.9216940425"
"2024-04-21","14.4246639745","8.0613010431","2.5201677477","2.4","1.8168398462","1.6084207404","0.0561683328","0.01","0.0014","0.0120481656","","0.0003201484","0.002706","0.0001104","0","0.000000342","0.0000026876","0.0000006264","0.0000000528","","0","0","","30.9141501075"
"2024-04-22","14.426210181","8.0613217137","2.520201474","2.4","1.8203702225","1.6064247243","0.0558533328","0.01","0.0014","0.0120481656","","0.0003103957","0.00231","0.00012","0","0.000000358","0.000002594","0.000000522","0.0000000528","","0","0","","30.9165737364"
"2024-04-23","14.4278809677","8.0613354761","2.5205193852","2.4","1.8163350315","1.6123431366","0.0559583328","0.01","0.0014","0.0120481656","","0.0003103957","0.002178","0.00012","0","0.000000374","0.0000026634","0.0000006786","0.0000000528","","0","0","","30.92043266"
"2024-04-24","14.4277578849","8.0612970312","2.5202791578","2.4","1.8192613716","1.6115252347","0.0534211106","0.01","0.0014","0.0120481656","","0.0003103957","0.002706","0.0001104","0","0.000000315","0.0000023502","0.000000522","0.0000000528","","0","0","","30.9201199921"
"2024-04-25","14.4320453188","8.0613288001","2.5201690191","2.4","1.8208151073","1.618450102","0.0557483328","0.01","0.0014","0.0120481656","","0.0003136885","0.002706","0.0001152","0","0.000000345","0.0000023059","0.0000006264","0.0000000528","","0","0","","30.9351430643"
"2024-04-26","14.4341403371","8.0613125587","2.5201514473","2.4","1.8198921728","1.6135590974","0.0558533328","0.01","0.0014","0.0120481656","","0.0003103957","0.002706","0.0001104","0","0.000000299","0.0000022406","0.0000006264","0.0000000528","","0","0","","30.9314871262"
"2024-04-27","14.436852495","8.0613147521","2.5201129942","2.4","1.8165538077","1.6126919701","0.0552233328","","0.0014","0.0120481656","","0.0003135957","0.002904","0.0000912","0","0.000000313","0.0000024166","0.0000006786","0.0000000528","","0","0","","30.9195097742"
"2024-04-28","14.4384041102","8.0612882656","2.5201240777","2.4","1.8208584459","1.6177057782","0.0558533328","0.01","0.0007","0.0120481656","","0.0003169484","0.002829","0.0001104","0","0.000000311","0.0000022404","0.0000006003","0.0000000528","","0","0","","30.9402417289"
"2024-04-29","14.443124551","8.0613266935","2.5220461465","2.4","1.819511467","1.6225173792","0.0554333328","2.33","0.0014","0.0120481656","","0.0003103957","0.002898","0.00012","0","0.000000299","0.000002573","0.000000522","0.0000000528","","0","0","","33.2707395781"
"2024-04-30","14.4477890209","8.061341086","2.5207415681","2.4","1.8169877572","1.6220530887","0.0559583328","0.05","0.0014","0.0120481656","","0.0003103957","0.002829","0.0001152","0","0.000000358","0.0000029718","0.0000005742","0.0000000528","","0","0","","30.9915775718"
"2024-05-01","14.2767916319","7.6294882676","2.5202666701","2.4","1.8154497796","1.616715283","0.0540279024","0.05","0","0.0116595144","1","0.0003078797","0.002706","0.0001104","0","0.00000027","0.000002952","0.0000005742","0.0000000504","","0","0","","31.3775271753"
"2024-05-02","14.2615433509","7.6294046637","2.520323732","2.4","1.8191566638","1.6144170477","0.0537129024","0.05","0","0.0116595144","","0.0003111724","0.002706","0.0001056","0","0.000000344","0.0000030174","0.0000004959","0.0000000504","","0","0","","30.363344555"
"2024-05-03","14.2620225491","7.6293769057","2.5202118888","2.4","1.8226107204","1.6134931663","0.0539229024","0.06","0","0.0116595144","","0.0003078796","0.002706","0.0000912","0","0.000000297","0.0000029268","0.0000005742","0.0000000504","","0","0","","30.3764065751"
"2024-05-04","14.2592587954","7.6293550648","2.52011617","2.4","1.8220761719","1.6106462832","0.0538179024","0.06","0","0.0116595144","","0.0003110797","0.002706","0.000096","0","0.000000358","0.0000030461","0.000000522","0.0000000504","","0","0","","30.3700469583"
"2024-05-05","14.2575354309","7.6293516195","2.5201163635","2.4","1.8213368433","1.6078031828","0.0536079024","0.06","0","0.0116595144","","0.0003144324","0.001716","0.0001008","0","0.000000285","0.0000030127","0.0000005742","0.0000000504","","0","0","","30.3635460115"
"2024-05-06","14.2625526419","7.6293367302","2.5201176316","2.4","1.8173126011","1.6175015137","0.0540279024","0.06","0","0.0116595144","","0.0003078803","0.002772","0.0001104","0","0.000000313","0.0000030754","0.0000004959","0.0000000504","","0","0","","30.3757027503"
"2024-05-07","14.2754862245","7.6293557768","2.5206438093","2.4","1.8165512313","1.6147503846","0.0539229024","0.06","0","0.0116595144","","0.000311128","0.002706","0.0001104","0","0.000000312","0.0000030606","0.0000005742","0.0000000504","","0","0","","30.3855013685"
"2024-05-08","14.2749154611","7.6286696258","2.520179399","2.4","1.8161040153","1.6117277405","0.0539229024","0.05","0","0.0116595144","","0.0002916592","0.002706","0.0001008","0","0.000000329","0.0000029806","0.0000005481","0.0000000504","","0","0","","30.3702810258"
"2024-05-09","14.2715636663","7.6283903574","2.5201135901","2.4","1.8188594715","1.6129543807","0.0540279024","0.05","0","0.0116595144","","0.0003111841","0.002706","0.0001056","0","0.000000314","0.000002953","0.0000006525","0.0000000504","","0","0","","30.3706956368"
"2024-05-10","14.2806004716","7.6284301841","2.5200976131","2.4","1.8186320778","1.610557416","0.0540279024","0.05","0","0.0116595144","","0.0003143725","0.002244","0.0001008","0","0.000000358","0.0000028978","0.0000006786","0.0000000504","","0","0","","30.3766683367"
"2024-05-11","14.2790401884","7.6283490732","2.5201190968","2.4","1.8180879663","1.6138605447","0.0518773648","0.05","0","0.0116595144","","0.0003078797","0.002706","0.0001056","0","0.000000357","0.0000030697","0.0000005742","0.0000000504","","0","0","","30.3761172796"
"2024-05-12","14.2803777354","7.6283652344","2.5201688717","2.4","1.8214401677","1.6075452097","0.0542379024","0.05","0","0.0116595144","","0.0003078803","0.002706","0.0001104","0","0.000000343","0.000002907","0.0000006525","0.0000000504","","0","0","","30.3769228689"
"2024-05-13","14.6952801051","8.2348831632","2.5235153341","2.4","1.8272662768","1.6996238109","0.0515623648","0.05","0","0.0119467016","","0.0008566678","0.002244","0.000096","0","0.000000299","0.0000028841","0.000000522","0.0000000504","","0","0","","31.4972781798"
"2024-05-14","14.9265298794","8.6676681388","2.5239928476","2.4","1.8337247483","1.7836304606","0.0669134936","0.05","0","0.0133663213","","0.0013030034","0.002745","0.000096","0","0.000000342","0.0000029508","0.0000005742","0.0000000504","","0","0","","32.2699738104"
"2024-05-15","14.832768661","8.6675124122","2.5210617407","2.4","1.8334615958","1.7657273852","0.0767235472","0.05","0","0.0141464256","","0.0007974449","0.002706","0.0001104","0","0.000000314","0.0000029065","0.000000522","0.0000000504","","0","0","","32.1650194055"
"2024-05-16","14.8160300223","8.6675125049","2.5201675108","2.4","1.8321669638","1.7600659516","0.0797193536","0.05","0","0.0141464256","","0.000905325","0.002772","0.0001152","0","0.000000342","0.0000030464","0.0000005481","0.0000000504","","0","0","","32.1436052445"
"2024-05-17","14.8143342747","8.6674881609","2.5201675883","2.4","1.8290730579","1.7589776035","0.0800643536","0.05","0","0.0141464256","","0.000927493","0.002706","0.0001104","0","0.00000027","0.0000028547","0.0000005742","0.0000000504","","0","0","","32.1379991068"
"2024-05-18","14.8126361008","8.6457833102","2.5201673067","2.4","1.8315609922","1.7634469045","0.0802943536","0.05","0","0.0141464256","","0.0008952988","0.002244","0.0001104","0","0.000000327","0.0000029062","0.000000522","0.0000000504","","0","0","","32.121288898"
"2024-05-19","14.8108852819","8.6674774178","2.5201672267","2.4","1.8347889876","1.7509598779","0.0798343536","0.05","0","0.0141464256","","0.0008316368","0.002772","0.0001056","0","0.000000315","0.0000029063","0.0000005481","0.0000000504","","0","0","","32.1319726277"
"2024-05-20","14.8125730751","8.6674866826","4.0714887334","2.4","1.8283908218","2.08544652","0.0799493536","0.05","0","0.0141464256","","0.0008680989","0.002706","0.0001152","0","0.000000372","0.000002949","0.0000006264","0.0000000504","0.0000000191","0","0","","34.0131749279"
"2024-05-21","14.8154104364","8.6675015982","5.4001706852","2.4","1.8306351545","1.7601749879","0.0799493536","0.01","0","0.0141464256","","0.0008681112","0.002178","0.0001056","0","0.00000033","0.0000029748","0.0000006003","0.0000000504","","0","0","","34.9811443081"
"2024-05-22","14.8147673916","8.6675099606","5.4001682822","2.4","1.8316137436","1.7627417455","0.0768385472","0.01","0","0.0141464256","","0.0009076391","0.002706","0.0001056","0","0.000000329","0.0000029504","0.0000005481","0.0000000504","","0","0","","34.9815092133"
"2024-05-23","14.8120307462","8.667519562","5.4001690995","2.4","1.8282899062","1.7622628838","0.0797193536","0.01","0","0.0141464256","","0.0008327601","0.002706","0.0001152","0","0.000000269","0.0000028749","0.0000005481","0.0000000504","","0","0","","34.9777956794"
"2024-05-24","14.8107783381","8.6675531776","5.4001701583","2.4","1.8317293253","1.7563489768","0.0800643536","0.01","0","0.0141464256","","0.000882256","0.002706","0.0000912","0","0.0000003","0.0000028333","0.0000005742","0.0000000504","","0","0","","34.9744739692"
"2024-05-25","14.809402991","8.6674677265","5.4001704526","2.4","1.8323977454","1.7670676044","0.0797193536","0.01","0","0.0141464256","","0.0009267776","0.002898","0.0001152","0","0.000000314","0.0000028542","0.0000005742","0.0000000504","","0","0","","34.9843160695"
"2024-05-26","14.8093989366","8.6674705326","5.4001694607","2.4","1.8334116968","1.7669433631","0.0800643536","0.01","0.0014","0.0141464256","","0.0009466773","0.002829","0.000096","0","0.00000027","0.0000029507","0.0000004959","0.0000000504","","0","0","","34.9868802133"
"2024-05-27","14.8102182034","8.66749919","5.4001283835","2.4","1.8331447264","1.766133395","0.0797193536","0.01","0.0014","0.0141464256","","0.0008743679","0.002346","0.0000912","0","0.000000283","0.0000029726","0.0000005742","0.0000000504","","0","0","","34.9857051256"
"2024-05-28","14.8120115745","8.6675156436","5.4001111758","2.4","1.8319576984","1.7859097359","0.0798343536","0.01","0.0014","0.0141464256","","0.0008539704","0.002829","0.000096","0","0.000000285","0.0000029508","0.000000522","0.0000000504","","0","0","","35.006669386"
