"Service","EC2-Instances($)","EC2-Other($)","ElastiCache($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","S3($)","SQS($)","DynamoDB($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Secrets Manager($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","17538.0751433856","11009.5890952674","2953.68","2461.7091518064","1617.4735206962","1453.2326106893","952.8","385.5258935515","258.5275128","77.8608390742","32.7677825268","19.0431260195","15.98","3.4","2.2043","0.02756","0.0023607127","0.0005751","0.0005190581","4.8e-8","0","0","0","38781.8999907357"
"2024-04-01","46.7393168143","25.457491207","7.44","5.0431238948","3.485852284","2.8237384001","2.4","0.3057235271","0.2999844","0.198912","0.0698946672","0.0381948654","0.02","0.1","0","0.000025","0","0.0000009428","0.0000004992","","0","0","","94.4222585019"
"2024-04-02","48.0511508372","25.3022534669","7.44","5.0495939836","3.4894592177","2.8165466807","2.4","1.7857739252","0.6511044","0.198912","0.0704406672","0.0391784424","0.04","","0","0.00003","0","0.0000014142","0.0000007488","","0","0","","97.3344457839"
"2024-04-03","46.0315825811","26.362502601","7.44","5.3446446276","3.4911726612","2.8681695245","2.4","0.8944626302","0.6509804","0.1989165543","0.0704406672","0.0395978267","0.04","","0","0.00004","0.0000000066","0.0000014142","0.0000009984","","0","0","","95.832512493"
"2024-04-04","47.1784528604","25.1255440279","7.44","5.2858900143","3.6201300498","2.7993195625","2.4","0.458078528","0.6546652","0.1989204843","0.0699726672","0.0398031912","0.01","","0","0.000075","0.0000000022","0.0000018856","0.0000007488","","0","0","","95.2808542222"
"2024-04-05","47.6938406599","25.2478071842","7.44","5.2849087713","3.6880497849","2.773297406","2.4","0.4598826031","0.6544584","0.1989235207","0.0689586672","0.0398031912","","","0","0.00005","0","0.0000009428","0.0000004992","","0","0","","95.9499816305"
"2024-04-06","47.0256191814","24.707923847","7.44","5.2808996712","3.706497975","2.7306822579","2.4","0.4577903576","0.6544756","0.1989129598","0.0687246672","0.0398031912","0.01","","0","0.00005","0","0.0000009566","0.0000005068","","0","0","","94.7213811717"
"2024-04-07","47.0257461384","24.6922258481","7.44","5.280411042","3.7017431091","2.7293503576","2.4","0.4579220056","0.6544552","0.19891296","0.0704406672","0.0398031912","0.01","","0","0.000125","0","0.0000019128","0.0000010136","","0","0","","94.7011384456"
"2024-04-08","48.1162507405","25.5398560816","7.44","5.291541043","3.7108424064","2.7925070859","2.4","0.8088975726","0.654192","0.198924915","0.0698166672","0.0398031912","0.01","","0","0.00011","0","0.0000019128","0.0000007602","","0","0","","97.0727443764"
"2024-04-09","48.1374282927","26.0087736989","7.44","5.1980899931","3.703736492","2.8918548409","2.4","0.4615465461","0.655032","0.1989224136","0.0703626672","0.0403852032","0.01","","0","0.000115","0","0.0000014349","0.0000010136","","0","0","","97.2162495962"
