"Service","EC2-Instances($)","EC2-Other($)","VPC($)","CloudWatch($)","ElastiCache($)","OpenSearch Service($)","Elastic Load Balancing($)","S3($)","Secrets Manager($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Lambda($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","22583.1076209564","5860.6053784723","5177.6806505996","3303.3959704647","1175.3913780506","1066.0819108968","689.9346846526","378.3628596605","249.6599200513","212.166460667","117.0175899882","52.5406566778","13.4647681997","13.19","9.2","2.0895","0.0136744921","0.0121616029","0.002258","0.0005741432","0.0005182987","0","0","0","40903.9185358744"
"2024-04-01","239.8423119401","34.1000817946","11.811997911","4.7730492883","5.904","12.1596186607","1.751077619","0.0168444612","0.599871667","2.4","9.572327215","0.1199576748","0.003726","0.05","1","0","0","0.00002312","0.000002","0.0000009428","0.0000007488","0","0","","324.1048910433"
"2024-04-02","268.2367647225","36.8035869233","11.9578649436","5.8724502606","5.904","12.1596189565","1.7706410539","0.0221074342","0.79287","2.4","12.3249460975","0.12824643","0.003156","0.07","","0","0","0.000029735","0.0000028","0.0000014142","0.0000007488","0","0","","358.4462875201"
"2024-04-03","190.0664597498","32.8895553972","11.8358447217","4.3005493207","5.904","12.1596194286","1.7500443111","0.0223100623","0.75387","2.4","12.3249167425","0.1296301968","0.00387","0.03","","0","0","0.0000290849","0.0000028","0.0000014142","0.0000007488","0","0","","274.5707039786"
"2024-04-04","202.4277843235","32.4293423899","11.7884319874","4.1399020706","5.904","12.1596206873","1.7511293139","0.0194900867","0.72681","2.4","12.3249823703","0.1296301968","0.00297","0.01","","0","0","0.0000213237","0.000006","0.0000018856","0.0000007488","0","0","","286.2141233845"
"2024-04-05","202.8050557061","32.4320172108","11.7325532935","4.1208642297","5.904","12.1596217686","1.7505007001","0.0189815808","0.74396","2.4","12.3249732795","0.1296301968","0.00198","","","","0","0.0000148616","0.0000044","0.0000009428","0.0000004992","0","0","","286.5241586695"
"2024-04-06","203.5516819806","32.4592719037","11.708094051","4.1992696605","5.904","12.1596221248","1.7558701526","0.0976325731","0.73774","2.4","12.3249815588","0.1296301968","","","","","0","0.0000029601","","","","0","","","287.427797162"
"2024-04-07","203.5517042776","32.4637718589","11.6623090853","4.5139996044","5.904","12.1596221483","1.7530867085","0.0363769407","0.7329","2.4","12.3249869498","0.1296301968","0.00171","0.01","","0","0.0000038","0.0000028565","0.000004","0.0000009566","0.0000005068","0","0","","287.6441098902"
"2024-04-08","218.6696924126","34.6829468477","11.6256144725","7.7965958428","5.904","12.1596220102","1.7652748779","0.0957806691","1.10118","2.4","13.6045602961","0.1298617608","0.003018","0.01","","0","0.0001508","0.0000060008","0.00001","0.0000014349","0.0000010136","0","0","","309.948316439"
"2024-04-09","199.3539572173","33.6529025282","11.5887480974","8.5334673548","5.904","12.1596249248","1.7580230883","0.0809935512","0.686965","2.4","6.3278876412","0.129959928","0.0036","0.01","","0","0.0000296","0.0000047107","0.0000104","0.0000019128","0.0000007602","0","0","","282.5901767149"
"2024-04-10","228.2690787512","35.7667237289","11.6062009361","8.753192887","5.904","12.1596266998","1.7772078337","0.1041451524","0.740715","2.4","0.170862749","0.1312149962","0.00387","0.01","","0","0.0000298","0.0000053769","0.0000088","0.0000019128","0.0000010136","0","0","","307.7968856376"
"2024-04-11","247.1718329525","37.0823931479","11.5887210574","8.7932511645","5.904","12.159621447","1.7883571603","0.0974973537","0.66848","2.4","0.1708903942","0.132304728","0.00369","0.01","","0","0.0001732315","0.0000041697","0.00001","0.0000019128","0.0000010136","0","0","","327.9712297331"
"2024-04-12","237.7492825064","36.4828089925","11.6200501028","8.3103559809","5.904","12.1596197643","1.7753491933","0.1120321211","0.60621","2.4","0.1708935291","0.132304728","0.00306","0.01","","0","0.0000226752","0.000001966","0.0000104","0.0000019128","0.0000010136","0","0","","317.436004886"
"2024-04-13","238.3371062934","36.943903102","11.7088594373","8.1231514183","5.904","12.1596195472","1.8218098685","0.1697891975","0.609","2.4","0.1708895388","0.132304728","0.003789","0.01","","0","0.000050565","0.0000048351","0.0000104","0.0000014349","0.0000007602","0","0","","318.4942901262"
"2024-04-14","237.4907322798","36.5273254437","11.7050523462","8.0995643552","5.904","12.1596205141","1.873906113","0.1750307557","0.60621","2.4","0.1708892544","0.132304728","0.00369","0.01","","0","0.0000563796","0.0000040691","0.0000108","0.0000019128","0.0000010136","0","0","","317.2583999652"
"2024-04-15","236.2683722439","35.356264854","11.7518425556","8.0818756528","5.904","12.1596180169","1.780455013","0.3305677606","0.60644","2.4","0.1708948115","0.132304728","0.003795","0.01","","0","0.0000118608","0.0000030803","0.0000108","0.0000019128","0.0000010136","0","0","","314.9564593038"
