"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","Route 53($)","Elastic Load Balancing($)","OpenSearch Service($)","DocumentDB (with MongoDB compatibility)($)","DynamoDB Accelerator (DAX)($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Secrets Manager($)","DynamoDB($)","ElastiCache($)","EC2 Container Registry (ECR)($)","S3($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","API Gateway($)","SQS($)","SNS($)","Lambda($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","X-Ray($)","CloudWatch Events($)","Total costs($)"
"Service total","30686.6742902451","12717.8203257836","2876.2317394173","2096.5838342225","1823.0579221718","1758.2910494607","1187.3929197182","1031.8882820211","995.904","952.8","687.8545305122","510.466877065","412.7960636425","398.064","121.7471357039","33.1256239794","15.96","13.6108","12.9919587334","4.6706242411","0.7261821363","0.0025004324","0.0019731908","0.0004700908","0.0004386833","0.0004148272","3.41e-8","0","0","0","0","0","58338.6639563127"
"2024-04-01","1.0224001351","4.1168585642","4.5604093501","","","","","","","2.4","0.1066666656","0.000425","0.021312","","","0.0003754325","0.03","0","0.002016","","0.000024","0","","0.0000032908","0.000000075","0.0000001305","","0","0","","","","12.2604906438"
"2024-04-02","1.02240009","4.1168584901","4.5604563952","","","","","","","2.4","0.1066666656","0.000595","0.021312","","","0.0003778635","0.07","0","0.001584","","0.0000336","0","","0.0000031308","0.000000105","0.0000001566","","0","0","","","","12.3002874968"
"2024-04-03","0.9189001101","4.1168597719","4.5604187971","","","","","","","2.4","0.1066666656","0.00068","0.021312","","","0.0009014325","0.04","0","0.001968","","0.0000384","0","","0.0000030914","0.00000012","0.0000002088","","0","0","","","","12.1677485974"
"2024-04-04","1.0224001499","4.1168586859","4.5603532305","","","","","","","2.4","0.1066666656","0.001105","0.021312","","","0.0003779108","0.01","0","0.001968","","0.0000672","0","","0.0000031499","0.000000225","0.0000003654","","0","0","","","","12.241112583"
"2024-04-05","2.6331651984","4.3278762182","4.5604065322","","","","","","","2.4","0.1066666656","0.0087777784","0.021312","","","0.0006673967","","","0.001083","","0.0000528","0.0000000238","","0.0000017453","0.000000165","0.0000002871","","0","0","","","","14.0600098107"
"2024-04-06","1.0224005186","4.1168604082","4.5604075846","","","","","","","2.4","0.1066666656","0.0141433344","0.021312","","","0.0003411318","0.01","0","0.001026","","0.0000528","0","","0.000001125","0.00000015","0.0000001827","","0","0","","","","12.2532119009"
"2024-04-07","1.0224007951","4.1168595592","4.5604101329","","","","","","","2.4","0.1066666656","0.0155833344","0.021312","","","0.0003754748","0.01","0","0.001782","","0.00012","0","","0.0000027214","0.000000343","0.0000006264","","0","0","","","","12.2555136528"
"2024-04-08","1.0224002908","4.1168588589","4.5603892592","","","","","","","2.4","0.1066666656","0.0153133344","0.021312","","","0.0004598748","0.01","0","0.001998","","0.0001104","0","","0.0000028315","0.000000359","0.0000006264","","0","0","","","","12.2555125006"
"2024-04-09","1.0224000832","4.1168586171","4.9503430818","","0.200246","","","","","2.4","0.1066666656","0.0156383344","0.021312","","","0.0006198277","0.01","0","0.002223","","0.0001056","0","","0.0000025331","0.000000371","0.0000006786","","0","0","","","","12.8464167925"
"2024-04-10","31.014260543","5.2198223553","5.656590332","","0.0000792","0.4305724626","","","","2.4","0.1066666656","0.0292033344","0.021312","","","0.0006600406","0.01","0","0.002112","","0.0001116","0","","0.0000024806","0.000000345","0.0000006003","","0","0","","","","44.8913939594"
"2024-04-11","41.9205710658","5.2322342227","5.8099442476","","0.0000444","0.5736","","","","2.4","0.1066666656","0.0443883344","0.021312","","","0.0003803689","0.01","0","0.00246","","0.00012","0","","0.0000024616","0.000000356","0.0000007047","","0","0","","","","56.1217248273"
"2024-04-12","42.9398013545","7.4341363836","5.8102338162","","0.0000612","1.2667650394","","","","2.4","0.336249997","0.0444633344","0.0213120371","","","0.0010756648","0.01","0","0.00249","","0.0001104","0.0000000022","","0.0000026834","0.000000402","0.0000007047","","0","0","","","","60.2667030193"
"2024-04-13","41.9208203589","8.7659408486","5.8099604109","","0.0000644","1.7208","","","","2.4","0.1066666656","0.0441883344","0.0213120408","","","0.0003755687","0.01","0","0.00246","","0.0001104","0","","0.0000027053","0.000000374","0.0000007047","","0","0","","","","60.8027028119"
"2024-04-14","41.9207436289","8.7668954929","5.8099632609","","0.00004","1.7208","","","","2.4","0.1066666656","0.0443383344","0.0213120408","","","0.0003755687","0.01","0","0.00252","","0.0001344","0","","0.0000026395","0.000000416","0.0000007308","","0","0","","","","60.8037931785"
"2024-04-15","47.4197122421","10.5973780643","5.8102421803","","0.0000456","1.7208524028","","","","2.4","0.2966666637","0.0442983344","0.0213120429","","","0.0006978217","0.01","0","0.00246","","0.0001344","0","","0.0000026839","0.000000416","0.0000007047","","0","0","","","","68.3238035568"
"2024-04-16","49.3224674236","11.2298868777","5.8100779357","","0.0000268","1.7208262249","","","","2.4","0.3466666632","0.0443933344","0.0213120432","","","0.0003755961","0.01","0","0.00246","","0.0001296","0","","0.0000025631","0.000000402","0.0000006786","","0","0","","","","70.9086261425"
"2024-04-17","49.3224529631","11.2301927551","5.810003261","","0.0000236","1.7208","","","","2.4","0.3466666632","0.0440433344","0.0213120432","","","0.0003755961","0.01","0","0.00246","","0.00012","0","","0.0000024929","0.000000359","0.0000006786","","0","0","","","","70.9084537466"
"2024-04-18","73.6560105722","11.6581704512","5.8175844197","1.330362521","0.0001192","1.7210298497","","1.5108438931","","2.4","0.5050268978","0.0345033344","0.0213120436","","","0.0023182037","0.01","0","0.002694","","0.00012","0.0000000043","","0.0000025276","0.000000344","0.0000006786","","0","0","","","","98.6700989409"
"2024-04-19","106.58546689","12.2402125141","5.8220277957","2.3436050641","0.0000412","1.7209294167","","2.6868059933","","2.4","0.6016666727","0.0299933344","0.0213120472","","0.0010774468","0.0029798251","0.01","0","0.00225","","0.0001104","0","","0.0000025725","0.000000401","0.0000006264","","0","0","","","","134.4684822"
"2024-04-20","96.8771409711","11.6080265413","5.8203018559","2.3455958476","0.0000792","1.7208","","2.6868381946","","2.4","0.5866666726","0.0297833344","0.021312048","","0.001687692","0.0018313446","0.01","0","0.002706","","0.0000912","0.0000000022","","0.0000024832","0.000000343","0.0000006525","","0","0","","","","124.112864383"
"2024-04-21","86.2342493055","11.3244564777","5.8203142464","2.3475839876","0.00003","1.7208","","2.6867820084","","2.4","0.5866666726","0.0297983344","0.021312048","","0.001687692","0.0018337446","0.01","0.0014","0.002706","","0.0001056","0","","0.0000025498","0.000000328","0.0000005742","","0","0","","","","113.1897295692"
"2024-04-22","87.0201370215","11.9775140783","5.8217715214","2.3456936187","0.000076","1.7209836841","","2.6867598672","","2.4","0.7129166714","0.0299033344","0.021312051","","0.001687692","0.0021414951","0.01","0.0014","0.002706","","0.0001152","0","","0.0000025058","0.000000358","0.0000006264","","0","0","","","","114.7551217253"
"2024-04-23","87.4560179701","12.280296088","5.8206545466","2.5390742474","0.0000272","1.7208172244","","2.6871029125","","2.4","0.8266666702","0.0298833344","0.0213120528","","0.001687692","0.0018426","0.01","0.0014","0.002733","","0.0001152","0","","0.0000025055","0.000000357","0.0000007047","","0","0","","","","115.7996343056"
"2024-04-24","88.6941533386","12.775160139","5.8204494328","2.3493958046","0.0000264","1.7208233782","","2.686954932","","2.4","0.9200000026","0.0296933344","0.0213120528","","0.001687692","0.0019137318","0.01","0.0014","0.002772","","0.0001056","0","","0.00000264","0.000000329","0.0000005742","","0","0","","","","117.435851382"
"2024-04-25","89.1277148273","13.699771095","5.8308745","2.7085800321","0.0000972","1.7225188475","","2.686615004","","2.4","1.5790284738","0.0878916673","0.6446880574","","0.0041217024","0.0023522931","0.01","0.0014","0.002727","0.0000107655","0.0010052547","0.0000000088","","0.000002805","0.000000285","0.0000006264","","0","0","","","","120.5094004453"
"2024-04-26","88.7860103674","12.8450846737","5.8218322268","2.3573108992","0.0000572","1.7210426441","","2.6869899796","","2.4","1.760000002","0.3169949999","0.8524800621","","0.0114156119","0.002199705","0.01","0.0014","0.002889","0.0000161527","0.0018708","0","","0.0000029508","0.000000345","0.0000006003","","0","0","","","","119.5775982205"
"2024-04-27","89.1049327821","12.7781635503","5.8204740176","2.3566068992","0.000052","1.7208","","2.6870301154","","2.4","1.760000002","0.460175","0.8524800648","","0.0162491424","0.0023823368","","0.0007","0.002706","","0.0018616","0","","0.0000028875","0.000000357","0.0000006525","","0","0","","","","119.9646174076"
"2024-04-28","88.7858888867","12.7859430621","5.8204754125","2.3549835259","0.0000368","1.7208","","2.6871522476","","2.4","1.760000002","0.45959","0.8524800648","","0.0162491424","0.0023807368","0.01","0.0007","0.002829","","0.0018564","0","","0.0000028372","0.000000313","0.0000005481","","0","0","","","","119.6613689791"
"2024-04-29","104.4626613844","13.6080445251","5.8277949484","2.4038074421","0.0002892","1.7219651116","","2.6867954424","","2.4","1.760252949","0.6258744442","0.8524800688","","0.0217302508","0.0021197368","0.01","0.0014","0.00315","0.0000129222","0.0018744","0.0000000022","","0.0000033533","0.000000356","0.0000006003","","0","0","","","","136.3902571376"
