"Service","Relational Database Service($)","EC2-Instances($)","EC2-Other($)","API Gateway($)","DynamoDB($)","CloudWatch($)","DocumentDB (with MongoDB compatibility)($)","S3($)","DynamoDB Accelerator (DAX)($)","Lambda($)","Elastic Load Balancing($)","OpenSearch Service($)","VPC($)","Elastic Container Service for Kubernetes($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SES($)","Route 53($)","Athena($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","SQS($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","2505932.805804939","490206.6264082755","345610.3309379596","130394.1414983889","28122.4707626026","26181.5534856606","24011.9698808485","22171.1997756134","15407.235","15216.5919844683","13047.0819180977","11799.4396002133","7416.3557178377","1366.621541693","1074.1614160917","475.7546059837","319.312840425","111.0011488","62.62323","17.8296041727","16.08","2.317","1.5538543804","0.4155209029","0.0005765225","0.0005210061","3.19e-8","0","0","0","0","0","3638965.474634915"
"2024-04-01","3116.8297668035","917.8404968307","357.381040111","0.055234305","64.0655","11.5541665918","3.4953417188","0.0042867336","21.672","0","1.7249973929","20.8796007749","5.8439931518","2.4","1.7762700008","0.6729902172","","1.1404744","","0.0380583336","0.08","0","0.003506","0.000052168","0.0000009428","0.0000004992","","0","0","","","","4527.4577769756"
"2024-04-02","3123.624694547","968.8336986273","354.8145712706","0.1344040355","76.88526","13.5770722042","3.4958788774","0.0035974807","21.672","0","1.724755078","20.8796019811","5.8361994981","2.4","1.7769200008","0.6881831503","","0.151754","","0.0381963336","","0","0.0035108","0.0001110615","0.0000014142","0.0000007488","","0","0","","","","4596.5404111091"
"2024-04-03","3127.1037581284","962.1005158315","394.1455180167","0.5618062671","78.57912","13.8964157479","3.4949526046","1.9102603867","21.672","0","1.7315993562","20.8796061641","5.8542212894","2.4","1.7359183341","0.7107719501","","0.1957508","","0.0382773336","0.01","0","0.0035820171","0.0002170915","0.0000018856","0.0000007488","","0","0","","","","4637.0242939534"
"2024-04-04","3133.8851575511","1214.9873641938","435.4092658504","0.4874964222","81.1859551533","14.0036691436","3.4963859524","3.4066457704","24.816","0","1.7622034524","20.8796098822","5.8459632766","2.4","1.7502083341","0.7281473963","","0.1835172","","0.0380523336","0.01","0","0.00359","0.0001717669","0.0000014142","0.0000009984","","0","0","","","","4945.2794060919"
"2024-04-05","3141.5222030691","1261.6981204008","434.1292148579","0.0865891915","86.3936903797","14.0672256342","4.3621882517","3.6384624428","27.96","0","1.7560819732","20.8796100622","5.8421583245","2.4","1.7995100008","0.7317064896","","0.1866604","","0.0358653336","0.01","","0.0034924","0.0001462588","0.0000009428","0.0000004992","","0","0","","","","5007.5029269124"
"2024-04-06","3649.535300437","1204.2647360411","428.7952684112","0.8216355","81.3863774725","14.2325579708","3.8442441752","3.9656928266","27.96","0","1.8420822317","20.8796109331","5.8403465428","2.4","1.7996400008","0.7317064896","","0.3024348","","0.0355863336","0.01","0","0.0035176","0.0001723423","0.0000009566","0.0000005068","","0","0","","","","5448.6509115717"
"2024-04-07","5105.3508185874","1328.1534929925","462.39508351","0.3746257305","80.1702796819","14.0717972502","3.5048666397","4.317036249","27.96","0.0036134","1.8186068646","20.8796112019","5.8361418669","2.4","1.8071250008","0.7322549975","","0.3991492","","0.0380523336","0.01","0","0.0036844","0.0000123932","0.0000019128","0.0000010136","","0","0","","","","7060.2262552261"
"2024-04-08","6440.4028465007","1756.9072873924","510.6465726418","18.3715780747","98.02794585","15.2195793555","92.6912455923","9.302890243","27.96","0.6712086","2.5073684691","20.8796132772","6.3831642208","2.4","1.8120450008","0.7363682593","","0.4160276","","0.0384903336","0.01","0","0.0036996","0.000051043","0.0000014349","0.0000007602","","0","0","","","","9005.3879842493"
"2024-04-09","7069.0772015455","1826.3738046622","503.207900348","80.6355835366","111.314666243","19.5608226981","127.0110731856","14.152167795","27.96","3.2795456","4.5332353675","20.879616905","7.7346249659","2.4","1.8109150008","0.7466920863","","0.3951728","","0.0381333336","0.01","0","0.0035508","0.0026119197","0.0000019128","0.0000010136","","0","0","","","","9821.1273217192"
"2024-04-10","7350.0653318416","2209.8210336036","553.204785238","260.9629798451","105.0458561663","180.515216259","127.0115273684","18.1456875024","27.96","10.8443928","10.1941699241","20.8796210578","11.2684102162","2.4","1.8094350008","0.7558458538","","0.3969076","","0.0373113336","0.01","0","0.003614","0.0000112183","0.0000019128","0.0000010136","0.0000000319","0","0","","","","10891.3321397873"
"2024-04-11","7363.0903622234","2246.4065827085","552.9794507096","231.8651461538","103.7083652978","29.562297699","127.0115723582","18.3600350191","27.96","21.1409381427","9.3280465296","20.8796135089","10.7022142608","2.4","1.8050100008","0.7602355368","","0.3492788","","0.0381933336","0.01","0","0.0035104","0.0000095106","0.0000014349","0.0000007602","","0","0","","","","10768.3608643883"
"2024-04-12","7392.7614645958","2237.1292030878","570.4439620854","260.3543503061","108.9396498945","31.8594285382","127.0117660738","18.5363983988","27.96","22.4628989685","10.1435118824","20.87961414","11.2184863099","2.4","1.8071600008","0.7627469987","","0.359706","","0.0384813336","0.01","0","0.003538","0.0018462244","0.0000019128","0.0000010136","","0","0","","","","10845.0842157651"
"2024-04-13","7494.1976719045","2260.9260439656","677.5038222039","649.2457707612","106.1474558903","58.7422436738","127.0126740127","19.0419436189","32.64","44.4502809272","27.2472398301","20.8796209995","22.2877786255","2.4","1.8041400008","0.7660971569","","0.3599912","","0.0376173336","0.01","0","0.00359","0.002805875","0.0000019128","0.0000007602","","0","0","","","","11545.7067906525"
"2024-04-14","7275.2666501285","2216.8683628388","697.3897679896","461.8932189843","108.4783686883","47.5558215046","127.0126775021","18.9064818912","33.576","44.9581210165","26.1283607997","20.879620083","20.4251973218","2.4","1.8094600008","0.76636506","","0.366536","","0.0374163336","0.01","0","0.003558","0.0000213847","0.0000019128","0.0000010136","","0","0","","","","11104.7320084539"
"2024-04-15","7286.2927131246","2160.1539811668","709.5214244062","482.0195963662","113.4445905158","49.0355518733","127.0129570579","18.3339630231","33.576","46.4207032689","26.9769640334","20.8796271605","20.8937812588","2.4","1.8096900008","0.7671038171","","0.373654","","0.0385713336","0.01","0","0.0036552171","0.001575391","0.0000014349","0.0000010136","","0","0","","","","11099.9661054636"
"2024-04-16","7366.3017901654","2012.3073506967","742.8965568319","474.6549105819","115.5842191558","48.6323160526","127.0187621793","16.9961731118","33.576","45.872258476","27.0382516703","20.8796264795","20.9013469945","2.4","1.8082950008","0.7767918071","","0.373024","","0.0368373336","0.01","0","0.0036196","0.0003231329","0.0000019128","0.0000010136","","0","0","","","","11058.0684561965"
"2024-04-17","7323.1153274761","2035.3646061421","737.4332670848","387.3669204311","108.3082957479","47.6594839034","127.0195771477","17.3951288939","33.576","44.370531259","25.9980866944","20.8796171347","20.3365556319","2.4","1.8211622229","0.8008283812","0.2273313037","0.3593452","","0.0391083336","0.01","0","0.0036344","0.0028130167","0.0000019128","0.0000007602","","0","0","","","","10934.4876230781"
"2024-04-18","7178.3990304661","1940.0911855781","750.3451857189","402.3214445027","108.2758214973","48.948987819","127.0196323487","17.0679655517","33.576","45.877423392","27.2907104723","22.7136286746","21.0188626445","2.4","1.8326966672","0.8096499314","0.6218401197","0.2845384","","0.0395853336","0.01","0","0.003598","0.0065916789","0.0000014349","0.0000010136","","0","0","","","","10728.9543812452"
"2024-04-19","6942.6597121277","1819.2434461142","776.9145442507","400.4522719483","110.5127361921","48.6726868487","127.0202057194","16.5224209046","33.576","47.3268720873","28.4095477101","25.2476628388","21.5087082013","2.4","1.5149816672","0.8175567174","0.7429018512","0.2830496","","0.0372273336","0.01","0","0.0036468","0.0000128274","0.0000019128","0.0000007602","","0","0","","","","10403.876194413"
"2024-04-20","6984.5061996574","1767.5233599403","778.3946286656","396.317768301","108.4634271038","48.2051032381","127.0205091554","16.9118502209","33.576","46.9814993571","28.0185213017","25.2476640533","21.2707239816","2.4","1.2792466672","0.8243505504","0.6848055191","0.2821404","","0.0381333336","0.01","0","0.0035824","0.0005471055","0.0000014349","0.0000010136","","0","0","","","","10387.9600634005"
"2024-04-21","7062.6552842485","1764.7419994642","772.4205863034","381.8718243307","108.4490983146","47.0239354791","127.0204441606","17.2265851325","33.576","45.6288697005","27.0767473121","25.2476649411","20.6982493378","2.4","1.2802266672","0.8243505504","0.4716309227","0.2665556","","0.0382143336","0.01","0.0014","0.0035876","0.0000033772","0.0000019128","0.0000010136","","0","0","","","","10438.9332607026"
"2024-04-22","7016.1706952103","1764.2232884003","793.3090694661","397.5289174956","108.6688340133","48.5649154205","127.0204443867","17.6472686138","33.576","47.1207457055","28.2656832418","25.2476663541","21.4199438421","2.4","1.2792666672","0.8248894451","0.6232922898","0.274038","","0.0383313336","0.01","0.0014","0.0036348","0.0033953793","0.0000019128","0.0000007602","","0","0","","","","10434.2217227381"
"2024-04-23","6902.2162446917","1761.5265903651","798.346240537","397.8286548671","108.6309802104","48.5203521587","127.0204417974","18.0762893018","33.576","47.1751295966","27.96015519","25.2476673778","21.2701931016","2.4","1.8852766672","0.8312454676","0.4935419885","0.266838","","0.0381993336","0.01","0.0014","0.0036608","0.0000020296","0.0000014349","0.0000007602","","0","0","","","","10323.3251056768"
"2024-04-24","6818.5387421198","1774.3922730614","803.8510159573","409.6435345647","108.7777056943","49.5901763563","112.767450284","18.3327854978","33.576","48.3023212785","28.4369498672","25.2476702915","21.5493628877","2.4","2.3616488894","0.84281369","0.5810232563","0.2636148","","0.0381093336","0.01","0.0014","0.0037036","0.0002499082","0.0000019128","0.0000010136","","0","0","","","","10259.5085542644"
"2024-04-25","6725.3525429337","1744.3578398339","803.1915545282","406.7217874009","84.4326503971","49.3353869803","79.6204383562","18.5917391405","33.576","48.01118333","28.423816905","25.2476722598","21.5518450127","2.4","2.4166016672","0.8482883801","0.5853556412","0.2658424","0.0001","0.0374553336","0.01","0.0007","0.0036536342","0.0001709729","0.0000019128","0.0000010145","","0","0","","","","10074.9826280348"
"2024-04-26","6684.5841857357","1740.9612906074","799.6290405957","385.0572670512","63.2996657842","47.4908010523","79.6204395475","18.9709787732","33.576","45.9875218514","27.1027298819","25.2476726342","20.7336733842","2.4","2.4150816672","0.8513992344","0.55631662","0.268032","","0.0384903336","0.01","0.0014","0.0036356","0.0054686646","0.0000019128","0.0000007602","","0","0","","","","9978.8110936917"
"2024-04-27","6699.2049178914","1734.5208270316","800.6520360006","382.14588762","63.5403564614","47.2128316419","79.6204402243","19.2824829184","33.576","45.7517407203","26.9256935524","25.247674765","20.6127396575","2.4","2.4162816672","0.8531315088","0.3884831481","0.2605684","","0.0383733336","0.01","0.0007","0.0035984","0.0000089938","0.0000014349","0.0000010136","","0","0","","","","9984.6647763848"
"2024-04-28","6704.0011521534","1740.2472556504","798.5260117738","367.3583203769","63.8203278292","45.9402850199","79.6204358754","19.6556609307","33.576","44.3752659618","26.0216246457","25.2476762142","20.0761947185","2.4","2.4158566672","0.8531315088","0.4314756737","0.2582692","","0.0375393336","","0.0014","0.0036016","0.0000069588","0.0000019128","0.0000007602","","0","0","","","","9974.867494765"
"2024-04-29","6714.8242313744","1745.2184817063","808.9804093312","383.4344462594","63.7705137131","47.3786785302","79.6204387421","20.2293351693","33.576","45.9167363883","26.9211810406","25.247677749","20.596559544","2.4","2.4171416672","0.8571147955","0.3210636348","0.2665864","0.067095","0.0386703336","0.01","0.0014","0.0036812","0.0000067785","0.0000019128","0.0000010136","","0","0","","","","10022.0974522839"
"2024-04-30","6739.4182553242","1747.2096778371","827.8977113699","422.070121067","64.2260567919","50.3841864837","79.6203415501","20.6426377902","33.576","49.4224971823","29.649213488","25.2476599667","22.2039093278","2.4","2.4165666672","0.8730845801","0.9009733904","0.2686656","0.349335","0.0385533336","0.01","0.0014","0.0036788","0.0000154883","0.0000014349","0.0000007602","","0","0","","","","10118.8305432336"
