"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","ElastiCache($)","Relational Database Service($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Route 53($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","SQS($)","Lambda($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","CodeArtifact($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","489856.405409608","319801.9221351626","85834.0339749904","37346.0977379016","30866.795398131","24699.7274590895","5636.0474404611","4214.6635693573","3834.4495955073","3785.0674574272","3000.042029002","522.4641932607","311.3803284016","173.0817043974","102.6863053361","13.32","2.3289","0.1047054369","0.0631578749","0.0147888274","0.000575324","0.0005237812","0.000312","0.000001191","1.417e-7","0","0","0","0","1010000.6977026109"
"2024-04-01","919.7069895973","547.4090521252","135.854849256","1.9680002808","51.963699589","1.0071332884","6.8951474098","9.4205845052","3.5055903077","9.5763928","4.8","0.63936","0.2880047416","0.3107010024","0.1345683344","0.04","0","0.000012","0","0","0.0000014142","0.0000007488","","0","","0","0","","","1693.5200874008"
"2024-04-02","985.2424454006","541.5049411887","156.744","1.9680002808","52.0212695083","1.0762902285","6.8989760383","9.4616679046","3.5242287801","9.0732168","4.8","0.63936","0.2898586011","0.3093750024","0.1348433344","0.06","0","0.0000288","0","0","0.0000014142","0.0000007488","","0","","0","0","","","1773.7485040308"
"2024-04-03","977.0001479632","710.7905119945","238.489025208","1.9680002889","52.082936923","2.4686803398","7.2423282612","10.0325842101","3.5770007808","9.230776","4.8","0.63936","0.2933850367","0.3218310024","0.1293277788","0.05","0","0.0001232","0","0","0.0000014142","0.0000007488","","0","","0","0","","","2019.1160211504"
"2024-04-04","1013.8307569497","787.5490050144","284.256","1.9680003462","52.1490394728","1.339044816","7.3965137294","9.4975620844","3.544723892","9.3422976","4.8","0.6393601449","0.2974646201","0.3106140024","0.1297327788","0.01","0","0.0000208","0","0","0.0000014142","0.0000009984","","0","","0","0","","","2177.0601386637"
"2024-04-05","1021.9872021443","774.6019512531","284.256","1.9680003663","52.2179794783","1.7380271517","7.6951070513","9.4149967308","3.5404546445","9.4386672","4.8","0.6393601444","0.300628842","0.3057060024","0.1350533344","","0","0.0000444","0","0","0.0000009428","0.0000004992","0","0","","0","0","","","2173.0391801855"
"2024-04-06","1022.1290478503","776.709391689","284.256","1.9680004851","52.2837146789","1.3788689873","7.8836150091","9.3649989792","3.5399124443","9.7095192","4.8","0.6393601448","0.3010630128","0.3000240024","0.1342933344","","","","0","","","","","","","0","","","","2175.3978098176"
"2024-04-07","1022.5782297236","801.2622061347","284.256","1.9680006219","52.3479884315","1.2354855985","8.2174561538","9.3680998135","3.5336792308","9.6755388","4.8","0.6393601441","0.3010630128","0.3049050024","0.1348433344","0.01","0","0.000012","0","0","0.0000009566","0.0000005068","","0","","0","0","","","2200.6328694654"
"2024-04-08","1097.2782882083","802.777973992","284.256","1.9680013887","52.4140039458","1.5921022544","8.6091071454","9.4962742811","3.617219054","9.86196","4.8","0.639360139","0.3066158911","0.3107940024","0.1359583344","0.01","0","0.000076","0.0000006","0","0.0000019128","0.0000010136","","0","","0","0","","","2278.073738163"
"2024-04-09","1136.4820493788","813.9142920873","284.256","1.9680027741","52.4733673039","1.2146670141","8.4781860917","9.4607771221","3.7860866259","9.9395776","4.8","0.6393601381","0.3157720892","0.3103500024","0.1360583344","0.01","0","0.0000368","0.0000012","0","0.0000014349","0.0000007602","","0","","0","0","","","2328.1845867571"
"2024-04-10","1137.9754149762","822.830710644","284.7096","1.9680111099","52.5374075097","1.4932699439","8.4423041032","9.4143496742","4.1882526048","9.9372532","4.8","0.6393601389","0.3183181891","0.3106080024","0.1353933344","0.01","0","0.0000296","0.0000012","0","0.0000019128","0.0000010136","","0","","0","0","","","2339.7102871571"
"2024-04-11","1139.7693045046","821.5071276346","285.4656","1.968199932","52.6035112186","1.7082396739","8.4540309301","9.3682309721","4.1586359051","9.9311124","4.8","0.6393601382","0.3187374993","0.3105810024","0.1358883344","0.01","0","0.0000544","0.0000044896","0","0.0000019128","0.0000010136","","0","","0","0","","","2341.1486219613"
"2024-04-12","1401.5962970171","854.7412810543","282.176730416","1.969247091","52.6738194326","1.7226232248","9.6587838677","9.5515121994","4.2739988171","9.9301828","4.8","0.6393601382","0.3219946269","0.3116280024","0.1378133344","0.01","0","0.0002156","0.00000585","0","0.0000014349","0.0000007602","","0","","0","0","","","2634.515495667"
"2024-04-13","1638.2460805594","897.8528499115","255.8976","1.9698486567","52.7467121817","1.3866053685","10.2078726262","9.4636848285","5.6011183591","9.9282772","4.8","0.6393601382","0.3246911306","0.3105810024","0.1357783344","0.01","0","0.0000336","0.0000061208","0","0.0000019128","0.0000010136","","0","","0","0","","","2889.5211029444"
"2024-04-14","1638.2427111276","898.518922414","255.8976","1.9700575728","52.8189653454","1.5085314706","10.546529368","9.3803642885","5.4865970011","9.9261388","4.8","0.6393601382","0.324691248","0.3108390024","0.1358333344","0.01","0","0.0000324","0.0000059938","0","0.0000019128","0.0000010136","","0","","0","0","","","2890.5171824312"
