"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","S3($)","API Gateway($)","Elastic Load Balancing($)","CloudWatch($)","VPC($)","ElastiCache($)","DynamoDB($)","Route 53($)","Secrets Manager($)","Cost Explorer($)","Lambda($)","Athena($)","Service Catalog($)","Key Management Service($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","CloudFormation($)","Total costs($)"
"Service total","468117.0267620838","75542.4590789689","72882.6222796716","11250.1396839563","5338.2997182337","3837.5812424961","3428.7780837758","3304.8858321049","1486.2788780448","41.0244342471","17.6496972","17.5622045984","15.88","7.7656809067","2.559845","2.3457","1.037376","0.1246095266","0.0028344","0.0005770278","0.0005222222","5.58e-8","0","0","0","0","645294.0250405205"
"2024-04-01","1346.0133050444","181.4889945943","290.1899319893","7.4268956892","0.007322","5.2047785365","0.6553955031","5.8206355541","2.952","0.014208","1.0009336","0.1029422212","0.07","0.0000922938","","0","0.003276","0.0000036891","0.000002","0.0000014142","0.0000004992","","0","0","","","1840.9507186284"
"2024-04-02","1348.0893000534","182.6860577687","288.6766097425","8.5657061706","0.3339595707","5.3368859197","2.0931448493","5.8783526824","2.952","0.085248","0.0010432","0.1070366656","0.05","0","","0","0.003216","0.0000004536","0.0000032","0.0000014142","0.0000007488","","0","0","","","1844.8585664395"
"2024-04-03","1348.9337169526","181.9032785238","312.3148275089","8.8033472691","2.1995123764","5.7598084568","2.093756388","6.0714490531","2.952","0.085248","0.0013736","0.0498838884","0.04","0","","0","0.003441","0.0000010037","0.0000032","0.0000014142","0.0000007488","","0","0","","","1871.2116493838"
"2024-04-04","1361.4508463673","182.740578503","334.2999488508","9.1199397363","0.8825219305","5.4378211566","2.0937505744","5.9184185385","2.952","0.0852481224","0.0011464","0.0260105553","0.01","0","","0","0.003564","0.0000013923","0.0000056","0.0000018856","0.0000009984","","0","0","","","1905.0218046114"
"2024-04-05","1379.4399332254","182.7482732085","334.6412746551","9.3591196538","0.0154315686","5.2246165002","2.2709167739","5.8202970648","2.952","0.0852481224","0.0010344","0.0268766664","0.01","0","","0","0.002808","0.0000072357","0.0000048","0.0000004713","0.0000004992","","0","0","","","1922.5978428453"
"2024-04-06","1585.8452077229","186.5938533109","369.3170648623","9.8762751362","0.397019","5.3173066715","2.4878184771","5.8599762214","2.9520000144","0.0852481224","0.0063288","0.0272616664","","0","","","0.00009","0.0000077996","","","","","0","","","","2168.7654578051"
"2024-04-07","1696.0189785658","187.9490782279","383.912050844","10.1743697178","0.308413","5.3626608864","2.5867129471","5.8580479801","2.9520000168","0.0852481224","0.007592","0.0268166664","0.01","0","","0","0.001491","0.0000002234","0.0000044","0.0000009566","0.0000005068","","0","0","","","2295.2534660615"
"2024-04-08","1697.7047373956","190.331137717","395.5255298079","10.9444379655","0.85981","5.4790302366","2.5868859196","5.9016678408","2.9520000168","0.0852481224","0.0082324","0.0271516664","0.01","0.0000008","","0","0.003228","0.0000006407","0.0000084","0.0000019128","0.0000010136","","0","0","","","2312.4191098557"
"2024-04-09","1773.5661867591","207.7535925305","399.4571367604","11.0793102124","3.3602592765","5.8168777369","2.7333236114","6.1958619434","2.9520000384","0.0852481224","0.0095208","0.0270566664","0.01","0.0000508","","0","0.002838","0.0000069666","0.0000108","0.0000019128","0.0000010136","","0","0","","","2413.0492839508"
